Date,TAJGVK
2013-01-01,70.95
2013-01-02,71.45
2013-01-03,71.75
2013-01-04,71.8
2013-01-07,71.7
2013-01-08,71.25
2013-01-09,70.65
2013-01-10,71.3
2013-01-11,69.95
2013-01-14,70.2
2013-01-15,70.2
2013-01-16,69.75
2013-01-17,69.75
2013-01-18,69.75
2013-01-21,69.5
2013-01-22,69.4
2013-01-23,69.25
2013-01-24,68.25
2013-01-25,68.4
2013-01-28,68.1
2013-01-29,67.75
2013-01-30,68.2
2013-01-31,68.15
2013-02-01,68.35
2013-02-04,67.55
2013-02-05,68.3
2013-02-06,67.45
2013-02-07,67.0
2013-02-08,67.1
2013-02-11,67.0
2013-02-12,65.6
2013-02-13,66.75
2013-02-14,66.25
2013-02-15,66.25
2013-02-18,66.2
2013-02-19,66.75
2013-02-20,66.05
2013-02-21,66.65
2013-02-22,66.0
2013-02-25,66.1
2013-02-26,66.1
2013-02-27,65.75
2013-02-28,65.75
2013-03-01,65.9
2013-03-04,65.75
2013-03-05,65.75
2013-03-06,65.9
2013-03-07,65.55
2013-03-08,65.85
2013-03-11,65.6
2013-03-12,66.2
2013-03-13,65.55
2013-03-14,65.8
2013-03-15,65.25
2013-03-18,65.25
2013-03-19,65.35
2013-03-20,65.05
2013-03-21,64.75
2013-03-22,64.6
2013-03-25,64.25
2013-03-26,64.5
2013-03-28,64.05
2013-04-01,64.5
2013-04-02,64.45
2013-04-03,64.15
2013-04-04,64.0
2013-04-05,64.05
2013-04-08,64.45
2013-04-09,64.6
2013-04-10,64.1
2013-04-11,64.0
2013-04-12,64.0
2013-04-15,64.0
2013-04-16,63.75
2013-04-17,63.85
2013-04-18,63.8
2013-04-22,63.75
2013-04-23,63.8
2013-04-25,63.75
2013-04-26,63.7
2013-04-29,63.55
2013-04-30,63.25
2013-05-02,63.25
2013-05-03,62.75
2013-05-06,62.3
2013-05-07,61.75
2013-05-08,61.6
2013-05-09,62.1
2013-05-10,62.05
2013-05-11,62.1
2013-05-13,62.95
2013-05-14,62.35
2013-05-15,61.5
2013-05-16,61.4
2013-05-17,61.6
2013-05-20,61.5
2013-05-21,61.7
2013-05-22,61.25
2013-05-23,61.25
2013-05-24,69.2
2013-05-27,64.55
2013-05-28,63.1
2013-05-29,62.05
2013-05-30,61.3
2013-05-31,61.0
2013-06-03,61.1
2013-06-04,61.0
2013-06-05,60.95
2013-06-06,60.75
2013-06-07,60.75
2013-06-10,60.5
2013-06-11,60.55
2013-06-12,60.25
2013-06-13,60.25
2013-06-14,60.1
2013-06-17,60.05
2013-06-18,60.35
2013-06-19,60.55
2013-06-20,60.0
2013-06-21,59.75
2013-06-24,59.75
2013-06-25,59.85
2013-06-26,60.0
2013-06-27,59.7
2013-06-28,59.6
2013-07-01,59.6
2013-07-02,59.55
2013-07-03,59.5
2013-07-04,59.5
2013-07-05,59.3
2013-07-08,59.3
2013-07-09,59.3
2013-07-10,58.75
2013-07-11,58.8
2013-07-12,58.85
2013-07-15,58.8
2013-07-16,58.9
2013-07-17,58.75
2013-07-18,59.2
2013-07-19,58.85
2013-07-22,59.45
2013-07-23,58.3
2013-07-24,58.4
2013-07-25,58.35
2013-07-26,58.3
2013-07-29,57.85
2013-07-30,59.5
2013-07-31,57.55
2013-08-01,57.25
2013-08-02,57.3
2013-08-05,57.05
2013-08-06,56.75
2013-08-07,57.05
2013-08-08,56.9
2013-08-12,56.5
2013-08-13,56.3
2013-08-14,56.0
2013-08-16,56.95
2013-08-19,55.7
2013-08-20,55.55
2013-08-21,55.0
2013-08-22,55.85
2013-08-23,55.45
2013-08-26,55.0
2013-08-27,54.8
2013-08-28,55.0
2013-08-29,54.85
2013-08-30,55.55
2013-09-02,56.7
2013-09-03,55.15
2013-09-04,54.8
2013-09-05,56.25
2013-09-06,56.15
2013-09-10,55.45
2013-09-11,56.05
2013-09-12,56.05
2013-09-13,56.2
2013-09-16,56.1
2013-09-17,56.05
2013-09-18,55.05
2013-09-19,54.9
2013-09-20,55.65
2013-09-23,55.75
2013-09-24,55.05
2013-09-25,54.9
2013-09-26,54.9
2013-09-27,54.6
2013-09-30,54.55
2013-10-01,54.55
2013-10-03,54.65
2013-10-04,55.65
2013-10-07,55.3
2013-10-08,55.0
2013-10-09,55.1
2013-10-10,54.85
2013-10-11,54.55
2013-10-14,54.6
2013-10-15,56.95
2013-10-17,55.55
2013-10-18,55.25
2013-10-21,55.15
2013-10-22,56.35
2013-10-23,55.65
2013-10-24,56.15
2013-10-25,56.0
2013-10-28,54.8
2013-10-29,54.55
2013-10-30,55.3
2013-10-31,54.75
2013-11-01,54.55
2013-11-03,56.65
2013-11-05,59.4
2013-11-06,58.2
2013-11-07,59.3
2013-11-08,59.0
2013-11-11,58.4
2013-11-12,56.45
2013-11-13,55.9
2013-11-14,55.8
2013-11-18,55.55
2013-11-19,55.0
2013-11-20,55.3
2013-11-21,54.3
2013-11-22,54.05
2013-11-25,54.3
2013-11-26,54.9
2013-11-27,54.05
2013-11-28,54.3
2013-11-29,54.2
2013-12-02,53.9
2013-12-03,54.75
2013-12-04,54.3
2013-12-05,54.2
2013-12-06,54.35
2013-12-09,57.1
2013-12-10,58.5
2013-12-11,57.35
2013-12-12,56.6
2013-12-13,55.15
2013-12-16,56.2
2013-12-17,56.5
2013-12-18,56.0
2013-12-19,55.85
2013-12-20,56.8
2013-12-23,56.85
2013-12-24,56.95
2013-12-26,56.85
2013-12-27,58.05
2013-12-30,57.6
2013-12-31,65.4
