Date,TATASPONGE
2013-01-01,312.6
2013-01-02,314.75
2013-01-03,314.35
2013-01-04,312.15
2013-01-07,314.1
2013-01-08,314.0
2013-01-09,311.05
2013-01-10,309.95
2013-01-11,306.4
2013-01-14,308.95
2013-01-15,309.95
2013-01-16,307.65
2013-01-17,307.1
2013-01-18,311.6
2013-01-21,312.95
2013-01-22,307.6
2013-01-23,309.95
2013-01-24,306.4
2013-01-25,310.4
2013-01-28,310.3
2013-01-29,306.6
2013-01-30,312.0
2013-01-31,310.35
2013-02-01,311.05
2013-02-04,310.25
2013-02-05,307.55
2013-02-06,307.25
2013-02-07,305.05
2013-02-08,301.4
2013-02-11,300.75
2013-02-12,300.15
2013-02-13,300.15
2013-02-14,301.35
2013-02-15,305.8
2013-02-18,302.25
2013-02-19,305.05
2013-02-20,310.05
2013-02-21,310.05
2013-02-22,310.1
2013-02-25,309.95
2013-02-26,308.65
2013-02-27,309.7
2013-02-28,310.0
2013-03-01,309.9
2013-03-04,310.0
2013-03-05,310.0
2013-03-06,310.0
2013-03-07,308.55
2013-03-08,309.75
2013-03-11,310.05
2013-03-12,309.4
2013-03-13,310.0
2013-03-14,310.75
2013-03-15,310.05
2013-03-18,306.55
2013-03-19,304.3
2013-03-20,296.95
2013-03-21,290.7
2013-03-22,295.65
2013-03-25,300.4
2013-03-26,301.55
2013-03-28,297.95
2013-04-01,294.2
2013-04-02,297.0
2013-04-03,294.75
2013-04-04,290.45
2013-04-05,292.15
2013-04-08,288.55
2013-04-09,289.8
2013-04-10,288.0
2013-04-11,284.45
2013-04-12,291.05
2013-04-15,287.95
2013-04-16,286.0
2013-04-17,288.25
2013-04-18,290.85
2013-04-22,294.85
2013-04-23,298.05
2013-04-25,297.8
2013-04-26,294.7
2013-04-29,293.25
2013-04-30,291.35
2013-05-02,291.2
2013-05-03,291.85
2013-05-06,289.05
2013-05-07,287.2
2013-05-08,291.8
2013-05-09,293.1
2013-05-10,288.7
2013-05-11,287.2
2013-05-13,284.5
2013-05-14,289.9
2013-05-15,293.1
2013-05-16,297.05
2013-05-17,301.65
2013-05-20,298.8
2013-05-21,297.3
2013-05-22,298.8
2013-05-23,301.1
2013-05-24,300.35
2013-05-27,296.95
2013-05-28,293.6
2013-05-29,288.7
2013-05-30,287.5
2013-05-31,286.55
2013-06-03,284.5
2013-06-04,287.8
2013-06-05,284.4
2013-06-06,283.75
2013-06-07,284.6
2013-06-10,287.05
2013-06-11,283.75
2013-06-12,281.95
2013-06-13,277.35
2013-06-14,279.35
2013-06-17,275.5
2013-06-18,278.65
2013-06-19,276.4
2013-06-20,280.25
2013-06-21,280.1
2013-06-24,280.1
2013-06-25,285.2
2013-06-26,282.25
2013-06-27,283.15
2013-06-28,283.4
2013-07-01,287.4
2013-07-02,277.5
2013-07-03,273.1
2013-07-04,270.6
2013-07-05,270.85
2013-07-08,270.45
2013-07-09,274.7
2013-07-10,270.75
2013-07-11,271.0
2013-07-12,269.45
2013-07-15,269.65
2013-07-16,267.9
2013-07-17,267.05
2013-07-18,261.85
2013-07-19,262.75
2013-07-22,258.55
2013-07-23,271.5
2013-07-24,264.2
2013-07-25,261.2
2013-07-26,250.8
2013-07-29,252.35
2013-07-30,244.0
2013-07-31,255.75
2013-08-01,247.85
2013-08-02,238.0
2013-08-05,241.55
2013-08-06,250.0
2013-08-07,246.2
2013-08-08,249.6
2013-08-12,257.15
2013-08-13,256.0
2013-08-14,253.9
2013-08-16,251.6
2013-08-19,253.25
2013-08-20,258.85
2013-08-21,257.25
2013-08-22,263.5
2013-08-23,262.65
2013-08-26,261.55
2013-08-27,259.95
2013-08-28,259.2
2013-08-29,257.3
2013-08-30,260.8
2013-09-02,260.35
2013-09-03,259.2
2013-09-04,260.2
2013-09-05,263.3
2013-09-06,261.45
2013-09-10,270.95
2013-09-11,271.3
2013-09-12,272.0
2013-09-13,273.9
2013-09-16,273.2
2013-09-17,273.05
2013-09-18,270.3
2013-09-19,268.4
2013-09-20,267.5
2013-09-23,267.3
2013-09-24,267.25
2013-09-25,268.75
2013-09-26,268.7
2013-09-27,267.45
2013-09-30,263.25
2013-10-01,265.2
2013-10-03,263.4
2013-10-04,262.35
2013-10-07,279.4
2013-10-08,298.45
2013-10-09,316.7
2013-10-10,307.65
2013-10-11,306.3
2013-10-14,305.25
2013-10-15,305.25
2013-10-17,303.35
2013-10-18,309.25
2013-10-21,310.05
2013-10-22,309.85
2013-10-23,310.9
2013-10-24,310.05
2013-10-25,308.05
2013-10-28,310.9
2013-10-29,309.3
2013-10-30,308.4
2013-10-31,306.95
2013-11-01,300.2
2013-11-03,301.55
2013-11-05,302.45
2013-11-06,301.15
2013-11-07,300.75
2013-11-08,300.0
2013-11-11,299.7
2013-11-12,294.85
2013-11-13,293.5
2013-11-14,295.5
2013-11-18,294.45
2013-11-19,292.65
2013-11-20,290.6
2013-11-21,291.5
2013-11-22,293.8
2013-11-25,292.85
2013-11-26,293.35
2013-11-27,288.45
2013-11-28,292.85
2013-11-29,292.9
2013-12-02,294.85
2013-12-03,295.6
2013-12-04,301.4
2013-12-05,296.65
2013-12-06,302.15
2013-12-09,306.9
2013-12-10,302.45
2013-12-11,300.3
2013-12-12,298.0
2013-12-13,294.15
2013-12-16,300.55
2013-12-17,296.9
2013-12-18,298.15
2013-12-19,298.5
2013-12-20,300.05
2013-12-23,302.35
2013-12-24,309.25
2013-12-26,308.75
2013-12-27,311.95
2013-12-30,308.45
2013-12-31,307.45
