Date,ADORWELD
2013-01-01,149.75
2013-01-02,149.1
2013-01-03,147.1
2013-01-04,146.3
2013-01-07,145.35
2013-01-08,146.2
2013-01-09,144.25
2013-01-10,142.45
2013-01-11,141.1
2013-01-14,141.15
2013-01-15,140.1
2013-01-16,138.95
2013-01-17,138.35
2013-01-18,139.6
2013-01-21,141.7
2013-01-22,140.25
2013-01-23,139.35
2013-01-24,142.1
2013-01-25,141.5
2013-01-28,138.1
2013-01-29,134.5
2013-01-30,132.8
2013-01-31,131.1
2013-02-01,131.0
2013-02-04,129.05
2013-02-05,127.75
2013-02-06,127.3
2013-02-07,126.5
2013-02-08,125.65
2013-02-11,125.1
2013-02-12,125.55
2013-02-13,125.55
2013-02-14,124.6
2013-02-15,125.4
2013-02-18,125.6
2013-02-19,126.95
2013-02-20,126.1
2013-02-21,124.3
2013-02-22,125.1
2013-02-25,124.7
2013-02-26,122.65
2013-02-27,123.15
2013-02-28,119.85
2013-03-01,121.45
2013-03-04,118.85
2013-03-05,121.25
2013-03-06,122.15
2013-03-07,121.65
2013-03-08,122.2
2013-03-11,121.95
2013-03-12,121.35
2013-03-13,119.8
2013-03-14,117.55
2013-03-15,117.15
2013-03-18,118.15
2013-03-19,116.4
2013-03-20,115.05
2013-03-21,113.35
2013-03-22,111.1
2013-03-25,111.05
2013-03-26,111.1
2013-03-28,112.45
2013-04-01,113.85
2013-04-02,115.8
2013-04-03,116.1
2013-04-04,112.3
2013-04-05,115.2
2013-04-08,112.4
2013-04-09,114.65
2013-04-10,113.05
2013-04-11,114.3
2013-04-12,114.6
2013-04-15,117.4
2013-04-16,116.25
2013-04-17,114.65
2013-04-18,115.1
2013-04-22,114.95
2013-04-23,114.45
2013-04-25,115.05
2013-04-26,114.25
2013-04-29,114.35
2013-04-30,115.05
2013-05-02,116.35
2013-05-03,117.15
2013-05-06,117.9
2013-05-07,118.3
2013-05-08,118.6
2013-05-09,117.75
2013-05-10,118.55
2013-05-11,117.0
2013-05-13,117.2
2013-05-14,118.95
2013-05-15,120.1
2013-05-16,124.3
2013-05-17,124.2
2013-05-20,124.3
2013-05-21,123.25
2013-05-22,124.0
2013-05-23,119.5
2013-05-24,120.7
2013-05-27,119.6
2013-05-28,123.15
2013-05-29,122.1
2013-05-30,122.95
2013-05-31,120.35
2013-06-03,122.2
2013-06-04,120.95
2013-06-05,122.05
2013-06-06,122.0
2013-06-07,122.15
2013-06-10,123.4
2013-06-11,121.3
2013-06-12,121.65
2013-06-13,119.15
2013-06-14,121.1
2013-06-17,122.4
2013-06-18,121.95
2013-06-19,121.95
2013-06-20,119.0
2013-06-21,119.95
2013-06-24,118.9
2013-06-25,119.35
2013-06-26,119.45
2013-06-27,116.6
2013-06-28,119.1
2013-07-01,120.35
2013-07-02,121.05
2013-07-03,119.3
2013-07-04,120.95
2013-07-05,120.2
2013-07-08,122.2
2013-07-09,122.45
2013-07-10,123.4
2013-07-11,124.75
2013-07-12,124.6
2013-07-15,129.2
2013-07-16,121.25
2013-07-17,120.45
2013-07-18,119.05
2013-07-19,118.15
2013-07-22,117.05
2013-07-23,116.05
2013-07-24,114.8
2013-07-25,101.15
2013-07-26,100.1
2013-07-29,94.55
2013-07-30,92.7
2013-07-31,89.4
2013-08-01,89.55
2013-08-02,89.3
2013-08-05,89.9
2013-08-06,86.9
2013-08-07,87.9
2013-08-08,89.95
2013-08-12,90.95
2013-08-13,92.05
2013-08-14,94.1
2013-08-16,90.95
2013-08-19,92.55
2013-08-20,94.75
2013-08-21,95.2
2013-08-22,95.05
2013-08-23,95.4
2013-08-26,95.9
2013-08-27,93.65
2013-08-28,90.7
2013-08-29,91.15
2013-08-30,93.6
2013-09-02,94.55
2013-09-03,94.0
2013-09-04,93.7
2013-09-05,95.2
2013-09-06,95.55
2013-09-10,94.8
2013-09-11,96.0
2013-09-12,94.95
2013-09-13,95.65
2013-09-16,94.25
2013-09-17,93.35
2013-09-18,93.55
2013-09-19,95.15
2013-09-20,95.45
2013-09-23,94.95
2013-09-24,96.0
2013-09-25,95.05
2013-09-26,95.3
2013-09-27,95.8
2013-09-30,92.65
2013-10-01,94.5
2013-10-03,92.65
2013-10-04,94.8
2013-10-07,100.8
2013-10-08,101.3
2013-10-09,100.3
2013-10-10,101.9
2013-10-11,102.25
2013-10-14,101.65
2013-10-15,101.85
2013-10-17,100.65
2013-10-18,108.45
2013-10-21,105.85
2013-10-22,106.85
2013-10-23,105.7
2013-10-24,106.55
2013-10-25,108.15
2013-10-28,108.9
2013-10-29,109.9
2013-10-30,107.25
2013-10-31,107.3
2013-11-01,108.15
2013-11-03,109.1
2013-11-05,109.55
2013-11-06,109.65
2013-11-07,110.8
2013-11-08,110.0
2013-11-11,109.2
2013-11-12,113.35
2013-11-13,116.3
2013-11-14,120.95
2013-11-18,131.35
2013-11-19,130.55
2013-11-20,122.25
2013-11-21,120.05
2013-11-22,120.35
2013-11-25,120.05
2013-11-26,117.45
2013-11-27,118.65
2013-11-28,120.6
2013-11-29,121.0
2013-12-02,119.75
2013-12-03,122.25
2013-12-04,122.05
2013-12-05,122.9
2013-12-06,123.2
2013-12-09,130.45
2013-12-10,126.75
2013-12-11,127.9
2013-12-12,127.65
2013-12-13,127.9
2013-12-16,127.45
2013-12-17,128.3
2013-12-18,128.95
2013-12-19,132.25
2013-12-20,131.7
2013-12-23,132.85
2013-12-24,130.55
2013-12-26,133.2
2013-12-27,132.5
2013-12-30,132.2
2013-12-31,132.35
