Date,FLEXITUFF
2013-01-01,204.1
2013-01-02,201.55
2013-01-03,208.0
2013-01-04,212.65
2013-01-07,213.35
2013-01-08,211.65
2013-01-09,210.8
2013-01-10,214.85
2013-01-11,210.45
2013-01-14,215.8
2013-01-15,217.35
2013-01-16,215.55
2013-01-17,218.25
2013-01-18,219.3
2013-01-21,219.15
2013-01-22,216.4
2013-01-23,216.5
2013-01-24,217.5
2013-01-25,218.45
2013-01-28,217.75
2013-01-29,216.4
2013-01-30,217.35
2013-01-31,215.9
2013-02-01,209.5
2013-02-04,209.75
2013-02-05,215.7
2013-02-06,225.25
2013-02-07,232.0
2013-02-08,219.55
2013-02-11,212.35
2013-02-12,208.65
2013-02-13,208.75
2013-02-14,207.05
2013-02-15,203.95
2013-02-18,207.3
2013-02-19,208.8
2013-02-20,213.45
2013-02-21,206.8
2013-02-22,205.2
2013-02-25,165.1
2013-02-26,159.05
2013-02-27,146.75
2013-02-28,154.3
2013-03-01,169.55
2013-03-04,183.0
2013-03-05,200.7
2013-03-06,207.15
2013-03-07,215.15
2013-03-08,223.55
2013-03-11,225.75
2013-03-12,225.05
2013-03-13,219.3
2013-03-14,226.85
2013-03-15,237.3
2013-03-18,229.0
2013-03-19,225.7
2013-03-20,226.95
2013-03-21,229.15
2013-03-22,225.9
2013-03-25,222.9
2013-03-26,222.4
2013-03-28,219.3
2013-04-01,220.45
2013-04-02,220.1
2013-04-03,219.85
2013-04-04,220.2
2013-04-05,221.15
2013-04-08,219.7
2013-04-09,219.95
2013-04-10,223.3
2013-04-11,215.6
2013-04-12,220.25
2013-04-15,219.9
2013-04-16,222.1
2013-04-17,218.95
2013-04-18,220.75
2013-04-22,221.5
2013-04-23,220.8
2013-04-25,220.85
2013-04-26,222.3
2013-04-29,225.55
2013-04-30,223.5
2013-05-02,219.65
2013-05-03,220.8
2013-05-06,220.0
2013-05-07,221.2
2013-05-08,221.6
2013-05-09,222.4
2013-05-10,223.2
2013-05-11,223.45
2013-05-13,223.0
2013-05-14,222.0
2013-05-15,221.8
2013-05-16,222.35
2013-05-17,221.3
2013-05-20,221.75
2013-05-21,223.4
2013-05-22,225.05
2013-05-23,224.75
2013-05-24,224.4
2013-05-27,224.35
2013-05-28,223.2
2013-05-29,222.7
2013-05-30,223.5
2013-05-31,222.6
2013-06-03,221.15
2013-06-04,221.05
2013-06-05,226.7
2013-06-06,223.7
2013-06-07,223.95
2013-06-10,222.85
2013-06-11,223.0
2013-06-12,222.85
2013-06-13,222.85
2013-06-14,226.0
2013-06-17,223.05
2013-06-18,223.7
2013-06-19,224.15
2013-06-20,223.0
2013-06-21,223.0
2013-06-24,226.0
2013-06-25,205.95
2013-06-26,222.5
2013-06-27,223.95
2013-06-28,223.7
2013-07-01,222.4
2013-07-02,223.1
2013-07-03,222.3
2013-07-04,224.65
2013-07-05,224.0
2013-07-08,223.6
2013-07-09,223.4
2013-07-10,218.8
2013-07-11,217.8
2013-07-12,217.3
2013-07-15,218.15
2013-07-16,217.55
2013-07-17,216.1
2013-07-18,218.55
2013-07-19,217.8
2013-07-22,217.4
2013-07-23,219.1
2013-07-24,215.15
2013-07-25,216.45
2013-07-26,212.75
2013-07-29,215.2
2013-07-30,216.8
2013-07-31,216.35
2013-08-01,214.55
2013-08-02,210.75
2013-08-05,209.85
2013-08-06,208.25
2013-08-07,209.4
2013-08-08,209.45
2013-08-12,211.5
2013-08-13,212.3
2013-08-14,211.5
2013-08-16,209.8
2013-08-19,210.95
2013-08-20,210.3
2013-08-21,209.9
2013-08-22,213.35
2013-08-23,210.05
2013-08-26,209.05
2013-08-27,208.85
2013-08-28,208.0
2013-08-29,209.9
2013-08-30,210.9
2013-09-02,225.75
2013-09-03,224.4
2013-09-04,227.4
2013-09-05,229.85
2013-09-06,230.65
2013-09-10,231.45
2013-09-11,224.9
2013-09-12,222.7
2013-09-13,220.0
2013-09-16,219.0
2013-09-17,218.95
2013-09-18,218.25
2013-09-19,218.05
2013-09-20,219.8
2013-09-23,224.25
2013-09-24,220.0
2013-09-25,216.8
2013-09-26,220.45
2013-09-27,220.1
2013-09-30,220.25
2013-10-01,220.5
2013-10-03,219.25
2013-10-04,219.1
2013-10-07,219.05
2013-10-08,222.0
2013-10-09,221.3
2013-10-10,219.35
2013-10-11,222.65
2013-10-14,218.3
2013-10-15,219.95
2013-10-17,218.65
2013-10-18,221.75
2013-10-21,219.6
2013-10-22,219.0
2013-10-23,217.7
2013-10-24,217.35
2013-10-25,218.55
2013-10-28,214.0
2013-10-29,181.05
2013-10-30,215.75
2013-10-31,211.8
2013-11-01,213.9
2013-11-03,229.7
2013-11-05,240.4
2013-11-06,229.75
2013-11-07,229.95
2013-11-08,231.25
2013-11-11,228.75
2013-11-12,223.05
2013-11-13,223.9
2013-11-14,223.8
2013-11-18,220.2
2013-11-19,214.5
2013-11-20,220.9
2013-11-21,220.0
2013-11-22,219.75
2013-11-25,219.3
2013-11-26,218.0
2013-11-27,220.1
2013-11-28,223.95
2013-11-29,222.65
2013-12-02,221.25
2013-12-03,220.35
2013-12-04,220.15
2013-12-05,221.2
2013-12-06,222.6
2013-12-09,222.45
2013-12-10,224.9
2013-12-11,222.7
2013-12-12,219.95
2013-12-13,218.55
2013-12-16,221.25
2013-12-17,220.55
2013-12-18,220.55
2013-12-19,220.5
2013-12-20,220.1
2013-12-23,219.7
2013-12-24,221.8
2013-12-26,224.7
2013-12-27,224.85
2013-12-30,226.15
2013-12-31,235.55
