Date,SHREECEM
2013-01-01,4609.45
2013-01-02,4588.3
2013-01-03,4610.15
2013-01-04,4596.4
2013-01-07,4532.75
2013-01-08,4544.05
2013-01-09,4511.05
2013-01-10,4471.8
2013-01-11,4371.5
2013-01-14,4421.8
2013-01-15,4525.85
2013-01-16,4475.4
2013-01-17,4401.9
2013-01-18,4537.3
2013-01-21,4478.85
2013-01-22,4465.1
2013-01-23,4525.2
2013-01-24,4530.8
2013-01-25,4446.95
2013-01-28,4511.05
2013-01-29,4350.05
2013-01-30,4353.75
2013-01-31,4468.6
2013-02-01,4414.65
2013-02-04,4394.1
2013-02-05,4487.0
2013-02-06,4452.55
2013-02-07,4482.2
2013-02-08,4455.35
2013-02-11,4401.85
2013-02-12,4425.75
2013-02-13,4524.0
2013-02-14,4498.45
2013-02-15,4420.15
2013-02-18,4392.25
2013-02-19,4386.45
2013-02-20,4397.65
2013-02-21,4351.75
2013-02-22,4384.6
2013-02-25,4354.6
2013-02-26,4332.75
2013-02-27,4318.5
2013-02-28,4357.55
2013-03-01,4323.75
2013-03-04,4173.9
2013-03-05,4206.95
2013-03-06,4194.2
2013-03-07,4255.9
2013-03-08,4203.2
2013-03-11,4355.6
2013-03-12,4386.15
2013-03-13,4302.2
2013-03-14,4237.25
2013-03-15,4187.8
2013-03-18,4103.15
2013-03-19,4158.5
2013-03-20,4177.05
2013-03-21,4100.4
2013-03-22,4012.45
2013-03-25,4014.95
2013-03-26,4087.15
2013-03-28,4043.4
2013-04-01,4219.45
2013-04-02,4214.25
2013-04-03,4193.1
2013-04-04,4041.45
2013-04-05,3983.85
2013-04-08,3999.85
2013-04-09,4019.1
2013-04-10,4024.95
2013-04-11,4091.8
2013-04-12,4113.25
2013-04-15,4042.05
2013-04-16,4128.3
2013-04-17,4330.05
2013-04-18,4337.15
2013-04-22,4364.95
2013-04-23,4342.5
2013-04-25,4366.3
2013-04-26,4303.7
2013-04-29,4414.0
2013-04-30,4501.8
2013-05-02,4634.9
2013-05-03,4668.7
2013-05-06,4635.55
2013-05-07,4631.1
2013-05-08,4652.55
2013-05-09,4674.7
2013-05-10,4600.65
2013-05-11,4605.6
2013-05-13,4661.8
2013-05-14,4634.25
2013-05-15,4702.75
2013-05-16,4795.05
2013-05-17,4937.65
2013-05-20,4987.7
2013-05-21,4783.95
2013-05-22,4919.35
2013-05-23,4948.2
2013-05-24,4923.4
2013-05-27,4956.15
2013-05-28,4995.5
2013-05-29,4962.75
2013-05-30,4848.35
2013-05-31,4957.35
2013-06-03,4877.65
2013-06-04,4760.5
2013-06-05,4701.4
2013-06-06,4689.35
2013-06-07,4715.6
2013-06-10,4733.6
2013-06-11,4716.65
2013-06-12,4648.85
2013-06-13,4630.75
2013-06-14,4709.5
2013-06-17,4857.05
2013-06-18,4780.6
2013-06-19,4734.0
2013-06-20,4672.85
2013-06-21,4643.25
2013-06-24,4503.1
2013-06-25,4412.35
2013-06-26,4429.9
2013-06-27,4478.45
2013-06-28,4667.2
2013-07-01,4749.65
2013-07-02,4706.35
2013-07-03,4605.75
2013-07-04,4554.0
2013-07-05,4624.8
2013-07-08,4561.3
2013-07-09,4560.7
2013-07-10,4553.85
2013-07-11,4535.1
2013-07-12,4535.95
2013-07-15,4523.65
2013-07-16,4449.75
2013-07-17,4510.65
2013-07-18,4493.9
2013-07-19,4450.95
2013-07-22,4499.05
2013-07-23,4551.6
2013-07-24,4419.4
2013-07-25,4446.15
2013-07-26,4399.9
2013-07-29,4359.05
2013-07-30,4302.1
2013-07-31,4354.75
2013-08-01,4344.95
2013-08-02,4195.0
2013-08-05,4174.55
2013-08-06,4038.7
2013-08-07,3859.0
2013-08-08,3823.65
2013-08-12,3922.0
2013-08-13,3946.55
2013-08-14,4070.3
2013-08-16,3936.85
2013-08-19,3824.35
2013-08-20,3800.15
2013-08-21,3725.55
2013-08-22,3680.85
2013-08-23,3630.4
2013-08-26,3616.9
2013-08-27,3600.05
2013-08-28,3486.6
2013-08-29,3537.75
2013-08-30,3595.8
2013-09-02,3557.5
2013-09-03,3582.25
2013-09-04,3635.3
2013-09-05,3820.9
2013-09-06,3799.1
2013-09-10,3878.1
2013-09-11,3981.5
2013-09-12,3887.3
2013-09-13,3815.05
2013-09-16,3923.6
2013-09-17,3949.9
2013-09-18,3981.1
2013-09-19,4170.4
2013-09-20,4202.05
2013-09-23,4149.05
2013-09-24,4092.15
2013-09-25,4027.45
2013-09-26,4054.65
2013-09-27,3998.75
2013-09-30,4123.65
2013-10-01,4168.7
2013-10-03,4305.75
2013-10-04,4402.1
2013-10-07,4398.3
2013-10-08,4304.65
2013-10-09,4345.8
2013-10-10,4330.85
2013-10-11,4378.45
2013-10-14,4380.85
2013-10-15,4484.75
2013-10-17,4471.35
2013-10-18,4535.7
2013-10-21,4482.45
2013-10-22,4426.25
2013-10-23,4490.8
2013-10-24,4457.4
2013-10-25,4430.65
2013-10-28,4436.75
2013-10-29,4436.5
2013-10-30,4413.85
2013-10-31,4435.35
2013-11-01,4400.3
2013-11-03,4432.8
2013-11-05,4401.95
2013-11-06,4425.85
2013-11-07,4452.85
2013-11-08,4420.15
2013-11-11,4391.55
2013-11-12,4380.6
2013-11-13,4321.95
2013-11-14,4307.5
2013-11-18,4313.95
2013-11-19,4343.5
2013-11-20,4335.6
2013-11-21,4286.7
2013-11-22,4289.95
2013-11-25,4364.35
2013-11-26,4350.0
2013-11-27,4359.35
2013-11-28,4355.8
2013-11-29,4371.0
2013-12-02,4355.9
2013-12-03,4401.55
2013-12-04,4336.45
2013-12-05,4317.5
2013-12-06,4296.15
2013-12-09,4369.05
2013-12-10,4321.6
2013-12-11,4322.35
2013-12-12,4301.3
2013-12-13,4367.25
2013-12-16,4299.95
2013-12-17,4326.7
2013-12-18,4400.95
2013-12-19,4341.95
2013-12-20,4315.35
2013-12-23,4347.4
2013-12-24,4386.15
2013-12-26,4401.5
2013-12-27,4399.1
2013-12-30,4350.65
2013-12-31,4342.2
