Date,TORNTPHARM
2013-01-01,729.2
2013-01-02,728.3
2013-01-03,723.95
2013-01-04,726.9
2013-01-07,729.1
2013-01-08,744.3
2013-01-09,751.0
2013-01-10,745.0
2013-01-11,748.75
2013-01-14,744.5
2013-01-15,742.4
2013-01-16,740.05
2013-01-17,740.3
2013-01-18,731.4
2013-01-21,730.75
2013-01-22,731.25
2013-01-23,727.8
2013-01-24,713.75
2013-01-25,743.45
2013-01-28,735.85
2013-01-29,727.3
2013-01-30,711.45
2013-01-31,700.15
2013-02-01,694.6
2013-02-04,681.4
2013-02-05,679.45
2013-02-06,679.95
2013-02-07,683.45
2013-02-08,682.2
2013-02-11,687.85
2013-02-12,692.85
2013-02-13,697.4
2013-02-14,695.65
2013-02-15,698.75
2013-02-18,695.45
2013-02-19,712.35
2013-02-20,713.1
2013-02-21,705.35
2013-02-22,698.25
2013-02-25,699.4
2013-02-26,695.1
2013-02-27,687.85
2013-02-28,671.65
2013-03-01,687.0
2013-03-04,677.1
2013-03-05,684.2
2013-03-06,685.65
2013-03-07,684.7
2013-03-08,692.2
2013-03-11,691.25
2013-03-12,678.95
2013-03-13,669.7
2013-03-14,657.0
2013-03-15,681.5
2013-03-18,678.85
2013-03-19,675.7
2013-03-20,675.0
2013-03-21,681.0
2013-03-22,680.75
2013-03-25,685.85
2013-03-26,697.35
2013-03-28,695.55
2013-04-01,684.25
2013-04-02,696.4
2013-04-03,698.25
2013-04-04,697.5
2013-04-05,695.4
2013-04-08,687.95
2013-04-09,688.75
2013-04-10,686.7
2013-04-11,684.55
2013-04-12,675.95
2013-04-15,680.8
2013-04-16,675.0
2013-04-17,678.0
2013-04-18,679.1
2013-04-22,680.3
2013-04-23,675.8
2013-04-25,678.5
2013-04-26,685.0
2013-04-29,691.85
2013-04-30,689.75
2013-05-02,687.8
2013-05-03,677.55
2013-05-06,674.05
2013-05-07,678.4
2013-05-08,683.2
2013-05-09,702.15
2013-05-10,700.45
2013-05-11,704.8
2013-05-13,700.05
2013-05-14,718.95
2013-05-15,719.9
2013-05-16,737.85
2013-05-17,741.85
2013-05-20,726.75
2013-05-21,720.45
2013-05-22,720.7
2013-05-23,714.8
2013-05-24,727.7
2013-05-27,740.0
2013-05-28,739.0
2013-05-29,736.1
2013-05-30,716.65
2013-05-31,788.15
2013-06-03,823.15
2013-06-04,832.5
2013-06-05,817.15
2013-06-06,815.8
2013-06-07,815.0
2013-06-10,795.55
2013-06-11,783.9
2013-06-12,782.1
2013-06-13,812.3
2013-06-14,820.05
2013-06-17,817.15
2013-06-18,827.25
2013-06-19,845.8
2013-06-20,840.2
2013-06-21,838.15
2013-06-24,827.35
2013-06-25,821.85
2013-06-26,820.95
2013-06-27,816.6
2013-06-28,822.25
2013-07-01,817.7
2013-07-02,819.45
2013-07-03,823.1
2013-07-04,835.0
2013-07-05,855.7
2013-07-08,872.45
2013-07-09,865.35
2013-07-10,889.5
2013-07-11,895.2
2013-07-12,895.5
2013-07-15,894.0
2013-07-16,881.85
2013-07-17,893.95
2013-07-18,899.45
2013-07-19,885.65
2013-07-22,871.7
2013-07-23,440.5
2013-07-24,439.55
2013-07-25,421.25
2013-07-26,410.45
2013-07-29,421.05
2013-07-30,428.95
2013-07-31,428.95
2013-08-01,438.15
2013-08-02,447.75
2013-08-05,457.05
2013-08-06,446.75
2013-08-07,434.55
2013-08-08,420.55
2013-08-12,417.55
2013-08-13,422.6
2013-08-14,429.7
2013-08-16,421.3
2013-08-19,410.3
2013-08-20,395.5
2013-08-21,394.85
2013-08-22,390.9
2013-08-23,395.15
2013-08-26,399.95
2013-08-27,402.9
2013-08-28,398.2
2013-08-29,400.0
2013-08-30,407.6
2013-09-02,408.15
2013-09-03,403.7
2013-09-04,421.9
2013-09-05,427.6
2013-09-06,433.55
2013-09-10,436.45
2013-09-11,433.95
2013-09-12,436.6
2013-09-13,440.6
2013-09-16,458.25
2013-09-17,449.9
2013-09-18,442.75
2013-09-19,444.8
2013-09-20,444.85
2013-09-23,435.55
2013-09-24,441.2
2013-09-25,442.85
2013-09-26,437.8
2013-09-27,439.8
2013-09-30,438.2
2013-10-01,440.1
2013-10-03,442.0
2013-10-04,445.05
2013-10-07,438.25
2013-10-08,444.7
2013-10-09,441.65
2013-10-10,440.3
2013-10-11,433.5
2013-10-14,424.95
2013-10-15,418.0
2013-10-17,429.0
2013-10-18,425.55
2013-10-21,427.9
2013-10-22,428.4
2013-10-23,420.4
2013-10-24,417.25
2013-10-25,413.8
2013-10-28,415.3
2013-10-29,416.5
2013-10-30,424.9
2013-10-31,451.5
2013-11-01,461.6
2013-11-03,462.85
2013-11-05,486.55
2013-11-06,486.55
2013-11-07,482.6
2013-11-08,482.15
2013-11-11,478.55
2013-11-12,467.55
2013-11-13,470.65
2013-11-14,459.25
2013-11-18,468.35
2013-11-19,464.4
2013-11-20,468.25
2013-11-21,464.45
2013-11-22,461.75
2013-11-25,462.15
2013-11-26,466.35
2013-11-27,469.45
2013-11-28,465.55
2013-11-29,462.05
2013-12-02,470.15
2013-12-03,482.05
2013-12-04,483.45
2013-12-05,483.45
2013-12-06,494.05
2013-12-09,488.8
2013-12-10,491.4
2013-12-11,502.65
2013-12-12,501.5
2013-12-13,479.65
2013-12-16,471.85
2013-12-17,465.4
2013-12-18,476.7
2013-12-19,474.8
2013-12-20,480.25
2013-12-23,480.6
2013-12-24,479.95
2013-12-26,477.55
2013-12-27,474.9
2013-12-30,474.95
2013-12-31,472.25
