Date,GABRIEL
2013-01-01,28.25
2013-01-02,28.65
2013-01-03,28.35
2013-01-04,28.2
2013-01-07,27.85
2013-01-08,28.25
2013-01-09,27.7
2013-01-10,27.5
2013-01-11,27.25
2013-01-14,27.35
2013-01-15,27.35
2013-01-16,27.0
2013-01-17,26.65
2013-01-18,26.55
2013-01-21,26.7
2013-01-22,26.4
2013-01-23,25.85
2013-01-24,25.25
2013-01-25,25.55
2013-01-28,25.3
2013-01-29,25.5
2013-01-30,25.45
2013-01-31,25.1
2013-02-01,25.15
2013-02-04,25.0
2013-02-05,24.9
2013-02-06,24.95
2013-02-07,24.95
2013-02-08,24.7
2013-02-11,24.75
2013-02-12,23.75
2013-02-13,23.25
2013-02-14,22.85
2013-02-15,22.6
2013-02-18,22.25
2013-02-19,22.4
2013-02-20,22.75
2013-02-21,22.7
2013-02-22,22.4
2013-02-25,22.2
2013-02-26,21.6
2013-02-27,21.9
2013-02-28,21.75
2013-03-01,21.5
2013-03-04,20.6
2013-03-05,21.7
2013-03-06,22.15
2013-03-07,22.1
2013-03-08,22.2
2013-03-11,22.35
2013-03-12,22.1
2013-03-13,21.65
2013-03-14,21.05
2013-03-15,20.9
2013-03-18,20.7
2013-03-19,20.35
2013-03-20,20.05
2013-03-21,19.45
2013-03-22,19.1
2013-03-25,19.05
2013-03-26,18.85
2013-03-28,19.15
2013-04-01,19.4
2013-04-02,20.45
2013-04-03,20.65
2013-04-04,20.2
2013-04-05,19.15
2013-04-08,19.4
2013-04-09,19.1
2013-04-10,18.8
2013-04-11,19.0
2013-04-12,18.95
2013-04-15,18.95
2013-04-16,19.15
2013-04-17,19.0
2013-04-18,18.95
2013-04-22,19.1
2013-04-23,20.55
2013-04-25,22.35
2013-04-26,22.95
2013-04-29,21.95
2013-04-30,23.4
2013-05-02,22.6
2013-05-03,22.65
2013-05-06,22.35
2013-05-07,21.8
2013-05-08,21.9
2013-05-09,21.55
2013-05-10,21.5
2013-05-11,21.8
2013-05-13,21.5
2013-05-14,21.6
2013-05-15,21.5
2013-05-16,21.25
2013-05-17,21.35
2013-05-20,21.6
2013-05-21,21.25
2013-05-22,21.15
2013-05-23,20.75
2013-05-24,20.3
2013-05-27,20.45
2013-05-28,20.45
2013-05-29,20.05
2013-05-30,19.9
2013-05-31,19.85
2013-06-03,19.3
2013-06-04,18.8
2013-06-05,18.9
2013-06-06,19.2
2013-06-07,19.0
2013-06-10,19.2
2013-06-11,18.75
2013-06-12,19.3
2013-06-13,20.1
2013-06-14,20.15
2013-06-17,20.6
2013-06-18,20.45
2013-06-19,20.35
2013-06-20,20.25
2013-06-21,19.5
2013-06-24,18.7
2013-06-25,18.45
2013-06-26,18.4
2013-06-27,18.25
2013-06-28,18.55
2013-07-01,18.9
2013-07-02,18.6
2013-07-03,18.9
2013-07-04,18.9
2013-07-05,18.9
2013-07-08,18.45
2013-07-09,18.6
2013-07-10,18.25
2013-07-11,18.5
2013-07-12,18.55
2013-07-15,18.65
2013-07-16,18.55
2013-07-17,18.6
2013-07-18,18.9
2013-07-19,18.5
2013-07-22,19.8
2013-07-23,18.8
2013-07-24,18.5
2013-07-25,21.4
2013-07-26,20.0
2013-07-29,18.4
2013-07-30,18.2
2013-07-31,18.2
2013-08-01,17.85
2013-08-02,17.05
2013-08-05,16.55
2013-08-06,16.75
2013-08-07,17.0
2013-08-08,17.5
2013-08-12,18.5
2013-08-13,18.45
2013-08-14,18.1
2013-08-16,17.4
2013-08-19,17.05
2013-08-20,17.0
2013-08-21,16.4
2013-08-22,16.45
2013-08-23,16.5
2013-08-26,16.95
2013-08-27,16.7
2013-08-28,16.45
2013-08-29,16.7
2013-08-30,16.45
2013-09-02,16.85
2013-09-03,16.7
2013-09-04,16.75
2013-09-05,17.1
2013-09-06,17.35
2013-09-10,17.75
2013-09-11,17.75
2013-09-12,17.65
2013-09-13,17.65
2013-09-16,17.45
2013-09-17,17.25
2013-09-18,17.2
2013-09-19,17.5
2013-09-20,17.15
2013-09-23,17.1
2013-09-24,17.0
2013-09-25,16.9
2013-09-26,17.1
2013-09-27,17.05
2013-09-30,17.0
2013-10-01,19.15
2013-10-03,18.3
2013-10-04,18.45
2013-10-07,18.5
2013-10-08,18.65
2013-10-09,18.7
2013-10-10,20.3
2013-10-11,20.1
2013-10-14,20.75
2013-10-15,19.75
2013-10-17,19.55
2013-10-18,19.5
2013-10-21,19.9
2013-10-22,20.95
2013-10-23,20.55
2013-10-24,20.0
2013-10-25,19.95
2013-10-28,20.4
2013-10-29,20.05
2013-10-30,19.65
2013-10-31,20.65
2013-11-01,20.65
2013-11-03,20.55
2013-11-05,20.55
2013-11-06,22.05
2013-11-07,21.25
2013-11-08,21.85
2013-11-11,21.95
2013-11-12,22.55
2013-11-13,21.8
2013-11-14,21.15
2013-11-18,21.5
2013-11-19,21.35
2013-11-20,21.55
2013-11-21,24.5
2013-11-22,23.45
2013-11-25,23.8
2013-11-26,23.35
2013-11-27,22.9
2013-11-28,23.05
2013-11-29,23.85
2013-12-02,24.3
2013-12-03,23.8
2013-12-04,23.85
2013-12-05,23.65
2013-12-06,23.9
2013-12-09,23.1
2013-12-10,22.8
2013-12-11,23.75
2013-12-12,23.3
2013-12-13,22.55
2013-12-16,22.25
2013-12-17,22.15
2013-12-18,21.95
2013-12-19,21.8
2013-12-20,23.2
2013-12-23,22.7
2013-12-24,25.35
2013-12-26,25.35
2013-12-27,24.25
2013-12-30,24.95
2013-12-31,24.95
