Date,LYKALABS
2013-01-01,11.6
2013-01-02,11.75
2013-01-03,11.7
2013-01-04,11.9
2013-01-07,11.95
2013-01-08,12.05
2013-01-09,12.4
2013-01-10,12.05
2013-01-11,11.55
2013-01-14,12.35
2013-01-15,11.8
2013-01-16,11.45
2013-01-17,11.3
2013-01-18,11.25
2013-01-21,11.05
2013-01-22,11.1
2013-01-23,10.65
2013-01-24,10.35
2013-01-25,10.35
2013-01-28,10.55
2013-01-29,10.2
2013-01-30,10.1
2013-01-31,10.65
2013-02-01,10.15
2013-02-04,10.5
2013-02-05,10.55
2013-02-06,10.65
2013-02-07,10.4
2013-02-08,10.4
2013-02-11,10.75
2013-02-12,10.45
2013-02-13,10.6
2013-02-14,10.6
2013-02-15,10.55
2013-02-18,10.85
2013-02-19,10.55
2013-02-20,11.0
2013-02-21,11.1
2013-02-22,10.6
2013-02-25,10.3
2013-02-26,10.4
2013-02-27,10.05
2013-02-28,9.95
2013-03-01,9.75
2013-03-04,9.8
2013-03-05,10.15
2013-03-06,9.65
2013-03-07,9.8
2013-03-08,10.5
2013-03-11,10.45
2013-03-12,10.5
2013-03-13,9.9
2013-03-14,9.9
2013-03-15,9.35
2013-03-18,9.3
2013-03-19,9.05
2013-03-20,9.0
2013-03-21,9.0
2013-03-22,8.8
2013-03-25,8.7
2013-03-26,8.8
2013-03-28,9.1
2013-04-01,9.2
2013-04-02,9.2
2013-04-03,9.4
2013-04-04,8.95
2013-04-05,9.2
2013-04-08,9.05
2013-04-09,9.2
2013-04-10,9.7
2013-04-11,9.55
2013-04-12,9.3
2013-04-15,9.35
2013-04-16,9.15
2013-04-17,9.55
2013-04-18,9.35
2013-04-22,9.5
2013-04-23,9.25
2013-04-25,9.2
2013-04-26,9.2
2013-04-29,9.0
2013-04-30,9.25
2013-05-02,9.4
2013-05-03,9.15
2013-05-06,9.1
2013-05-07,9.25
2013-05-08,9.3
2013-05-09,9.4
2013-05-10,9.6
2013-05-11,9.2
2013-05-13,9.25
2013-05-14,9.3
2013-05-15,9.3
2013-05-16,9.2
2013-05-17,9.35
2013-05-20,9.15
2013-05-21,9.45
2013-05-22,9.65
2013-05-23,9.35
2013-05-24,9.55
2013-05-27,9.95
2013-05-28,9.4
2013-05-29,9.4
2013-05-30,9.55
2013-05-31,9.65
2013-06-03,9.95
2013-06-04,9.8
2013-06-05,9.7
2013-06-06,10.0
2013-06-07,10.15
2013-06-10,10.75
2013-06-11,9.65
2013-06-12,10.15
2013-06-13,10.0
2013-06-14,9.7
2013-06-17,10.2
2013-06-18,10.9
2013-06-19,10.7
2013-06-20,10.5
2013-06-21,10.45
2013-06-24,9.9
2013-06-25,9.85
2013-06-26,10.15
2013-06-27,10.65
2013-06-28,10.45
2013-07-01,10.45
2013-07-02,10.6
2013-07-03,10.3
2013-07-04,10.05
2013-07-05,9.6
2013-07-08,9.5
2013-07-09,9.5
2013-07-10,9.4
2013-07-11,9.8
2013-07-12,10.1
2013-07-15,11.95
2013-07-16,12.85
2013-07-17,13.2
2013-07-18,12.2
2013-07-19,11.8
2013-07-22,11.3
2013-07-23,11.3
2013-07-24,10.6
2013-07-25,10.35
2013-07-26,9.9
2013-07-29,10.65
2013-07-30,10.35
2013-07-31,9.55
2013-08-01,9.25
2013-08-02,8.95
2013-08-05,8.85
2013-08-06,8.9
2013-08-07,9.3
2013-08-08,9.9
2013-08-12,10.15
2013-08-13,10.2
2013-08-14,10.35
2013-08-16,9.5
2013-08-19,9.3
2013-08-20,9.4
2013-08-21,9.55
2013-08-22,9.35
2013-08-23,9.4
2013-08-26,9.25
2013-08-27,9.05
2013-08-28,8.9
2013-08-29,9.0
2013-08-30,9.3
2013-09-02,9.3
2013-09-03,9.1
2013-09-04,9.4
2013-09-05,9.3
2013-09-06,9.4
2013-09-10,9.75
2013-09-11,9.65
2013-09-12,10.2
2013-09-13,10.1
2013-09-16,9.8
2013-09-17,9.55
2013-09-18,9.55
2013-09-19,9.8
2013-09-20,9.7
2013-09-23,9.7
2013-09-24,9.4
2013-09-25,9.6
2013-09-26,9.3
2013-09-27,9.35
2013-09-30,9.2
2013-10-01,9.4
2013-10-03,9.3
2013-10-04,9.2
2013-10-07,9.25
2013-10-08,9.25
2013-10-09,9.3
2013-10-10,9.6
2013-10-11,9.65
2013-10-14,9.3
2013-10-15,9.35
2013-10-17,9.3
2013-10-18,9.45
2013-10-21,9.4
2013-10-22,9.6
2013-10-23,10.05
2013-10-24,9.8
2013-10-25,9.6
2013-10-28,9.2
2013-10-29,9.35
2013-10-30,9.3
2013-10-31,9.25
2013-11-01,9.25
2013-11-03,9.55
2013-11-05,9.3
2013-11-06,9.35
2013-11-07,10.7
2013-11-08,9.7
2013-11-11,10.0
2013-11-12,10.05
2013-11-13,9.75
2013-11-14,10.1
2013-11-18,10.2
2013-11-19,9.8
2013-11-20,9.95
2013-11-21,9.8
2013-11-22,9.45
2013-11-25,9.45
2013-11-26,9.8
2013-11-27,9.6
2013-11-28,9.55
2013-11-29,9.6
2013-12-02,9.4
2013-12-03,9.4
2013-12-04,9.5
2013-12-05,9.5
2013-12-06,9.45
2013-12-09,9.45
2013-12-10,9.45
2013-12-11,10.4
2013-12-12,9.9
2013-12-13,9.8
2013-12-16,9.8
2013-12-17,9.75
2013-12-18,10.3
2013-12-19,10.3
2013-12-20,10.5
2013-12-23,10.25
2013-12-24,10.4
2013-12-26,10.95
2013-12-27,10.75
2013-12-30,11.55
2013-12-31,11.3
