Date,HFCL
2013-01-01,9.9
2013-01-02,10.15
2013-01-03,10.15
2013-01-04,10.1
2013-01-07,10.7
2013-01-08,10.45
2013-01-09,10.3
2013-01-10,10.1
2013-01-11,10.05
2013-01-14,10.15
2013-01-15,10.25
2013-01-16,10.0
2013-01-17,10.05
2013-01-18,10.0
2013-01-21,9.95
2013-01-22,10.0
2013-01-23,9.8
2013-01-24,9.65
2013-01-25,9.65
2013-01-28,9.55
2013-01-29,9.65
2013-01-30,9.55
2013-01-31,9.5
2013-02-01,9.3
2013-02-04,9.25
2013-02-05,9.25
2013-02-06,9.25
2013-02-07,9.15
2013-02-08,9.1
2013-02-11,9.0
2013-02-12,8.75
2013-02-13,8.9
2013-02-14,8.85
2013-02-15,8.6
2013-02-18,8.5
2013-02-19,8.7
2013-02-20,8.55
2013-02-21,8.6
2013-02-22,8.45
2013-02-25,8.25
2013-02-26,8.3
2013-02-27,8.35
2013-02-28,8.25
2013-03-01,8.2
2013-03-04,7.85
2013-03-05,7.7
2013-03-06,8.5
2013-03-07,8.6
2013-03-08,8.3
2013-03-11,9.65
2013-03-12,9.15
2013-03-13,8.9
2013-03-14,8.9
2013-03-15,8.65
2013-03-18,8.55
2013-03-19,8.2
2013-03-20,7.9
2013-03-21,7.9
2013-03-22,7.75
2013-03-25,7.7
2013-03-26,8.05
2013-03-28,8.2
2013-04-01,8.35
2013-04-02,8.95
2013-04-03,8.9
2013-04-04,8.95
2013-04-05,8.7
2013-04-08,8.8
2013-04-09,8.5
2013-04-10,8.55
2013-04-11,8.5
2013-04-12,8.2
2013-04-15,8.25
2013-04-16,8.0
2013-04-17,8.05
2013-04-18,8.0
2013-04-22,8.05
2013-04-23,9.15
2013-04-25,8.9
2013-04-26,8.9
2013-04-29,9.5
2013-04-30,9.0
2013-05-02,8.8
2013-05-03,8.55
2013-05-06,8.75
2013-05-07,8.95
2013-05-08,8.8
2013-05-09,8.85
2013-05-10,8.7
2013-05-11,8.7
2013-05-13,8.45
2013-05-14,8.55
2013-05-15,8.55
2013-05-16,8.45
2013-05-17,8.3
2013-05-20,8.3
2013-05-21,8.2
2013-05-22,8.15
2013-05-23,7.9
2013-05-24,7.8
2013-05-27,8.3
2013-05-28,8.15
2013-05-29,8.15
2013-05-30,8.0
2013-05-31,7.55
2013-06-03,7.6
2013-06-04,7.65
2013-06-05,7.8
2013-06-06,7.75
2013-06-07,7.55
2013-06-10,7.5
2013-06-11,7.45
2013-06-12,7.35
2013-06-13,7.25
2013-06-14,7.5
2013-06-17,7.5
2013-06-18,7.45
2013-06-19,7.85
2013-06-20,7.5
2013-06-21,7.8
2013-06-24,7.5
2013-06-25,7.4
2013-06-26,7.3
2013-06-27,7.25
2013-06-28,7.55
2013-07-01,7.7
2013-07-02,7.85
2013-07-03,7.6
2013-07-04,7.6
2013-07-05,7.55
2013-07-08,7.45
2013-07-09,7.6
2013-07-10,7.55
2013-07-11,7.85
2013-07-12,7.65
2013-07-15,7.6
2013-07-16,7.75
2013-07-17,7.9
2013-07-18,8.2
2013-07-19,8.05
2013-07-22,8.05
2013-07-23,7.85
2013-07-24,7.95
2013-07-25,7.85
2013-07-26,8.25
2013-07-29,8.0
2013-07-30,8.0
2013-07-31,7.8
2013-08-01,7.8
2013-08-02,7.75
2013-08-05,7.7
2013-08-06,7.5
2013-08-07,7.5
2013-08-08,7.5
2013-08-12,7.75
2013-08-13,7.8
2013-08-14,7.6
2013-08-16,7.5
2013-08-19,7.25
2013-08-20,7.2
2013-08-21,7.25
2013-08-22,7.2
2013-08-23,7.3
2013-08-26,7.3
2013-08-27,7.15
2013-08-28,7.1
2013-08-29,7.15
2013-08-30,7.2
2013-09-02,7.25
2013-09-03,7.05
2013-09-04,7.1
2013-09-05,7.2
2013-09-06,7.3
2013-09-10,7.2
2013-09-11,8.0
2013-09-12,7.9
2013-09-13,8.05
2013-09-16,7.85
2013-09-17,7.85
2013-09-18,7.95
2013-09-19,8.1
2013-09-20,7.85
2013-09-23,7.65
2013-09-24,7.55
2013-09-25,7.55
2013-09-26,7.6
2013-09-27,7.4
2013-09-30,7.3
2013-10-01,7.35
2013-10-03,7.6
2013-10-04,7.5
2013-10-07,7.4
2013-10-08,7.45
2013-10-09,7.65
2013-10-10,7.6
2013-10-11,7.6
2013-10-14,7.55
2013-10-15,7.6
2013-10-17,9.1
2013-10-18,8.5
2013-10-21,8.8
2013-10-22,9.25
2013-10-23,8.8
2013-10-24,8.85
2013-10-25,9.15
2013-10-28,9.0
2013-10-29,8.8
2013-10-30,8.65
2013-10-31,8.5
2013-11-01,8.65
2013-11-03,8.75
2013-11-05,8.65
2013-11-06,8.55
2013-11-07,8.35
2013-11-08,8.25
2013-11-11,8.1
2013-11-12,8.2
2013-11-13,8.25
2013-11-14,8.25
2013-11-18,8.3
2013-11-19,8.3
2013-11-20,8.1
2013-11-21,7.85
2013-11-22,7.75
2013-11-25,7.9
2013-11-26,7.75
2013-11-27,7.7
2013-11-28,7.65
2013-11-29,8.0
2013-12-02,8.25
2013-12-03,8.05
2013-12-04,8.0
2013-12-05,8.1
2013-12-06,7.95
2013-12-09,8.15
2013-12-10,8.15
2013-12-11,8.05
2013-12-12,7.85
2013-12-13,7.8
2013-12-16,7.8
2013-12-17,7.8
2013-12-18,7.8
2013-12-19,7.65
2013-12-20,7.75
2013-12-23,7.75
2013-12-24,8.2
2013-12-26,8.2
2013-12-27,8.1
2013-12-30,8.3
2013-12-31,8.3
