Date,MINDTREE
2013-01-01,691.0
2013-01-02,693.15
2013-01-03,694.05
2013-01-04,698.3
2013-01-07,693.95
2013-01-08,700.35
2013-01-09,713.75
2013-01-10,712.4
2013-01-11,733.8
2013-01-14,738.8
2013-01-15,740.95
2013-01-16,738.6
2013-01-17,744.75
2013-01-18,757.15
2013-01-21,792.35
2013-01-22,787.9
2013-01-23,792.1
2013-01-24,782.2
2013-01-25,782.5
2013-01-28,797.65
2013-01-29,798.6
2013-01-30,799.85
2013-01-31,788.7
2013-02-01,798.85
2013-02-04,793.05
2013-02-05,789.75
2013-02-06,792.95
2013-02-07,778.15
2013-02-08,780.65
2013-02-11,784.8
2013-02-12,785.45
2013-02-13,799.15
2013-02-14,796.95
2013-02-15,794.2
2013-02-18,798.15
2013-02-19,814.8
2013-02-20,837.3
2013-02-21,851.6
2013-02-22,856.15
2013-02-25,866.15
2013-02-26,861.55
2013-02-27,853.05
2013-02-28,860.2
2013-03-01,885.9
2013-03-04,884.25
2013-03-05,893.6
2013-03-06,874.95
2013-03-07,878.25
2013-03-08,883.1
2013-03-11,884.2
2013-03-12,878.15
2013-03-13,857.9
2013-03-14,858.55
2013-03-15,884.8
2013-03-18,894.4
2013-03-19,913.85
2013-03-20,918.45
2013-03-21,889.45
2013-03-22,861.35
2013-03-25,889.25
2013-03-26,912.7
2013-03-28,914.55
2013-04-01,904.3
2013-04-02,910.8
2013-04-03,908.9
2013-04-04,863.85
2013-04-05,868.95
2013-04-08,873.8
2013-04-09,858.9
2013-04-10,860.85
2013-04-11,879.6
2013-04-12,842.75
2013-04-15,850.7
2013-04-16,853.5
2013-04-17,858.7
2013-04-18,868.55
2013-04-22,850.3
2013-04-23,831.4
2013-04-25,810.8
2013-04-26,809.15
2013-04-29,805.5
2013-04-30,801.8
2013-05-02,826.75
2013-05-03,850.2
2013-05-06,869.8
2013-05-07,865.25
2013-05-08,882.9
2013-05-09,882.2
2013-05-10,857.8
2013-05-11,853.8
2013-05-13,852.5
2013-05-14,849.05
2013-05-15,850.35
2013-05-16,835.7
2013-05-17,828.85
2013-05-20,829.8
2013-05-21,815.35
2013-05-22,814.9
2013-05-23,801.85
2013-05-24,794.75
2013-05-27,802.8
2013-05-28,795.4
2013-05-29,805.8
2013-05-30,810.9
2013-05-31,817.65
2013-06-03,809.45
2013-06-04,817.65
2013-06-05,821.75
2013-06-06,826.3
2013-06-07,829.35
2013-06-10,827.4
2013-06-11,820.1
2013-06-12,816.45
2013-06-13,799.9
2013-06-14,800.65
2013-06-17,796.0
2013-06-18,814.7
2013-06-19,817.3
2013-06-20,810.55
2013-06-21,820.3
2013-06-24,821.1
2013-06-25,828.0
2013-06-26,826.15
2013-06-27,827.9
2013-06-28,836.15
2013-07-01,836.45
2013-07-02,835.15
2013-07-03,813.05
2013-07-04,827.7
2013-07-05,834.3
2013-07-08,850.2
2013-07-09,856.75
2013-07-10,856.8
2013-07-11,881.05
2013-07-12,910.55
2013-07-15,916.65
2013-07-16,912.4
2013-07-17,907.35
2013-07-18,914.25
2013-07-19,945.15
2013-07-22,940.7
2013-07-23,955.9
2013-07-24,964.1
2013-07-25,958.25
2013-07-26,964.05
2013-07-29,962.55
2013-07-30,958.4
2013-07-31,959.65
2013-08-01,968.2
2013-08-02,969.0
2013-08-05,979.2
2013-08-06,976.35
2013-08-07,975.7
2013-08-08,986.1
2013-08-12,996.95
2013-08-13,997.35
2013-08-14,1006.7
2013-08-16,996.0
2013-08-19,988.25
2013-08-20,985.0
2013-08-21,983.95
2013-08-22,975.8
2013-08-23,996.95
2013-08-26,1006.4
2013-08-27,997.2
2013-08-28,1024.4
2013-08-29,1029.9
2013-08-30,1036.7
2013-09-02,1054.8
2013-09-03,1052.1
2013-09-04,1046.65
2013-09-05,1039.95
