Date,TDPOWERSYS
2013-01-01,226.65
2013-01-02,228.0
2013-01-03,241.75
2013-01-04,244.95
2013-01-07,251.85
2013-01-08,250.15
2013-01-09,250.6
2013-01-10,254.0
2013-01-11,250.0
2013-01-14,250.15
2013-01-15,250.0
2013-01-16,250.95
2013-01-17,249.0
2013-01-18,250.0
2013-01-21,250.0
2013-01-22,250.1
2013-01-23,253.2
2013-01-24,250.3
2013-01-25,250.0
2013-01-28,250.0
2013-01-29,250.0
2013-01-30,250.0
2013-01-31,250.0
2013-02-01,250.7
2013-02-04,252.7
2013-02-05,250.0
2013-02-06,250.5
2013-02-07,250.6
2013-02-08,249.5
2013-02-11,250.0
2013-02-12,250.0
2013-02-13,251.9
2013-02-14,250.0
2013-02-15,250.0
2013-02-18,250.05
2013-02-19,250.0
2013-02-20,253.95
2013-02-21,250.45
2013-02-22,250.0
2013-02-25,250.0
2013-02-26,244.05
2013-02-27,252.25
2013-02-28,250.0
2013-03-01,250.05
2013-03-04,248.0
2013-03-05,250.0
2013-03-06,250.0
2013-03-07,248.0
2013-03-08,250.0
2013-03-11,249.35
2013-03-12,243.1
2013-03-13,244.5
2013-03-14,242.0
2013-03-15,245.3
2013-03-18,242.0
2013-03-19,240.0
2013-03-20,236.65
2013-03-21,232.5
2013-03-22,233.0
2013-03-25,230.2
2013-03-26,248.8
2013-03-28,252.45
2013-04-01,235.75
2013-04-02,233.5
2013-04-03,235.0
2013-04-04,239.9
2013-04-05,236.75
2013-04-08,235.05
2013-04-09,246.5
2013-04-10,239.6
2013-04-11,240.0
2013-04-12,235.6
2013-04-15,235.3
2013-04-16,235.7
2013-04-17,237.3
2013-04-18,234.85
2013-04-22,235.75
2013-04-23,235.75
2013-04-25,259.75
2013-04-26,238.55
2013-04-29,235.3
2013-04-30,233.7
2013-05-02,236.9
2013-05-03,240.95
2013-05-06,240.95
2013-05-07,241.0
2013-05-08,240.0
2013-05-09,237.0
2013-05-10,238.35
2013-05-11,240.45
2013-05-13,236.1
2013-05-14,239.95
2013-05-15,236.35
2013-05-16,234.35
2013-05-17,240.4
2013-05-20,235.0
2013-05-21,233.15
2013-05-22,243.5
2013-05-23,235.15
2013-05-24,237.5
2013-05-27,240.25
2013-05-28,240.0
2013-05-29,236.75
2013-05-30,231.55
2013-05-31,232.0
2013-06-03,236.95
2013-06-04,234.05
2013-06-05,234.8
2013-06-06,235.0
2013-06-07,237.0
2013-06-10,233.65
2013-06-11,230.25
2013-06-12,237.5
2013-06-13,234.3
2013-06-14,230.2
2013-06-17,233.95
2013-06-18,232.0
2013-06-19,234.35
2013-06-20,230.2
2013-06-21,234.95
2013-06-24,233.5
2013-06-25,237.65
2013-06-26,235.0
2013-06-27,231.55
2013-06-28,230.65
2013-07-01,232.0
2013-07-02,236.0
2013-07-03,234.1
2013-07-04,231.95
2013-07-05,233.3
2013-07-08,237.4
2013-07-09,225.0
2013-07-10,230.45
2013-07-11,232.95
2013-07-12,236.0
2013-07-15,234.25
2013-07-16,235.25
2013-07-17,235.85
2013-07-18,235.5
2013-07-19,231.4
2013-07-22,232.5
2013-07-23,230.35
2013-07-24,231.45
2013-07-25,234.2
2013-07-26,234.9
2013-07-29,232.0
2013-07-30,234.05
2013-07-31,239.85
2013-08-01,236.0
2013-08-02,225.05
2013-08-05,228.95
2013-08-06,230.2
2013-08-07,230.0
2013-08-08,224.6
2013-08-12,226.25
2013-08-13,225.45
2013-08-14,226.0
2013-08-16,226.0
2013-08-19,224.85
2013-08-20,223.0
2013-08-21,215.05
2013-08-22,200.9
2013-08-23,204.65
2013-08-26,198.45
2013-08-27,195.05
2013-08-28,197.5
2013-08-29,199.7
2013-08-30,194.05
2013-09-02,203.5
2013-09-03,204.5
2013-09-04,212.0
2013-09-05,208.9
2013-09-06,212.75
2013-09-10,209.5
2013-09-11,208.65
2013-09-12,210.15
2013-09-13,208.15
2013-09-16,201.35
2013-09-17,204.6
2013-09-18,209.45
2013-09-19,205.0
2013-09-20,200.1
2013-09-23,208.6
2013-09-24,204.1
2013-09-25,202.35
2013-09-26,205.0
2013-09-27,200.0
2013-09-30,203.6
2013-10-01,209.5
2013-10-03,200.15
2013-10-04,203.0
2013-10-07,204.75
2013-10-08,199.7
2013-10-09,196.0
2013-10-10,189.85
2013-10-11,189.0
2013-10-14,191.1
2013-10-15,185.8
2013-10-17,188.15
2013-10-18,183.4
2013-10-21,187.9
2013-10-22,188.8
2013-10-23,186.5
2013-10-24,184.85
2013-10-25,185.2
2013-10-28,181.1
2013-10-29,180.1
2013-10-30,184.35
2013-10-31,182.4
2013-11-01,184.0
2013-11-03,185.15
2013-11-05,189.95
2013-11-06,186.7
2013-11-07,186.5
2013-11-08,186.5
2013-11-11,187.0
2013-11-12,188.9
2013-11-13,185.5
2013-11-14,189.0
2013-11-18,188.75
2013-11-19,193.0
2013-11-20,197.5
2013-11-21,193.6
2013-11-22,187.65
2013-11-25,199.65
2013-11-26,192.0
2013-11-27,190.35
2013-11-28,189.9
2013-11-29,187.3
2013-12-02,199.95
2013-12-03,191.6
2013-12-04,199.1
2013-12-05,199.95
2013-12-06,200.0
2013-12-09,202.45
2013-12-10,203.95
2013-12-11,204.05
2013-12-12,206.15
2013-12-13,206.2
2013-12-16,204.0
2013-12-17,207.5
2013-12-18,215.85
2013-12-19,215.1
2013-12-20,226.95
2013-12-23,235.75
2013-12-24,237.85
2013-12-26,241.25
2013-12-27,242.0
2013-12-30,232.25
2013-12-31,236.95
