Date,PIIND
2013-01-01,560.75
2013-01-02,608.5
2013-01-03,633.9
2013-01-04,627.6
2013-01-07,638.15
2013-01-08,643.75
2013-01-09,645.85
2013-01-10,650.95
2013-01-11,668.0
2013-01-14,664.95
2013-01-15,666.95
2013-01-16,642.15
2013-01-17,641.8
2013-01-18,635.8
2013-01-21,636.75
2013-01-22,654.7
2013-01-23,630.85
2013-01-24,602.2
2013-01-25,624.8
2013-01-28,622.4
2013-01-29,624.75
2013-01-30,623.9
2013-01-31,615.8
2013-02-01,601.85
2013-02-04,601.55
2013-02-05,589.1
2013-02-06,600.2
2013-02-07,600.85
2013-02-08,596.9
2013-02-11,600.9
2013-02-12,598.3
2013-02-13,624.75
2013-02-14,618.95
2013-02-15,609.25
2013-02-18,610.0
2013-02-19,610.05
2013-02-20,634.95
2013-02-21,632.35
2013-02-22,635.95
2013-02-25,636.65
2013-02-26,632.6
2013-02-27,633.35
2013-02-28,621.0
2013-03-01,633.0
2013-03-04,625.45
2013-03-05,636.2
2013-03-06,635.25
2013-03-07,629.15
2013-03-08,640.0
2013-03-11,654.55
2013-03-12,649.3
2013-03-13,649.8
2013-03-14,643.15
2013-03-15,644.05
2013-03-18,648.95
2013-03-19,636.0
2013-03-20,634.95
2013-03-21,635.25
2013-03-22,622.6
2013-03-25,610.0
2013-03-26,608.2
2013-03-28,633.85
2013-04-01,634.9
2013-04-02,633.85
2013-04-03,645.1
2013-04-04,642.35
2013-04-05,627.15
2013-04-08,627.9
2013-04-09,626.25
2013-04-10,604.6
2013-04-11,616.2
2013-04-12,132.6
2013-04-15,124.2
2013-04-16,139.75
2013-04-17,135.3
2013-04-18,137.95
2013-04-22,139.2
2013-04-23,137.0
2013-04-25,136.9
2013-04-26,124.95
2013-04-29,130.65
2013-04-30,132.1
2013-05-02,132.95
2013-05-03,136.35
2013-05-06,134.9
2013-05-07,135.15
2013-05-08,137.8
2013-05-09,136.75
2013-05-10,138.0
2013-05-11,137.9
2013-05-13,132.05
2013-05-14,133.85
2013-05-15,135.0
2013-05-16,134.2
2013-05-17,130.9
2013-05-20,129.65
2013-05-21,129.5
2013-05-22,124.0
2013-05-23,123.6
2013-05-24,123.95
2013-05-27,123.7
2013-05-28,124.95
2013-05-29,125.0
2013-05-30,124.75
2013-05-31,124.0
2013-06-03,122.75
2013-06-04,119.75
2013-06-05,120.1
2013-06-06,120.4
2013-06-07,120.85
2013-06-10,124.4
2013-06-11,120.45
2013-06-12,123.55
2013-06-13,121.95
2013-06-14,123.95
2013-06-17,123.75
2013-06-18,124.45
2013-06-19,129.0
2013-06-20,126.4
2013-06-21,133.35
2013-06-24,130.7
2013-06-25,124.75
2013-06-26,128.0
2013-06-27,124.95
2013-06-28,128.9
2013-07-01,130.95
2013-07-02,131.5
2013-07-03,132.35
2013-07-04,133.35
2013-07-05,135.0
2013-07-08,135.35
2013-07-09,139.85
2013-07-10,141.95
2013-07-11,139.85
2013-07-12,141.25
2013-07-15,140.6
2013-07-16,140.35
2013-07-17,142.75
2013-07-18,142.45
2013-07-19,137.35
2013-07-22,133.4
2013-07-23,129.7
2013-07-24,127.8
2013-07-25,129.35
2013-07-26,130.05
2013-07-29,126.95
2013-07-30,130.25
2013-07-31,127.0
2013-08-01,125.0
2013-08-02,122.3
2013-08-05,139.3
2013-08-06,132.55
2013-08-07,136.7
2013-08-08,134.95
2013-08-12,135.6
2013-08-13,133.95
2013-08-14,130.2
2013-08-16,132.9
2013-08-19,128.7
2013-08-20,132.45
2013-08-21,128.3
2013-08-22,131.3
2013-08-23,127.9
2013-08-26,128.05
2013-08-27,127.95
2013-08-28,124.95
2013-08-29,128.25
2013-08-30,128.4
2013-09-02,130.4
2013-09-03,128.75
2013-09-04,131.35
2013-09-05,132.95
2013-09-06,133.15
2013-09-10,133.7
2013-09-11,131.75
2013-09-12,130.25
2013-09-13,130.05
2013-09-16,130.4
2013-09-17,133.65
2013-09-18,134.25
2013-09-19,136.1
2013-09-20,137.8
2013-09-23,144.0
2013-09-24,148.25
2013-09-25,147.8
2013-09-26,147.05
2013-09-27,150.25
2013-09-30,152.1
2013-10-01,150.1
2013-10-03,149.7
2013-10-04,149.95
2013-10-07,150.4
2013-10-08,152.1
2013-10-09,159.85
2013-10-10,162.9
2013-10-11,163.95
2013-10-14,164.9
2013-10-15,166.0
2013-10-17,168.7
2013-10-18,164.85
2013-10-21,161.95
2013-10-22,162.0
2013-10-23,165.8
2013-10-24,197.8
2013-10-25,193.9
2013-10-28,194.7
2013-10-29,212.95
2013-10-30,204.05
2013-10-31,207.9
2013-11-01,205.35
2013-11-03,210.4
2013-11-05,204.15
2013-11-06,206.6
2013-11-07,205.95
2013-11-08,209.7
2013-11-11,209.5
2013-11-12,204.2
2013-11-13,203.35
2013-11-14,201.65
2013-11-18,206.85
2013-11-19,208.65
2013-11-20,212.95
2013-11-21,211.55
2013-11-22,213.05
2013-11-25,223.0
2013-11-26,240.0
2013-11-27,235.7
2013-11-28,232.6
2013-11-29,229.7
2013-12-02,231.05
2013-12-03,230.8
2013-12-04,224.55
2013-12-05,226.35
2013-12-06,223.8
2013-12-09,233.1
2013-12-10,230.15
2013-12-11,230.95
2013-12-12,231.3
2013-12-13,232.9
2013-12-16,235.35
2013-12-17,242.0
2013-12-18,247.45
2013-12-19,254.25
2013-12-20,249.55
2013-12-23,240.1
2013-12-24,242.9
2013-12-26,240.0
2013-12-27,247.1
2013-12-30,246.5
2013-12-31,247.75
