Date,TATASTEEL
2013-01-01,438.2
2013-01-02,438.15
2013-01-03,442.3
2013-01-04,433.5
2013-01-07,440.9
2013-01-08,433.35
2013-01-09,422.3
2013-01-10,420.5
2013-01-11,417.3
2013-01-14,423.8
2013-01-15,424.8
2013-01-16,414.95
2013-01-17,418.7
2013-01-18,415.0
2013-01-21,414.1
2013-01-22,408.7
2013-01-23,407.55
2013-01-24,404.5
2013-01-25,406.75
2013-01-28,405.65
2013-01-29,399.0
2013-01-30,406.25
2013-01-31,404.9
2013-02-01,400.85
2013-02-04,395.05
2013-02-05,394.75
2013-02-06,397.45
2013-02-07,390.4
2013-02-08,387.45
2013-02-11,384.8
2013-02-12,384.9
2013-02-13,376.0
2013-02-14,380.9
2013-02-15,376.1
2013-02-18,385.25
2013-02-19,386.7
2013-02-20,379.25
2013-02-21,363.9
2013-02-22,364.5
2013-02-25,360.7
2013-02-26,349.45
2013-02-27,357.1
2013-02-28,341.5
2013-03-01,341.1
2013-03-04,334.7
2013-03-05,344.15
2013-03-06,352.75
2013-03-07,350.55
2013-03-08,359.15
2013-03-11,359.35
2013-03-12,356.25
2013-03-13,352.1
2013-03-14,357.1
2013-03-15,354.45
2013-03-18,349.3
2013-03-19,339.7
2013-03-20,334.75
2013-03-21,327.85
2013-03-22,321.85
2013-03-25,314.4
2013-03-26,306.55
2013-03-28,312.85
2013-04-01,314.7
2013-04-02,319.7
2013-04-03,316.85
2013-04-04,304.35
2013-04-05,309.2
2013-04-08,305.9
2013-04-09,304.4
2013-04-10,305.25
2013-04-11,298.5
2013-04-12,299.5
2013-04-15,294.45
2013-04-16,298.35
2013-04-17,297.05
2013-04-18,299.8
2013-04-22,306.7
2013-04-23,309.1
2013-04-25,312.55
2013-04-26,305.05
2013-04-29,302.45
2013-04-30,302.75
2013-05-02,304.6
2013-05-03,311.2
2013-05-06,322.55
2013-05-07,324.7
2013-05-08,318.65
2013-05-09,316.1
2013-05-10,318.5
2013-05-11,318.7
2013-05-13,305.6
2013-05-14,303.9
2013-05-15,308.3
2013-05-16,311.8
2013-05-17,311.85
2013-05-20,315.35
2013-05-21,308.6
2013-05-22,305.95
2013-05-23,299.55
2013-05-24,313.0
2013-05-27,317.15
2013-05-28,321.8
2013-05-29,314.55
2013-05-30,301.65
2013-05-31,291.75
2013-06-03,296.5
2013-06-04,298.75
2013-06-05,299.1
2013-06-06,295.3
2013-06-07,292.05
2013-06-10,290.6
2013-06-11,281.2
2013-06-12,273.75
2013-06-13,266.15
2013-06-14,274.15
2013-06-17,277.05
2013-06-18,285.1
2013-06-19,291.1
2013-06-20,272.55
2013-06-21,272.05
2013-06-24,266.65
2013-06-25,266.45
2013-06-26,264.6
2013-06-27,264.15
2013-06-28,273.75
2013-07-01,280.7
2013-07-02,281.95
2013-07-03,269.55
2013-07-04,264.8
2013-07-05,264.7
2013-07-08,259.9
2013-07-09,261.65
2013-07-10,256.2
2013-07-11,261.05
2013-07-12,262.65
2013-07-15,257.45
2013-07-16,251.6
2013-07-17,243.2
2013-07-18,244.7
2013-07-19,241.0
2013-07-22,233.8
2013-07-23,234.6
2013-07-24,229.6
2013-07-25,222.85
2013-07-26,218.9
2013-07-29,215.4
2013-07-30,209.4
2013-07-31,215.7
2013-08-01,210.15
2013-08-02,202.35
2013-08-05,207.9
2013-08-06,198.25
2013-08-07,207.95
2013-08-08,218.8
2013-08-12,236.55
2013-08-13,241.4
2013-08-14,250.1
2013-08-16,235.35
2013-08-19,246.85
2013-08-20,257.0
2013-08-21,248.15
2013-08-22,274.1
2013-08-23,282.3
2013-08-26,277.15
2013-08-27,272.3
2013-08-28,279.0
2013-08-29,278.35
2013-08-30,274.0
2013-09-02,289.4
2013-09-03,281.3
2013-09-04,289.9
2013-09-05,288.65
2013-09-06,292.15
2013-09-10,300.6
2013-09-11,315.7
2013-09-12,302.75
2013-09-13,298.3
2013-09-16,291.6
2013-09-17,288.2
2013-09-18,290.2
2013-09-19,310.6
2013-09-20,300.0
2013-09-23,293.5
2013-09-24,292.55
2013-09-25,291.1
2013-09-26,299.9
2013-09-27,287.4
2013-09-30,271.55
2013-10-01,275.75
2013-10-03,285.85
2013-10-04,288.45
2013-10-07,300.4
2013-10-08,296.8
2013-10-09,303.25
2013-10-10,308.6
2013-10-11,307.9
2013-10-14,301.6
2013-10-15,310.5
2013-10-17,310.1
2013-10-18,328.9
2013-10-21,336.1
2013-10-22,339.95
2013-10-23,335.2
2013-10-24,332.15
2013-10-25,321.85
2013-10-28,312.3
2013-10-29,325.85
2013-10-30,326.6
2013-10-31,334.9
2013-11-01,336.15
2013-11-03,338.85
2013-11-05,338.95
2013-11-06,333.3
2013-11-07,345.8
2013-11-08,355.75
2013-11-11,360.8
2013-11-12,352.45
2013-11-13,357.75
2013-11-14,375.35
2013-11-18,386.8
2013-11-19,383.25
2013-11-20,385.0
2013-11-21,382.6
2013-11-22,392.45
2013-11-25,397.95
2013-11-26,391.75
2013-11-27,394.75
2013-11-28,400.9
2013-11-29,400.6
2013-12-02,408.3
2013-12-03,409.8
2013-12-04,413.95
2013-12-05,421.4
2013-12-06,422.7
2013-12-09,420.95
2013-12-10,423.3
2013-12-11,418.25
2013-12-12,412.75
2013-12-13,415.15
2013-12-16,408.9
2013-12-17,408.7
2013-12-18,414.9
2013-12-19,410.8
2013-12-20,417.95
2013-12-23,423.15
2013-12-24,418.4
2013-12-26,425.35
2013-12-27,425.05
2013-12-30,425.55
2013-12-31,424.2
