Date,SUVEN
2013-01-01,31.75
2013-01-02,31.25
2013-01-03,31.3
2013-01-04,32.5
2013-01-07,32.3
2013-01-08,31.65
2013-01-09,31.15
2013-01-10,31.2
2013-01-11,30.15
2013-01-14,30.35
2013-01-15,30.2
2013-01-16,29.75
2013-01-17,29.55
2013-01-18,28.85
2013-01-21,28.05
2013-01-22,27.55
2013-01-23,26.35
2013-01-24,25.35
2013-01-25,26.3
2013-01-28,26.75
2013-01-29,27.95
2013-01-30,27.6
2013-01-31,26.8
2013-02-01,26.45
2013-02-04,25.85
2013-02-05,25.4
2013-02-06,25.7
2013-02-07,25.0
2013-02-08,24.9
2013-02-11,25.3
2013-02-12,26.55
2013-02-13,26.65
2013-02-14,25.3
2013-02-15,23.8
2013-02-18,24.35
2013-02-19,24.75
2013-02-20,25.05
2013-02-21,24.55
2013-02-22,24.55
2013-02-25,23.75
2013-02-26,23.35
2013-02-27,23.3
2013-02-28,22.45
2013-03-01,23.0
2013-03-04,22.25
2013-03-05,22.65
2013-03-06,23.0
2013-03-07,23.85
2013-03-08,23.8
2013-03-11,23.9
2013-03-12,24.5
2013-03-13,23.8
2013-03-14,25.05
2013-03-15,26.3
2013-03-18,25.9
2013-03-19,25.15
2013-03-20,25.15
2013-03-21,24.05
2013-03-22,22.6
2013-03-25,22.5
2013-03-26,22.65
2013-03-28,23.2
2013-04-01,23.6
2013-04-02,25.95
2013-04-03,25.1
2013-04-04,24.45
2013-04-05,24.95
2013-04-08,25.15
2013-04-09,24.9
2013-04-10,25.1
2013-04-11,26.4
2013-04-12,28.35
2013-04-15,27.85
2013-04-16,27.8
2013-04-17,27.85
2013-04-18,28.1
2013-04-22,27.5
2013-04-23,26.75
2013-04-25,26.15
2013-04-26,25.8
2013-04-29,25.9
2013-04-30,25.85
2013-05-02,26.8
2013-05-03,26.95
2013-05-06,27.45
2013-05-07,27.45
2013-05-08,27.85
2013-05-09,28.8
2013-05-10,29.4
2013-05-11,29.65
2013-05-13,29.5
2013-05-14,28.1
2013-05-15,27.3
2013-05-16,27.0
2013-05-17,26.5
2013-05-20,26.7
2013-05-21,26.0
2013-05-22,25.1
2013-05-23,24.3
2013-05-24,24.35
2013-05-27,24.5
2013-05-28,24.2
2013-05-29,24.5
2013-05-30,24.3
2013-05-31,23.1
2013-06-03,23.4
2013-06-04,23.45
2013-06-05,23.7
2013-06-06,23.75
2013-06-07,23.65
2013-06-10,23.55
2013-06-11,23.0
2013-06-12,22.7
2013-06-13,22.35
2013-06-14,22.6
2013-06-17,23.0
2013-06-18,23.55
2013-06-19,23.45
2013-06-20,23.5
2013-06-21,25.05
2013-06-24,23.8
2013-06-25,23.5
2013-06-26,23.25
2013-06-27,23.3
2013-06-28,24.75
2013-07-01,24.6
2013-07-02,23.85
2013-07-03,23.25
2013-07-04,23.75
2013-07-05,23.75
2013-07-08,23.85
2013-07-09,24.1
2013-07-10,25.85
2013-07-11,25.55
2013-07-12,24.7
2013-07-15,26.0
2013-07-16,26.45
2013-07-17,26.1
2013-07-18,26.1
2013-07-19,25.8
2013-07-22,25.35
2013-07-23,25.65
2013-07-24,24.75
2013-07-25,24.35
2013-07-26,23.55
2013-07-29,24.0
2013-07-30,23.65
2013-07-31,23.0
2013-08-01,23.2
2013-08-02,24.2
2013-08-05,25.65
2013-08-06,24.0
2013-08-07,26.65
2013-08-08,27.05
2013-08-12,28.75
2013-08-13,32.95
2013-08-14,32.5
2013-08-16,31.05
2013-08-19,30.4
2013-08-20,32.1
2013-08-21,31.55
2013-08-22,32.15
2013-08-23,33.45
2013-08-26,33.05
2013-08-27,33.35
2013-08-28,32.85
2013-08-29,34.6
2013-08-30,36.25
2013-09-02,39.35
2013-09-03,37.9
2013-09-04,45.2
2013-09-05,46.65
2013-09-06,44.75
2013-09-10,45.55
2013-09-11,44.15
2013-09-12,42.2
2013-09-13,42.9
2013-09-16,41.95
2013-09-17,44.55
2013-09-18,43.85
2013-09-19,43.6
2013-09-20,43.85
2013-09-23,43.6
2013-09-24,43.75
2013-09-25,45.3
2013-09-26,44.6
2013-09-27,43.7
2013-09-30,42.4
2013-10-01,42.95
2013-10-03,43.0
2013-10-04,43.65
2013-10-07,44.15
2013-10-08,45.55
2013-10-09,45.75
2013-10-10,45.8
2013-10-11,46.4
2013-10-14,50.55
2013-10-15,52.3
2013-10-17,51.85
2013-10-18,51.65
2013-10-21,55.2
2013-10-22,55.3
2013-10-23,54.3
2013-10-24,53.3
2013-10-25,54.85
2013-10-28,55.4
2013-10-29,55.5
2013-10-30,54.25
2013-10-31,54.45
2013-11-01,55.05
2013-11-03,56.45
2013-11-05,58.35
2013-11-06,60.6
2013-11-07,62.15
2013-11-08,66.05
2013-11-11,76.35
2013-11-12,78.95
2013-11-13,68.5
2013-11-14,70.35
2013-11-18,67.85
2013-11-19,73.65
2013-11-20,73.15
2013-11-21,72.05
2013-11-22,72.15
2013-11-25,72.0
2013-11-26,71.1
2013-11-27,68.65
2013-11-28,70.15
2013-11-29,69.15
2013-12-02,69.6
2013-12-03,71.75
2013-12-04,71.0
2013-12-05,69.8
2013-12-06,69.55
2013-12-09,68.05
2013-12-10,67.15
2013-12-11,65.7
2013-12-12,66.1
2013-12-13,69.35
2013-12-16,73.35
2013-12-17,72.55
2013-12-18,75.65
2013-12-19,76.0
2013-12-20,78.6
2013-12-23,76.35
2013-12-24,76.8
2013-12-26,77.1
2013-12-27,75.75
2013-12-30,74.3
2013-12-31,71.85
