Date,SONATSOFTW
2013-01-01,24.2
2013-01-02,23.95
2013-01-03,24.05
2013-01-04,24.45
2013-01-07,23.95
2013-01-08,24.15
2013-01-09,23.95
2013-01-10,23.8
2013-01-11,23.9
2013-01-14,24.0
2013-01-15,24.8
2013-01-16,24.25
2013-01-17,24.55
2013-01-18,25.1
2013-01-21,25.0
2013-01-22,25.0
2013-01-23,25.1
2013-01-24,25.0
2013-01-25,25.0
2013-01-28,25.0
2013-01-29,25.0
2013-01-30,25.05
2013-01-31,25.0
2013-02-01,25.05
2013-02-04,25.0
2013-02-05,25.0
2013-02-06,24.15
2013-02-07,23.3
2013-02-08,23.1
2013-02-11,22.55
2013-02-12,23.3
2013-02-13,24.25
2013-02-14,24.4
2013-02-15,24.25
2013-02-18,24.25
2013-02-19,24.65
2013-02-20,27.1
2013-02-21,25.7
2013-02-22,26.4
2013-02-25,26.35
2013-02-26,24.8
2013-02-27,26.35
2013-02-28,25.5
2013-03-01,25.0
2013-03-04,25.15
2013-03-05,24.95
2013-03-06,25.4
2013-03-07,25.6
2013-03-08,26.05
2013-03-11,26.0
2013-03-12,26.05
2013-03-13,26.15
2013-03-14,26.0
2013-03-15,25.95
2013-03-18,25.1
2013-03-19,25.15
2013-03-20,24.15
2013-03-21,23.5
2013-03-22,22.85
2013-03-25,23.1
2013-03-26,23.0
2013-03-28,23.35
2013-04-01,24.1
2013-04-02,24.5
2013-04-03,24.15
2013-04-04,23.8
2013-04-05,23.85
2013-04-08,23.4
2013-04-09,24.1
2013-04-10,24.05
2013-04-11,24.0
2013-04-12,24.0
2013-04-15,24.0
2013-04-16,24.0
2013-04-17,24.0
2013-04-18,24.5
2013-04-22,24.7
2013-04-23,25.3
2013-04-25,24.75
2013-04-26,24.65
2013-04-29,25.0
2013-04-30,25.0
2013-05-02,25.05
2013-05-03,25.0
2013-05-06,25.9
2013-05-07,25.1
2013-05-08,25.0
2013-05-09,25.5
2013-05-10,25.0
2013-05-11,25.3
2013-05-13,25.0
2013-05-14,28.9
2013-05-15,28.4
2013-05-16,27.95
2013-05-17,27.65
2013-05-20,27.65
2013-05-21,27.6
2013-05-22,27.0
2013-05-23,26.8
2013-05-24,26.6
2013-05-27,26.65
2013-05-28,26.4
2013-05-29,26.6
2013-05-30,26.2
2013-05-31,26.35
2013-06-03,26.5
2013-06-04,26.95
2013-06-05,26.85
2013-06-06,26.85
2013-06-07,27.1
2013-06-10,27.25
2013-06-11,27.0
2013-06-12,27.2
2013-06-13,27.0
2013-06-14,25.8
2013-06-17,25.4
2013-06-18,26.1
2013-06-19,26.15
2013-06-20,26.0
2013-06-21,26.1
2013-06-24,25.65
2013-06-25,25.55
2013-06-26,25.2
2013-06-27,26.05
2013-06-28,26.1
2013-07-01,26.4
2013-07-02,27.7
2013-07-03,27.0
2013-07-04,27.1
2013-07-05,27.0
2013-07-08,27.0
2013-07-09,29.4
2013-07-10,28.75
2013-07-11,28.55
2013-07-12,28.2
2013-07-15,28.95
2013-07-16,28.15
2013-07-17,27.55
2013-07-18,27.35
2013-07-19,27.0
2013-07-22,25.85
2013-07-23,26.15
2013-07-24,26.8
2013-07-25,27.25
2013-07-26,26.05
2013-07-29,26.1
2013-07-30,24.8
2013-07-31,24.7
2013-08-01,24.05
2013-08-02,24.05
2013-08-05,23.5
2013-08-06,22.85
2013-08-07,23.2
2013-08-08,23.6
2013-08-12,24.0
2013-08-13,25.3
2013-08-14,25.9
2013-08-16,24.5
2013-08-19,23.85
2013-08-20,24.0
2013-08-21,23.55
2013-08-22,24.1
2013-08-23,24.05
2013-08-26,24.65
2013-08-27,23.85
2013-08-28,23.7
2013-08-29,24.05
2013-08-30,24.95
2013-09-02,26.45
2013-09-03,25.3
2013-09-04,24.95
2013-09-05,25.4
2013-09-06,25.5
2013-09-10,25.6
2013-09-11,25.05
2013-09-12,25.4
2013-09-13,26.35
2013-09-16,25.65
2013-09-17,26.05
2013-09-18,28.45
2013-09-19,27.1
2013-09-20,27.45
2013-09-23,27.0
2013-09-24,27.05
2013-09-25,27.0
2013-09-26,27.15
2013-09-27,27.1
2013-09-30,27.05
2013-10-01,27.35
2013-10-03,28.25
2013-10-04,27.5
2013-10-07,29.5
2013-10-08,29.95
2013-10-09,29.95
2013-10-10,30.7
2013-10-11,30.1
2013-10-14,30.15
2013-10-15,30.1
2013-10-17,30.0
2013-10-18,30.1
2013-10-21,30.1
2013-10-22,30.3
2013-10-23,30.2
2013-10-24,30.0
2013-10-25,30.05
2013-10-28,30.05
2013-10-29,30.05
2013-10-30,30.05
2013-10-31,30.8
2013-11-01,30.8
2013-11-03,32.0
2013-11-05,32.95
2013-11-06,32.2
2013-11-07,34.15
2013-11-08,34.55
2013-11-11,34.05
2013-11-12,34.35
2013-11-13,33.95
2013-11-14,33.65
2013-11-18,33.0
2013-11-19,33.1
2013-11-20,33.1
2013-11-21,33.0
2013-11-22,33.0
2013-11-25,33.1
2013-11-26,33.3
2013-11-27,34.25
2013-11-28,34.35
2013-11-29,34.05
2013-12-02,33.6
2013-12-03,33.1
2013-12-04,34.55
2013-12-05,33.7
2013-12-06,33.65
2013-12-09,34.0
2013-12-10,34.3
2013-12-11,34.05
2013-12-12,34.0
2013-12-13,34.0
2013-12-16,32.9
2013-12-17,34.05
2013-12-18,35.05
2013-12-19,36.7
2013-12-20,39.4
2013-12-23,41.45
2013-12-24,41.0
2013-12-26,42.65
2013-12-27,42.15
2013-12-30,41.15
2013-12-31,40.95
