Date,GICHSGFIN
2013-01-01,132.55
2013-01-02,134.55
2013-01-03,138.25
2013-01-04,140.75
2013-01-07,143.05
2013-01-08,145.0
2013-01-09,149.65
2013-01-10,145.3
2013-01-11,148.05
2013-01-14,147.4
2013-01-15,145.15
2013-01-16,143.9
2013-01-17,144.65
2013-01-18,141.75
2013-01-21,142.2
2013-01-22,137.15
2013-01-23,138.3
2013-01-24,132.5
2013-01-25,140.0
2013-01-28,139.75
2013-01-29,137.05
2013-01-30,137.05
2013-01-31,136.0
2013-02-01,135.4
2013-02-04,130.65
2013-02-05,130.25
2013-02-06,131.4
2013-02-07,126.9
2013-02-08,124.0
2013-02-11,123.2
2013-02-12,125.55
2013-02-13,118.0
2013-02-14,118.4
2013-02-15,117.8
2013-02-18,121.6
2013-02-19,124.3
2013-02-20,124.7
2013-02-21,121.25
2013-02-22,120.35
2013-02-25,119.95
2013-02-26,115.9
2013-02-27,118.85
2013-02-28,116.8
2013-03-01,120.3
2013-03-04,117.15
2013-03-05,119.5
2013-03-06,118.9
2013-03-07,117.25
2013-03-08,120.5
2013-03-11,123.35
2013-03-12,121.9
2013-03-13,120.45
2013-03-14,120.6
2013-03-15,120.9
2013-03-18,119.6
2013-03-19,113.65
2013-03-20,106.15
2013-03-21,101.5
2013-03-22,101.45
2013-03-25,108.5
2013-03-26,102.95
2013-03-28,105.0
2013-04-01,105.95
2013-04-02,112.95
2013-04-03,108.7
2013-04-04,105.05
2013-04-05,106.25
2013-04-08,105.95
2013-04-09,104.7
2013-04-10,106.7
2013-04-11,107.65
2013-04-12,106.45
2013-04-15,108.3
2013-04-16,110.15
2013-04-17,109.7
2013-04-18,114.5
2013-04-22,117.3
2013-04-23,116.55
2013-04-25,117.6
2013-04-26,119.1
2013-04-29,119.8
2013-04-30,116.9
2013-05-02,119.35
2013-05-03,118.6
2013-05-06,121.4
2013-05-07,124.65
2013-05-08,124.7
2013-05-09,125.8
2013-05-10,114.85
2013-05-11,117.85
2013-05-13,116.15
2013-05-14,115.4
2013-05-15,117.25
2013-05-16,117.4
2013-05-17,118.95
2013-05-20,117.1
2013-05-21,116.9
2013-05-22,112.95
2013-05-23,111.35
2013-05-24,112.15
2013-05-27,112.55
2013-05-28,113.15
2013-05-29,113.8
2013-05-30,114.55
2013-05-31,112.4
2013-06-03,111.0
2013-06-04,111.75
2013-06-05,112.5
2013-06-06,112.8
2013-06-07,113.45
2013-06-10,113.5
2013-06-11,112.1
2013-06-12,111.9
2013-06-13,111.2
2013-06-14,111.8
2013-06-17,111.5
2013-06-18,112.25
2013-06-19,112.65
2013-06-20,111.05
2013-06-21,108.25
2013-06-24,105.5
2013-06-25,106.1
2013-06-26,105.15
2013-06-27,105.1
2013-06-28,107.5
2013-07-01,112.75
2013-07-02,111.55
2013-07-03,110.6
2013-07-04,111.7
2013-07-05,112.35
2013-07-08,112.65
2013-07-09,112.15
2013-07-10,112.15
2013-07-11,114.85
2013-07-12,114.45
2013-07-15,113.05
2013-07-16,110.85
2013-07-17,111.5
2013-07-18,106.35
2013-07-19,105.0
2013-07-22,104.6
2013-07-23,103.75
2013-07-24,100.0
2013-07-25,95.55
2013-07-26,94.8
2013-07-29,94.25
2013-07-30,92.1
2013-07-31,93.15
2013-08-01,88.85
2013-08-02,87.8
2013-08-05,84.8
2013-08-06,83.55
2013-08-07,84.8
2013-08-08,87.4
2013-08-12,87.75
2013-08-13,87.9
2013-08-14,87.75
2013-08-16,85.85
2013-08-19,83.45
2013-08-20,84.0
2013-08-21,83.15
2013-08-22,85.4
2013-08-23,86.15
2013-08-26,85.15
2013-08-27,83.4
2013-08-28,82.6
2013-08-29,80.5
2013-08-30,81.75
2013-09-02,84.4
2013-09-03,82.2
2013-09-04,81.65
2013-09-05,83.3
2013-09-06,84.85
2013-09-10,87.15
2013-09-11,93.05
2013-09-12,94.5
2013-09-13,96.25
2013-09-16,99.4
2013-09-17,99.85
2013-09-18,98.15
2013-09-19,99.7
2013-09-20,99.0
2013-09-23,95.35
2013-09-24,97.05
2013-09-25,96.1
2013-09-26,96.2
2013-09-27,94.4
2013-09-30,92.0
2013-10-01,93.7
2013-10-03,94.6
2013-10-04,94.8
2013-10-07,95.7
2013-10-08,99.2
2013-10-09,104.05
2013-10-10,105.55
2013-10-11,104.0
2013-10-14,101.3
2013-10-15,99.25
2013-10-17,98.15
2013-10-18,100.8
2013-10-21,99.55
2013-10-22,101.75
2013-10-23,100.6
2013-10-24,100.1
2013-10-25,99.0
2013-10-28,99.7
2013-10-29,100.7
2013-10-30,99.9
2013-10-31,99.4
2013-11-01,101.95
2013-11-03,102.8
2013-11-05,105.9
2013-11-06,103.8
2013-11-07,101.05
2013-11-08,99.45
2013-11-11,97.55
2013-11-12,96.0
2013-11-13,95.55
2013-11-14,96.85
2013-11-18,101.05
2013-11-19,100.3
2013-11-20,98.9
2013-11-21,97.2
2013-11-22,97.9
2013-11-25,98.15
2013-11-26,96.35
2013-11-27,96.75
2013-11-28,98.0
2013-11-29,99.4
2013-12-02,100.5
2013-12-03,100.15
2013-12-04,99.0
2013-12-05,100.05
2013-12-06,99.7
2013-12-09,99.95
2013-12-10,98.9
2013-12-11,102.75
2013-12-12,100.95
2013-12-13,98.85
2013-12-16,96.65
2013-12-17,97.25
2013-12-18,99.85
2013-12-19,99.0
2013-12-20,101.6
2013-12-23,105.1
2013-12-24,104.0
2013-12-26,104.05
2013-12-27,104.9
2013-12-30,103.65
2013-12-31,104.3
