Date,PSUBNKBEES
2013-01-01,389.4
2013-01-02,395.99
2013-01-03,394.42
2013-01-04,395.97
2013-01-07,406.42
2013-01-08,409.41
2013-01-09,410.38
2013-01-10,417.74
2013-01-11,399.32
2013-01-14,406.36
2013-01-15,403.44
2013-01-16,391.12
2013-01-17,395.0
2013-01-18,393.68
2013-01-21,390.62
2013-01-22,384.94
2013-01-23,383.52
2013-01-24,385.88
2013-01-25,387.3
2013-01-28,387.5
2013-01-29,384.97
2013-01-30,385.0
2013-01-31,388.04
2013-02-01,376.7
2013-02-04,370.72
2013-02-05,363.04
2013-02-06,367.87
2013-02-07,363.65
2013-02-08,357.72
2013-02-11,360.0
2013-02-12,358.0
2013-02-13,351.44
2013-02-14,336.41
2013-02-15,350.98
2013-02-18,354.99
2013-02-19,354.95
2013-02-20,353.82
2013-02-21,346.85
2013-02-22,344.23
2013-02-25,341.39
2013-02-26,341.42
2013-02-27,344.82
2013-02-28,348.65
2013-03-01,345.99
2013-03-04,342.0
2013-03-05,341.71
2013-03-06,349.0
2013-03-07,350.3
2013-03-08,352.0
2013-03-11,353.14
2013-03-12,345.0
2013-03-13,341.1
2013-03-14,343.66
2013-03-15,341.95
2013-03-18,332.67
2013-03-19,327.05
2013-03-20,320.87
2013-03-21,311.0
2013-03-22,319.18
2013-03-25,310.27
2013-03-26,317.98
2013-03-28,311.53
2013-04-01,325.21
2013-04-02,322.0
2013-04-03,313.04
2013-04-04,317.77
2013-04-05,312.83
2013-04-08,312.32
2013-04-09,302.67
2013-04-10,304.5
2013-04-11,303.0
2013-04-12,305.81
2013-04-15,314.94
2013-04-16,317.78
2013-04-17,324.38
2013-04-18,328.5
2013-04-22,326.74
2013-04-23,316.46
2013-04-25,328.0
2013-04-26,321.63
2013-04-29,326.87
2013-04-30,332.85
2013-05-02,338.44
2013-05-03,330.0
2013-05-06,329.41
2013-05-07,328.0
2013-05-08,325.07
2013-05-09,330.55
2013-05-10,337.98
2013-05-11,339.14
2013-05-13,341.0
2013-05-14,360.21
2013-05-15,369.24
2013-05-16,355.3
2013-05-17,350.01
2013-05-20,345.02
2013-05-21,350.0
2013-05-22,341.51
2013-05-23,326.99
2013-05-24,326.5
2013-05-27,327.56
2013-05-28,322.2
2013-05-29,317.0
2013-05-30,320.0
2013-05-31,316.0
2013-06-03,318.18
2013-06-04,308.25
2013-06-05,313.6
2013-06-06,315.05
2013-06-07,316.59
2013-06-10,312.51
2013-06-11,316.25
2013-06-12,313.32
2013-06-13,306.95
2013-06-14,322.0
2013-06-17,314.25
2013-06-18,310.1
2013-06-19,312.0
2013-06-20,314.67
2013-06-21,306.7
2013-06-24,307.79
2013-06-25,304.69
2013-06-26,304.0
2013-06-27,309.8
2013-06-28,309.02
2013-07-01,313.9
2013-07-02,310.8
2013-07-03,305.0
2013-07-04,293.32
2013-07-05,296.53
2013-07-08,291.69
2013-07-09,291.34
2013-07-10,290.26
2013-07-11,294.0
2013-07-12,294.0
2013-07-15,297.84
2013-07-16,281.79
2013-07-17,280.76
2013-07-18,282.8
2013-07-19,278.88
2013-07-22,288.01
2013-07-23,287.89
2013-07-24,285.07
2013-07-25,267.43
2013-07-26,269.3
2013-07-29,270.66
2013-07-30,272.13
2013-07-31,272.83
2013-08-01,269.35
2013-08-02,261.86
2013-08-05,251.21
2013-08-06,246.61
2013-08-07,271.52
2013-08-08,259.88
2013-08-12,245.29
2013-08-13,244.85
2013-08-14,242.15
2013-08-16,229.67
2013-08-19,221.34
2013-08-20,222.49
2013-08-21,226.62
2013-08-22,232.66
2013-08-23,234.88
2013-08-26,241.0
2013-08-27,229.14
2013-08-28,229.42
2013-08-29,228.0
2013-08-30,243.96
2013-09-02,220.14
2013-09-03,209.82
2013-09-04,214.56
2013-09-05,222.13
2013-09-06,223.86
2013-09-10,223.21
2013-09-11,236.66
2013-09-12,235.43
2013-09-13,241.88
2013-09-16,244.37
2013-09-17,240.63
2013-09-18,239.87
2013-09-19,260.66
2013-09-20,248.73
2013-09-23,238.26
2013-09-24,236.58
2013-09-25,231.97
2013-09-26,236.56
2013-09-27,234.06
2013-09-30,228.08
2013-10-01,231.32
2013-10-03,237.05
2013-10-04,234.54
2013-10-07,235.0
2013-10-08,237.05
2013-10-09,238.5
2013-10-10,231.89
2013-10-11,243.21
2013-10-14,244.83
2013-10-15,229.69
2013-10-17,228.75
2013-10-18,230.45
2013-10-21,239.01
2013-10-22,238.61
2013-10-23,241.28
2013-10-24,232.15
2013-10-25,240.88
2013-10-28,239.55
2013-10-29,244.84
2013-10-30,247.81
2013-10-31,272.01
2013-11-01,273.13
2013-11-03,285.51
2013-11-05,282.6
2013-11-06,256.63
2013-11-07,258.64
2013-11-08,257.91
2013-11-11,251.2
2013-11-12,243.14
2013-11-13,243.63
2013-11-14,254.26
2013-11-18,263.05
2013-11-19,271.38
2013-11-20,262.22
2013-11-21,261.49
2013-11-22,257.71
2013-11-25,264.99
2013-11-26,259.93
2013-11-27,261.16
2013-11-28,263.27
2013-11-29,263.64
2013-12-02,271.42
2013-12-03,265.66
2013-12-04,265.72
2013-12-05,275.87
2013-12-06,278.81
2013-12-09,285.05
2013-12-10,283.16
2013-12-11,282.88
2013-12-12,271.47
2013-12-13,266.27
2013-12-16,271.0
2013-12-17,262.38
2013-12-18,268.24
2013-12-19,264.9
2013-12-20,269.98
2013-12-23,271.73
2013-12-24,272.0
2013-12-26,276.5
2013-12-27,273.0
2013-12-30,283.16
2013-12-31,271.73
