Date,ZUARI
2013-01-01,283.45
2013-01-02,277.6
2013-01-03,273.95
2013-01-04,273.2
2013-01-07,270.3
2013-01-08,270.15
2013-01-09,267.0
2013-01-10,262.05
2013-01-11,255.75
2013-01-14,259.0
2013-01-15,256.75
2013-01-16,254.2
2013-01-17,260.1
2013-01-18,261.75
2013-01-21,262.6
2013-01-22,261.6
2013-01-23,255.95
2013-01-24,252.25
2013-01-25,244.65
2013-01-28,240.4
2013-01-29,243.75
2013-01-30,247.8
2013-01-31,239.3
2013-02-01,238.7
2013-02-04,229.85
2013-02-05,221.4
2013-02-06,221.0
2013-02-07,217.9
2013-02-08,207.8
2013-02-11,201.6
2013-02-12,197.55
2013-02-13,198.4
2013-02-14,198.65
2013-02-15,196.4
2013-02-18,194.75
2013-02-19,194.85
2013-02-20,194.95
2013-02-21,203.2
2013-02-22,194.85
2013-02-25,192.45
2013-02-26,190.55
2013-02-27,189.8
2013-02-28,187.35
2013-03-01,184.75
2013-03-04,183.15
2013-03-05,186.35
2013-03-06,186.15
2013-03-07,179.9
2013-03-08,175.0
2013-03-11,181.45
2013-03-12,178.0
2013-03-13,175.65
2013-03-14,169.85
2013-03-15,166.65
2013-03-18,163.75
2013-03-19,164.9
2013-03-20,161.8
2013-03-21,158.85
2013-03-22,154.9
2013-03-25,150.9
2013-03-26,148.0
2013-03-28,147.3
2013-04-01,152.85
2013-04-02,165.5
2013-04-03,175.35
2013-04-04,170.8
2013-04-05,172.05
2013-04-08,178.3
2013-04-09,177.2
2013-04-10,173.95
2013-04-11,170.55
2013-04-12,172.5
2013-04-15,171.5
2013-04-16,172.9
2013-04-17,169.2
2013-04-18,166.9
2013-04-22,166.45
2013-04-23,167.95
2013-04-25,166.05
2013-04-26,161.7
2013-04-29,159.0
2013-04-30,157.25
2013-05-02,148.5
2013-05-03,148.25
2013-05-06,144.4
2013-05-07,142.6
2013-05-08,141.75
2013-05-09,139.55
2013-05-10,137.1
2013-05-11,144.95
2013-05-13,138.1
2013-05-14,133.65
2013-05-15,132.85
2013-05-16,132.6
2013-05-17,130.0
2013-05-20,132.95
2013-05-21,129.9
2013-05-22,129.2
2013-05-23,126.1
2013-05-24,123.75
2013-05-27,120.05
2013-05-28,119.8
2013-05-29,118.35
2013-05-30,114.15
2013-05-31,108.7
2013-06-03,104.9
2013-06-04,100.75
2013-06-05,102.65
2013-06-06,105.55
2013-06-07,110.55
2013-06-10,113.15
2013-06-11,109.35
2013-06-12,108.8
2013-06-13,108.55
2013-06-14,106.7
2013-06-17,103.15
2013-06-18,102.1
2013-06-19,102.9
2013-06-20,102.05
2013-06-21,100.25
2013-06-24,97.7
2013-06-25,99.1
2013-06-26,96.2
2013-06-27,95.8
2013-06-28,97.3
2013-07-01,100.1
2013-07-02,98.75
2013-07-03,96.8
2013-07-04,98.75
2013-07-05,97.95
2013-07-08,97.15
2013-07-09,94.6
2013-07-10,95.25
2013-07-11,99.45
2013-07-12,95.75
2013-07-15,93.9
2013-07-16,94.45
2013-07-17,92.1
2013-07-18,92.25
2013-07-19,91.25
2013-07-22,104.6
2013-07-23,99.4
2013-07-24,94.3
2013-07-25,92.6
2013-07-26,93.05
2013-07-29,88.55
2013-07-30,85.7
2013-07-31,82.1
2013-08-01,81.45
2013-08-02,75.85
2013-08-05,80.0
2013-08-06,85.0
2013-08-07,89.45
2013-08-08,90.8
2013-08-12,91.95
2013-08-13,91.05
2013-08-14,92.35
2013-08-16,86.0
2013-08-19,85.75
2013-08-20,82.85
2013-08-21,80.55
2013-08-22,82.3
2013-08-23,84.9
2013-08-26,86.5
2013-08-27,82.2
2013-08-28,83.2
2013-08-29,83.55
2013-08-30,77.95
2013-09-02,83.45
2013-09-03,80.35
2013-09-04,80.7
2013-09-05,81.4
2013-09-06,79.7
2013-09-10,79.95
2013-09-11,79.7
2013-09-12,80.1
2013-09-13,80.15
2013-09-16,79.35
2013-09-17,79.0
2013-09-18,86.05
2013-09-19,84.55
2013-09-20,82.1
2013-09-23,81.5
2013-09-24,82.2
2013-09-25,84.0
2013-09-26,83.5
2013-09-27,83.8
2013-09-30,84.3
2013-10-01,84.1
2013-10-03,85.7
2013-10-04,85.5
2013-10-07,84.6
2013-10-08,82.9
2013-10-09,82.0
2013-10-10,84.3
2013-10-11,84.25
2013-10-14,84.65
2013-10-15,97.2
2013-10-17,92.7
2013-10-18,92.1
2013-10-21,92.0
2013-10-22,94.2
2013-10-23,99.0
2013-10-24,100.0
2013-10-25,97.6
2013-10-28,93.8
2013-10-29,93.35
2013-10-30,92.7
2013-10-31,94.15
2013-11-01,94.75
2013-11-03,96.15
2013-11-05,98.4
2013-11-06,101.1
2013-11-07,101.9
2013-11-08,106.2
2013-11-11,112.5
2013-11-12,102.0
2013-11-13,95.5
2013-11-14,96.95
2013-11-18,99.25
2013-11-19,98.6
2013-11-20,103.05
2013-11-21,123.65
2013-11-22,145.4
2013-11-25,136.65
2013-11-26,132.55
2013-11-27,132.0
2013-11-28,135.9
2013-11-29,137.6
2013-12-02,136.85
2013-12-03,132.9
2013-12-04,131.4
2013-12-05,133.3
2013-12-06,130.55
2013-12-09,131.55
2013-12-10,133.4
2013-12-11,134.8
2013-12-12,130.85
2013-12-13,128.3
2013-12-16,127.4
2013-12-17,128.0
2013-12-18,134.6
2013-12-19,135.5
2013-12-20,138.3
2013-12-23,140.6
2013-12-24,141.35
2013-12-26,140.75
2013-12-27,141.35
2013-12-30,142.05
2013-12-31,142.25
