Date,MANALIPETC
2013-01-01,11.1
2013-01-02,11.05
2013-01-03,10.9
2013-01-04,11.25
2013-01-07,11.55
2013-01-08,11.65
2013-01-09,11.55
2013-01-10,11.4
2013-01-11,11.15
2013-01-14,11.25
2013-01-15,11.2
2013-01-16,11.1
2013-01-17,11.1
2013-01-18,11.15
2013-01-21,11.1
2013-01-22,10.9
2013-01-23,10.9
2013-01-24,10.7
2013-01-25,10.8
2013-01-28,10.65
2013-01-29,10.4
2013-01-30,10.45
2013-01-31,10.6
2013-02-01,9.4
2013-02-04,9.45
2013-02-05,9.5
2013-02-06,9.55
2013-02-07,9.25
2013-02-08,9.2
2013-02-11,9.1
2013-02-12,9.1
2013-02-13,9.1
2013-02-14,9.0
2013-02-15,8.85
2013-02-18,8.95
2013-02-19,8.95
2013-02-20,8.95
2013-02-21,8.8
2013-02-22,8.75
2013-02-25,8.8
2013-02-26,8.7
2013-02-27,8.75
2013-02-28,8.45
2013-03-01,8.6
2013-03-04,8.5
2013-03-05,8.65
2013-03-06,8.85
2013-03-07,8.8
2013-03-08,8.7
2013-03-11,8.75
2013-03-12,8.65
2013-03-13,8.55
2013-03-14,8.65
2013-03-15,8.7
2013-03-18,8.65
2013-03-19,8.5
2013-03-20,8.35
2013-03-21,8.1
2013-03-22,8.05
2013-03-25,7.95
2013-03-26,7.95
2013-03-28,8.0
2013-04-01,8.1
2013-04-02,8.35
2013-04-03,8.25
2013-04-04,8.05
2013-04-05,8.3
2013-04-08,8.4
2013-04-09,8.35
2013-04-10,8.35
2013-04-11,8.45
2013-04-12,8.45
2013-04-15,8.5
2013-04-16,8.45
2013-04-17,8.5
2013-04-18,8.6
2013-04-22,8.75
2013-04-23,9.15
2013-04-25,9.0
2013-04-26,8.9
2013-04-29,8.95
2013-04-30,8.95
2013-05-02,8.95
2013-05-03,8.95
2013-05-06,9.0
2013-05-07,9.0
2013-05-08,8.95
2013-05-09,8.95
2013-05-10,8.95
2013-05-11,8.9
2013-05-13,8.95
2013-05-14,8.95
2013-05-15,8.9
2013-05-16,8.9
2013-05-17,8.9
2013-05-20,8.85
2013-05-21,8.8
2013-05-22,8.8
2013-05-23,8.5
2013-05-24,8.7
2013-05-27,8.3
2013-05-28,8.4
2013-05-29,8.35
2013-05-30,8.35
2013-05-31,8.25
2013-06-03,8.3
2013-06-04,8.25
2013-06-05,8.25
2013-06-06,8.3
2013-06-07,8.4
2013-06-10,8.2
2013-06-11,8.35
2013-06-12,8.2
2013-06-13,8.2
2013-06-14,8.3
2013-06-17,8.25
2013-06-18,8.35
2013-06-19,8.4
2013-06-20,8.15
2013-06-21,8.05
2013-06-24,8.1
2013-06-25,8.0
2013-06-26,8.0
2013-06-27,8.0
2013-06-28,8.2
2013-07-01,8.2
2013-07-02,8.2
2013-07-03,8.05
2013-07-04,8.05
2013-07-05,8.05
2013-07-08,8.1
2013-07-09,8.15
2013-07-10,8.15
2013-07-11,8.2
2013-07-12,8.45
2013-07-15,8.5
2013-07-16,8.5
2013-07-17,8.55
2013-07-18,7.95
2013-07-19,8.0
2013-07-22,7.95
2013-07-23,7.95
2013-07-24,7.8
2013-07-25,7.75
2013-07-26,7.75
2013-07-29,7.45
2013-07-30,7.3
2013-07-31,6.95
2013-08-01,6.95
2013-08-02,6.9
2013-08-05,6.7
2013-08-06,6.1
2013-08-07,6.4
2013-08-08,6.55
2013-08-12,6.6
2013-08-13,6.65
2013-08-14,6.6
2013-08-16,6.35
2013-08-19,6.3
2013-08-20,6.3
2013-08-21,6.3
2013-08-22,6.5
2013-08-23,6.55
2013-08-26,6.75
2013-08-27,6.6
2013-08-28,6.45
2013-08-29,6.4
2013-08-30,6.5
2013-09-02,6.55
2013-09-03,6.5
2013-09-04,6.55
2013-09-05,6.85
2013-09-06,6.9
2013-09-10,7.1
2013-09-11,7.25
2013-09-12,7.55
2013-09-13,7.7
2013-09-16,7.7
2013-09-17,7.45
2013-09-18,7.35
2013-09-19,7.5
2013-09-20,7.35
2013-09-23,7.2
2013-09-24,7.25
2013-09-25,7.25
2013-09-26,7.3
2013-09-27,7.25
2013-09-30,7.15
2013-10-01,7.05
2013-10-03,7.15
2013-10-04,7.15
2013-10-07,7.2
2013-10-08,7.25
2013-10-09,7.3
2013-10-10,7.4
2013-10-11,7.6
2013-10-14,7.45
2013-10-15,7.2
2013-10-17,7.5
2013-10-18,7.5
2013-10-21,7.6
2013-10-22,7.75
2013-10-23,7.85
2013-10-24,7.9
2013-10-25,7.75
2013-10-28,7.65
2013-10-29,7.9
2013-10-30,7.75
2013-10-31,7.7
2013-11-01,7.8
2013-11-03,7.8
2013-11-05,8.0
2013-11-06,8.15
2013-11-07,8.05
2013-11-08,7.9
2013-11-11,7.7
2013-11-12,7.65
2013-11-13,7.6
2013-11-14,7.6
2013-11-18,7.6
2013-11-19,7.8
2013-11-20,7.6
2013-11-21,7.55
2013-11-22,7.5
2013-11-25,7.5
2013-11-26,7.4
2013-11-27,7.45
2013-11-28,7.45
2013-11-29,7.5
2013-12-02,7.5
2013-12-03,7.45
2013-12-04,7.55
2013-12-05,7.6
2013-12-06,7.45
2013-12-09,7.45
2013-12-10,7.35
2013-12-11,7.45
2013-12-12,7.5
2013-12-13,7.45
2013-12-16,7.35
2013-12-17,7.3
2013-12-18,7.35
2013-12-19,7.35
2013-12-20,7.55
2013-12-23,8.3
2013-12-24,8.25
2013-12-26,8.25
2013-12-27,8.4
2013-12-30,8.2
2013-12-31,8.2
