Date,LT
2013-01-01,1624.9
2013-01-02,1649.55
2013-01-03,1636.85
2013-01-04,1628.0
2013-01-07,1588.15
2013-01-08,1566.9
2013-01-09,1549.7
2013-01-10,1546.6
2013-01-11,1531.95
2013-01-14,1554.8
2013-01-15,1560.0
2013-01-16,1544.2
2013-01-17,1527.7
2013-01-18,1537.2
2013-01-21,1567.35
2013-01-22,1553.4
2013-01-23,1561.1
2013-01-24,1585.0
2013-01-25,1611.3
2013-01-28,1597.0
2013-01-29,1594.6
2013-01-30,1563.75
2013-01-31,1541.85
2013-02-01,1533.35
2013-02-04,1534.95
2013-02-05,1534.25
2013-02-06,1513.0
2013-02-07,1496.4
2013-02-08,1511.1
2013-02-11,1489.85
2013-02-12,1495.0
2013-02-13,1482.05
2013-02-14,1441.1
2013-02-15,1444.0
2013-02-18,1468.95
2013-02-19,1462.9
2013-02-20,1457.2
2013-02-21,1425.85
2013-02-22,1435.3
2013-02-25,1401.85
2013-02-26,1365.7
2013-02-27,1409.65
2013-02-28,1367.8
2013-03-01,1400.45
2013-03-04,1364.75
2013-03-05,1395.6
2013-03-06,1432.3
2013-03-07,1463.8
2013-03-08,1497.55
2013-03-11,1510.2
2013-03-12,1500.7
2013-03-13,1495.45
2013-03-14,1522.05
2013-03-15,1508.15
2013-03-18,1510.35
2013-03-19,1470.65
2013-03-20,1436.1
2013-03-21,1394.4
2013-03-22,1399.15
2013-03-25,1366.45
2013-03-26,1337.45
2013-03-28,1366.2
2013-04-01,1398.65
2013-04-02,1425.4
2013-04-03,1379.6
2013-04-04,1361.85
2013-04-05,1349.8
2013-04-08,1325.65
2013-04-09,1320.3
2013-04-10,1353.9
2013-04-11,1379.6
2013-04-12,1359.75
2013-04-15,1382.0
2013-04-16,1427.0
2013-04-17,1424.15
2013-04-18,1475.45
2013-04-22,1533.85
2013-04-23,1504.7
2013-04-25,1519.25
2013-04-26,1540.85
2013-04-29,1529.8
2013-04-30,1512.2
2013-05-02,1552.05
2013-05-03,1570.4
2013-05-06,1559.55
2013-05-07,1578.05
2013-05-08,1562.5
2013-05-09,1562.65
2013-05-10,1562.05
2013-05-11,1563.55
2013-05-13,1517.4
2013-05-14,1521.35
2013-05-15,1580.55
2013-05-16,1592.75
2013-05-17,1623.4
2013-05-20,1622.45
2013-05-21,1605.55
2013-05-22,1513.9
2013-05-23,1418.2
2013-05-24,1456.8
2013-05-27,1467.55
2013-05-28,1454.85
2013-05-29,1446.2
2013-05-30,1427.45
2013-05-31,1400.75
2013-06-03,1387.3
2013-06-04,1409.5
2013-06-05,1419.75
2013-06-06,1431.55
2013-06-07,1412.3
2013-06-10,1404.45
2013-06-11,1403.05
2013-06-12,1396.6
2013-06-13,1393.75
2013-06-14,1440.75
2013-06-17,1455.2
2013-06-18,1437.85
2013-06-19,1437.8
2013-06-20,1395.8
2013-06-21,1392.8
2013-06-24,1354.6
2013-06-25,1367.3
2013-06-26,1352.55
2013-06-27,1350.4
2013-06-28,1407.9
2013-07-01,1451.65
2013-07-02,1429.5
2013-07-03,1392.65
2013-07-04,1402.15
2013-07-05,1408.8
2013-07-08,1403.05
2013-07-09,1428.3
2013-07-10,1413.7
2013-07-11,964.85
2013-07-12,995.5
2013-07-15,1006.4
2013-07-16,971.25
2013-07-17,968.2
2013-07-18,985.3
2013-07-19,974.0
2013-07-22,901.5
2013-07-23,901.1
2013-07-24,867.35
