Date,ALEMBICLTD
2013-01-01,16.9
2013-01-02,16.65
2013-01-03,16.9
2013-01-04,17.8
2013-01-07,18.0
2013-01-08,17.7
2013-01-09,17.8
2013-01-10,17.45
2013-01-11,16.95
2013-01-14,16.95
2013-01-15,16.85
2013-01-16,16.85
2013-01-17,16.9
2013-01-18,16.65
2013-01-21,16.6
2013-01-22,16.25
2013-01-23,16.3
2013-01-24,16.5
2013-01-25,16.4
2013-01-28,16.6
2013-01-29,16.45
2013-01-30,16.65
2013-01-31,18.1
2013-02-01,17.3
2013-02-04,18.15
2013-02-05,17.4
2013-02-06,17.55
2013-02-07,17.1
2013-02-08,16.55
2013-02-11,16.5
2013-02-12,17.05
2013-02-13,16.9
2013-02-14,16.95
2013-02-15,16.7
2013-02-18,16.8
2013-02-19,17.0
2013-02-20,17.0
2013-02-21,16.6
2013-02-22,16.5
2013-02-25,16.5
2013-02-26,16.3
2013-02-27,16.35
2013-02-28,15.85
2013-03-01,15.95
2013-03-04,15.65
2013-03-05,16.6
2013-03-06,16.85
2013-03-07,16.95
2013-03-08,17.15
2013-03-11,18.5
2013-03-12,18.15
2013-03-13,17.4
2013-03-14,17.4
2013-03-15,17.7
2013-03-18,17.05
2013-03-19,16.65
2013-03-20,16.65
2013-03-21,16.6
2013-03-22,16.05
2013-03-25,15.9
2013-03-26,15.8
2013-03-28,15.65
2013-04-01,16.2
2013-04-02,16.25
2013-04-03,16.3
2013-04-04,16.25
2013-04-05,17.05
2013-04-08,17.05
2013-04-09,16.5
2013-04-10,16.8
2013-04-11,17.05
2013-04-12,16.95
2013-04-15,17.3
2013-04-16,18.0
2013-04-17,17.6
2013-04-18,17.65
2013-04-22,18.0
2013-04-23,18.65
2013-04-25,18.2
2013-04-26,17.75
2013-04-29,18.05
2013-04-30,18.25
2013-05-02,18.3
2013-05-03,19.3
2013-05-06,20.05
2013-05-07,20.0
2013-05-08,20.05
2013-05-09,19.45
2013-05-10,18.85
2013-05-11,19.05
2013-05-13,18.65
2013-05-14,18.75
2013-05-15,20.25
2013-05-16,21.0
2013-05-17,20.55
2013-05-20,20.0
2013-05-21,19.8
2013-05-22,19.65
2013-05-23,19.4
2013-05-24,19.3
2013-05-27,19.95
2013-05-28,20.4
2013-05-29,20.05
2013-05-30,19.9
2013-05-31,19.85
2013-06-03,19.75
2013-06-04,19.65
2013-06-05,20.05
2013-06-06,20.15
2013-06-07,20.15
2013-06-10,20.1
2013-06-11,20.15
2013-06-12,20.0
2013-06-13,19.95
2013-06-14,19.95
2013-06-17,19.85
2013-06-18,19.75
2013-06-19,19.6
2013-06-20,19.55
2013-06-21,19.5
2013-06-24,19.25
2013-06-25,19.0
2013-06-26,19.6
2013-06-27,20.05
2013-06-28,20.1
2013-07-01,20.0
2013-07-02,19.95
2013-07-03,20.45
2013-07-04,22.2
2013-07-05,21.75
2013-07-08,23.2
2013-07-09,22.8
2013-07-10,22.35
2013-07-11,22.3
2013-07-12,22.0
2013-07-15,21.7
2013-07-16,21.0
2013-07-17,20.2
2013-07-18,20.25
2013-07-19,20.5
2013-07-22,20.2
2013-07-23,20.0
2013-07-24,18.9
2013-07-25,19.45
2013-07-26,18.9
2013-07-29,18.75
2013-07-30,19.2
2013-07-31,18.75
2013-08-01,18.55
2013-08-02,18.95
2013-08-05,20.2
2013-08-06,20.95
2013-08-07,21.4
2013-08-08,20.7
2013-08-12,24.55
2013-08-13,22.85
2013-08-14,23.05
2013-08-16,22.1
2013-08-19,21.75
2013-08-20,22.35
2013-08-21,21.65
2013-08-22,22.5
2013-08-23,23.4
2013-08-26,23.6
2013-08-27,22.75
2013-08-28,22.3
2013-08-29,22.55
2013-08-30,24.15
2013-09-02,24.25
2013-09-03,23.1
2013-09-04,23.75
2013-09-05,24.55
2013-09-06,24.55
2013-09-10,24.65
2013-09-11,24.65
2013-09-12,24.65
2013-09-13,24.65
2013-09-16,24.2
2013-09-17,24.65
2013-09-18,24.35
2013-09-19,25.3
2013-09-20,26.85
2013-09-23,28.1
2013-09-24,27.65
2013-09-25,27.25
2013-09-26,26.65
2013-09-27,14.05
2013-09-30,13.85
2013-10-01,13.45
2013-10-03,13.85
2013-10-04,13.65
2013-10-07,13.3
2013-10-08,13.2
2013-10-09,13.1
2013-10-10,13.5
2013-10-11,13.3
2013-10-14,13.4
2013-10-15,13.2
2013-10-17,13.3
2013-10-18,13.35
2013-10-21,13.5
2013-10-22,13.45
2013-10-23,13.45
2013-10-24,14.3
2013-10-25,15.4
2013-10-28,14.85
2013-10-29,15.0
2013-10-30,14.7
2013-10-31,14.9
2013-11-01,14.65
2013-11-03,14.85
2013-11-05,14.9
2013-11-06,15.2
2013-11-07,15.2
2013-11-08,14.9
2013-11-11,14.95
2013-11-12,15.5
2013-11-13,15.5
2013-11-14,16.6
2013-11-18,15.95
2013-11-19,15.65
2013-11-20,15.75
2013-11-21,15.35
2013-11-22,15.35
2013-11-25,14.95
2013-11-26,14.9
2013-11-27,14.8
2013-11-28,14.8
2013-11-29,14.95
2013-12-02,14.9
2013-12-03,14.8
2013-12-04,14.8
2013-12-05,14.75
2013-12-06,14.75
2013-12-09,14.6
2013-12-10,14.3
2013-12-11,14.0
2013-12-12,13.95
2013-12-13,13.8
2013-12-16,13.9
2013-12-17,13.85
2013-12-18,14.85
2013-12-19,14.2
2013-12-20,14.85
2013-12-23,14.8
2013-12-24,14.9
2013-12-26,15.1
2013-12-27,15.0
2013-12-30,14.85
2013-12-31,14.8
