Date,MPHASIS
2013-01-01,384.95
2013-01-02,383.7
2013-01-03,390.1
2013-01-04,393.5
2013-01-07,389.95
2013-01-08,398.7
2013-01-09,403.65
2013-01-10,396.0
2013-01-11,397.65
2013-01-14,397.9
2013-01-15,399.85
2013-01-16,399.85
2013-01-17,383.45
2013-01-18,382.2
2013-01-21,373.1
2013-01-22,375.55
2013-01-23,373.9
2013-01-24,357.9
2013-01-25,369.35
2013-01-28,367.0
2013-01-29,370.4
2013-01-30,368.6
2013-01-31,372.95
2013-02-01,369.35
2013-02-04,368.35
2013-02-05,365.0
2013-02-06,365.7
2013-02-07,358.3
2013-02-08,355.9
2013-02-11,348.3
2013-02-12,346.9
2013-02-13,360.05
2013-02-14,343.0
2013-02-15,358.5
2013-02-18,357.4
2013-02-19,364.1
2013-02-20,368.2
2013-02-21,371.05
2013-02-22,366.35
2013-02-25,377.4
2013-02-26,377.1
2013-02-27,377.3
2013-02-28,378.75
2013-03-01,382.0
2013-03-04,382.85
2013-03-05,397.75
2013-03-06,397.05
2013-03-07,393.85
2013-03-08,397.9
2013-03-11,405.15
2013-03-12,396.15
2013-03-13,385.15
2013-03-14,381.1
2013-03-15,391.85
2013-03-18,395.9
2013-03-19,398.2
2013-03-20,397.35
2013-03-21,393.8
2013-03-22,389.9
2013-03-25,398.2
2013-03-26,399.85
2013-03-28,391.6
2013-04-01,387.5
2013-04-02,400.6
2013-04-03,393.05
2013-04-04,384.75
2013-04-05,382.55
2013-04-08,375.05
2013-04-09,372.85
2013-04-10,369.5
2013-04-11,368.8
2013-04-12,361.35
2013-04-15,358.65
2013-04-16,363.75
2013-04-17,357.9
2013-04-18,356.7
2013-04-22,361.2
2013-04-23,374.05
2013-04-25,369.85
2013-04-26,376.3
2013-04-29,374.7
2013-04-30,374.15
2013-05-02,379.15
2013-05-03,378.9
2013-05-06,377.3
2013-05-07,418.35
2013-05-08,418.2
2013-05-09,406.35
2013-05-10,436.2
2013-05-11,430.2
2013-05-13,429.2
2013-05-14,430.05
2013-05-15,428.0
2013-05-16,448.6
2013-05-17,448.5
2013-05-20,447.9
2013-05-21,456.95
2013-05-22,453.1
2013-05-23,435.65
2013-05-24,440.95
2013-05-27,441.45
2013-05-28,436.0
2013-05-29,449.1
2013-05-30,489.45
2013-05-31,487.2
2013-06-03,477.8
2013-06-04,459.85
2013-06-05,463.75
2013-06-06,457.15
2013-06-07,443.9
2013-06-10,435.05
2013-06-11,421.7
2013-06-12,411.05
2013-06-13,386.5
2013-06-14,388.15
2013-06-17,385.65
2013-06-18,391.85
2013-06-19,398.0
2013-06-20,391.2
2013-06-21,389.85
2013-06-24,378.2
2013-06-25,383.0
2013-06-26,367.2
2013-06-27,363.0
2013-06-28,371.95
2013-07-01,370.35
2013-07-02,370.6
2013-07-03,370.5
2013-07-04,372.1
2013-07-05,371.25
2013-07-08,377.85
2013-07-09,392.35
2013-07-10,395.05
2013-07-11,393.75
2013-07-12,414.05
2013-07-15,410.75
2013-07-16,413.5
2013-07-17,415.35
2013-07-18,421.95
2013-07-19,407.25
2013-07-22,418.15
2013-07-23,408.95
2013-07-24,405.6
2013-07-25,391.9
2013-07-26,403.55
2013-07-29,387.5
2013-07-30,402.05
2013-07-31,400.85
2013-08-01,401.2
2013-08-02,408.8
2013-08-05,406.85
2013-08-06,397.85
2013-08-07,407.95
2013-08-08,405.5
2013-08-12,407.3
2013-08-13,400.65
2013-08-14,399.8
2013-08-16,394.2
2013-08-19,382.2
2013-08-20,372.4
2013-08-21,373.6
2013-08-22,387.25
2013-08-23,397.6
2013-08-26,400.5
2013-08-27,394.95
2013-08-28,412.55
2013-08-29,422.2
2013-08-30,420.8
2013-09-02,435.1
2013-09-03,444.65
2013-09-04,431.0
2013-09-05,426.6
2013-09-06,417.5
2013-09-10,426.85
2013-09-11,440.05
2013-09-12,438.95
2013-09-13,447.75
2013-09-16,441.6
2013-09-17,439.8
2013-09-18,446.05
2013-09-19,436.45
2013-09-20,429.4
2013-09-23,431.9
2013-09-24,423.3
2013-09-25,434.8
2013-09-26,428.35
2013-09-27,430.65
2013-09-30,438.75
2013-10-01,453.15
2013-10-03,456.6
2013-10-04,447.6
2013-10-07,438.75
2013-10-08,446.3
2013-10-09,437.55
2013-10-10,448.4
2013-10-11,446.65
2013-10-14,449.7
2013-10-15,450.1
2013-10-17,449.0
2013-10-18,446.65
2013-10-21,448.5
2013-10-22,439.1
2013-10-23,440.65
2013-10-24,441.9
2013-10-25,429.2
2013-10-28,425.7
2013-10-29,425.9
2013-10-30,422.45
2013-10-31,423.4
2013-11-01,426.55
2013-11-03,430.95
2013-11-05,421.25
2013-11-06,419.55
2013-11-07,415.85
2013-11-08,411.75
2013-11-11,412.85
2013-11-12,413.15
2013-11-13,422.45
2013-11-14,418.65
2013-11-18,416.35
2013-11-19,413.25
2013-11-20,414.7
2013-11-21,413.4
2013-11-22,412.7
2013-11-25,405.45
2013-11-26,391.2
2013-11-27,394.75
2013-11-28,397.4
2013-11-29,399.45
2013-12-02,398.3
2013-12-03,399.45
2013-12-04,400.15
2013-12-05,402.4
2013-12-06,395.3
2013-12-09,392.25
2013-12-10,393.15
2013-12-11,393.05
2013-12-12,390.25
2013-12-13,382.3
2013-12-16,380.15
2013-12-17,379.6
2013-12-18,398.5
2013-12-19,408.7
2013-12-20,407.95
2013-12-23,414.75
2013-12-24,430.35
2013-12-26,425.3
2013-12-27,423.05
2013-12-30,432.0
2013-12-31,440.0
