Date,BAJFINANCE
2013-01-01,1365.15
2013-01-02,1350.15
2013-01-03,1386.5
2013-01-04,1387.15
2013-01-07,1385.1
2013-01-08,1383.85
2013-01-09,1371.25
2013-01-10,1405.45
2013-01-11,1385.0
2013-01-14,1393.85
2013-01-15,1406.05
2013-01-16,1385.8
2013-01-17,1382.35
2013-01-18,1371.45
2013-01-21,1391.35
2013-01-22,1389.55
2013-01-23,1320.1
2013-01-24,1302.0
2013-01-25,1307.65
2013-01-28,1300.5
2013-01-29,1295.25
2013-01-30,1305.1
2013-01-31,1291.75
2013-02-01,1296.15
2013-02-04,1292.5
2013-02-05,1280.3
2013-02-06,1279.85
2013-02-07,1261.6
2013-02-08,1250.95
2013-02-11,1244.85
2013-02-12,1241.95
2013-02-13,1259.4
2013-02-14,1291.95
2013-02-15,1289.3
2013-02-18,1278.1
2013-02-19,1271.0
2013-02-20,1285.1
2013-02-21,1264.8
2013-02-22,1239.05
2013-02-25,1286.6
2013-02-26,1279.35
2013-02-27,1311.1
2013-02-28,1281.35
2013-03-01,1282.3
2013-03-04,1257.2
2013-03-05,1271.6
2013-03-06,1248.3
2013-03-07,1258.3
2013-03-08,1284.75
2013-03-11,1278.85
2013-03-12,1262.35
2013-03-13,1252.6
2013-03-14,1266.45
2013-03-15,1299.0
2013-03-18,1283.45
2013-03-19,1253.5
2013-03-20,1249.1
2013-03-21,1236.05
2013-03-22,1209.7
2013-03-25,1174.3
2013-03-26,1136.5
2013-03-28,1148.1
2013-04-01,1173.1
2013-04-02,1182.55
2013-04-03,1206.9
2013-04-04,1195.15
2013-04-05,1172.8
2013-04-08,1172.6
2013-04-09,1136.95
2013-04-10,1123.75
2013-04-11,1110.7
2013-04-12,1119.5
2013-04-15,1113.65
2013-04-16,1124.25
2013-04-17,1145.65
2013-04-18,1171.45
2013-04-22,1222.05
2013-04-23,1239.15
2013-04-25,1290.5
2013-04-26,1261.1
2013-04-29,1215.7
2013-04-30,1226.25
2013-05-02,1268.1
2013-05-03,1242.3
2013-05-06,1260.05
2013-05-07,1281.35
2013-05-08,1362.1
2013-05-09,1390.0
2013-05-10,1399.45
2013-05-11,1410.95
2013-05-13,1378.75
2013-05-14,1380.35
2013-05-15,1401.15
2013-05-16,1473.6
2013-05-17,1509.25
2013-05-20,1581.15
2013-05-21,1492.4
2013-05-22,1444.3
2013-05-23,1425.2
2013-05-24,1441.85
2013-05-27,1455.6
2013-05-28,1474.85
2013-05-29,1482.05
2013-05-30,1470.75
2013-05-31,1472.35
2013-06-03,1477.9
2013-06-04,1457.75
2013-06-05,1467.0
2013-06-06,1454.35
2013-06-07,1503.35
2013-06-10,1493.65
2013-06-11,1494.9
2013-06-12,1456.4
2013-06-13,1437.6
2013-06-14,1439.65
2013-06-17,1438.0
2013-06-18,1439.35
2013-06-19,1429.65
2013-06-20,1422.0
2013-06-21,1397.55
2013-06-24,1341.5
2013-06-25,1376.5
2013-06-26,1374.15
2013-06-27,1348.5
2013-06-28,1384.75
2013-07-01,1439.0
2013-07-02,1418.85
2013-07-03,1417.75
2013-07-04,1408.0
2013-07-05,1413.4
2013-07-08,1387.15
2013-07-09,1392.1
2013-07-10,1394.9
2013-07-11,1449.35
2013-07-12,1441.15
2013-07-15,1481.15
2013-07-16,1420.05
2013-07-17,1410.6
2013-07-18,1374.55
2013-07-19,1325.35
2013-07-22,1340.95
2013-07-23,1356.35
2013-07-24,1313.15
2013-07-25,1302.6
2013-07-26,1253.7
2013-07-29,1210.5
2013-07-30,1179.9
2013-07-31,1143.95
