Date,MCDHOLDING
2013-01-01,80.0
2013-01-02,80.95
2013-01-03,80.1
2013-01-04,79.65
2013-01-07,79.05
2013-01-08,76.95
2013-01-09,76.6
2013-01-10,75.9
2013-01-11,75.0
2013-01-14,73.7
2013-01-15,74.2
2013-01-16,72.75
2013-01-17,72.55
2013-01-18,72.3
2013-01-21,75.1
2013-01-22,73.9
2013-01-23,72.4
2013-01-24,70.45
2013-01-25,69.85
2013-01-28,71.15
2013-01-29,69.65
2013-01-30,69.1
2013-01-31,69.0
2013-02-01,69.35
2013-02-04,67.75
2013-02-05,71.0
2013-02-06,69.55
2013-02-07,70.5
2013-02-08,68.25
2013-02-11,66.9
2013-02-12,64.2
2013-02-13,58.95
2013-02-14,55.35
2013-02-15,52.75
2013-02-18,52.15
2013-02-19,54.75
2013-02-20,54.35
2013-02-21,51.9
2013-02-22,52.45
2013-02-25,50.25
2013-02-26,48.4
2013-02-27,49.1
2013-02-28,49.65
2013-03-01,48.5
2013-03-04,46.1
2013-03-05,48.4
2013-03-06,49.6
2013-03-07,48.5
2013-03-08,49.05
2013-03-11,50.8
2013-03-12,48.65
2013-03-13,48.25
2013-03-14,48.65
2013-03-15,45.9
2013-03-18,45.85
2013-03-19,45.0
2013-03-20,41.6
2013-03-21,39.7
2013-03-22,36.65
2013-03-25,36.6
2013-03-26,36.1
2013-03-28,34.45
2013-04-01,36.15
2013-04-02,37.95
2013-04-03,37.9
2013-04-04,37.0
2013-04-05,36.45
2013-04-08,36.45
2013-04-09,35.5
2013-04-10,35.35
2013-04-11,34.85
2013-04-12,34.1
2013-04-15,34.25
2013-04-16,33.7
2013-04-17,34.5
2013-04-18,34.7
2013-04-22,33.75
2013-04-23,33.5
2013-04-25,33.25
2013-04-26,33.6
2013-04-29,33.55
2013-04-30,32.85
2013-05-02,32.65
2013-05-03,32.8
2013-05-06,32.95
2013-05-07,32.65
2013-05-08,31.75
2013-05-09,30.9
2013-05-10,31.2
2013-05-11,31.2
2013-05-13,31.2
2013-05-14,30.6
2013-05-15,31.95
2013-05-16,31.4
2013-05-17,29.75
2013-05-20,29.55
2013-05-21,30.15
2013-05-22,29.85
2013-05-23,28.55
2013-05-24,31.4
2013-05-27,31.55
2013-05-28,30.9
2013-05-29,30.75
2013-05-30,30.0
2013-05-31,29.05
2013-06-03,28.45
2013-06-04,28.3
2013-06-05,28.1
2013-06-06,27.85
2013-06-07,27.45
2013-06-10,24.75
2013-06-11,22.4
2013-06-12,21.85
2013-06-13,22.5
2013-06-14,21.95
2013-06-17,21.55
2013-06-18,20.7
2013-06-19,21.25
2013-06-20,21.25
2013-06-21,21.2
2013-06-24,20.15
2013-06-25,19.15
2013-06-26,18.25
2013-06-27,17.35
2013-06-28,17.75
2013-07-01,18.6
2013-07-02,19.5
2013-07-03,19.9
2013-07-04,19.7
2013-07-05,21.5
2013-07-08,22.9
2013-07-09,24.6
2013-07-10,24.45
2013-07-11,22.9
2013-07-12,21.85
2013-07-15,23.4
2013-07-16,22.4
2013-07-17,20.6
2013-07-18,22.0
2013-07-19,23.1
2013-07-22,24.9
2013-07-23,23.6
2013-07-24,22.65
2013-07-25,23.95
2013-07-26,23.1
2013-07-29,22.85
2013-07-30,21.35
2013-07-31,21.0
2013-08-01,20.25
2013-08-02,18.95
2013-08-05,18.35
2013-08-06,17.1
2013-08-07,18.7
2013-08-08,19.4
2013-08-12,19.45
2013-08-13,21.35
2013-08-14,23.45
2013-08-16,23.2
2013-08-19,22.05
2013-08-20,23.15
2013-08-21,22.0
2013-08-22,20.9
2013-08-23,20.05
2013-08-26,20.5
2013-08-27,19.5
2013-08-28,19.55
2013-08-29,19.55
2013-08-30,19.0
2013-09-02,19.95
2013-09-03,20.05
2013-09-04,20.65
2013-09-05,20.9
2013-09-06,21.3
2013-09-10,20.95
2013-09-11,21.3
2013-09-12,20.9
2013-09-13,21.55
2013-09-16,21.7
2013-09-17,20.95
2013-09-18,20.7
2013-09-19,21.0
2013-09-20,20.75
2013-09-23,20.8
2013-09-24,22.85
2013-09-25,25.1
2013-09-26,23.0
2013-09-27,24.15
2013-09-30,23.75
2013-10-01,23.15
2013-10-03,25.15
2013-10-04,24.5
2013-10-07,24.65
2013-10-08,24.2
2013-10-09,24.2
2013-10-10,23.95
2013-10-11,23.85
2013-10-14,24.25
2013-10-15,23.5
2013-10-17,23.2
2013-10-18,22.65
2013-10-21,23.6
2013-10-22,24.05
2013-10-23,23.7
2013-10-24,24.6
2013-10-25,27.05
2013-10-28,29.75
2013-10-29,29.8
2013-10-30,29.35
2013-10-31,28.5
2013-11-01,27.9
2013-11-03,28.25
2013-11-05,28.65
2013-11-06,30.05
2013-11-07,28.55
2013-11-08,27.15
2013-11-11,26.8
2013-11-12,26.35
2013-11-13,26.1
2013-11-14,25.6
2013-11-18,25.4
2013-11-19,24.85
2013-11-20,24.65
2013-11-21,23.85
2013-11-22,23.65
2013-11-25,23.95
2013-11-26,23.75
2013-11-27,23.6
2013-11-28,23.05
2013-11-29,23.5
2013-12-02,23.25
2013-12-03,23.15
2013-12-04,22.9
2013-12-05,22.8
2013-12-06,22.8
2013-12-09,23.0
2013-12-10,22.6
2013-12-11,22.75
2013-12-12,23.75
2013-12-13,23.35
2013-12-16,24.5
2013-12-17,25.7
2013-12-18,26.95
2013-12-19,28.25
2013-12-20,29.65
2013-12-23,31.1
2013-12-24,32.65
2013-12-26,34.25
2013-12-27,35.95
2013-12-30,37.7
2013-12-31,39.55
