Date,UNITY
2013-01-01,46.15
2013-01-02,46.55
2013-01-03,46.35
2013-01-04,46.2
2013-01-07,45.95
2013-01-08,46.7
2013-01-09,46.65
2013-01-10,46.15
2013-01-11,44.8
2013-01-14,45.4
2013-01-15,45.15
2013-01-16,43.55
2013-01-17,43.7
2013-01-18,43.85
2013-01-21,43.8
2013-01-22,42.6
2013-01-23,41.6
2013-01-24,39.25
2013-01-25,40.15
2013-01-28,40.6
2013-01-29,39.3
2013-01-30,39.1
2013-01-31,39.85
2013-02-01,39.5
2013-02-04,39.4
2013-02-05,39.0
2013-02-06,38.9
2013-02-07,37.95
2013-02-08,37.45
2013-02-11,37.3
2013-02-12,37.4
2013-02-13,36.35
2013-02-14,37.3
2013-02-15,35.95
2013-02-18,35.9
2013-02-19,36.0
2013-02-20,35.8
2013-02-21,34.75
2013-02-22,35.55
2013-02-25,34.15
2013-02-26,32.7
2013-02-27,32.35
2013-02-28,30.85
2013-03-01,30.2
2013-03-04,29.3
2013-03-05,31.15
2013-03-06,32.8
2013-03-07,32.75
2013-03-08,33.15
2013-03-11,32.6
2013-03-12,32.8
2013-03-13,31.5
2013-03-14,31.2
2013-03-15,31.55
2013-03-18,31.35
2013-03-19,30.1
2013-03-20,28.7
2013-03-21,28.6
2013-03-22,27.85
2013-03-25,26.95
2013-03-26,26.3
2013-03-28,26.6
2013-04-01,29.55
2013-04-02,30.9
2013-04-03,30.15
2013-04-04,29.05
2013-04-05,29.15
2013-04-08,29.75
2013-04-09,29.05
2013-04-10,29.35
2013-04-11,29.15
2013-04-12,28.65
2013-04-15,28.75
2013-04-16,29.25
2013-04-17,29.05
2013-04-18,32.05
2013-04-22,33.05
2013-04-23,31.85
2013-04-25,32.3
2013-04-26,31.4
2013-04-29,31.1
2013-04-30,30.6
2013-05-02,31.15
2013-05-03,30.6
2013-05-06,30.85
2013-05-07,31.35
2013-05-08,31.15
2013-05-09,30.8
2013-05-10,31.05
2013-05-11,31.35
2013-05-13,30.45
2013-05-14,30.3
2013-05-15,31.75
2013-05-16,31.8
2013-05-17,33.85
2013-05-20,33.45
2013-05-21,32.7
2013-05-22,32.1
2013-05-23,30.55
2013-05-24,30.8
2013-05-27,32.2
2013-05-28,32.45
2013-05-29,31.35
2013-05-30,31.45
2013-05-31,29.25
2013-06-03,29.0
2013-06-04,29.05
2013-06-05,29.15
2013-06-06,29.45
2013-06-07,29.15
2013-06-10,28.95
2013-06-11,28.05
2013-06-12,26.8
2013-06-13,26.8
2013-06-14,27.2
2013-06-17,27.65
2013-06-18,27.35
2013-06-19,27.3
2013-06-20,26.75
2013-06-21,25.95
2013-06-24,23.55
2013-06-25,25.25
2013-06-26,25.9
2013-06-27,24.9
2013-06-28,25.55
2013-07-01,26.65
2013-07-02,26.9
2013-07-03,25.65
2013-07-04,25.5
2013-07-05,25.35
2013-07-08,24.8
2013-07-09,25.25
2013-07-10,24.95
2013-07-11,25.15
2013-07-12,24.9
2013-07-15,25.3
2013-07-16,24.7
2013-07-17,24.55
2013-07-18,24.45
2013-07-19,24.25
2013-07-22,23.85
2013-07-23,24.0
2013-07-24,23.6
2013-07-25,22.55
2013-07-26,22.25
2013-07-29,21.6
2013-07-30,19.4
2013-07-31,18.95
2013-08-01,18.5
2013-08-02,17.75
2013-08-05,17.35
2013-08-06,17.15
2013-08-07,20.1
2013-08-08,19.6
2013-08-12,19.2
2013-08-13,20.2
2013-08-14,20.0
2013-08-16,18.85
2013-08-19,18.35
2013-08-20,18.6
2013-08-21,18.25
2013-08-22,18.45
2013-08-23,18.7
2013-08-26,19.1
2013-08-27,18.3
2013-08-28,17.9
2013-08-29,17.95
2013-08-30,18.05
2013-09-02,18.95
2013-09-03,17.35
2013-09-04,17.4
2013-09-05,18.0
2013-09-06,18.2
2013-09-10,18.6
2013-09-11,19.7
2013-09-12,19.55
2013-09-13,20.25
2013-09-16,20.05
2013-09-17,19.75
2013-09-18,21.35
2013-09-19,21.55
2013-09-20,20.6
2013-09-23,20.25
2013-09-24,20.0
2013-09-25,19.75
2013-09-26,19.35
2013-09-27,18.95
2013-09-30,18.2
2013-10-01,18.55
2013-10-03,18.85
2013-10-04,21.2
2013-10-07,22.05
2013-10-08,21.65
2013-10-09,22.2
2013-10-10,21.9
2013-10-11,21.8
2013-10-14,23.2
2013-10-15,23.35
2013-10-17,22.95
2013-10-18,23.15
2013-10-21,23.1
2013-10-22,23.75
2013-10-23,23.4
2013-10-24,23.15
2013-10-25,22.7
2013-10-28,22.05
2013-10-29,23.45
2013-10-30,23.3
2013-10-31,23.35
2013-11-01,23.6
2013-11-03,23.7
2013-11-05,25.05
2013-11-06,25.5
2013-11-07,25.05
2013-11-08,25.15
2013-11-11,24.15
2013-11-12,23.1
2013-11-13,22.75
2013-11-14,22.95
2013-11-18,23.05
2013-11-19,23.2
2013-11-20,23.8
2013-11-21,23.35
2013-11-22,22.8
2013-11-25,23.25
2013-11-26,23.05
2013-11-27,23.1
2013-11-28,23.15
2013-11-29,23.4
2013-12-02,24.15
2013-12-03,24.1
2013-12-04,24.55
2013-12-05,25.4
2013-12-06,25.35
2013-12-09,25.6
2013-12-10,25.3
2013-12-11,25.0
2013-12-12,25.25
2013-12-13,24.8
2013-12-16,24.7
2013-12-17,24.95
2013-12-18,24.8
2013-12-19,24.4
2013-12-20,25.15
2013-12-23,25.15
2013-12-24,25.25
2013-12-26,26.3
2013-12-27,26.8
2013-12-30,26.9
2013-12-31,27.25
