Date,COROMANDEL
2013-01-01,264.3
2013-01-02,263.7
2013-01-03,258.55
2013-01-04,258.2
2013-01-07,261.2
2013-01-08,264.85
2013-01-09,262.7
2013-01-10,262.0
2013-01-11,262.35
2013-01-14,257.6
2013-01-15,256.0
2013-01-16,256.95
2013-01-17,256.9
2013-01-18,252.8
2013-01-21,249.05
2013-01-22,249.0
2013-01-23,238.75
2013-01-24,231.35
2013-01-25,224.95
2013-01-28,227.2
2013-01-29,226.0
2013-01-30,226.85
2013-01-31,223.8
2013-02-01,227.1
2013-02-04,227.05
2013-02-05,225.05
2013-02-06,225.25
2013-02-07,223.0
2013-02-08,215.05
2013-02-11,212.35
2013-02-12,212.65
2013-02-13,216.95
2013-02-14,211.1
2013-02-15,210.1
2013-02-18,209.3
2013-02-19,211.45
2013-02-20,210.45
2013-02-21,206.0
2013-02-22,202.4
2013-02-25,206.05
2013-02-26,200.95
2013-02-27,202.1
2013-02-28,201.4
2013-03-01,201.3
2013-03-04,200.95
2013-03-05,200.85
2013-03-06,199.7
2013-03-07,199.4
2013-03-08,205.85
2013-03-11,212.65
2013-03-12,213.7
2013-03-13,210.85
2013-03-14,210.05
2013-03-15,201.7
2013-03-18,197.95
2013-03-19,206.95
2013-03-20,199.95
2013-03-21,202.0
2013-03-22,196.15
2013-03-25,195.1
2013-03-26,189.0
2013-03-28,184.95
2013-04-01,193.75
2013-04-02,193.0
2013-04-03,192.15
2013-04-04,182.65
2013-04-05,185.5
2013-04-08,184.95
2013-04-09,182.7
2013-04-10,182.75
2013-04-11,184.35
2013-04-12,188.85
2013-04-15,195.15
2013-04-16,193.35
2013-04-17,195.55
2013-04-18,198.5
2013-04-22,194.35
2013-04-23,190.25
2013-04-25,186.3
2013-04-26,183.65
2013-04-29,199.25
2013-04-30,194.65
2013-05-02,189.6
2013-05-03,188.95
2013-05-06,189.55
2013-05-07,186.15
2013-05-08,187.6
2013-05-09,191.8
2013-05-10,193.05
2013-05-11,192.2
2013-05-13,192.15
2013-05-14,192.6
2013-05-15,192.3
2013-05-16,189.05
2013-05-17,186.9
2013-05-20,191.6
2013-05-21,186.45
2013-05-22,186.65
2013-05-23,183.95
2013-05-24,186.3
2013-05-27,189.65
2013-05-28,198.8
2013-05-29,202.85
2013-05-30,202.4
2013-05-31,191.15
2013-06-03,191.7
2013-06-04,192.45
2013-06-05,194.75
2013-06-06,195.2
2013-06-07,195.9
2013-06-10,195.0
2013-06-11,194.45
2013-06-12,189.95
2013-06-13,186.8
2013-06-14,189.1
2013-06-17,188.25
2013-06-18,185.1
2013-06-19,184.75
2013-06-20,184.85
2013-06-21,175.8
2013-06-24,171.65
2013-06-25,172.9
2013-06-26,172.0
2013-06-27,169.35
2013-06-28,183.1
2013-07-01,183.95
2013-07-02,180.2
2013-07-03,178.2
2013-07-04,180.0
2013-07-05,180.65
2013-07-08,179.7
2013-07-09,179.15
2013-07-10,178.05
2013-07-11,178.25
2013-07-12,178.95
2013-07-15,179.05
2013-07-16,179.15
2013-07-17,179.1
2013-07-18,179.7
2013-07-19,179.05
2013-07-22,179.45
2013-07-23,175.1
2013-07-24,165.6
2013-07-25,166.1
2013-07-26,170.3
2013-07-29,170.5
2013-07-30,170.7
2013-07-31,168.55
2013-08-01,169.0
2013-08-02,169.0
2013-08-05,169.1
2013-08-06,168.95
2013-08-07,173.05
2013-08-08,171.2
2013-08-12,172.75
2013-08-13,175.45
2013-08-14,173.0
2013-08-16,171.75
2013-08-19,168.9
2013-08-20,172.7
2013-08-21,178.5
2013-08-22,185.2
2013-08-23,189.1
2013-08-26,197.35
2013-08-27,194.0
2013-08-28,192.0
2013-08-29,190.65
2013-08-30,195.15
2013-09-02,192.75
2013-09-03,187.8
2013-09-04,193.1
2013-09-05,194.75
2013-09-06,208.35
2013-09-10,217.8
2013-09-11,222.2
2013-09-12,223.3
2013-09-13,228.55
2013-09-16,220.15
2013-09-17,219.45
2013-09-18,221.45
2013-09-19,229.85
2013-09-20,231.5
2013-09-23,230.25
2013-09-24,221.1
2013-09-25,229.2
2013-09-26,234.95
2013-09-27,229.9
2013-09-30,234.05
2013-10-01,231.1
2013-10-03,229.95
2013-10-04,227.35
2013-10-07,230.0
2013-10-08,225.4
2013-10-09,224.75
2013-10-10,227.8
2013-10-11,222.25
2013-10-14,229.65
2013-10-15,227.85
2013-10-17,229.15
2013-10-18,229.15
2013-10-21,229.95
2013-10-22,231.55
2013-10-23,231.05
2013-10-24,230.0
2013-10-25,227.2
2013-10-28,221.75
2013-10-29,220.85
2013-10-30,219.15
2013-10-31,222.45
2013-11-01,219.4
2013-11-03,221.55
2013-11-05,219.0
2013-11-06,219.3
2013-11-07,217.5
2013-11-08,217.05
2013-11-11,217.8
2013-11-12,217.6
2013-11-13,214.1
2013-11-14,217.15
2013-11-18,217.0
2013-11-19,217.5
2013-11-20,214.1
2013-11-21,216.35
2013-11-22,217.45
2013-11-25,216.1
2013-11-26,215.75
2013-11-27,216.35
2013-11-28,235.3
2013-11-29,236.25
2013-12-02,229.45
2013-12-03,227.05
2013-12-04,225.05
2013-12-05,224.8
2013-12-06,224.9
2013-12-09,226.05
2013-12-10,226.05
2013-12-11,230.8
2013-12-12,248.75
2013-12-13,236.9
2013-12-16,233.05
2013-12-17,230.3
2013-12-18,231.0
2013-12-19,230.2
2013-12-20,230.95
2013-12-23,232.05
2013-12-24,232.45
2013-12-26,233.85
2013-12-27,234.95
2013-12-30,229.1
2013-12-31,239.3
