Date,KCP
2013-01-01,45.85
2013-01-02,46.0
2013-01-03,45.4
2013-01-04,46.0
2013-01-07,44.8
2013-01-08,44.05
2013-01-09,43.25
2013-01-10,43.5
2013-01-11,42.15
2013-01-14,42.55
2013-01-15,41.85
2013-01-16,41.55
2013-01-17,42.0
2013-01-18,41.5
2013-01-21,40.95
2013-01-22,40.75
2013-01-23,40.65
2013-01-24,39.5
2013-01-25,40.1
2013-01-28,39.9
2013-01-29,39.9
2013-01-30,39.85
2013-01-31,38.9
2013-02-01,38.8
2013-02-04,38.35
2013-02-05,37.8
2013-02-06,38.15
2013-02-07,38.15
2013-02-08,37.35
2013-02-11,36.5
2013-02-12,35.65
2013-02-13,35.3
2013-02-14,34.15
2013-02-15,33.8
2013-02-18,33.9
2013-02-19,34.0
2013-02-20,34.95
2013-02-21,34.05
2013-02-22,33.85
2013-02-25,33.35
2013-02-26,30.05
2013-02-27,30.85
2013-02-28,30.25
2013-03-01,30.6
2013-03-04,30.1
2013-03-05,30.15
2013-03-06,29.95
2013-03-07,28.85
2013-03-08,27.9
2013-03-11,29.0
2013-03-12,29.2
2013-03-13,28.15
2013-03-14,29.15
2013-03-15,28.5
2013-03-18,28.45
2013-03-19,28.6
2013-03-20,28.0
2013-03-21,28.05
2013-03-22,28.75
2013-03-25,28.0
2013-03-26,27.75
2013-03-28,28.55
2013-04-01,29.3
2013-04-02,31.1
2013-04-03,31.3
2013-04-04,31.45
2013-04-05,31.55
2013-04-08,29.15
2013-04-09,29.15
2013-04-10,29.65
2013-04-11,31.9
2013-04-12,30.65
2013-04-15,31.35
2013-04-16,30.75
2013-04-17,31.0
2013-04-18,30.65
2013-04-22,30.8
2013-04-23,31.1
2013-04-25,30.55
2013-04-26,30.2
2013-04-29,30.45
2013-04-30,30.9
2013-05-02,29.75
2013-05-03,29.45
2013-05-06,30.05
2013-05-07,30.1
2013-05-08,30.15
2013-05-09,30.25
2013-05-10,30.1
2013-05-11,30.05
2013-05-13,29.85
2013-05-14,30.4
2013-05-15,31.9
2013-05-16,30.4
2013-05-17,30.85
2013-05-20,30.05
2013-05-21,29.45
2013-05-22,29.4
2013-05-23,29.15
2013-05-24,28.95
2013-05-27,28.65
2013-05-28,28.95
2013-05-29,28.75
2013-05-30,28.35
2013-05-31,28.8
2013-06-03,28.95
2013-06-04,28.55
2013-06-05,28.35
2013-06-06,28.4
2013-06-07,30.0
2013-06-10,30.2
2013-06-11,29.05
2013-06-12,29.95
2013-06-13,30.0
2013-06-14,29.6
2013-06-17,29.35
2013-06-18,29.05
2013-06-19,28.3
2013-06-20,28.2
2013-06-21,27.95
2013-06-24,27.45
2013-06-25,27.6
2013-06-26,27.4
2013-06-27,27.4
2013-06-28,27.5
2013-07-01,27.85
2013-07-02,27.4
2013-07-03,27.25
2013-07-04,27.75
2013-07-05,27.9
2013-07-08,27.9
2013-07-09,27.7
2013-07-10,27.7
2013-07-11,27.4
2013-07-12,27.4
2013-07-15,27.6
2013-07-16,27.35
2013-07-17,27.4
2013-07-18,27.6
2013-07-19,27.5
2013-07-22,27.3
2013-07-23,27.75
2013-07-24,27.3
2013-07-25,27.05
2013-07-26,27.3
2013-07-29,27.5
2013-07-30,27.1
2013-07-31,27.2
2013-08-01,25.7
2013-08-02,25.6
2013-08-05,25.45
2013-08-06,25.0
2013-08-07,24.9
2013-08-08,24.9
2013-08-12,25.0
2013-08-13,25.2
2013-08-14,25.3
2013-08-16,25.0
2013-08-19,24.2
2013-08-20,24.9
2013-08-21,24.35
2013-08-22,24.9
2013-08-23,25.0
2013-08-26,25.1
2013-08-27,24.4
2013-08-28,24.5
2013-08-29,24.5
2013-08-30,24.5
2013-09-02,24.5
2013-09-03,24.5
2013-09-04,24.55
2013-09-05,24.45
2013-09-06,24.4
2013-09-10,24.1
2013-09-11,24.75
2013-09-12,24.3
2013-09-13,24.7
2013-09-16,24.85
2013-09-17,24.65
2013-09-18,24.45
2013-09-19,24.65
2013-09-20,24.5
2013-09-23,24.55
2013-09-24,24.35
2013-09-25,24.4
2013-09-26,24.5
2013-09-27,25.3
2013-09-30,24.85
2013-10-01,24.75
2013-10-03,24.8
2013-10-04,24.55
2013-10-07,24.45
2013-10-08,24.15
2013-10-09,24.3
2013-10-10,24.25
2013-10-11,24.3
2013-10-14,24.3
2013-10-15,24.5
2013-10-17,24.95
2013-10-18,24.95
2013-10-21,24.4
2013-10-22,24.4
2013-10-23,24.35
2013-10-24,24.2
2013-10-25,24.1
2013-10-28,24.0
2013-10-29,24.0
2013-10-30,23.85
2013-10-31,23.65
2013-11-01,23.8
2013-11-03,24.45
2013-11-05,24.3
2013-11-06,25.0
2013-11-07,25.25
2013-11-08,24.7
2013-11-11,25.5
2013-11-12,25.2
2013-11-13,25.0
2013-11-14,25.3
2013-11-18,24.65
2013-11-19,25.15
2013-11-20,25.55
2013-11-21,25.0
2013-11-22,25.55
2013-11-25,24.85
2013-11-26,25.5
2013-11-27,26.1
2013-11-28,25.4
2013-11-29,25.4
2013-12-02,27.0
2013-12-03,26.0
2013-12-04,26.3
2013-12-05,26.5
2013-12-06,26.9
2013-12-09,27.7
2013-12-10,27.6
2013-12-11,27.7
2013-12-12,27.55
2013-12-13,27.0
2013-12-16,27.2
2013-12-17,27.25
2013-12-18,27.35
2013-12-19,27.3
2013-12-20,27.45
2013-12-23,28.0
2013-12-24,28.55
2013-12-26,28.6
2013-12-27,28.5
2013-12-30,27.8
2013-12-31,27.45
