Date,MUKANDENGG
2013-01-01,41.95
2013-01-02,39.85
2013-01-03,38.6
2013-01-04,38.45
2013-01-07,39.45
2013-01-08,41.95
2013-01-09,40.6
2013-01-10,39.35
2013-01-11,40.1
2013-01-14,39.6
2013-01-15,39.2
2013-01-16,38.0
2013-01-17,38.4
2013-01-18,36.6
2013-01-21,35.7
2013-01-22,37.75
2013-01-23,36.55
2013-01-24,35.4
2013-01-25,34.6
2013-01-28,35.25
2013-01-29,34.6
2013-01-30,33.9
2013-01-31,32.8
2013-02-01,33.1
2013-02-04,32.15
2013-02-05,32.05
2013-02-06,31.9
2013-02-07,31.35
2013-02-08,29.7
2013-02-11,28.9
2013-02-12,29.5
2013-02-13,29.35
2013-02-14,28.95
2013-02-15,27.15
2013-02-18,27.35
2013-02-19,28.35
2013-02-20,28.25
2013-02-21,28.2
2013-02-22,27.75
2013-02-25,27.1
2013-02-26,24.85
2013-02-27,25.5
2013-02-28,25.7
2013-03-01,25.45
2013-03-04,24.6
2013-03-05,25.75
2013-03-06,26.05
2013-03-07,25.75
2013-03-08,27.1
2013-03-11,27.65
2013-03-12,27.7
2013-03-13,26.6
2013-03-14,26.7
2013-03-15,26.45
2013-03-18,26.45
2013-03-19,25.6
2013-03-20,25.05
2013-03-21,24.8
2013-03-22,23.4
2013-03-25,22.35
2013-03-26,23.15
2013-03-28,25.05
2013-04-01,25.3
2013-04-02,25.75
2013-04-03,25.5
2013-04-04,25.45
2013-04-05,25.55
2013-04-08,26.45
2013-04-09,25.8
2013-04-10,24.55
2013-04-11,25.6
2013-04-12,25.45
2013-04-15,26.25
2013-04-16,27.05
2013-04-17,26.9
2013-04-18,26.75
2013-04-22,27.4
2013-04-23,26.9
2013-04-25,29.5
2013-04-26,29.55
2013-04-29,29.0
2013-04-30,28.5
2013-05-02,28.0
2013-05-03,27.75
2013-05-06,26.95
2013-05-07,27.1
2013-05-08,27.0
2013-05-09,26.9
2013-05-10,27.05
2013-05-11,28.15
2013-05-13,27.9
2013-05-14,27.5
2013-05-15,27.65
2013-05-16,28.0
2013-05-17,27.8
2013-05-20,27.1
2013-05-21,26.75
2013-05-22,27.4
2013-05-23,25.85
2013-05-24,26.1
2013-05-27,25.5
2013-05-28,25.6
2013-05-29,25.35
2013-05-30,25.0
2013-05-31,25.0
2013-06-03,23.95
2013-06-04,23.5
2013-06-05,23.2
2013-06-06,22.95
2013-06-07,24.05
2013-06-10,24.4
2013-06-11,24.15
2013-06-12,24.05
2013-06-13,23.65
2013-06-14,23.6
2013-06-17,24.15
2013-06-18,24.1
2013-06-19,24.25
2013-06-20,23.7
2013-06-21,23.45
2013-06-24,22.9
2013-06-25,22.45
2013-06-26,22.0
2013-06-27,22.35
2013-06-28,22.45
2013-07-01,23.0
2013-07-02,23.45
2013-07-03,24.0
2013-07-04,23.95
2013-07-05,24.55
2013-07-08,24.0
2013-07-09,23.8
2013-07-10,24.4
2013-07-11,23.3
2013-07-12,23.95
2013-07-15,23.8
2013-07-16,24.25
2013-07-17,23.75
2013-07-18,23.4
2013-07-19,23.7
2013-07-22,23.55
2013-07-23,23.1
2013-07-24,23.4
2013-07-25,22.6
2013-07-26,22.6
2013-07-29,22.8
2013-07-30,21.5
2013-07-31,20.85
2013-08-01,20.5
2013-08-02,19.65
2013-08-05,18.9
2013-08-06,18.9
2013-08-07,18.8
2013-08-08,18.8
2013-08-12,19.3
2013-08-13,18.5
2013-08-14,19.05
2013-08-16,19.0
2013-08-19,19.05
2013-08-20,20.5
2013-08-21,20.35
2013-08-22,23.85
2013-08-23,24.2
2013-08-26,22.05
2013-08-27,20.45
2013-08-28,19.5
2013-08-29,19.3
2013-08-30,19.75
2013-09-02,19.7
2013-09-03,19.45
2013-09-04,19.55
2013-09-05,19.55
2013-09-06,20.4
2013-09-10,19.8
2013-09-11,19.9
2013-09-12,21.0
2013-09-13,21.35
2013-09-16,20.6
2013-09-17,20.1
2013-09-18,20.8
2013-09-19,20.9
2013-09-20,19.7
2013-09-23,19.65
2013-09-24,20.0
2013-09-25,19.75
2013-09-26,20.0
2013-09-27,19.8
2013-09-30,19.3
2013-10-01,19.15
2013-10-03,19.05
2013-10-04,19.55
2013-10-07,20.5
2013-10-08,19.7
2013-10-09,19.75
2013-10-10,20.65
2013-10-11,21.25
2013-10-14,21.05
2013-10-15,20.65
2013-10-17,20.55
2013-10-18,20.65
2013-10-21,21.05
2013-10-22,21.8
2013-10-23,21.6
2013-10-24,21.95
2013-10-25,21.7
2013-10-28,21.0
2013-10-29,20.7
2013-10-30,21.55
2013-10-31,21.4
2013-11-01,21.7
2013-11-03,21.55
2013-11-05,22.25
2013-11-06,22.1
2013-11-07,22.0
2013-11-08,21.4
2013-11-11,21.25
2013-11-12,22.35
2013-11-13,23.35
2013-11-14,26.55
2013-11-18,27.1
2013-11-19,25.35
2013-11-20,24.9
2013-11-21,24.35
2013-11-22,23.2
2013-11-25,23.35
2013-11-26,23.55
2013-11-27,25.25
2013-11-28,29.4
2013-11-29,30.9
2013-12-02,28.4
2013-12-03,27.35
2013-12-04,26.35
2013-12-05,26.1
2013-12-06,24.9
2013-12-09,25.85
2013-12-10,26.6
2013-12-11,26.55
2013-12-12,26.55
2013-12-13,25.6
2013-12-16,25.3
2013-12-17,25.65
2013-12-18,25.65
2013-12-19,25.45
2013-12-20,26.4
2013-12-23,27.0
2013-12-24,26.4
2013-12-26,27.05
2013-12-27,26.6
2013-12-30,27.0
2013-12-31,27.5
