Date,MAHABANK
2013-01-01,62.2
2013-01-02,61.8
2013-01-03,61.7
2013-01-04,62.7
2013-01-07,64.3
2013-01-08,63.9
2013-01-09,63.4
2013-01-10,63.9
2013-01-11,60.5
2013-01-14,59.95
2013-01-15,59.7
2013-01-16,59.3
2013-01-17,60.0
2013-01-18,59.25
2013-01-21,59.05
2013-01-22,59.3
2013-01-23,58.65
2013-01-24,58.5
2013-01-25,59.1
2013-01-28,59.75
2013-01-29,59.5
2013-01-30,58.65
2013-01-31,58.85
2013-02-01,58.7
2013-02-04,58.5
2013-02-05,57.2
2013-02-06,56.65
2013-02-07,56.35
2013-02-08,55.5
2013-02-11,55.05
2013-02-12,56.4
2013-02-13,55.4
2013-02-14,54.45
2013-02-15,53.9
2013-02-18,55.85
2013-02-19,56.25
2013-02-20,55.9
2013-02-21,54.95
2013-02-22,54.8
2013-02-25,54.05
2013-02-26,53.05
2013-02-27,53.45
2013-02-28,52.8
2013-03-01,52.8
2013-03-04,51.6
2013-03-05,52.2
2013-03-06,53.2
2013-03-07,53.25
2013-03-08,53.05
2013-03-11,52.75
2013-03-12,52.85
2013-03-13,52.35
2013-03-14,52.35
2013-03-15,51.85
2013-03-18,53.15
2013-03-19,51.45
2013-03-20,49.1
2013-03-21,48.65
2013-03-22,48.1
2013-03-25,47.2
2013-03-26,46.7
2013-03-28,51.6
2013-04-01,51.05
2013-04-02,51.1
2013-04-03,50.3
2013-04-04,49.15
2013-04-05,48.9
2013-04-08,48.05
2013-04-09,47.15
2013-04-10,47.5
2013-04-11,47.5
2013-04-12,47.75
2013-04-15,47.9
2013-04-16,48.8
2013-04-17,48.6
2013-04-18,49.45
2013-04-22,50.0
2013-04-23,49.95
2013-04-25,50.3
2013-04-26,50.0
2013-04-29,56.5
2013-04-30,57.85
2013-05-02,58.15
2013-05-03,56.55
2013-05-06,56.2
2013-05-07,55.6
2013-05-08,55.7
2013-05-09,56.75
2013-05-10,56.6
2013-05-11,56.75
2013-05-13,56.55
2013-05-14,57.0
2013-05-15,58.2
2013-05-16,58.55
2013-05-17,58.0
2013-05-20,58.4
2013-05-21,58.25
2013-05-22,58.55
2013-05-23,56.65
2013-05-24,57.05
2013-05-27,57.95
2013-05-28,57.9
2013-05-29,57.9
2013-05-30,55.35
2013-05-31,53.9
2013-06-03,52.9
2013-06-04,53.55
2013-06-05,53.65
2013-06-06,53.95
2013-06-07,54.3
2013-06-10,53.5
2013-06-11,52.4
2013-06-12,53.2
2013-06-13,52.2
2013-06-14,52.3
2013-06-17,52.0
2013-06-18,51.85
2013-06-19,53.75
2013-06-20,51.65
2013-06-21,51.25
2013-06-24,48.6
2013-06-25,48.8
2013-06-26,48.65
2013-06-27,48.45
2013-06-28,52.55
2013-07-01,52.6
2013-07-02,52.3
2013-07-03,49.9
2013-07-04,50.1
2013-07-05,50.0
2013-07-08,50.35
2013-07-09,50.75
2013-07-10,51.05
2013-07-11,50.9
2013-07-12,49.85
2013-07-15,50.6
2013-07-16,49.45
2013-07-17,49.4
2013-07-18,50.35
2013-07-19,49.25
2013-07-22,49.2
2013-07-23,49.4
2013-07-24,48.05
2013-07-25,47.7
2013-07-26,46.5
2013-07-29,45.1
2013-07-30,44.7
2013-07-31,43.9
2013-08-01,41.85
2013-08-02,40.7
2013-08-05,42.3
2013-08-06,40.5
2013-08-07,39.9
2013-08-08,39.65
2013-08-12,39.35
2013-08-13,39.95
2013-08-14,39.9
2013-08-16,39.0
2013-08-19,38.55
2013-08-20,38.45
2013-08-21,37.9
2013-08-22,38.2
2013-08-23,38.05
2013-08-26,37.95
2013-08-27,37.35
2013-08-28,37.15
2013-08-29,37.35
2013-08-30,37.5
2013-09-02,37.4
2013-09-03,37.05
2013-09-04,36.9
2013-09-05,37.95
2013-09-06,37.95
2013-09-10,38.3
2013-09-11,39.1
2013-09-12,38.25
2013-09-13,37.8
2013-09-16,37.65
2013-09-17,37.5
2013-09-18,37.8
2013-09-19,39.7
2013-09-20,38.85
2013-09-23,37.9
2013-09-24,37.45
2013-09-25,37.2
2013-09-26,37.45
2013-09-27,37.2
2013-09-30,37.45
2013-10-01,37.55
2013-10-03,37.95
2013-10-04,39.75
2013-10-07,38.75
2013-10-08,38.95
2013-10-09,39.05
2013-10-10,40.05
2013-10-11,39.95
2013-10-14,40.5
2013-10-15,39.3
2013-10-17,38.7
2013-10-18,39.1
2013-10-21,39.85
2013-10-22,40.45
2013-10-23,40.85
2013-10-24,40.6
2013-10-25,39.8
2013-10-28,40.15
2013-10-29,39.1
2013-10-30,38.4
2013-10-31,39.55
2013-11-01,40.45
2013-11-03,41.55
2013-11-05,41.15
2013-11-06,40.6
2013-11-07,39.45
2013-11-08,39.5
2013-11-11,38.5
2013-11-12,38.4
2013-11-13,38.1
2013-11-14,38.35
2013-11-18,39.05
2013-11-19,39.05
2013-11-20,38.8
2013-11-21,38.2
2013-11-22,38.05
2013-11-25,38.3
2013-11-26,37.75
2013-11-27,37.7
2013-11-28,37.8
2013-11-29,38.15
2013-12-02,38.35
2013-12-03,38.25
2013-12-04,37.9
2013-12-05,38.25
2013-12-06,38.2
2013-12-09,38.15
2013-12-10,37.85
2013-12-11,37.7
2013-12-12,37.45
2013-12-13,37.0
2013-12-16,36.8
2013-12-17,36.65
2013-12-18,36.5
2013-12-19,36.35
2013-12-20,36.0
2013-12-23,36.2
2013-12-24,36.4
2013-12-26,36.15
2013-12-27,36.35
2013-12-30,35.9
2013-12-31,36.0
