Date,RAJESHEXPO
2013-01-01,141.35
2013-01-02,139.25
2013-01-03,138.45
2013-01-04,138.8
2013-01-07,137.15
2013-01-08,134.5
2013-01-09,132.15
2013-01-10,131.75
2013-01-11,131.0
2013-01-14,141.1
2013-01-15,139.2
2013-01-16,138.9
2013-01-17,139.1
2013-01-18,139.15
2013-01-21,136.9
2013-01-22,137.2
2013-01-23,137.85
2013-01-24,134.85
2013-01-25,134.8
2013-01-28,135.65
2013-01-29,134.65
2013-01-30,137.0
2013-01-31,135.05
2013-02-01,134.65
2013-02-04,131.95
2013-02-05,131.65
2013-02-06,128.95
2013-02-07,124.6
2013-02-08,123.95
2013-02-11,121.2
2013-02-12,119.8
2013-02-13,119.2
2013-02-14,118.35
2013-02-15,119.15
2013-02-18,121.95
2013-02-19,124.05
2013-02-20,119.75
2013-02-21,119.5
2013-02-22,123.65
2013-02-25,129.35
2013-02-26,126.45
2013-02-27,126.05
2013-02-28,126.4
2013-03-01,127.45
2013-03-04,123.95
2013-03-05,128.25
2013-03-06,131.15
2013-03-07,130.95
2013-03-08,131.7
2013-03-11,128.5
2013-03-12,131.8
2013-03-13,128.05
2013-03-14,127.85
2013-03-15,125.7
2013-03-18,125.55
2013-03-19,124.7
2013-03-20,125.6
2013-03-21,127.75
2013-03-22,125.65
2013-03-25,121.9
2013-03-26,122.1
2013-03-28,122.25
2013-04-01,118.6
2013-04-02,117.55
2013-04-03,115.9
2013-04-04,116.05
2013-04-05,117.35
2013-04-08,115.65
2013-04-09,115.65
2013-04-10,117.8
2013-04-11,117.5
2013-04-12,115.75
2013-04-15,117.1
2013-04-16,116.0
2013-04-17,116.5
2013-04-18,117.15
2013-04-22,117.45
2013-04-23,120.95
2013-04-25,122.8
2013-04-26,125.05
2013-04-29,124.8
2013-04-30,125.75
2013-05-02,124.8
2013-05-03,122.05
2013-05-06,130.45
2013-05-07,126.05
2013-05-08,133.6
2013-05-09,128.65
2013-05-10,126.95
2013-05-11,127.8
2013-05-13,125.7
2013-05-14,121.55
2013-05-15,128.4
2013-05-16,126.15
2013-05-17,126.6
2013-05-20,124.8
2013-05-21,124.25
2013-05-22,125.2
2013-05-23,122.45
2013-05-24,122.35
2013-05-27,124.75
2013-05-28,123.6
2013-05-29,128.3
2013-05-30,124.9
2013-05-31,121.9
2013-06-03,121.3
2013-06-04,125.5
2013-06-05,125.15
2013-06-06,124.8
2013-06-07,124.4
2013-06-10,123.7
2013-06-11,119.65
2013-06-12,118.7
2013-06-13,116.65
2013-06-14,121.8
2013-06-17,121.75
2013-06-18,122.9
2013-06-19,125.95
2013-06-20,125.2
2013-06-21,127.65
2013-06-24,117.1
2013-06-25,118.75
2013-06-26,116.85
2013-06-27,120.6
2013-06-28,121.9
2013-07-01,121.55
2013-07-02,120.2
2013-07-03,114.5
2013-07-04,114.9
2013-07-05,115.2
2013-07-08,115.15
2013-07-09,115.05
2013-07-10,113.9
2013-07-11,105.8
2013-07-12,102.65
2013-07-15,100.95
2013-07-16,103.25
2013-07-17,101.5
2013-07-18,102.05
2013-07-19,101.45
2013-07-22,100.35
2013-07-23,100.95
2013-07-24,99.3
2013-07-25,99.2
2013-07-26,101.0
2013-07-29,99.85
2013-07-30,99.45
2013-07-31,99.85
2013-08-01,100.95
2013-08-02,99.15
2013-08-05,98.25
2013-08-06,95.15
2013-08-07,97.4
2013-08-08,96.9
2013-08-12,100.3
2013-08-13,101.45
2013-08-14,102.8
2013-08-16,98.3
2013-08-19,98.15
2013-08-20,97.4
2013-08-21,103.7
2013-08-22,104.95
2013-08-23,110.55
2013-08-26,106.85
2013-08-27,100.65
2013-08-28,98.0
2013-08-29,101.9
2013-08-30,101.2
2013-09-02,100.9
2013-09-03,100.3
2013-09-04,100.8
2013-09-05,104.75
2013-09-06,103.05
2013-09-10,101.85
2013-09-11,102.35
2013-09-12,102.5
2013-09-13,102.1
2013-09-16,101.35
2013-09-17,99.75
2013-09-18,99.1
2013-09-19,98.95
2013-09-20,94.15
2013-09-23,95.65
2013-09-24,95.0
2013-09-25,95.0
2013-09-26,96.05
2013-09-27,97.35
2013-09-30,98.85
2013-10-01,97.45
2013-10-03,97.1
2013-10-04,97.45
2013-10-07,97.0
2013-10-08,98.45
2013-10-09,97.85
2013-10-10,97.75
2013-10-11,97.8
2013-10-14,97.25
2013-10-15,96.5
2013-10-17,95.05
2013-10-18,94.75
2013-10-21,94.55
2013-10-22,94.35
2013-10-23,94.05
2013-10-24,94.95
2013-10-25,94.25
2013-10-28,94.05
2013-10-29,96.0
2013-10-30,94.75
2013-10-31,96.0
2013-11-01,95.55
2013-11-03,95.95
2013-11-05,95.1
2013-11-06,95.45
2013-11-07,94.55
2013-11-08,94.3
2013-11-11,93.4
2013-11-12,93.1
2013-11-13,93.85
2013-11-14,94.1
2013-11-18,93.9
2013-11-19,93.5
2013-11-20,94.7
2013-11-21,93.1
2013-11-22,93.1
2013-11-25,93.15
2013-11-26,90.05
2013-11-27,90.8
2013-11-28,93.25
2013-11-29,91.85
2013-12-02,92.65
2013-12-03,93.0
2013-12-04,92.3
2013-12-05,92.55
2013-12-06,92.2
2013-12-09,91.85
2013-12-10,90.8
2013-12-11,89.5
2013-12-12,90.5
2013-12-13,90.3
2013-12-16,89.9
2013-12-17,89.75
2013-12-18,88.3
2013-12-19,85.7
2013-12-20,69.25
2013-12-23,77.8
2013-12-24,78.15
2013-12-26,77.35
2013-12-27,77.3
2013-12-30,76.8
2013-12-31,77.3
