Date,KOPRAN
2013-01-01,21.3
2013-01-02,21.5
2013-01-03,21.55
2013-01-04,21.7
2013-01-07,21.65
2013-01-08,21.3
2013-01-09,21.15
2013-01-10,21.1
2013-01-11,20.65
2013-01-14,20.95
2013-01-15,20.95
2013-01-16,20.65
2013-01-17,20.3
2013-01-18,20.15
2013-01-21,19.85
2013-01-22,19.45
2013-01-23,19.6
2013-01-24,19.2
2013-01-25,19.5
2013-01-28,19.2
2013-01-29,18.95
2013-01-30,19.05
2013-01-31,18.9
2013-02-01,18.95
2013-02-04,18.85
2013-02-05,18.25
2013-02-06,17.9
2013-02-07,17.5
2013-02-08,16.75
2013-02-11,16.85
2013-02-12,16.45
2013-02-13,16.9
2013-02-14,16.2
2013-02-15,15.25
2013-02-18,15.5
2013-02-19,17.3
2013-02-20,17.05
2013-02-21,16.35
2013-02-22,16.55
2013-02-25,16.6
2013-02-26,15.5
2013-02-27,15.65
2013-02-28,14.85
2013-03-01,15.4
2013-03-04,14.85
2013-03-05,15.15
2013-03-06,15.55
2013-03-07,15.65
2013-03-08,15.75
2013-03-11,16.05
2013-03-12,15.75
2013-03-13,15.6
2013-03-14,15.9
2013-03-15,15.2
2013-03-18,15.1
2013-03-19,14.35
2013-03-20,14.0
2013-03-21,13.4
2013-03-22,13.0
2013-03-25,12.3
2013-03-26,12.6
2013-03-28,12.7
2013-04-01,13.7
2013-04-02,14.8
2013-04-03,14.15
2013-04-04,13.6
2013-04-05,13.85
2013-04-08,14.1
2013-04-09,14.05
2013-04-10,13.95
2013-04-11,13.95
2013-04-12,14.0
2013-04-15,13.95
2013-04-16,13.9
2013-04-17,14.2
2013-04-18,14.2
2013-04-22,14.65
2013-04-23,15.25
2013-04-25,14.0
2013-04-26,14.3
2013-04-29,14.35
2013-04-30,13.85
2013-05-02,13.65
2013-05-03,13.9
2013-05-06,13.8
2013-05-07,13.8
2013-05-08,14.05
2013-05-09,13.85
2013-05-10,14.0
2013-05-11,14.2
2013-05-13,13.55
2013-05-14,13.75
2013-05-15,14.35
2013-05-16,14.2
2013-05-17,14.3
2013-05-20,14.05
2013-05-21,13.85
2013-05-22,13.7
2013-05-23,13.45
2013-05-24,13.85
2013-05-27,14.3
2013-05-28,13.85
2013-05-29,13.6
2013-05-30,13.45
2013-05-31,13.45
2013-06-03,13.65
2013-06-04,13.75
2013-06-05,14.0
2013-06-06,14.2
2013-06-07,13.8
2013-06-10,13.7
2013-06-11,13.35
2013-06-12,13.65
2013-06-13,13.35
2013-06-14,13.5
2013-06-17,13.65
2013-06-18,13.5
2013-06-19,13.2
2013-06-20,13.05
2013-06-21,12.9
2013-06-24,12.3
2013-06-25,13.15
2013-06-26,12.65
2013-06-27,12.45
2013-06-28,12.5
2013-07-01,13.25
2013-07-02,13.35
2013-07-03,13.05
2013-07-04,13.5
2013-07-05,13.35
2013-07-08,13.2
2013-07-09,13.7
2013-07-10,13.65
2013-07-11,13.55
2013-07-12,13.5
2013-07-15,14.9
2013-07-16,14.85
2013-07-17,14.9
2013-07-18,14.1
2013-07-19,14.15
2013-07-22,13.8
2013-07-23,14.2
2013-07-24,13.6
2013-07-25,13.6
2013-07-26,13.7
2013-07-29,13.7
2013-07-30,13.2
2013-07-31,13.05
2013-08-01,12.8
2013-08-02,12.55
2013-08-05,13.0
2013-08-06,12.4
2013-08-07,14.15
2013-08-08,16.0
2013-08-12,16.85
2013-08-13,16.6
2013-08-14,15.65
2013-08-16,14.4
2013-08-19,14.05
2013-08-20,14.6
2013-08-21,14.2
2013-08-22,14.4
2013-08-23,14.25
2013-08-26,14.9
2013-08-27,13.9
2013-08-28,13.55
2013-08-29,13.65
2013-08-30,13.75
2013-09-02,14.15
2013-09-03,13.75
2013-09-04,14.25
2013-09-05,14.35
2013-09-06,14.4
2013-09-10,14.4
2013-09-11,14.5
2013-09-12,14.65
2013-09-13,14.45
2013-09-16,14.7
2013-09-17,14.3
2013-09-18,14.45
2013-09-19,14.5
2013-09-20,14.5
2013-09-23,16.6
2013-09-24,15.7
2013-09-25,15.55
2013-09-26,15.4
2013-09-27,14.9
2013-09-30,14.35
2013-10-01,15.05
2013-10-03,15.2
2013-10-04,15.35
2013-10-07,15.45
2013-10-08,15.3
2013-10-09,15.55
2013-10-10,15.85
2013-10-11,16.75
2013-10-14,16.15
2013-10-15,15.6
2013-10-17,15.4
2013-10-18,15.45
2013-10-21,15.5
2013-10-22,15.65
2013-10-23,15.9
2013-10-24,15.75
2013-10-25,15.4
2013-10-28,15.5
2013-10-29,15.65
2013-10-30,15.65
2013-10-31,15.65
2013-11-01,15.7
2013-11-03,15.85
2013-11-05,16.15
2013-11-06,16.7
2013-11-07,16.6
2013-11-08,16.9
2013-11-11,17.35
2013-11-12,18.6
2013-11-13,18.75
2013-11-14,21.1
2013-11-18,23.1
2013-11-19,22.2
2013-11-20,22.4
2013-11-21,22.15
2013-11-22,22.75
2013-11-25,22.55
2013-11-26,22.5
2013-11-27,22.6
2013-11-28,22.9
2013-11-29,22.75
2013-12-02,22.75
2013-12-03,22.1
2013-12-04,22.35
2013-12-05,22.35
2013-12-06,21.9
2013-12-09,21.2
2013-12-10,19.8
2013-12-11,19.85
2013-12-12,20.1
2013-12-13,19.3
2013-12-16,19.75
2013-12-17,20.6
2013-12-18,22.1
2013-12-19,21.9
2013-12-20,22.05
2013-12-23,22.0
2013-12-24,21.9
2013-12-26,21.45
2013-12-27,20.95
2013-12-30,20.5
2013-12-31,19.9
