Date,WABCOINDIA
2013-01-01,1629.05
2013-01-02,1614.8
2013-01-03,1614.1
2013-01-04,1632.0
2013-01-07,1625.05
2013-01-08,1613.1
2013-01-09,1623.35
2013-01-10,1646.45
2013-01-11,1608.85
2013-01-14,1604.9
2013-01-15,1595.15
2013-01-16,1608.6
2013-01-17,1604.0
2013-01-18,1611.0
2013-01-21,1579.05
2013-01-22,1587.65
2013-01-23,1588.55
2013-01-24,1585.1
2013-01-25,1603.15
2013-01-28,1588.4
2013-01-29,1598.3
2013-01-30,1582.6
2013-01-31,1561.45
2013-02-01,1605.35
2013-02-04,1593.35
2013-02-05,1570.1
2013-02-06,1547.6
2013-02-07,1537.7
2013-02-08,1508.35
2013-02-11,1487.5
2013-02-12,1476.15
2013-02-13,1468.95
2013-02-14,1422.4
2013-02-15,1392.25
2013-02-18,1351.6
2013-02-19,1378.85
2013-02-20,1403.4
2013-02-21,1392.8
2013-02-22,1413.55
2013-02-25,1401.4
2013-02-26,1400.6
2013-02-27,1448.25
2013-02-28,1447.4
2013-03-01,1411.55
2013-03-04,1450.7
2013-03-05,1438.95
2013-03-06,1458.6
2013-03-07,1449.95
2013-03-08,1444.9
2013-03-11,1428.9
2013-03-12,1401.85
2013-03-13,1425.75
2013-03-14,1456.2
2013-03-15,1460.0
2013-03-18,1458.65
2013-03-19,1446.75
2013-03-20,1411.95
2013-03-21,1354.3
2013-03-22,1294.15
2013-03-25,1314.9
2013-03-26,1314.6
2013-03-28,1391.2
2013-04-01,1372.7
2013-04-02,1400.05
2013-04-03,1394.65
2013-04-04,1341.25
2013-04-05,1322.45
2013-04-08,1369.35
2013-04-09,1359.2
2013-04-10,1329.5
2013-04-11,1333.0
2013-04-12,1267.25
2013-04-15,1254.55
2013-04-16,1288.45
2013-04-17,1251.05
2013-04-18,1299.05
2013-04-22,1337.95
2013-04-23,1308.45
2013-04-25,1323.85
2013-04-26,1350.75
2013-04-29,1350.0
2013-04-30,1350.15
2013-05-02,1367.55
2013-05-03,1397.85
2013-05-06,1402.6
2013-05-07,1403.1
2013-05-08,1407.45
2013-05-09,1403.35
2013-05-10,1370.4
2013-05-11,1364.05
2013-05-13,1362.55
2013-05-14,1366.65
2013-05-15,1443.15
2013-05-16,1393.6
