Date,ORISSAMINE
2013-01-01,3737.7
2013-01-02,3859.7
2013-01-03,4058.2
2013-01-04,3971.8
2013-01-07,3982.2
2013-01-08,3917.7
2013-01-09,3912.7
2013-01-10,3885.0
2013-01-11,3848.7
2013-01-14,4372.7
2013-01-15,4204.7
2013-01-16,4201.2
2013-01-17,4195.15
2013-01-18,4192.0
2013-01-21,4166.2
2013-01-22,4084.5
2013-01-23,4096.35
2013-01-24,4008.7
2013-01-25,3973.0
2013-01-28,3937.2
2013-01-29,3880.7
2013-01-30,3880.7
2013-01-31,3871.35
2013-02-01,3875.45
2013-02-04,3855.85
2013-02-05,3795.55
2013-02-06,3769.35
2013-02-07,3784.3
2013-02-08,3703.7
2013-02-11,3699.95
2013-02-12,3804.55
2013-02-13,3746.35
2013-02-14,3657.45
2013-02-15,3684.5
2013-02-18,3680.15
2013-02-19,3672.2
2013-02-20,3708.3
2013-02-21,3627.75
2013-02-22,3618.6
2013-02-25,3541.5
2013-02-26,3393.0
2013-02-27,3398.45
2013-02-28,3258.7
2013-03-01,3229.05
2013-03-04,3040.45
2013-03-05,3096.45
2013-03-06,3091.5
2013-03-07,3028.6
2013-03-08,3049.8
2013-03-11,3070.8
2013-03-12,3079.3
2013-03-13,3018.05
2013-03-14,2998.2
2013-03-15,2964.05
2013-03-18,2873.45
2013-03-19,2801.85
2013-03-20,2667.55
2013-03-21,2668.75
2013-03-22,2584.3
2013-03-25,2516.5
2013-03-26,2459.65
2013-03-28,2383.1
2013-04-01,2490.3
2013-04-02,2771.85
2013-04-03,2793.65
2013-04-04,2612.0
2013-04-05,2599.55
2013-04-08,2612.15
2013-04-09,2593.5
2013-04-10,2601.3
2013-04-11,2587.85
2013-04-12,2500.9
2013-04-15,2629.85
2013-04-16,2650.6
2013-04-17,2648.7
2013-04-18,2683.5
2013-04-22,2796.55
2013-04-23,2740.45
2013-04-25,2709.4
2013-04-26,2642.0
2013-04-29,2575.65
2013-04-30,2629.8
2013-05-02,2649.05
2013-05-03,2628.0
2013-05-06,2637.8
2013-05-07,2772.05
2013-05-08,2750.65
2013-05-09,2787.45
2013-05-10,3022.95
2013-05-11,3038.8
2013-05-13,2885.7
2013-05-14,2842.55
2013-05-15,2911.95
2013-05-16,2887.85
2013-05-17,2876.45
2013-05-20,2849.85
2013-05-21,2785.65
2013-05-22,2705.0
2013-05-23,2582.15
2013-05-24,2591.45
2013-05-27,2623.45
2013-05-28,2596.9
2013-05-29,2543.0
2013-05-30,2546.15
2013-05-31,2497.75
2013-06-03,2467.4
2013-06-04,2429.1
2013-06-05,2445.65
2013-06-06,2467.3
2013-06-07,2430.85
2013-06-10,2410.65
2013-06-11,2248.05
2013-06-12,2232.5
2013-06-13,2160.45
2013-06-14,2194.65
2013-06-17,2188.9
2013-06-18,2204.3
2013-06-19,2212.65
2013-06-20,2119.95
2013-06-21,2056.0
2013-06-24,1961.25
2013-06-25,1895.85
2013-06-26,1840.65
2013-06-27,1844.25
2013-06-28,1879.7
2013-07-01,2246.05
2013-07-02,2369.05
2013-07-03,2224.7
2013-07-04,2285.1
2013-07-05,2260.4
2013-07-08,2273.15
2013-07-09,2271.85
2013-07-10,2277.15
2013-07-11,2284.15
2013-07-12,2258.3
2013-07-15,2261.2
2013-07-16,2205.95
2013-07-17,2150.8
2013-07-18,2107.9
2013-07-19,2090.75
2013-07-22,2090.45
2013-07-23,2083.9
2013-07-24,2014.5
2013-07-25,1957.9
2013-07-26,1966.75
2013-07-29,1910.4
2013-07-30,1969.3
2013-07-31,1914.55
2013-08-01,1869.1
2013-08-02,1717.45
2013-08-05,1722.4
2013-08-06,1644.15
2013-08-07,1738.65
2013-08-08,1801.05
2013-08-12,1825.45
2013-08-13,1858.6
2013-08-14,1875.95
2013-08-16,1737.35
2013-08-19,1697.7
2013-08-20,1761.95
2013-08-21,1707.25
2013-08-22,1794.15
2013-08-23,1815.1
2013-08-26,1874.4
2013-08-27,1790.1
2013-08-28,1776.2
2013-08-29,1808.95
2013-08-30,1790.2
2013-09-02,1810.35
2013-09-03,1764.7
2013-09-04,1820.75
2013-09-05,1895.8
2013-09-06,1875.2
2013-09-10,1921.4
2013-09-11,1997.35
2013-09-12,1954.45
2013-09-13,1930.85
2013-09-16,1946.9
2013-09-17,1916.65
2013-09-18,1913.65
2013-09-19,1953.8
2013-09-20,1931.4
2013-09-23,1907.25
2013-09-24,1897.3
2013-09-25,1864.05
2013-09-26,1863.2
2013-09-27,1846.85
2013-09-30,1820.0
2013-10-01,1817.85
2013-10-03,1852.4
2013-10-04,1851.1
2013-10-07,1829.6
2013-10-08,1892.5
2013-10-09,1904.4
2013-10-10,1931.3
2013-10-11,1924.55
2013-10-14,1912.65
2013-10-15,1884.65
2013-10-17,1868.95
2013-10-18,1902.7
2013-10-21,2094.95
2013-10-22,2033.15
2013-10-23,2120.15
2013-10-24,2068.95
2013-10-25,2059.75
2013-10-28,2016.8
2013-10-29,2055.55
2013-10-30,2172.75
2013-10-31,2126.25
2013-11-01,2156.6
2013-11-03,2145.0
2013-11-05,2180.45
2013-11-06,2171.95
2013-11-07,2127.0
2013-11-08,2080.95
2013-11-11,2050.3
2013-11-12,2074.8
2013-11-13,2093.3
2013-11-14,2192.9
2013-11-18,2156.7
2013-11-19,2124.4
2013-11-20,2142.75
2013-11-21,2120.65
2013-11-22,2089.35
2013-11-25,2392.0
2013-11-26,2162.9
2013-11-27,2146.9
2013-11-28,2124.15
2013-11-29,2127.05
2013-12-02,2131.0
2013-12-03,2128.7
2013-12-04,2093.2
2013-12-05,2080.2
2013-12-06,2091.8
2013-12-09,2101.7
2013-12-10,2065.9
2013-12-11,2044.15
2013-12-12,2009.0
2013-12-13,1965.45
2013-12-16,1969.1
2013-12-17,1953.35
2013-12-18,2096.45
2013-12-19,2050.4
2013-12-20,2105.9
2013-12-23,2184.0
