Date,ESCORTS
2013-01-01,73.65
2013-01-02,73.05
2013-01-03,73.2
2013-01-04,75.5
2013-01-07,75.45
2013-01-08,75.0
2013-01-09,75.3
2013-01-10,73.2
2013-01-11,72.05
2013-01-14,72.5
2013-01-15,73.25
2013-01-16,71.3
2013-01-17,71.0
2013-01-18,70.5
2013-01-21,70.75
2013-01-22,69.75
2013-01-23,68.25
2013-01-24,64.75
2013-01-25,66.5
2013-01-28,67.05
2013-01-29,66.35
2013-01-30,65.4
2013-01-31,67.5
2013-02-01,68.8
2013-02-04,66.9
2013-02-05,69.7
2013-02-06,67.6
2013-02-07,66.4
2013-02-08,66.6
2013-02-11,67.25
2013-02-12,66.7
2013-02-13,65.85
2013-02-14,63.3
2013-02-15,63.1
2013-02-18,63.65
2013-02-19,64.5
2013-02-20,64.85
2013-02-21,63.15
2013-02-22,63.25
2013-02-25,62.35
2013-02-26,61.45
2013-02-27,62.35
2013-02-28,60.6
2013-03-01,59.0
2013-03-04,57.8
2013-03-05,59.15
2013-03-06,60.6
2013-03-07,59.5
2013-03-08,60.2
2013-03-11,59.65
2013-03-12,59.4
2013-03-13,58.4
2013-03-14,58.7
2013-03-15,57.6
2013-03-18,57.1
2013-03-19,55.35
2013-03-20,53.8
2013-03-21,52.45
2013-03-22,51.3
2013-03-25,50.25
2013-03-26,49.4
2013-03-28,49.5
2013-04-01,52.65
2013-04-02,54.9
2013-04-03,55.0
2013-04-04,52.9
2013-04-05,53.25
2013-04-08,54.0
2013-04-09,54.25
2013-04-10,53.55
2013-04-11,53.65
2013-04-12,53.3
2013-04-15,54.4
2013-04-16,54.65
2013-04-17,55.3
2013-04-18,55.45
2013-04-22,56.4
2013-04-23,57.35
2013-04-25,57.55
2013-04-26,56.4
2013-04-29,57.3
2013-04-30,57.1
2013-05-02,60.05
2013-05-03,61.75
2013-05-06,62.75
2013-05-07,63.9
2013-05-08,65.5
2013-05-09,65.55
2013-05-10,66.15
2013-05-11,65.25
2013-05-13,63.75
2013-05-14,62.95
2013-05-15,63.65
2013-05-16,62.45
2013-05-17,66.75
2013-05-20,66.3
2013-05-21,64.65
2013-05-22,63.25
2013-05-23,60.5
2013-05-24,59.9
2013-05-27,60.65
2013-05-28,65.15
2013-05-29,64.5
2013-05-30,66.85
2013-05-31,69.5
2013-06-03,70.05
2013-06-04,68.55
2013-06-05,67.65
2013-06-06,74.05
2013-06-07,72.45
2013-06-10,71.25
2013-06-11,69.2
2013-06-12,71.95
2013-06-13,72.05
2013-06-14,70.7
2013-06-17,70.35
2013-06-18,71.5
2013-06-19,74.2
2013-06-20,69.8
2013-06-21,68.45
2013-06-24,65.9
2013-06-25,67.0
2013-06-26,67.05
2013-06-27,70.25
2013-06-28,73.6
2013-07-01,76.65
2013-07-02,75.4
2013-07-03,72.4
2013-07-04,72.55
2013-07-05,74.2
2013-07-08,77.8
2013-07-09,80.5
2013-07-10,78.95
2013-07-11,80.5
2013-07-12,85.0
2013-07-15,87.0
2013-07-16,84.2
2013-07-17,84.5
2013-07-18,87.75
2013-07-19,87.55
2013-07-22,87.4
2013-07-23,86.3
2013-07-24,80.75
2013-07-25,80.45
2013-07-26,81.85
2013-07-29,83.45
2013-07-30,81.1
2013-07-31,77.05
2013-08-01,78.3
2013-08-02,68.2
2013-08-05,69.05
2013-08-06,66.95
2013-08-07,67.7
2013-08-08,69.8
2013-08-12,71.8
2013-08-13,74.0
2013-08-14,88.8
2013-08-16,88.8
2013-08-19,89.95
2013-08-20,89.8
2013-08-21,83.8
2013-08-22,89.0
2013-08-23,88.9
2013-08-26,87.45
2013-08-27,83.95
2013-08-28,80.35
2013-08-29,80.3
2013-08-30,82.3
2013-09-02,81.55
2013-09-03,80.4
2013-09-04,80.55
2013-09-05,84.95
2013-09-06,84.75
2013-09-10,84.55
2013-09-11,85.05
2013-09-12,83.2
2013-09-13,84.2
2013-09-16,84.2
2013-09-17,84.5
2013-09-18,84.45
2013-09-19,84.75
2013-09-20,83.5
2013-09-23,83.85
2013-09-24,83.7
2013-09-25,83.45
2013-09-26,82.8
2013-09-27,82.1
2013-09-30,84.55
2013-10-01,87.35
2013-10-03,87.1
2013-10-04,87.0
2013-10-07,91.65
2013-10-08,93.2
2013-10-09,92.55
2013-10-10,90.7
2013-10-11,97.05
2013-10-14,96.4
2013-10-15,93.3
2013-10-17,95.05
2013-10-18,93.8
2013-10-21,96.35
2013-10-22,96.75
2013-10-23,99.0
2013-10-24,95.6
2013-10-25,93.25
2013-10-28,91.0
2013-10-29,91.3
2013-10-30,92.6
2013-10-31,97.0
2013-11-01,103.75
2013-11-03,109.7
2013-11-05,113.95
2013-11-06,114.55
2013-11-07,110.85
2013-11-08,114.8
2013-11-11,115.2
2013-11-12,117.75
2013-11-13,114.7
2013-11-14,115.7
2013-11-18,122.2
2013-11-19,124.9
2013-11-20,121.25
2013-11-21,120.4
2013-11-22,115.85
2013-11-25,118.8
2013-11-26,113.65
2013-11-27,117.05
2013-11-28,119.95
2013-11-29,117.25
2013-12-02,115.0
2013-12-03,113.15
2013-12-04,112.15
2013-12-05,118.1
2013-12-06,127.7
2013-12-09,130.9
2013-12-10,129.85
2013-12-11,127.65
2013-12-12,122.55
2013-12-13,120.75
2013-12-16,128.6
2013-12-17,131.25
2013-12-18,131.6
2013-12-19,130.85
2013-12-20,137.2
2013-12-23,139.05
2013-12-24,142.55
2013-12-26,139.75
2013-12-27,138.8
2013-12-30,137.1
2013-12-31,137.55
