Date,CENTURYTEX
2013-01-01,424.6
2013-01-02,431.25
2013-01-03,431.9
2013-01-04,448.65
2013-01-07,441.8
2013-01-08,443.2
2013-01-09,434.15
2013-01-10,430.7
2013-01-11,417.65
2013-01-14,423.8
2013-01-15,427.45
2013-01-16,412.15
2013-01-17,417.5
2013-01-18,415.15
2013-01-21,421.9
2013-01-22,413.2
2013-01-23,411.7
2013-01-24,397.2
2013-01-25,403.3
2013-01-28,404.4
2013-01-29,388.8
2013-01-30,394.3
2013-01-31,389.95
2013-02-01,388.25
2013-02-04,382.65
2013-02-05,382.65
2013-02-06,385.2
2013-02-07,382.75
2013-02-08,378.25
2013-02-11,382.35
2013-02-12,381.4
2013-02-13,376.9
2013-02-14,366.15
2013-02-15,369.1
2013-02-18,373.6
2013-02-19,378.35
2013-02-20,378.55
2013-02-21,370.3
2013-02-22,361.2
2013-02-25,355.85
2013-02-26,337.9
2013-02-27,336.45
2013-02-28,324.5
2013-03-01,326.3
2013-03-04,313.5
2013-03-05,323.55
2013-03-06,331.25
2013-03-07,331.25
2013-03-08,332.3
2013-03-11,332.85
2013-03-12,328.55
2013-03-13,318.95
2013-03-14,319.4
2013-03-15,315.85
2013-03-18,310.7
2013-03-19,295.35
2013-03-20,293.8
2013-03-21,285.75
2013-03-22,287.9
2013-03-25,281.2
2013-03-26,281.75
2013-03-28,287.05
2013-04-01,296.35
2013-04-02,301.2
2013-04-03,293.4
2013-04-04,277.5
2013-04-05,282.2
2013-04-08,279.65
2013-04-09,274.75
2013-04-10,279.6
2013-04-11,280.2
2013-04-12,282.25
2013-04-15,282.1
2013-04-16,291.95
2013-04-17,291.1
2013-04-18,299.65
2013-04-22,298.6
2013-04-23,296.0
2013-04-25,294.1
2013-04-26,286.05
2013-04-29,291.4
2013-04-30,288.1
2013-05-02,291.6
2013-05-03,286.3
2013-05-06,298.95
2013-05-07,316.6
2013-05-08,315.2
2013-05-09,321.65
2013-05-10,315.05
2013-05-11,319.45
2013-05-13,309.35
2013-05-14,310.35
2013-05-15,316.65
2013-05-16,316.95
2013-05-17,323.6
2013-05-20,325.15
2013-05-21,318.05
2013-05-22,311.3
2013-05-23,292.25
2013-05-24,296.35
2013-05-27,304.2
2013-05-28,300.55
2013-05-29,295.25
2013-05-30,290.4
2013-05-31,279.45
2013-06-03,282.95
2013-06-04,283.35
2013-06-05,285.45
2013-06-06,292.1
2013-06-07,288.85
2013-06-10,285.9
2013-06-11,279.0
2013-06-12,279.0
2013-06-13,272.65
2013-06-14,283.15
2013-06-17,289.4
2013-06-18,287.8
2013-06-19,295.1
2013-06-20,283.05
2013-06-21,273.35
2013-06-24,260.7
2013-06-25,258.25
2013-06-26,251.1
2013-06-27,251.45
2013-06-28,263.7
2013-07-01,269.3
2013-07-02,267.45
2013-07-03,254.5
2013-07-04,256.5
2013-07-05,255.05
2013-07-08,248.55
2013-07-09,248.05
2013-07-10,248.85
2013-07-11,254.7
2013-07-12,249.85
2013-07-15,254.75
2013-07-16,246.15
2013-07-17,238.45
2013-07-18,244.25
2013-07-19,242.65
2013-07-22,259.95
2013-07-23,263.65
2013-07-24,257.95
2013-07-25,250.25
2013-07-26,236.8
2013-07-29,226.65
2013-07-30,212.9
2013-07-31,218.45
2013-08-01,209.9
2013-08-02,202.1
2013-08-05,208.75
2013-08-06,198.45
2013-08-07,203.4
2013-08-08,213.95
2013-08-12,218.6
2013-08-13,227.05
2013-08-14,230.4
2013-08-16,213.45
2013-08-19,207.85
2013-08-20,218.45
2013-08-21,206.1
2013-08-22,218.85
2013-08-23,219.05
2013-08-26,222.5
2013-08-27,207.45
2013-08-28,206.5
2013-08-29,214.7
2013-08-30,217.1
2013-09-02,225.95
2013-09-03,210.55
2013-09-04,213.0
2013-09-05,224.45
2013-09-06,225.6
2013-09-10,237.55
2013-09-11,241.35
2013-09-12,234.55
2013-09-13,244.85
2013-09-16,244.45
2013-09-17,247.9
2013-09-18,248.5
2013-09-19,257.1
2013-09-20,247.95
2013-09-23,240.7
2013-09-24,245.25
2013-09-25,249.95
2013-09-26,252.05
2013-09-27,249.85
2013-09-30,241.1
2013-10-01,245.45
2013-10-03,259.65
2013-10-04,259.5
2013-10-07,261.35
2013-10-08,265.7
2013-10-09,266.7
2013-10-10,268.7
2013-10-11,266.5
2013-10-14,263.2
2013-10-15,254.45
2013-10-17,255.15
2013-10-18,267.4
2013-10-21,276.95
2013-10-22,283.6
2013-10-23,275.45
2013-10-24,271.2
2013-10-25,266.9
2013-10-28,262.0
2013-10-29,281.45
2013-10-30,271.7
2013-10-31,275.85
2013-11-01,277.85
2013-11-03,276.6
2013-11-05,286.85
2013-11-06,286.2
2013-11-07,284.4
2013-11-08,292.55
2013-11-11,280.15
2013-11-12,281.3
2013-11-13,283.85
2013-11-14,284.2
2013-11-18,289.55
2013-11-19,284.65
2013-11-20,279.45
2013-11-21,271.05
2013-11-22,269.3
2013-11-25,271.6
2013-11-26,267.65
2013-11-27,265.6
2013-11-28,273.45
2013-11-29,273.1
2013-12-02,275.6
2013-12-03,280.6
2013-12-04,274.6
2013-12-05,274.2
2013-12-06,275.05
2013-12-09,280.55
2013-12-10,273.7
2013-12-11,269.15
2013-12-12,264.1
2013-12-13,254.65
2013-12-16,252.2
2013-12-17,250.9
2013-12-18,255.9
2013-12-19,253.0
2013-12-20,259.1
2013-12-23,266.8
2013-12-24,302.3
2013-12-26,292.8
2013-12-27,296.2
2013-12-30,297.85
2013-12-31,313.6
