Date,APTECHT
2013-01-01,68.25
2013-01-02,70.1
2013-01-03,71.35
2013-01-04,70.95
2013-01-07,70.65
2013-01-08,70.2
2013-01-09,69.6
2013-01-10,68.4
2013-01-11,67.65
2013-01-14,67.95
2013-01-15,68.3
2013-01-16,67.6
2013-01-17,67.6
2013-01-18,67.2
2013-01-21,67.45
2013-01-22,65.05
2013-01-23,63.2
2013-01-24,59.75
2013-01-25,58.5
2013-01-28,60.15
2013-01-29,60.1
2013-01-30,58.8
2013-01-31,58.3
2013-02-01,58.2
2013-02-04,57.15
2013-02-05,58.0
2013-02-06,56.95
2013-02-07,55.75
2013-02-08,54.3
2013-02-11,52.75
2013-02-12,51.55
2013-02-13,50.95
2013-02-14,48.6
2013-02-15,46.95
2013-02-18,47.35
2013-02-19,49.55
2013-02-20,53.65
2013-02-21,52.8
2013-02-22,53.3
2013-02-25,50.45
2013-02-26,48.4
2013-02-27,47.4
2013-02-28,46.45
2013-03-01,46.05
2013-03-04,44.25
2013-03-05,45.75
2013-03-06,46.85
2013-03-07,50.05
2013-03-08,50.9
2013-03-11,49.35
2013-03-12,48.1
2013-03-13,47.0
2013-03-14,47.25
2013-03-15,46.05
2013-03-18,45.35
2013-03-19,43.9
2013-03-20,41.0
2013-03-21,42.25
2013-03-22,43.05
2013-03-25,43.2
2013-03-26,42.35
2013-03-28,42.15
2013-04-01,45.75
2013-04-02,47.5
2013-04-03,46.35
2013-04-04,44.9
2013-04-05,44.2
2013-04-08,44.75
2013-04-09,43.65
2013-04-10,46.4
2013-04-11,45.85
2013-04-12,45.6
2013-04-15,45.7
2013-04-16,45.8
2013-04-17,46.3
2013-04-18,46.2
2013-04-22,47.25
2013-04-23,46.4
2013-04-25,46.4
2013-04-26,44.95
2013-04-29,44.25
2013-04-30,44.8
2013-05-02,44.65
2013-05-03,43.95
2013-05-06,44.35
2013-05-07,45.4
2013-05-08,47.5
2013-05-09,55.25
2013-05-10,57.7
2013-05-11,60.9
2013-05-13,58.5
2013-05-14,63.35
2013-05-15,60.8
2013-05-16,61.55
2013-05-17,59.6
2013-05-20,57.15
2013-05-21,58.15
2013-05-22,59.95
2013-05-23,56.9
2013-05-24,57.85
2013-05-27,57.95
2013-05-28,58.3
2013-05-29,57.15
2013-05-30,55.75
2013-05-31,53.15
2013-06-03,55.2
2013-06-04,57.25
2013-06-05,57.0
2013-06-06,57.5
2013-06-07,57.7
2013-06-10,58.7
2013-06-11,57.85
2013-06-12,57.7
2013-06-13,58.6
2013-06-14,59.55
2013-06-17,60.35
2013-06-18,61.55
2013-06-19,62.25
2013-06-20,61.35
2013-06-21,62.2
2013-06-24,61.9
2013-06-25,62.2
2013-06-26,62.2
2013-06-27,62.85
2013-06-28,62.5
2013-07-01,62.9
2013-07-02,62.15
2013-07-03,60.15
2013-07-04,60.05
2013-07-05,59.25
2013-07-08,58.7
2013-07-09,62.35
2013-07-10,62.95
2013-07-11,64.85
2013-07-12,62.75
2013-07-15,62.3
2013-07-16,64.0
2013-07-17,64.25
2013-07-18,64.1
2013-07-19,63.15
2013-07-22,64.9
2013-07-23,67.25
2013-07-24,65.65
2013-07-25,67.05
2013-07-26,66.95
2013-07-29,66.9
2013-07-30,64.85
2013-07-31,62.55
2013-08-01,61.65
2013-08-02,62.15
2013-08-05,60.95
2013-08-06,59.7
2013-08-07,61.25
2013-08-08,61.45
2013-08-12,61.9
2013-08-13,62.0
2013-08-14,62.0
2013-08-16,61.35
2013-08-19,60.15
2013-08-20,59.9
2013-08-21,58.8
2013-08-22,59.45
2013-08-23,59.65
2013-08-26,60.15
2013-08-27,57.55
2013-08-28,55.85
2013-08-29,55.65
2013-08-30,56.9
2013-09-02,57.35
2013-09-03,58.1
2013-09-04,59.1
2013-09-05,60.1
2013-09-06,60.1
2013-09-10,61.1
2013-09-11,63.1
2013-09-12,62.2
2013-09-13,62.1
2013-09-16,62.25
2013-09-17,63.8
2013-09-18,62.95
2013-09-19,63.5
2013-09-20,63.0
2013-09-23,63.5
2013-09-24,62.0
2013-09-25,62.1
2013-09-26,62.0
2013-09-27,62.0
2013-09-30,62.0
2013-10-01,62.1
2013-10-03,62.05
2013-10-04,62.05
2013-10-07,65.25
2013-10-08,66.65
2013-10-09,65.8
2013-10-10,67.6
2013-10-11,68.6
2013-10-14,69.65
2013-10-15,67.2
2013-10-17,67.75
2013-10-18,69.0
2013-10-21,68.6
2013-10-22,69.1
2013-10-23,70.65
2013-10-24,70.2
2013-10-25,70.15
2013-10-28,70.3
2013-10-29,71.95
2013-10-30,71.15
2013-10-31,71.25
2013-11-01,72.5
2013-11-03,72.85
2013-11-05,72.4
2013-11-06,74.95
2013-11-07,74.05
2013-11-08,73.85
2013-11-11,72.0
2013-11-12,72.15
2013-11-13,72.25
2013-11-14,72.2
2013-11-18,72.15
2013-11-19,72.2
2013-11-20,72.0
2013-11-21,72.1
2013-11-22,72.5
2013-11-25,74.45
2013-11-26,73.9
2013-11-27,71.5
2013-11-28,72.4
2013-11-29,72.3
2013-12-02,74.35
2013-12-03,74.25
2013-12-04,74.3
2013-12-05,75.25
2013-12-06,75.05
2013-12-09,74.7
2013-12-10,74.9
2013-12-11,74.05
2013-12-12,74.2
2013-12-13,74.05
2013-12-16,74.2
2013-12-17,74.15
2013-12-18,74.3
2013-12-19,75.55
2013-12-20,78.2
2013-12-23,79.2
2013-12-24,82.55
2013-12-26,81.15
2013-12-27,79.55
2013-12-30,79.5
2013-12-31,79.95
