Date,HCL-INSYS
2013-01-01,38.45
2013-01-02,39.8
2013-01-03,39.6
2013-01-04,39.55
2013-01-07,39.7
2013-01-08,40.0
2013-01-09,39.6
2013-01-10,38.65
2013-01-11,38.9
2013-01-14,39.15
2013-01-15,41.0
2013-01-16,40.95
2013-01-17,39.65
2013-01-18,39.75
2013-01-21,39.8
2013-01-22,38.9
2013-01-23,38.85
2013-01-24,37.65
2013-01-25,38.05
2013-01-28,37.95
2013-01-29,37.2
2013-01-30,37.2
2013-01-31,36.4
2013-02-01,36.6
2013-02-04,36.45
2013-02-05,36.2
2013-02-06,37.35
2013-02-07,36.3
2013-02-08,36.25
2013-02-11,36.3
2013-02-12,36.05
2013-02-13,35.6
2013-02-14,35.85
2013-02-15,34.0
2013-02-18,34.95
2013-02-19,35.1
2013-02-20,35.15
2013-02-21,34.95
2013-02-22,34.5
2013-02-25,33.95
2013-02-26,33.2
2013-02-27,32.6
2013-02-28,31.0
2013-03-01,31.0
2013-03-04,30.25
2013-03-05,30.35
2013-03-06,31.55
2013-03-07,35.85
2013-03-08,36.8
2013-03-11,38.85
2013-03-12,39.25
2013-03-13,40.0
2013-03-14,40.0
2013-03-15,39.5
2013-03-18,39.0
2013-03-19,39.0
2013-03-20,37.9
2013-03-21,37.85
2013-03-22,37.55
2013-03-25,37.9
2013-03-26,38.0
2013-03-28,37.55
2013-04-01,39.0
2013-04-02,39.0
2013-04-03,39.25
2013-04-04,39.0
2013-04-05,39.0
2013-04-08,39.0
2013-04-09,38.95
2013-04-10,39.05
2013-04-11,39.0
2013-04-12,39.0
2013-04-15,38.55
2013-04-16,38.75
2013-04-17,39.0
2013-04-18,39.0
2013-04-22,39.0
2013-04-23,39.35
2013-04-25,39.5
2013-04-26,39.3
2013-04-29,39.0
2013-04-30,39.0
2013-05-02,38.65
2013-05-03,38.3
2013-05-06,37.85
2013-05-07,37.65
2013-05-08,37.45
2013-05-09,37.4
2013-05-10,36.25
2013-05-11,36.3
2013-05-13,36.7
2013-05-14,35.7
2013-05-15,35.6
2013-05-16,35.6
2013-05-17,35.6
2013-05-20,35.5
2013-05-21,35.3
2013-05-22,35.25
2013-05-23,34.6
2013-05-24,35.0
2013-05-27,34.5
2013-05-28,34.5
2013-05-29,34.1
2013-05-30,34.0
2013-05-31,33.7
2013-06-03,33.2
2013-06-04,33.5
2013-06-05,33.85
2013-06-06,33.85
2013-06-07,33.85
2013-06-10,34.0
2013-06-11,33.25
2013-06-12,32.45
2013-06-13,32.45
2013-06-14,33.1
2013-06-17,33.25
2013-06-18,33.1
2013-06-19,33.5
2013-06-20,33.0
2013-06-21,33.4
2013-06-24,32.85
2013-06-25,32.85
2013-06-26,32.6
2013-06-27,32.9
2013-06-28,33.3
2013-07-01,33.9
2013-07-02,34.0
2013-07-03,34.0
2013-07-04,34.0
2013-07-05,33.9
2013-07-08,33.25
2013-07-09,33.4
2013-07-10,33.4
2013-07-11,33.55
2013-07-12,33.45
2013-07-15,34.0
2013-07-16,33.5
2013-07-17,33.3
2013-07-18,33.3
2013-07-19,33.15
2013-07-22,33.0
2013-07-23,33.0
2013-07-24,32.5
2013-07-25,32.0
2013-07-26,31.95
2013-07-29,30.75
2013-07-30,30.4
2013-07-31,29.8
2013-08-01,30.0
2013-08-02,29.45
2013-08-05,27.25
2013-08-06,27.05
2013-08-07,27.15
2013-08-08,25.55
2013-08-12,25.2
2013-08-13,25.05
2013-08-14,25.25
2013-08-16,23.3
2013-08-19,21.45
2013-08-20,21.45
2013-08-21,21.15
2013-08-22,22.5
2013-08-23,22.85
2013-08-26,22.55
2013-08-27,21.0
2013-08-28,21.1
2013-08-29,21.5
2013-08-30,21.7
2013-09-02,22.2
2013-09-03,25.25
2013-09-04,27.7
2013-09-05,27.4
2013-09-06,26.4
2013-09-10,26.6
2013-09-11,25.7
2013-09-12,25.75
2013-09-13,25.65
2013-09-16,27.95
2013-09-17,27.4
2013-09-18,27.15
2013-09-19,27.15
2013-09-20,26.75
2013-09-23,26.4
2013-09-24,26.25
2013-09-25,26.1
2013-09-26,26.5
2013-09-27,26.3
2013-09-30,26.1
2013-10-01,25.75
2013-10-03,25.7
2013-10-04,25.15
2013-10-07,25.05
2013-10-08,24.7
2013-10-09,24.6
2013-10-10,24.45
2013-10-11,24.2
2013-10-14,24.2
2013-10-15,23.15
2013-10-17,23.65
2013-10-18,23.65
2013-10-21,23.85
2013-10-22,23.8
2013-10-23,24.0
2013-10-24,23.75
2013-10-25,23.75
2013-10-28,23.5
2013-10-29,23.25
2013-10-30,23.3
2013-10-31,23.55
2013-11-01,23.45
2013-11-03,24.3
2013-11-05,24.15
2013-11-06,23.9
2013-11-07,23.9
2013-11-08,23.55
2013-11-11,23.45
2013-11-12,23.05
2013-11-13,22.85
2013-11-14,22.55
2013-11-18,24.0
2013-11-19,23.6
2013-11-20,23.25
2013-11-21,22.9
2013-11-22,22.8
2013-11-25,22.75
2013-11-26,20.65
2013-11-27,20.75
2013-11-28,20.95
2013-11-29,21.2
2013-12-02,21.3
2013-12-03,21.55
2013-12-04,21.65
2013-12-05,21.8
2013-12-06,21.55
2013-12-09,21.4
2013-12-10,21.25
2013-12-11,21.25
2013-12-12,21.05
2013-12-13,20.15
2013-12-16,19.9
2013-12-17,19.5
2013-12-18,19.3
2013-12-19,19.55
2013-12-20,19.5
2013-12-23,19.9
2013-12-24,20.1
2013-12-26,20.4
2013-12-27,20.65
2013-12-30,21.0
2013-12-31,21.0
