Date,VIPIND
2013-01-01,86.4
2013-01-02,86.25
2013-01-03,86.75
2013-01-04,87.45
2013-01-07,86.7
2013-01-08,84.85
2013-01-09,84.1
2013-01-10,84.1
2013-01-11,83.1
2013-01-14,83.6
2013-01-15,84.0
2013-01-16,85.25
2013-01-17,86.0
2013-01-18,86.35
2013-01-21,86.0
2013-01-22,85.1
2013-01-23,84.1
2013-01-24,81.2
2013-01-25,81.9
2013-01-28,81.3
2013-01-29,81.5
2013-01-30,81.1
2013-01-31,81.25
2013-02-01,81.5
2013-02-04,79.95
2013-02-05,78.65
2013-02-06,78.55
2013-02-07,76.65
2013-02-08,78.6
2013-02-11,76.95
2013-02-12,75.9
2013-02-13,77.15
2013-02-14,75.2
2013-02-15,74.35
2013-02-18,73.65
2013-02-19,73.85
2013-02-20,73.95
2013-02-21,71.2
2013-02-22,71.5
2013-02-25,71.55
2013-02-26,70.35
2013-02-27,70.15
2013-02-28,66.55
2013-03-01,68.15
2013-03-04,67.0
2013-03-05,68.2
2013-03-06,69.8
2013-03-07,72.45
2013-03-08,71.8
2013-03-11,73.05
2013-03-12,71.95
2013-03-13,70.35
2013-03-14,70.95
2013-03-15,67.95
2013-03-18,67.35
2013-03-19,65.5
2013-03-20,62.4
2013-03-21,61.25
2013-03-22,61.35
2013-03-25,59.0
2013-03-26,58.85
2013-03-28,60.8
2013-04-01,62.5
2013-04-02,64.3
2013-04-03,63.7
2013-04-04,61.65
2013-04-05,60.95
2013-04-08,61.7
2013-04-09,60.05
2013-04-10,59.35
2013-04-11,59.25
2013-04-12,58.5
2013-04-15,56.8
2013-04-16,57.0
2013-04-17,66.65
2013-04-18,63.25
2013-04-22,64.15
2013-04-23,63.9
2013-04-25,63.2
2013-04-26,62.85
2013-04-29,64.05
2013-04-30,62.9
2013-05-02,63.5
2013-05-03,62.6
2013-05-06,62.85
2013-05-07,70.1
2013-05-08,72.2
2013-05-09,70.6
2013-05-10,71.15
2013-05-11,71.1
2013-05-13,68.6
2013-05-14,66.95
2013-05-15,69.45
2013-05-16,70.4
2013-05-17,71.85
2013-05-20,70.8
2013-05-21,69.25
2013-05-22,68.7
2013-05-23,64.95
2013-05-24,64.6
2013-05-27,65.25
2013-05-28,65.9
2013-05-29,64.6
2013-05-30,64.25
2013-05-31,56.75
2013-06-03,56.75
2013-06-04,59.0
2013-06-05,58.8
2013-06-06,58.6
2013-06-07,58.4
2013-06-10,57.1
2013-06-11,53.85
2013-06-12,52.8
2013-06-13,53.8
2013-06-14,55.15
2013-06-17,57.35
2013-06-18,56.3
2013-06-19,57.4
2013-06-20,54.9
2013-06-21,53.65
2013-06-24,51.75
2013-06-25,52.05
2013-06-26,50.25
2013-06-27,50.1
2013-06-28,51.2
2013-07-01,52.0
2013-07-02,52.05
2013-07-03,50.55
2013-07-04,50.05
2013-07-05,49.35
2013-07-08,49.15
2013-07-09,50.1
2013-07-10,49.95
2013-07-11,50.1
2013-07-12,49.95
2013-07-15,50.05
2013-07-16,49.1
2013-07-17,49.35
2013-07-18,49.55
2013-07-19,49.9
2013-07-22,50.0
2013-07-23,49.95
2013-07-24,49.55
2013-07-25,49.3
2013-07-26,47.5
2013-07-29,45.8
2013-07-30,44.75
2013-07-31,47.5
2013-08-01,42.7
2013-08-02,41.55
2013-08-05,40.35
2013-08-06,39.55
2013-08-07,39.75
2013-08-08,40.95
2013-08-12,42.15
2013-08-13,43.1
2013-08-14,46.05
2013-08-16,44.0
2013-08-19,45.1
2013-08-20,46.4
2013-08-21,47.2
2013-08-22,47.15
2013-08-23,49.2
2013-08-26,53.35
2013-08-27,49.65
2013-08-28,47.0
2013-08-29,47.15
2013-08-30,46.15
2013-09-02,46.8
2013-09-03,44.35
2013-09-04,45.5
2013-09-05,46.5
2013-09-06,45.95
2013-09-10,47.5
2013-09-11,50.35
2013-09-12,48.25
2013-09-13,50.5
2013-09-16,48.85
2013-09-17,48.9
2013-09-18,48.2
2013-09-19,50.45
2013-09-20,48.25
2013-09-23,51.0
2013-09-24,51.9
2013-09-25,51.05
2013-09-26,52.75
2013-09-27,52.2
2013-09-30,50.15
2013-10-01,50.6
2013-10-03,51.4
2013-10-04,51.55
2013-10-07,52.15
2013-10-08,51.95
2013-10-09,52.3
2013-10-10,57.9
2013-10-11,56.8
2013-10-14,56.35
2013-10-15,54.4
2013-10-17,55.4
2013-10-18,59.25
2013-10-21,58.85
2013-10-22,58.65
2013-10-23,57.15
2013-10-24,56.75
2013-10-25,56.3
2013-10-28,57.65
2013-10-29,58.05
2013-10-30,58.6
2013-10-31,57.15
2013-11-01,58.35
2013-11-03,58.6
2013-11-05,61.25
2013-11-06,61.35
2013-11-07,57.25
2013-11-08,57.55
2013-11-11,55.5
2013-11-12,53.7
2013-11-13,52.3
2013-11-14,54.8
2013-11-18,55.8
2013-11-19,56.45
2013-11-20,55.75
2013-11-21,55.1
2013-11-22,55.05
2013-11-25,56.6
2013-11-26,57.5
2013-11-27,55.55
2013-11-28,56.3
2013-11-29,59.3
2013-12-02,60.35
2013-12-03,60.4
2013-12-04,58.6
2013-12-05,59.25
2013-12-06,58.7
2013-12-09,58.75
2013-12-10,57.8
2013-12-11,57.05
2013-12-12,57.0
2013-12-13,55.95
2013-12-16,56.1
2013-12-17,56.25
2013-12-18,59.1
2013-12-19,58.95
2013-12-20,59.95
2013-12-23,64.35
2013-12-24,66.45
2013-12-26,65.0
2013-12-27,63.35
2013-12-30,65.1
2013-12-31,64.4
