Date,TATACOFFEE
2013-01-01,1415.1
2013-01-02,1607.4
2013-01-03,1626.2
2013-01-04,1579.05
2013-01-07,1595.65
2013-01-08,1625.2
2013-01-09,1602.95
2013-01-10,1603.75
2013-01-11,1581.9
2013-01-14,1593.7
2013-01-15,1586.95
2013-01-16,1572.7
2013-01-17,1599.9
2013-01-18,1587.0
2013-01-21,1596.9
2013-01-22,1578.9
2013-01-23,1556.0
2013-01-24,1528.6
2013-01-25,1584.6
2013-01-28,1570.25
2013-01-29,1549.05
2013-01-30,1523.0
2013-01-31,1503.7
2013-02-01,1521.6
2013-02-04,1508.9
2013-02-05,1504.25
2013-02-06,1512.65
2013-02-07,1498.8
2013-02-08,1485.8
2013-02-11,1483.15
2013-02-12,1489.55
2013-02-13,1493.9
2013-02-14,1481.45
2013-02-15,1485.55
2013-02-18,1491.45
2013-02-19,1513.2
2013-02-20,1518.6
2013-02-21,1510.7
2013-02-22,1507.65
2013-02-25,1484.3
2013-02-26,1463.2
2013-02-27,1469.55
2013-02-28,1442.15
2013-03-01,1422.15
2013-03-04,1428.65
2013-03-05,1461.8
2013-03-06,1492.1
2013-03-07,1501.9
2013-03-08,1508.65
2013-03-11,1509.45
2013-03-12,1587.9
2013-03-13,1553.4
2013-03-14,1599.5
2013-03-15,1573.05
2013-03-18,1565.65
2013-03-19,1511.0
2013-03-20,1485.5
2013-03-21,1480.15
2013-03-22,1483.45
2013-03-25,1475.3
2013-03-26,1470.1
2013-03-28,1475.5
2013-04-01,1498.9
2013-04-02,1547.5
2013-04-03,1535.4
2013-04-04,1504.75
2013-04-05,1518.7
2013-04-08,1515.55
2013-04-09,1502.15
2013-04-10,1503.45
2013-04-11,1507.3
2013-04-12,1493.35
2013-04-15,1500.4
2013-04-16,1508.75
2013-04-17,1511.35
2013-04-18,1517.95
2013-04-22,1528.05
2013-04-23,1521.2
2013-04-25,1515.35
2013-04-26,1517.3
2013-04-29,1542.95
2013-04-30,1592.75
2013-05-02,1612.45
2013-05-03,1621.7
2013-05-06,1630.15
2013-05-07,1636.5
2013-05-08,1634.3
2013-05-09,1629.05
2013-05-10,1636.85
