Date,WABAG
2013-01-01,561.85
2013-01-02,562.0
2013-01-03,564.25
2013-01-04,565.6
2013-01-07,565.95
2013-01-08,566.35
2013-01-09,559.15
2013-01-10,564.0
2013-01-11,564.7
2013-01-14,565.15
2013-01-15,574.85
2013-01-16,577.4
2013-01-17,570.4
2013-01-18,568.95
2013-01-21,576.65
2013-01-22,565.3
2013-01-23,563.8
2013-01-24,553.5
2013-01-25,562.3
2013-01-28,560.15
2013-01-29,545.75
2013-01-30,530.5
2013-01-31,533.35
2013-02-01,528.45
2013-02-04,526.2
2013-02-05,520.95
2013-02-06,524.7
2013-02-07,528.25
2013-02-08,530.2
2013-02-11,518.7
2013-02-12,522.1
2013-02-13,517.2
2013-02-14,509.7
2013-02-15,498.05
2013-02-18,499.0
2013-02-19,501.65
2013-02-20,522.1
2013-02-21,517.4
2013-02-22,520.0
2013-02-25,518.2
2013-02-26,517.55
2013-02-27,504.0
2013-02-28,512.95
2013-03-01,541.25
2013-03-04,528.2
2013-03-05,525.2
2013-03-06,522.45
2013-03-07,518.0
2013-03-08,523.85
2013-03-11,517.6
2013-03-12,518.15
2013-03-13,516.95
2013-03-14,513.8
2013-03-15,517.25
2013-03-18,527.0
2013-03-19,524.55
2013-03-20,510.6
2013-03-21,506.9
2013-03-22,509.2
2013-03-25,491.45
2013-03-26,508.65
2013-03-28,500.0
2013-04-01,504.35
2013-04-02,519.25
2013-04-03,513.95
2013-04-04,503.9
2013-04-05,504.15
2013-04-08,508.05
2013-04-09,506.15
2013-04-10,498.7
2013-04-11,509.25
2013-04-12,503.9
2013-04-15,507.0
2013-04-16,507.05
2013-04-17,504.0
2013-04-18,492.65
2013-04-22,487.5
2013-04-23,489.25
2013-04-25,495.0
2013-04-26,486.8
2013-04-29,493.6
2013-04-30,480.6
2013-05-02,477.75
2013-05-03,472.0
2013-05-06,460.75
2013-05-07,461.3
2013-05-08,460.65
2013-05-09,461.8
2013-05-10,465.8
2013-05-11,466.55
2013-05-13,452.9
2013-05-14,450.55
2013-05-15,464.95
2013-05-16,480.45
2013-05-17,472.15
2013-05-20,471.6
2013-05-21,472.35
2013-05-22,461.6
2013-05-23,459.8
2013-05-24,459.2
2013-05-27,465.95
2013-05-28,459.35
2013-05-29,464.6
2013-05-30,460.85
2013-05-31,460.8
2013-06-03,465.85
2013-06-04,459.55
2013-06-05,463.65
2013-06-06,453.8
2013-06-07,449.6
2013-06-10,445.25
2013-06-11,435.3
2013-06-12,436.5
2013-06-13,428.3
2013-06-14,440.2
2013-06-17,441.25
2013-06-18,456.2
2013-06-19,462.05
2013-06-20,464.2
2013-06-21,468.2
2013-06-24,461.5
2013-06-25,465.05
2013-06-26,450.25
2013-06-27,459.55
2013-06-28,462.95
2013-07-01,458.35
2013-07-02,453.2
2013-07-03,445.95
2013-07-04,448.85
2013-07-05,450.7
2013-07-08,443.6
2013-07-09,444.15
2013-07-10,447.4
2013-07-11,445.65
2013-07-12,440.3
2013-07-15,441.2
2013-07-16,436.45
2013-07-17,438.55
2013-07-18,436.5
2013-07-19,444.25
2013-07-22,442.45
2013-07-23,438.05
2013-07-24,439.5
2013-07-25,434.4
2013-07-26,424.5
2013-07-29,406.3
2013-07-30,391.7
2013-07-31,402.75
2013-08-01,392.5
2013-08-02,395.65
2013-08-05,393.35
2013-08-06,387.0
2013-08-07,389.7
2013-08-08,404.95
2013-08-12,443.6
2013-08-13,460.9
2013-08-14,451.0
2013-08-16,453.2
2013-08-19,440.25
2013-08-20,440.05
2013-08-21,434.55
2013-08-22,437.05
2013-08-23,444.7
2013-08-26,450.15
2013-08-27,450.05
2013-08-28,441.85
2013-08-29,446.9
2013-08-30,443.0
2013-09-02,443.1
2013-09-03,449.05
2013-09-04,461.7
2013-09-05,474.2
2013-09-06,479.25
2013-09-10,473.35
2013-09-11,489.85
2013-09-12,493.15
2013-09-13,483.8
2013-09-16,481.0
2013-09-17,476.05
2013-09-18,479.95
2013-09-19,476.2
2013-09-20,470.15
2013-09-23,463.9
2013-09-24,461.8
2013-09-25,466.85
2013-09-26,479.35
2013-09-27,478.8
2013-09-30,467.9
2013-10-01,454.45
2013-10-03,457.55
2013-10-04,458.9
2013-10-07,458.2
2013-10-08,461.0
2013-10-09,472.7
2013-10-10,478.4
2013-10-11,483.85
2013-10-14,508.3
2013-10-15,499.95
2013-10-17,507.75
2013-10-18,515.6
2013-10-21,511.45
2013-10-22,512.8
2013-10-23,523.05
2013-10-24,516.8
2013-10-25,513.55
2013-10-28,512.85
2013-10-29,531.5
2013-10-30,538.8
2013-10-31,544.85
2013-11-01,549.05
2013-11-03,543.6
2013-11-05,549.8
2013-11-06,559.95
2013-11-07,562.6
2013-11-08,535.0
2013-11-11,515.45
2013-11-12,514.75
2013-11-13,504.1
2013-11-14,502.8
2013-11-18,507.3
2013-11-19,500.7
2013-11-20,499.7
2013-11-21,496.25
2013-11-22,493.6
2013-11-25,492.35
2013-11-26,489.2
2013-11-27,506.45
2013-11-28,514.45
2013-11-29,534.95
2013-12-02,527.0
2013-12-03,531.55
2013-12-04,526.85
2013-12-05,539.55
2013-12-06,541.65
2013-12-09,549.4
2013-12-10,542.5
2013-12-11,543.5
2013-12-12,530.9
2013-12-13,529.65
2013-12-16,530.55
2013-12-17,528.75
2013-12-18,557.35
2013-12-19,544.4
2013-12-20,543.75
2013-12-23,563.35
2013-12-24,560.8
2013-12-26,550.1
2013-12-27,560.45
2013-12-30,554.95
2013-12-31,555.55
