Date,JPASSOCIAT
2013-01-01,98.5
2013-01-02,101.45
2013-01-03,101.1
2013-01-04,101.0
2013-01-07,98.8
2013-01-08,99.3
2013-01-09,97.65
2013-01-10,96.8
2013-01-11,93.1
2013-01-14,95.5
2013-01-15,96.3
2013-01-16,92.35
2013-01-17,91.55
2013-01-18,89.9
2013-01-21,91.15
2013-01-22,90.1
2013-01-23,87.7
2013-01-24,82.8
2013-01-25,86.8
2013-01-28,84.9
2013-01-29,86.4
2013-01-30,87.05
2013-01-31,86.95
2013-02-01,83.4
2013-02-04,79.6
2013-02-05,76.1
2013-02-06,73.25
2013-02-07,73.55
2013-02-08,73.1
2013-02-11,72.75
2013-02-12,72.35
2013-02-13,70.75
2013-02-14,71.35
2013-02-15,71.8
2013-02-18,74.35
2013-02-19,75.3
2013-02-20,74.6
2013-02-21,71.8
2013-02-22,70.25
2013-02-25,68.0
2013-02-26,68.4
2013-02-27,72.25
2013-02-28,69.55
2013-03-01,72.25
2013-03-04,68.2
2013-03-05,70.55
2013-03-06,74.45
2013-03-07,76.1
2013-03-08,77.8
2013-03-11,77.55
2013-03-12,77.1
2013-03-13,75.2
2013-03-14,76.45
2013-03-15,74.15
2013-03-18,74.0
2013-03-19,71.4
2013-03-20,68.35
2013-03-21,63.9
2013-03-22,63.45
2013-03-25,63.6
2013-03-26,64.25
2013-03-28,65.45
2013-04-01,67.95
2013-04-02,69.4
2013-04-03,68.25
2013-04-04,63.75
2013-04-05,64.1
2013-04-08,64.65
2013-04-09,64.05
2013-04-10,66.1
2013-04-11,67.45
2013-04-12,70.8
2013-04-15,72.9
2013-04-16,74.35
2013-04-17,74.35
2013-04-18,76.1
2013-04-22,77.0
2013-04-23,78.4
2013-04-25,77.45
2013-04-26,75.0
2013-04-29,77.05
2013-04-30,75.25
2013-05-02,77.45
2013-05-03,75.15
2013-05-06,75.6
2013-05-07,76.2
2013-05-08,76.05
2013-05-09,75.05
2013-05-10,75.45
2013-05-11,76.0
2013-05-13,73.75
2013-05-14,73.1
2013-05-15,75.8
2013-05-16,80.05
2013-05-17,82.3
2013-05-20,79.95
2013-05-21,76.8
2013-05-22,73.4
2013-05-23,67.3
2013-05-24,68.0
2013-05-27,69.0
2013-05-28,71.7
2013-05-29,69.2
2013-05-30,66.85
2013-05-31,65.65
2013-06-03,66.45
2013-06-04,66.2
2013-06-05,66.95
2013-06-06,66.75
2013-06-07,64.4
2013-06-10,63.35
2013-06-11,61.25
2013-06-12,62.55
2013-06-13,60.8
2013-06-14,63.1
2013-06-17,63.6
2013-06-18,63.05
2013-06-19,63.35
2013-06-20,58.65
2013-06-21,57.65
2013-06-24,51.0
2013-06-25,51.2
2013-06-26,50.65
2013-06-27,51.05
2013-06-28,53.6
2013-07-01,55.75
2013-07-02,56.7
2013-07-03,51.85
2013-07-04,52.4
2013-07-05,54.45
2013-07-08,52.05
2013-07-09,53.1
2013-07-10,53.25
2013-07-11,54.2
2013-07-12,52.4
2013-07-15,54.55
2013-07-16,50.5
2013-07-17,50.25
2013-07-18,50.6
2013-07-19,49.6
2013-07-22,49.35
2013-07-23,50.15
2013-07-24,47.25
2013-07-25,43.0
2013-07-26,41.7
2013-07-29,39.75
2013-07-30,37.75
2013-07-31,36.15
2013-08-01,32.45
2013-08-02,29.7
2013-08-05,31.4
2013-08-06,29.7
2013-08-07,31.0
2013-08-08,31.15
2013-08-12,31.45
2013-08-13,32.85
2013-08-14,33.35
2013-08-16,29.7
2013-08-19,30.85
2013-08-20,32.45
2013-08-21,30.35
2013-08-22,33.3
2013-08-23,33.85
2013-08-26,35.7
2013-08-27,32.5
2013-08-28,33.75
2013-08-29,33.65
2013-08-30,33.1
2013-09-02,36.3
2013-09-03,34.25
2013-09-04,36.4
2013-09-05,37.55
2013-09-06,37.95
2013-09-10,40.9
2013-09-11,43.4
2013-09-12,38.35
2013-09-13,39.55
2013-09-16,38.75
2013-09-17,39.15
2013-09-18,38.95
2013-09-19,42.4
2013-09-20,40.05
2013-09-23,37.75
2013-09-24,37.35
2013-09-25,37.35
2013-09-26,38.45
2013-09-27,36.6
2013-09-30,34.9
2013-10-01,34.95
2013-10-03,37.6
2013-10-04,37.65
2013-10-07,37.85
2013-10-08,37.95
2013-10-09,39.65
2013-10-10,39.95
2013-10-11,39.75
2013-10-14,39.75
2013-10-15,41.75
2013-10-17,44.75
2013-10-18,47.05
2013-10-21,47.5
2013-10-22,47.6
2013-10-23,46.55
2013-10-24,46.45
2013-10-25,45.7
2013-10-28,43.15
2013-10-29,46.3
2013-10-30,45.9
2013-10-31,47.65
2013-11-01,48.9
2013-11-03,48.65
2013-11-05,49.4
2013-11-06,47.75
2013-11-07,46.65
2013-11-08,47.5
2013-11-11,46.15
2013-11-12,44.0
2013-11-13,43.2
2013-11-14,45.4
2013-11-18,48.25
2013-11-19,49.65
2013-11-20,48.15
2013-11-21,46.55
2013-11-22,46.4
2013-11-25,48.15
2013-11-26,47.5
2013-11-27,46.15
2013-11-28,49.45
2013-11-29,53.9
2013-12-02,53.95
2013-12-03,54.05
2013-12-04,54.35
2013-12-05,55.35
2013-12-06,55.25
2013-12-09,55.55
2013-12-10,54.7
2013-12-11,53.65
2013-12-12,54.2
2013-12-13,51.1
2013-12-16,51.2
2013-12-17,51.75
2013-12-18,52.75
2013-12-19,51.55
2013-12-20,53.15
2013-12-23,54.25
2013-12-24,54.4
2013-12-26,54.65
2013-12-27,53.9
2013-12-30,52.8
2013-12-31,54.45
