Date,BEML
2013-01-01,284.0
2013-01-02,286.25
2013-01-03,285.0
2013-01-04,283.75
2013-01-07,284.15
2013-01-08,284.05
2013-01-09,281.8
2013-01-10,278.55
2013-01-11,275.2
2013-01-14,277.3
2013-01-15,277.5
2013-01-16,276.4
2013-01-17,275.85
2013-01-18,277.15
2013-01-21,278.3
2013-01-22,276.1
2013-01-23,272.55
2013-01-24,267.25
2013-01-25,265.8
2013-01-28,269.1
2013-01-29,266.7
2013-01-30,265.9
2013-01-31,265.45
2013-02-01,265.4
2013-02-04,261.75
2013-02-05,259.45
2013-02-06,259.8
2013-02-07,263.1
2013-02-08,261.45
2013-02-11,253.7
2013-02-12,250.65
2013-02-13,250.55
2013-02-14,245.25
2013-02-15,240.6
2013-02-18,243.5
2013-02-19,243.0
2013-02-20,243.75
2013-02-21,243.05
2013-02-22,250.65
2013-02-25,248.9
2013-02-26,241.4
2013-02-27,235.65
2013-02-28,224.45
2013-03-01,218.05
2013-03-04,211.0
2013-03-05,210.15
2013-03-06,209.15
2013-03-07,206.85
2013-03-08,208.1
2013-03-11,206.15
2013-03-12,203.45
2013-03-13,197.5
2013-03-14,193.0
2013-03-15,186.6
2013-03-18,179.7
2013-03-19,172.55
2013-03-20,162.4
2013-03-21,152.9
2013-03-22,148.5
2013-03-25,142.25
2013-03-26,140.4
2013-03-28,146.95
2013-04-01,153.1
2013-04-02,165.7
2013-04-03,171.3
2013-04-04,170.4
2013-04-05,172.8
2013-04-08,163.65
2013-04-09,156.95
2013-04-10,161.0
2013-04-11,161.9
2013-04-12,160.4
2013-04-15,159.45
2013-04-16,164.35
2013-04-17,163.65
2013-04-18,163.75
2013-04-22,164.95
2013-04-23,167.3
2013-04-25,168.45
2013-04-26,164.5
2013-04-29,163.7
2013-04-30,160.65
2013-05-02,160.95
2013-05-03,159.75
2013-05-06,167.45
2013-05-07,173.3
2013-05-08,175.25
2013-05-09,168.95
2013-05-10,170.35
2013-05-11,172.0
2013-05-13,167.1
2013-05-14,166.35
2013-05-15,167.95
2013-05-16,171.05
2013-05-17,186.4
2013-05-20,185.55
2013-05-21,182.65
2013-05-22,177.65
2013-05-23,165.4
2013-05-24,165.3
2013-05-27,166.3
2013-05-28,167.45
2013-05-29,167.95
2013-05-30,183.3
2013-05-31,175.5
2013-06-03,173.05
2013-06-04,172.25
2013-06-05,171.9
2013-06-06,170.15
2013-06-07,169.95
2013-06-10,165.65
2013-06-11,163.45
2013-06-12,157.75
2013-06-13,153.25
2013-06-14,159.05
2013-06-17,157.65
2013-06-18,163.8
2013-06-19,166.2
2013-06-20,157.05
2013-06-21,152.4
2013-06-24,151.1
2013-06-25,151.95
2013-06-26,149.6
2013-06-27,149.85
2013-06-28,155.15
2013-07-01,163.2
2013-07-02,159.7
2013-07-03,162.65
2013-07-04,163.05
2013-07-05,161.3
2013-07-08,161.95
2013-07-09,165.1
2013-07-10,161.6
2013-07-11,164.45
2013-07-12,163.4
2013-07-15,166.6
2013-07-16,163.6
2013-07-17,169.2
2013-07-18,172.85
2013-07-19,175.65
2013-07-22,170.6
2013-07-23,170.75
2013-07-24,166.5
2013-07-25,164.9
2013-07-26,158.25
2013-07-29,153.55
2013-07-30,148.15
2013-07-31,143.45
2013-08-01,141.65
2013-08-02,134.8
2013-08-05,135.35
2013-08-06,130.4
2013-08-07,132.4
2013-08-08,143.1
2013-08-12,144.75
2013-08-13,145.45
2013-08-14,141.85
2013-08-16,136.05
2013-08-19,129.15
2013-08-20,129.8
2013-08-21,129.2
2013-08-22,131.65
2013-08-23,147.05
2013-08-26,147.6
2013-08-27,139.6
2013-08-28,136.0
2013-08-29,140.5
2013-08-30,139.55
2013-09-02,141.45
2013-09-03,143.55
2013-09-04,147.45
2013-09-05,150.05
2013-09-06,147.0
2013-09-10,148.95
2013-09-11,150.7
2013-09-12,153.15
2013-09-13,152.8
2013-09-16,149.9
2013-09-17,146.6
2013-09-18,149.15
2013-09-19,154.7
2013-09-20,144.15
2013-09-23,144.0
2013-09-24,143.8
2013-09-25,144.85
2013-09-26,145.85
2013-09-27,143.2
2013-09-30,140.15
2013-10-01,141.2
2013-10-03,151.4
2013-10-04,176.55
2013-10-07,173.0
2013-10-08,167.4
2013-10-09,169.65
2013-10-10,173.1
2013-10-11,170.7
2013-10-14,168.55
2013-10-15,168.85
2013-10-17,167.05
2013-10-18,169.4
2013-10-21,172.0
2013-10-22,177.75
2013-10-23,174.9
2013-10-24,174.2
2013-10-25,171.6
2013-10-28,169.55
2013-10-29,171.4
2013-10-30,186.9
2013-10-31,187.65
2013-11-01,187.35
2013-11-03,189.3
2013-11-05,195.5
2013-11-06,195.35
2013-11-07,189.15
2013-11-08,183.25
2013-11-11,177.25
2013-11-12,180.05
2013-11-13,181.2
2013-11-14,183.65
2013-11-18,184.75
2013-11-19,185.55
2013-11-20,182.55
2013-11-21,180.9
2013-11-22,179.75
2013-11-25,182.45
2013-11-26,180.8
2013-11-27,179.95
2013-11-28,182.45
2013-11-29,182.95
2013-12-02,195.75
2013-12-03,194.4
2013-12-04,189.9
2013-12-05,196.3
2013-12-06,208.35
2013-12-09,215.3
2013-12-10,209.1
2013-12-11,212.3
2013-12-12,207.35
2013-12-13,197.7
2013-12-16,204.2
2013-12-17,206.4
2013-12-18,203.7
2013-12-19,205.85
2013-12-20,210.05
2013-12-23,234.8
2013-12-24,240.85
2013-12-26,244.1
2013-12-27,239.4
2013-12-30,241.95
2013-12-31,236.05
