Date,APOLLOHOSP
2013-01-01,788.2
2013-01-02,783.25
2013-01-03,802.05
2013-01-04,809.2
2013-01-07,806.05
2013-01-08,804.0
2013-01-09,797.45
2013-01-10,803.25
2013-01-11,794.0
2013-01-14,806.85
2013-01-15,809.85
2013-01-16,808.8
2013-01-17,797.6
2013-01-18,793.05
2013-01-21,779.7
2013-01-22,772.15
2013-01-23,800.05
2013-01-24,777.75
2013-01-25,775.65
2013-01-28,778.15
2013-01-29,789.95
2013-01-30,803.25
2013-01-31,808.5
2013-02-01,813.15
2013-02-04,816.1
2013-02-05,814.15
2013-02-06,824.65
2013-02-07,848.75
2013-02-08,840.05
2013-02-11,836.8
2013-02-12,841.9
2013-02-13,839.9
2013-02-14,815.45
2013-02-15,827.65
2013-02-18,823.3
2013-02-19,822.5
2013-02-20,813.25
2013-02-21,808.0
2013-02-22,796.5
2013-02-25,810.2
2013-02-26,805.5
2013-02-27,824.55
2013-02-28,826.9
2013-03-01,825.3
2013-03-04,824.8
2013-03-05,841.4
2013-03-06,835.45
2013-03-07,834.35
2013-03-08,848.2
2013-03-11,848.1
2013-03-12,837.0
2013-03-13,834.7
2013-03-14,835.25
2013-03-15,799.0
2013-03-18,802.55
2013-03-19,793.1
2013-03-20,794.4
2013-03-21,794.0
2013-03-22,788.65
2013-03-25,795.2
2013-03-26,797.15
2013-03-28,838.9
2013-04-01,834.7
2013-04-02,834.85
2013-04-03,834.45
2013-04-04,834.2
2013-04-05,843.8
2013-04-08,828.75
2013-04-09,821.35
2013-04-10,826.65
2013-04-11,822.9
2013-04-12,828.7
2013-04-15,818.4
2013-04-16,828.85
2013-04-17,829.25
2013-04-18,834.8
2013-04-22,833.0
2013-04-23,834.35
2013-04-25,833.35
2013-04-26,825.65
2013-04-29,824.9
2013-04-30,834.2
2013-05-02,825.5
2013-05-03,828.5
2013-05-06,859.2
2013-05-07,869.65
2013-05-08,905.7
2013-05-09,918.55
2013-05-10,941.55
2013-05-11,944.95
2013-05-13,899.4
2013-05-14,909.35
2013-05-15,964.65
2013-05-16,1043.95
2013-05-17,1066.4
2013-05-20,996.9
2013-05-21,976.95
2013-05-22,943.35
2013-05-23,949.8
2013-05-24,900.7
2013-05-27,950.65
2013-05-28,979.95
2013-05-29,962.7
2013-05-30,960.05
2013-05-31,1007.7
2013-06-03,971.4
2013-06-04,1026.25
2013-06-05,1017.8
2013-06-06,1004.85
2013-06-07,980.9
2013-06-10,1000.6
2013-06-11,956.0
2013-06-12,929.45
2013-06-13,924.75
2013-06-14,994.55
2013-06-17,991.85
2013-06-18,989.85
2013-06-19,976.45
2013-06-20,979.1
2013-06-21,972.35
2013-06-24,970.05
2013-06-25,952.25
2013-06-26,944.1
2013-06-27,981.65
2013-06-28,1053.45
2013-07-01,1005.75
2013-07-02,990.15
2013-07-03,941.3
2013-07-04,937.5
2013-07-05,962.85
2013-07-08,954.8
2013-07-09,969.95
2013-07-10,971.2
2013-07-11,980.6
2013-07-12,984.4
2013-07-15,968.5
2013-07-16,980.25
2013-07-17,996.95
2013-07-18,988.15
2013-07-19,988.15
2013-07-22,974.05
2013-07-23,992.15
2013-07-24,994.8
2013-07-25,969.7
2013-07-26,949.35
2013-07-29,957.4
2013-07-30,956.25
2013-07-31,938.15
2013-08-01,944.55
2013-08-02,950.35
2013-08-05,963.95
2013-08-06,959.25
2013-08-07,920.6
2013-08-08,909.9
2013-08-12,944.2
2013-08-13,939.25
2013-08-14,968.7
2013-08-16,981.3
2013-08-19,912.45
2013-08-20,827.3
2013-08-21,887.15
2013-08-22,883.8
2013-08-23,907.2
2013-08-26,905.55
2013-08-27,883.35
2013-08-28,858.65
2013-08-29,863.3
2013-08-30,864.55
2013-09-02,856.1
2013-09-03,850.2
2013-09-04,852.4
2013-09-05,850.7
2013-09-06,850.4
2013-09-10,871.6
2013-09-11,866.65
2013-09-12,868.35
2013-09-13,859.95
2013-09-16,859.3
2013-09-17,858.35
2013-09-18,855.9
2013-09-19,885.6
2013-09-20,864.55
2013-09-23,877.8
2013-09-24,877.25
2013-09-25,922.65
2013-09-26,938.15
2013-09-27,945.7
2013-09-30,929.65
2013-10-01,916.55
2013-10-03,908.55
2013-10-04,884.05
2013-10-07,865.2
2013-10-08,850.05
2013-10-09,887.7
2013-10-10,896.9
2013-10-11,885.65
2013-10-14,888.2
2013-10-15,888.2
2013-10-17,887.65
2013-10-18,897.05
2013-10-21,899.6
2013-10-22,900.85
2013-10-23,890.35
2013-10-24,889.7
2013-10-25,891.65
2013-10-28,876.7
2013-10-29,897.35
2013-10-30,899.9
2013-10-31,908.85
2013-11-01,893.4
2013-11-03,898.05
2013-11-05,913.15
2013-11-06,897.1
2013-11-07,900.7
2013-11-08,889.35
2013-11-11,898.5
2013-11-12,872.65
2013-11-13,879.85
2013-11-14,882.1
2013-11-18,877.95
2013-11-19,867.35
2013-11-20,872.85
2013-11-21,881.85
2013-11-22,874.05
2013-11-25,848.1
2013-11-26,842.35
2013-11-27,832.95
2013-11-28,844.4
2013-11-29,834.1
2013-12-02,840.8
2013-12-03,846.45
2013-12-04,829.7
2013-12-05,834.4
2013-12-06,833.4
2013-12-09,835.1
2013-12-10,848.95
2013-12-11,850.4
2013-12-12,839.3
2013-12-13,823.85
2013-12-16,827.45
2013-12-17,820.5
2013-12-18,821.95
2013-12-19,821.45
2013-12-20,830.6
2013-12-23,848.4
2013-12-24,874.85
2013-12-26,884.85
2013-12-27,938.9
2013-12-30,949.7
2013-12-31,946.4
