Date,BASF
2013-01-01,724.65
2013-01-02,725.0
2013-01-03,721.3
2013-01-04,723.25
2013-01-07,720.1
2013-01-08,719.05
2013-01-09,719.8
2013-01-10,713.8
2013-01-11,707.05
2013-01-14,701.65
2013-01-15,702.35
2013-01-16,698.65
2013-01-17,699.05
2013-01-18,706.55
2013-01-21,709.55
2013-01-22,705.15
2013-01-23,689.75
2013-01-24,672.45
2013-01-25,662.75
2013-01-28,650.55
2013-01-29,651.6
2013-01-30,650.1
2013-01-31,649.55
2013-02-01,644.65
2013-02-04,648.4
2013-02-05,654.35
2013-02-06,652.5
2013-02-07,650.2
2013-02-08,648.6
2013-02-11,640.45
2013-02-12,645.1
2013-02-13,650.15
2013-02-14,645.0
2013-02-15,622.85
2013-02-18,625.2
2013-02-19,628.8
2013-02-20,628.9
2013-02-21,624.9
2013-02-22,627.9
2013-02-25,617.4
2013-02-26,600.45
2013-02-27,606.6
2013-02-28,596.9
2013-03-01,589.8
2013-03-04,585.2
2013-03-05,582.95
2013-03-06,591.45
2013-03-07,594.85
2013-03-08,596.2
2013-03-11,597.9
2013-03-12,594.85
2013-03-13,589.85
2013-03-14,589.3
2013-03-15,601.0
2013-03-18,592.85
2013-03-19,598.4
2013-03-20,597.6
2013-03-21,597.25
2013-03-22,588.0
2013-03-25,583.15
2013-03-26,585.5
2013-03-28,578.8
2013-04-01,583.3
2013-04-02,594.25
2013-04-03,600.8
2013-04-04,588.65
2013-04-05,579.95
2013-04-08,573.55
2013-04-09,576.4
2013-04-10,570.4
2013-04-11,564.65
2013-04-12,568.45
2013-04-15,562.95
2013-04-16,570.95
2013-04-17,564.55
2013-04-18,566.35
2013-04-22,567.0
2013-04-23,567.25
2013-04-25,574.95
2013-04-26,566.95
2013-04-29,562.1
2013-04-30,581.75
2013-05-02,594.5
2013-05-03,585.65
2013-05-06,592.35
2013-05-07,601.95
2013-05-08,596.2
2013-05-09,587.85
2013-05-10,587.25
2013-05-11,587.95
2013-05-13,589.7
2013-05-14,590.6
2013-05-15,599.25
2013-05-16,590.45
2013-05-17,589.6
2013-05-20,587.0
2013-05-21,585.7
2013-05-22,589.9
2013-05-23,575.9
2013-05-24,582.85
2013-05-27,606.75
2013-05-28,609.4
2013-05-29,601.25
2013-05-30,603.3
2013-05-31,604.15
2013-06-03,584.55
2013-06-04,591.3
2013-06-05,594.35
2013-06-06,589.0
2013-06-07,582.95
2013-06-10,580.7
2013-06-11,579.4
2013-06-12,579.35
2013-06-13,580.65
2013-06-14,578.9
2013-06-17,574.1
2013-06-18,574.9
2013-06-19,573.9
2013-06-20,568.45
2013-06-21,558.8
2013-06-24,556.8
2013-06-25,552.05
2013-06-26,543.1
2013-06-27,543.05
2013-06-28,551.75
2013-07-01,554.4
2013-07-02,544.9
2013-07-03,548.6
2013-07-04,549.4
2013-07-05,549.65
2013-07-08,549.5
2013-07-09,543.8
2013-07-10,538.7
2013-07-11,541.15
2013-07-12,544.95
2013-07-15,550.3
2013-07-16,553.95
2013-07-17,552.05
2013-07-18,545.45
2013-07-19,552.8
2013-07-22,547.2
2013-07-23,544.25
2013-07-24,535.3
2013-07-25,537.85
2013-07-26,535.0
2013-07-29,527.3
2013-07-30,508.9
2013-07-31,512.2
2013-08-01,513.2
2013-08-02,507.85
2013-08-05,504.0
2013-08-06,498.45
2013-08-07,505.35
2013-08-08,515.2
2013-08-12,524.15
2013-08-13,526.2
2013-08-14,524.05
2013-08-16,515.0
2013-08-19,530.0
2013-08-20,522.7
2013-08-21,532.7
2013-08-22,509.9
2013-08-23,519.55
2013-08-26,529.95
2013-08-27,527.25
2013-08-28,509.55
2013-08-29,511.7
2013-08-30,511.85
2013-09-02,510.4
2013-09-03,501.45
2013-09-04,500.1
2013-09-05,505.1
2013-09-06,505.2
2013-09-10,512.1
2013-09-11,529.15
2013-09-12,540.15
2013-09-13,542.05
2013-09-16,524.65
2013-09-17,520.75
2013-09-18,521.35
2013-09-19,523.9
2013-09-20,514.3
2013-09-23,517.6
2013-09-24,515.1
2013-09-25,514.5
2013-09-26,515.8
2013-09-27,520.2
2013-09-30,534.75
2013-10-01,529.4
2013-10-03,551.25
2013-10-04,547.3
2013-10-07,548.5
2013-10-08,537.8
2013-10-09,534.55
2013-10-10,548.5
2013-10-11,551.65
2013-10-14,553.0
2013-10-15,542.4
2013-10-17,545.65
2013-10-18,546.6
2013-10-21,554.75
2013-10-22,548.2
2013-10-23,556.9
2013-10-24,558.05
2013-10-25,554.6
2013-10-28,550.25
2013-10-29,556.2
2013-10-30,572.3
2013-10-31,589.0
2013-11-01,587.2
2013-11-03,590.3
2013-11-05,600.1
2013-11-06,608.8
2013-11-07,599.35
2013-11-08,597.65
2013-11-11,585.4
2013-11-12,595.2
2013-11-13,589.25
2013-11-14,587.45
2013-11-18,592.8
2013-11-19,586.3
2013-11-20,586.45
2013-11-21,575.9
2013-11-22,574.55
2013-11-25,578.2
2013-11-26,589.05
2013-11-27,625.3
2013-11-28,637.2
2013-11-29,628.6
2013-12-02,624.0
2013-12-03,641.2
2013-12-04,644.85
2013-12-05,629.85
2013-12-06,627.45
2013-12-09,624.9
2013-12-10,624.4
2013-12-11,620.75
2013-12-12,616.6
2013-12-13,620.7
2013-12-16,631.05
2013-12-17,640.4
2013-12-18,640.7
2013-12-19,659.55
2013-12-20,665.95
2013-12-23,664.75
2013-12-24,658.15
2013-12-26,663.9
2013-12-27,664.75
2013-12-30,653.1
2013-12-31,650.2
