Date,CANBK
2013-01-01,516.0
2013-01-02,522.45
2013-01-03,522.85
2013-01-04,526.2
2013-01-07,520.05
2013-01-08,512.95
2013-01-09,511.1
2013-01-10,505.6
2013-01-11,503.35
2013-01-14,517.4
2013-01-15,523.1
2013-01-16,508.3
2013-01-17,515.8
2013-01-18,521.15
2013-01-21,520.55
2013-01-22,503.9
2013-01-23,495.1
2013-01-24,492.9
2013-01-25,489.1
2013-01-28,482.45
2013-01-29,476.2
2013-01-30,466.6
2013-01-31,481.1
2013-02-01,472.2
2013-02-04,455.6
2013-02-05,452.5
2013-02-06,466.6
2013-02-07,460.1
2013-02-08,446.05
2013-02-11,446.0
2013-02-12,448.45
2013-02-13,439.7
2013-02-14,433.6
2013-02-15,437.4
2013-02-18,455.45
2013-02-19,457.5
2013-02-20,451.45
2013-02-21,439.3
2013-02-22,442.05
2013-02-25,434.2
2013-02-26,427.35
2013-02-27,433.4
2013-02-28,415.6
2013-03-01,419.75
2013-03-04,417.15
2013-03-05,420.25
2013-03-06,425.7
2013-03-07,433.2
2013-03-08,432.65
2013-03-11,436.3
2013-03-12,432.35
2013-03-13,421.1
2013-03-14,434.8
2013-03-15,432.25
2013-03-18,427.2
2013-03-19,404.25
2013-03-20,389.2
2013-03-21,371.15
2013-03-22,382.05
2013-03-25,370.6
2013-03-26,363.05
2013-03-28,384.05
2013-04-01,390.35
2013-04-02,405.75
2013-04-03,389.05
2013-04-04,391.85
2013-04-05,397.85
2013-04-08,389.2
2013-04-09,376.5
2013-04-10,378.8
2013-04-11,373.7
2013-04-12,388.55
2013-04-15,410.9
2013-04-16,419.4
2013-04-17,413.5
2013-04-18,422.55
2013-04-22,445.9
2013-04-23,436.05
2013-04-25,438.7
2013-04-26,420.6
2013-04-29,422.35
2013-04-30,414.75
2013-05-02,412.15
2013-05-03,395.45
2013-05-06,391.6
2013-05-07,399.95
2013-05-08,402.9
2013-05-09,405.75
2013-05-10,423.25
2013-05-11,424.45
2013-05-13,406.3
2013-05-14,410.45
2013-05-15,429.5
2013-05-16,434.25
2013-05-17,440.05
2013-05-20,444.45
2013-05-21,442.9
2013-05-22,441.6
2013-05-23,424.65
2013-05-24,427.4
2013-05-27,429.55
2013-05-28,436.6
2013-05-29,422.7
2013-05-30,426.0
2013-05-31,412.0
2013-06-03,407.75
2013-06-04,397.8
2013-06-05,399.15
2013-06-06,414.6
2013-06-07,397.2
2013-06-10,393.35
2013-06-11,393.35
2013-06-12,393.2
2013-06-13,380.75
2013-06-14,389.6
2013-06-17,389.2
2013-06-18,383.25
2013-06-19,380.35
2013-06-20,359.0
2013-06-21,354.65
2013-06-24,343.25
2013-06-25,338.55
2013-06-26,344.9
2013-06-27,348.55
2013-06-28,360.6
2013-07-01,384.55
2013-07-02,372.65
2013-07-03,356.7
2013-07-04,346.6
2013-07-05,350.6
2013-07-08,344.45
2013-07-09,356.0
2013-07-10,346.45
2013-07-11,353.0
2013-07-12,354.55
2013-07-15,361.1
2013-07-16,330.2
2013-07-17,319.5
2013-07-18,329.45
2013-07-19,318.45
2013-07-22,319.85
2013-07-23,324.7
2013-07-24,297.05
2013-07-25,293.95
2013-07-26,269.3
2013-07-29,269.9
2013-07-30,260.1
2013-07-31,273.9
2013-08-01,257.75
2013-08-02,241.6
2013-08-05,248.5
2013-08-06,238.7
2013-08-07,246.65
2013-08-08,244.75
2013-08-12,247.25
2013-08-13,249.85
2013-08-14,249.2
2013-08-16,224.2
2013-08-19,210.1
2013-08-20,216.45
2013-08-21,206.45
2013-08-22,210.8
2013-08-23,212.6
2013-08-26,210.3
2013-08-27,202.15
2013-08-28,194.85
2013-08-29,195.35
2013-08-30,202.8
2013-09-02,207.05
2013-09-03,194.35
2013-09-04,196.3
2013-09-05,210.8
2013-09-06,204.45
2013-09-10,207.9
2013-09-11,222.35
2013-09-12,224.65
2013-09-13,227.15
2013-09-16,225.0
2013-09-17,220.05
2013-09-18,225.2
2013-09-19,244.45
2013-09-20,234.55
2013-09-23,225.35
2013-09-24,224.65
2013-09-25,222.35
2013-09-26,225.55
2013-09-27,225.3
2013-09-30,221.45
2013-10-01,226.85
2013-10-03,235.7
2013-10-04,235.65
2013-10-07,232.75
2013-10-08,234.95
2013-10-09,237.65
2013-10-10,237.2
2013-10-11,243.4
2013-10-14,244.2
2013-10-15,230.1
2013-10-17,222.35
2013-10-18,230.2
2013-10-21,234.2
2013-10-22,230.45
2013-10-23,236.15
2013-10-24,235.3
2013-10-25,232.25
2013-10-28,225.75
2013-10-29,234.8
2013-10-30,233.1
2013-10-31,258.25
2013-11-01,265.15
2013-11-03,269.25
2013-11-05,280.45
2013-11-06,269.3
2013-11-07,257.5
2013-11-08,253.95
2013-11-11,246.65
2013-11-12,251.25
2013-11-13,250.2
2013-11-14,254.0
2013-11-18,264.35
2013-11-19,261.9
2013-11-20,252.0
2013-11-21,241.1
2013-11-22,236.95
2013-11-25,246.3
2013-11-26,231.95
2013-11-27,239.0
2013-11-28,240.55
2013-11-29,248.4
2013-12-02,248.15
2013-12-03,243.3
2013-12-04,244.5
2013-12-05,259.05
2013-12-06,266.0
2013-12-09,279.5
2013-12-10,271.6
2013-12-11,265.5
2013-12-12,262.45
2013-12-13,251.65
2013-12-16,251.05
2013-12-17,245.35
2013-12-18,258.95
2013-12-19,256.7
2013-12-20,264.95
2013-12-23,277.95
2013-12-24,287.45
2013-12-26,284.15
2013-12-27,282.1
2013-12-30,276.7
2013-12-31,282.25
