Date,INDUSINDBK
2013-01-01,423.25
2013-01-02,433.0
2013-01-03,434.3
2013-01-04,430.75
2013-01-07,431.35
2013-01-08,433.75
2013-01-09,434.55
2013-01-10,441.2
2013-01-11,431.05
2013-01-14,440.15
2013-01-15,441.9
2013-01-16,430.0
2013-01-17,426.65
2013-01-18,419.95
2013-01-21,413.1
2013-01-22,417.7
2013-01-23,424.65
2013-01-24,430.55
2013-01-25,431.5
2013-01-28,432.5
2013-01-29,430.7
2013-01-30,434.85
2013-01-31,435.8
2013-02-01,438.3
2013-02-04,435.15
2013-02-05,434.05
2013-02-06,429.5
2013-02-07,430.95
2013-02-08,424.8
2013-02-11,428.55
2013-02-12,438.75
2013-02-13,440.65
2013-02-14,441.3
2013-02-15,439.85
2013-02-18,439.9
2013-02-19,442.7
2013-02-20,439.35
2013-02-21,428.1
2013-02-22,428.2
2013-02-25,426.2
2013-02-26,422.25
2013-02-27,426.4
2013-02-28,412.0
2013-03-01,400.95
2013-03-04,401.0
2013-03-05,410.65
2013-03-06,415.05
2013-03-07,420.05
2013-03-08,436.15
2013-03-11,437.05
2013-03-12,431.6
2013-03-13,423.1
2013-03-14,431.15
2013-03-15,421.35
2013-03-18,415.15
2013-03-19,409.25
2013-03-20,403.65
2013-03-21,406.45
2013-03-22,400.35
2013-03-25,392.05
2013-03-26,399.65
2013-03-28,404.7
2013-04-01,415.7
2013-04-02,425.15
2013-04-03,420.55
2013-04-04,405.15
2013-04-05,400.85
2013-04-08,393.5
2013-04-09,390.25
2013-04-10,387.15
2013-04-11,401.2
2013-04-12,400.55
2013-04-15,401.95
2013-04-16,417.25
2013-04-17,419.6
2013-04-18,450.35
2013-04-22,466.4
2013-04-23,461.15
2013-04-25,467.85
2013-04-26,458.15
2013-04-29,477.7
2013-04-30,467.75
2013-05-02,472.8
2013-05-03,468.05
2013-05-06,474.5
2013-05-07,484.9
2013-05-08,493.2
2013-05-09,488.9
2013-05-10,505.65
2013-05-11,507.95
2013-05-13,493.15
2013-05-14,490.3
2013-05-15,514.05
2013-05-16,524.55
2013-05-17,511.1
2013-05-20,501.8
2013-05-21,496.3
2013-05-22,494.3
2013-05-23,491.1
2013-05-24,498.25
2013-05-27,529.35
2013-05-28,523.0
2013-05-29,516.85
2013-05-30,528.85
2013-05-31,517.3
2013-06-03,509.9
2013-06-04,509.4
2013-06-05,512.25
2013-06-06,509.7
2013-06-07,507.15
2013-06-10,495.45
2013-06-11,476.9
2013-06-12,492.6
2013-06-13,488.8
2013-06-14,482.1
2013-06-17,486.1
2013-06-18,477.6
2013-06-19,478.45
2013-06-20,449.25
2013-06-21,464.3
2013-06-24,453.7
2013-06-25,471.7
2013-06-26,455.2
2013-06-27,455.65
2013-06-28,467.45
2013-07-01,471.95
2013-07-02,476.45
2013-07-03,467.25
2013-07-04,472.3
2013-07-05,475.05
2013-07-08,492.2
2013-07-09,503.5
2013-07-10,495.95
2013-07-11,510.7
2013-07-12,502.85
2013-07-15,506.35
2013-07-16,466.4
2013-07-17,453.9
2013-07-18,465.0
2013-07-19,445.0
2013-07-22,459.05
2013-07-23,462.95
2013-07-24,423.55
2013-07-25,422.45
2013-07-26,420.15
2013-07-29,412.45
2013-07-30,398.7
2013-07-31,387.45
2013-08-01,392.95
2013-08-02,390.45
2013-08-05,390.9
2013-08-06,360.15
2013-08-07,372.15
2013-08-08,375.2
2013-08-12,372.9
2013-08-13,384.25
2013-08-14,380.65
2013-08-16,356.4
2013-08-19,339.95
2013-08-20,337.3
2013-08-21,358.85
2013-08-22,366.4
2013-08-23,370.15
2013-08-26,374.55
2013-08-27,345.25
2013-08-28,344.55
2013-08-29,353.05
2013-08-30,356.75
2013-09-02,381.05
2013-09-03,348.4
2013-09-04,366.9
2013-09-05,397.5
2013-09-06,413.25
2013-09-10,409.75
2013-09-11,419.8
2013-09-12,397.1
2013-09-13,400.1
2013-09-16,414.45
2013-09-17,401.65
2013-09-18,412.3
2013-09-19,434.4
2013-09-20,411.5
2013-09-23,386.0
2013-09-24,388.2
2013-09-25,383.45
2013-09-26,383.4
2013-09-27,375.65
2013-09-30,368.75
2013-10-01,383.05
2013-10-03,399.1
2013-10-04,396.2
2013-10-07,397.2
2013-10-08,401.0
2013-10-09,411.0
2013-10-10,415.45
2013-10-11,428.0
2013-10-14,427.5
2013-10-15,407.45
2013-10-17,389.15
2013-10-18,413.65
2013-10-21,425.5
2013-10-22,425.65
2013-10-23,427.5
2013-10-24,427.15
2013-10-25,424.85
2013-10-28,412.25
2013-10-29,435.15
2013-10-30,447.2
2013-10-31,445.6
2013-11-01,449.15
2013-11-03,447.6
2013-11-05,454.65
2013-11-06,443.2
2013-11-07,428.4
2013-11-08,428.45
2013-11-11,414.45
2013-11-12,414.65
2013-11-13,403.25
2013-11-14,411.4
2013-11-18,419.6
2013-11-19,430.7
2013-11-20,420.15
2013-11-21,402.9
2013-11-22,407.35
2013-11-25,420.0
2013-11-26,412.5
2013-11-27,410.05
2013-11-28,417.5
2013-11-29,422.2
2013-12-02,433.4
2013-12-03,425.55
2013-12-04,426.8
2013-12-05,438.85
2013-12-06,446.25
2013-12-09,466.75
2013-12-10,452.8
2013-12-11,445.5
2013-12-12,433.6
2013-12-13,416.75
2013-12-16,415.9
2013-12-17,414.45
2013-12-18,429.35
2013-12-19,422.85
2013-12-20,424.85
2013-12-23,430.75
2013-12-24,423.65
2013-12-26,419.8
2013-12-27,422.05
2013-12-30,417.55
2013-12-31,420.7
