Date,DENABANK
2013-01-01,120.15
2013-01-02,120.8
2013-01-03,122.85
2013-01-04,126.8
2013-01-07,124.9
2013-01-08,125.8
2013-01-09,124.4
2013-01-10,123.7
2013-01-11,120.1
2013-01-14,123.25
2013-01-15,122.55
2013-01-16,118.55
2013-01-17,118.6
2013-01-18,119.4
2013-01-21,119.95
2013-01-22,117.2
2013-01-23,114.6
2013-01-24,110.9
2013-01-25,114.95
2013-01-28,113.7
2013-01-29,112.4
2013-01-30,110.45
2013-01-31,111.05
2013-02-01,107.5
2013-02-04,104.15
2013-02-05,106.2
2013-02-06,105.25
2013-02-07,104.55
2013-02-08,103.35
2013-02-11,104.55
2013-02-12,103.25
2013-02-13,100.55
2013-02-14,100.1
2013-02-15,101.0
2013-02-18,102.35
2013-02-19,104.1
2013-02-20,103.1
2013-02-21,99.5
2013-02-22,99.1
2013-02-25,98.0
2013-02-26,95.0
2013-02-27,95.45
2013-02-28,88.7
2013-03-01,90.0
2013-03-04,88.5
2013-03-05,92.45
2013-03-06,93.7
2013-03-07,94.1
2013-03-08,95.8
2013-03-11,97.05
2013-03-12,96.1
2013-03-13,93.05
2013-03-14,95.8
2013-03-15,94.0
2013-03-18,94.75
2013-03-19,91.75
2013-03-20,89.4
2013-03-21,89.9
2013-03-22,91.3
2013-03-25,90.35
2013-03-26,89.4
2013-03-28,89.5
2013-04-01,91.7
2013-04-02,94.4
2013-04-03,92.7
2013-04-04,90.8
2013-04-05,89.9
2013-04-08,89.25
2013-04-09,86.6
2013-04-10,87.45
2013-04-11,86.75
2013-04-12,88.65
2013-04-15,90.55
2013-04-16,93.4
2013-04-17,93.4
2013-04-18,94.85
2013-04-22,96.05
2013-04-23,95.05
2013-04-25,95.55
2013-04-26,92.75
2013-04-29,92.7
2013-04-30,90.9
2013-05-02,93.25
2013-05-03,90.95
2013-05-06,91.85
2013-05-07,91.75
2013-05-08,91.05
2013-05-09,91.75
2013-05-10,93.05
2013-05-11,93.9
2013-05-13,90.45
2013-05-14,91.1
2013-05-15,94.9
2013-05-16,95.2
2013-05-17,94.9
2013-05-20,95.4
2013-05-21,93.45
2013-05-22,90.2
2013-05-23,87.1
2013-05-24,87.5
2013-05-27,88.4
2013-05-28,89.3
2013-05-29,87.05
2013-05-30,86.6
2013-05-31,84.45
2013-06-03,84.3
2013-06-04,82.9
2013-06-05,84.1
2013-06-06,85.4
2013-06-07,84.05
2013-06-10,83.15
2013-06-11,82.0
2013-06-12,83.65
2013-06-13,82.6
2013-06-14,84.3
2013-06-17,85.5
2013-06-18,85.6
2013-06-19,86.35
2013-06-20,78.7
2013-06-21,74.15
2013-06-24,70.65
2013-06-25,69.65
2013-06-26,68.35
2013-06-27,66.0
2013-06-28,69.8
2013-07-01,72.35
2013-07-02,70.75
2013-07-03,67.5
2013-07-04,68.65
2013-07-05,68.45
2013-07-08,67.5
2013-07-09,70.6
2013-07-10,68.7
2013-07-11,69.6
2013-07-12,69.05
2013-07-15,71.4
2013-07-16,67.1
2013-07-17,66.2
2013-07-18,68.8
2013-07-19,67.5
2013-07-22,67.45
2013-07-23,67.45
2013-07-24,63.75
2013-07-25,60.7
2013-07-26,59.45
2013-07-29,57.75
2013-07-30,55.5
2013-07-31,53.55
2013-08-01,49.45
2013-08-02,46.6
2013-08-05,47.7
2013-08-06,45.2
2013-08-07,47.0
2013-08-08,46.2
2013-08-12,46.95
2013-08-13,47.8
2013-08-14,49.35
2013-08-16,46.0
2013-08-19,44.6
2013-08-20,45.6
2013-08-21,45.25
2013-08-22,45.85
2013-08-23,46.4
2013-08-26,46.85
2013-08-27,44.25
2013-08-28,43.15
2013-08-29,43.05
2013-08-30,43.75
2013-09-02,45.05
2013-09-03,42.85
2013-09-04,44.05
2013-09-05,47.7
2013-09-06,47.4
2013-09-10,48.15
2013-09-11,51.7
2013-09-12,51.1
2013-09-13,51.5
2013-09-16,50.7
2013-09-17,49.5
2013-09-18,49.8
2013-09-19,54.0
2013-09-20,49.9
2013-09-23,47.8
2013-09-24,48.0
2013-09-25,47.6
2013-09-26,47.0
2013-09-27,47.15
2013-09-30,45.8
2013-10-01,46.6
2013-10-03,48.05
2013-10-04,48.0
2013-10-07,48.65
2013-10-08,48.55
2013-10-09,48.75
2013-10-10,49.1
2013-10-11,49.75
2013-10-14,50.95
2013-10-15,49.05
2013-10-17,48.95
2013-10-18,50.2
2013-10-21,51.05
2013-10-22,51.5
2013-10-23,51.95
2013-10-24,51.7
2013-10-25,50.45
2013-10-28,48.75
2013-10-29,51.15
2013-10-30,50.45
2013-10-31,53.8
2013-11-01,57.25
2013-11-03,60.2
2013-11-05,62.75
2013-11-06,62.4
2013-11-07,58.9
2013-11-08,59.6
2013-11-11,55.45
2013-11-12,54.55
2013-11-13,54.05
2013-11-14,55.1
2013-11-18,56.65
2013-11-19,56.75
2013-11-20,56.55
2013-11-21,55.75
2013-11-22,54.35
2013-11-25,55.2
2013-11-26,54.3
2013-11-27,53.3
2013-11-28,53.2
2013-11-29,54.15
2013-12-02,55.3
2013-12-03,55.85
2013-12-04,54.8
2013-12-05,55.45
2013-12-06,55.8
2013-12-09,56.6
2013-12-10,55.05
2013-12-11,55.6
2013-12-12,56.05
2013-12-13,56.05
2013-12-16,56.1
2013-12-17,56.0
2013-12-18,56.85
2013-12-19,56.15
2013-12-20,56.8
2013-12-23,57.65
2013-12-24,59.15
2013-12-26,61.8
2013-12-27,63.4
2013-12-30,61.9
2013-12-31,60.8
