Date,DHANUKA
2013-01-01,127.05
2013-01-02,127.7
2013-01-03,128.65
2013-01-04,128.55
2013-01-07,128.65
2013-01-08,127.85
2013-01-09,127.15
2013-01-10,125.95
2013-01-11,125.8
2013-01-14,126.65
2013-01-15,126.05
2013-01-16,125.1
2013-01-17,126.15
2013-01-18,125.35
2013-01-21,126.2
2013-01-22,125.65
2013-01-23,125.4
2013-01-24,123.5
2013-01-25,124.1
2013-01-28,123.1
2013-01-29,124.65
2013-01-30,126.05
2013-01-31,125.5
2013-02-01,124.95
2013-02-04,124.6
2013-02-05,122.85
2013-02-06,124.4
2013-02-07,124.55
2013-02-08,122.2
2013-02-11,124.1
2013-02-12,125.75
2013-02-13,126.5
2013-02-14,123.75
2013-02-15,124.0
2013-02-18,124.5
2013-02-19,125.4
2013-02-20,125.95
2013-02-21,124.95
2013-02-22,124.45
2013-02-25,126.35
2013-02-26,122.5
2013-02-27,124.6
2013-02-28,122.6
2013-03-01,122.55
2013-03-04,118.1
2013-03-05,120.5
2013-03-06,120.9
2013-03-07,120.0
2013-03-08,120.7
2013-03-11,121.5
2013-03-12,121.55
2013-03-13,120.95
2013-03-14,120.75
2013-03-15,119.55
2013-03-18,121.9
2013-03-19,118.85
2013-03-20,117.65
2013-03-21,118.05
2013-03-22,118.9
2013-03-25,119.5
2013-03-26,119.05
2013-03-28,119.0
2013-04-01,119.25
2013-04-02,118.7
2013-04-03,120.3
2013-04-04,118.7
2013-04-05,117.35
2013-04-08,118.65
2013-04-09,117.95
2013-04-10,118.8
2013-04-11,117.7
2013-04-12,118.5
2013-04-15,118.0
2013-04-16,116.75
2013-04-17,115.95
2013-04-18,117.35
2013-04-22,117.85
2013-04-23,119.3
2013-04-25,119.1
2013-04-26,119.0
2013-04-29,119.4
2013-04-30,119.6
2013-05-02,120.8
2013-05-03,119.2
2013-05-06,119.75
2013-05-07,119.75
2013-05-08,120.2
2013-05-09,126.5
2013-05-10,125.05
2013-05-11,124.5
2013-05-13,124.0
2013-05-14,124.05
2013-05-15,129.0
2013-05-16,126.7
2013-05-17,127.7
2013-05-20,129.0
2013-05-21,123.85
2013-05-22,127.25
2013-05-23,125.0
2013-05-24,129.35
2013-05-27,128.3
2013-05-28,129.0
2013-05-29,128.2
2013-05-30,129.65
2013-05-31,127.75
2013-06-03,129.7
2013-06-04,131.3
2013-06-05,130.3
2013-06-06,131.35
2013-06-07,132.35
2013-06-10,135.1
2013-06-11,134.7
2013-06-12,131.35
2013-06-13,129.1
2013-06-14,131.45
2013-06-17,136.2
2013-06-18,137.9
2013-06-19,138.15
2013-06-20,132.9
2013-06-21,135.8
2013-06-24,132.75
2013-06-25,130.55
2013-06-26,131.5
2013-06-27,128.7
2013-06-28,131.95
2013-07-01,132.5
2013-07-02,131.35
2013-07-03,130.95
2013-07-04,133.0
2013-07-05,134.45
2013-07-08,132.8
2013-07-09,135.55
2013-07-10,137.7
2013-07-11,151.4
2013-07-12,155.25
2013-07-15,155.05
2013-07-16,146.05
2013-07-17,145.95
2013-07-18,150.15
2013-07-19,146.55
2013-07-22,147.8
2013-07-23,148.9
2013-07-24,146.05
2013-07-25,145.75
2013-07-26,142.15
2013-07-29,140.45
2013-07-30,138.85
2013-07-31,135.45
2013-08-01,135.05
2013-08-02,133.7
2013-08-05,135.05
2013-08-06,133.4
2013-08-07,138.4
2013-08-08,139.35
2013-08-12,139.8
2013-08-13,143.7
2013-08-14,141.2
2013-08-16,141.0
2013-08-19,139.65
2013-08-20,139.9
2013-08-21,136.6
2013-08-22,135.6
2013-08-23,138.45
2013-08-26,140.0
2013-08-27,133.9
2013-08-28,134.15
2013-08-29,136.9
2013-08-30,134.15
2013-09-02,136.2
2013-09-03,133.9
2013-09-04,136.5
2013-09-05,138.0
2013-09-06,137.0
2013-09-10,136.8
2013-09-11,138.0
2013-09-12,135.95
2013-09-13,136.6
2013-09-16,135.45
2013-09-17,134.9
2013-09-18,135.75
2013-09-19,135.9
2013-09-20,136.75
2013-09-23,136.75
2013-09-24,136.2
2013-09-25,134.9
2013-09-26,136.0
2013-09-27,136.75
2013-09-30,134.95
2013-10-01,134.8
2013-10-03,135.1
2013-10-04,134.6
2013-10-07,132.65
2013-10-08,132.95
2013-10-09,131.95
2013-10-10,132.25
2013-10-11,132.5
2013-10-14,132.0
2013-10-15,131.6
2013-10-17,129.2
2013-10-18,129.15
2013-10-21,129.0
2013-10-22,128.95
2013-10-23,133.4
2013-10-24,138.35
2013-10-25,138.15
2013-10-28,137.95
2013-10-29,135.25
2013-10-30,134.5
2013-10-31,137.95
2013-11-01,139.7
2013-11-03,144.55
2013-11-05,145.0
2013-11-06,152.9
2013-11-07,148.7
2013-11-08,149.45
2013-11-11,151.3
2013-11-12,153.0
2013-11-13,152.85
2013-11-14,155.55
2013-11-18,156.1
2013-11-19,153.9
2013-11-20,154.65
2013-11-21,152.1
2013-11-22,151.75
2013-11-25,146.85
2013-11-26,155.1
2013-11-27,155.9
2013-11-28,155.9
2013-11-29,163.5
2013-12-02,166.6
2013-12-03,169.55
2013-12-04,164.35
2013-12-05,163.5
2013-12-06,166.0
2013-12-09,168.85
2013-12-10,168.7
2013-12-11,168.8
2013-12-12,165.45
2013-12-13,161.4
2013-12-16,161.05
2013-12-17,161.6
2013-12-18,164.15
2013-12-19,165.1
2013-12-20,172.95
2013-12-23,171.6
2013-12-24,174.15
2013-12-26,180.6
2013-12-27,184.5
2013-12-30,192.6
2013-12-31,204.05
