Date,ZUARIGLOB
2013-01-01,107.7
2013-01-02,107.3
2013-01-03,107.25
2013-01-04,105.95
2013-01-07,109.1
2013-01-08,109.1
2013-01-09,106.95
2013-01-10,108.7
2013-01-11,106.55
2013-01-14,107.0
2013-01-15,105.65
2013-01-16,103.6
2013-01-17,102.1
2013-01-18,101.05
2013-01-21,101.15
2013-01-22,100.55
2013-01-23,100.45
2013-01-24,96.7
2013-01-25,94.35
2013-01-28,93.3
2013-01-29,91.35
2013-01-30,89.15
2013-01-31,88.45
2013-02-01,90.95
2013-02-04,87.55
2013-02-05,85.0
2013-02-06,82.85
2013-02-07,81.25
2013-02-08,82.05
2013-02-11,82.4
2013-02-12,82.35
2013-02-13,81.3
2013-02-14,82.85
2013-02-15,81.1
2013-02-18,81.15
2013-02-19,81.85
2013-02-20,82.0
2013-02-21,81.45
2013-02-22,81.7
2013-02-25,80.2
2013-02-26,77.3
2013-02-27,75.35
2013-02-28,75.05
2013-03-01,72.35
2013-03-04,68.85
2013-03-05,67.35
2013-03-06,80.45
2013-03-07,82.4
2013-03-08,78.8
2013-03-11,78.75
2013-03-12,79.55
2013-03-13,78.45
2013-03-14,78.5
2013-03-15,76.85
2013-03-18,75.1
2013-03-19,75.3
2013-03-20,78.8
2013-03-21,76.85
2013-03-22,77.2
2013-03-25,74.55
2013-03-26,72.25
2013-03-28,72.45
2013-04-01,74.2
2013-04-02,73.95
2013-04-03,76.5
2013-04-04,74.1
2013-04-05,72.3
2013-04-08,71.55
2013-04-09,71.85
2013-04-10,70.55
2013-04-11,70.1
2013-04-12,69.65
2013-04-15,69.2
2013-04-16,69.75
2013-04-17,71.05
2013-04-18,70.2
2013-04-22,70.9
2013-04-23,71.35
2013-04-25,70.5
2013-04-26,70.5
2013-04-29,70.55
2013-04-30,70.75
2013-05-02,71.15
2013-05-03,70.4
2013-05-06,70.3
2013-05-07,71.25
2013-05-08,71.3
2013-05-09,70.6
2013-05-10,70.8
2013-05-11,71.1
2013-05-13,70.45
2013-05-14,70.85
2013-05-15,70.45
2013-05-16,70.25
2013-05-17,70.75
2013-05-20,70.55
2013-05-21,71.1
2013-05-22,70.35
2013-05-23,68.75
2013-05-24,68.6
2013-05-27,68.15
2013-05-28,68.3
2013-05-29,67.4
2013-05-30,66.95
2013-05-31,65.45
2013-06-03,63.25
2013-06-04,64.1
2013-06-05,64.6
2013-06-06,64.5
2013-06-07,63.4
2013-06-10,60.25
2013-06-11,56.9
2013-06-12,56.35
2013-06-13,53.15
2013-06-14,54.15
2013-06-17,54.85
2013-06-18,56.4
2013-06-19,59.05
2013-06-20,55.4
2013-06-21,54.55
2013-06-24,53.95
2013-06-25,52.15
2013-06-26,51.3
2013-06-27,50.05
2013-06-28,50.35
2013-07-01,53.35
2013-07-02,53.65
2013-07-03,52.4
2013-07-04,53.85
2013-07-05,54.2
2013-07-08,53.8
2013-07-09,53.95
2013-07-10,54.4
2013-07-11,55.6
2013-07-12,54.4
2013-07-15,54.25
2013-07-16,52.6
2013-07-17,50.4
2013-07-18,51.0
2013-07-19,50.6
2013-07-22,51.55
2013-07-23,51.3
2013-07-24,49.65
2013-07-25,50.2
2013-07-26,47.05
2013-07-29,46.25
2013-07-30,44.35
2013-07-31,44.4
2013-08-01,42.2
2013-08-02,41.45
2013-08-05,41.25
2013-08-06,42.0
2013-08-07,44.8
2013-08-08,47.95
2013-08-12,53.7
2013-08-13,58.5
2013-08-14,55.7
2013-08-16,54.05
2013-08-19,55.65
2013-08-20,55.3
2013-08-21,54.0
2013-08-22,54.8
2013-08-23,54.25
2013-08-26,55.05
2013-08-27,54.1
2013-08-28,53.6
2013-08-29,53.65
2013-08-30,53.7
2013-09-02,54.55
2013-09-03,54.1
2013-09-04,53.75
2013-09-05,53.9
2013-09-06,52.8
2013-09-10,53.7
2013-09-11,54.0
2013-09-12,53.3
2013-09-13,53.3
2013-09-16,53.45
2013-09-17,53.8
2013-09-18,53.95
2013-09-19,53.9
2013-09-20,52.8
2013-09-23,53.05
2013-09-24,52.6
2013-09-25,52.55
2013-09-26,52.35
2013-09-27,53.0
2013-09-30,53.95
2013-10-01,53.1
2013-10-03,53.55
2013-10-04,53.65
2013-10-07,53.95
2013-10-08,55.3
2013-10-09,55.45
2013-10-10,55.65
2013-10-11,54.1
2013-10-14,53.4
2013-10-15,53.65
2013-10-17,52.85
2013-10-18,52.6
2013-10-21,53.2
2013-10-22,53.4
2013-10-23,53.45
2013-10-24,53.6
2013-10-25,53.3
2013-10-28,51.55
2013-10-29,51.6
2013-10-30,52.35
2013-10-31,52.0
2013-11-01,51.25
2013-11-03,52.85
2013-11-05,53.15
2013-11-06,56.4
2013-11-07,60.15
2013-11-08,63.2
2013-11-11,61.3
2013-11-12,58.75
2013-11-13,58.0
2013-11-14,58.15
2013-11-18,61.1
2013-11-19,60.4
2013-11-20,60.45
2013-11-21,62.6
2013-11-22,74.85
2013-11-25,71.95
2013-11-26,69.4
2013-11-27,69.45
2013-11-28,70.0
2013-11-29,77.55
2013-12-02,82.35
2013-12-03,81.4
2013-12-04,77.8
2013-12-05,80.9
2013-12-06,78.9
2013-12-09,80.8
2013-12-10,83.25
2013-12-11,81.75
2013-12-12,78.6
2013-12-13,78.65
2013-12-16,76.3
2013-12-17,75.45
2013-12-18,75.2
2013-12-19,73.8
2013-12-20,74.0
2013-12-23,74.7
2013-12-24,73.45
2013-12-26,73.2
2013-12-27,73.5
2013-12-30,73.45
2013-12-31,73.5
