Date,UFLEX
2013-01-01,98.8
2013-01-02,99.5
2013-01-03,103.2
2013-01-04,102.8
2013-01-07,104.3
2013-01-08,103.85
2013-01-09,102.45
2013-01-10,99.85
2013-01-11,98.95
2013-01-14,101.0
2013-01-15,99.95
2013-01-16,100.35
2013-01-17,99.9
2013-01-18,98.95
2013-01-21,100.25
2013-01-22,98.75
2013-01-23,96.55
2013-01-24,94.65
2013-01-25,94.1
2013-01-28,96.45
2013-01-29,95.05
2013-01-30,93.1
2013-01-31,93.55
2013-02-01,92.1
2013-02-04,90.35
2013-02-05,88.6
2013-02-06,87.45
2013-02-07,87.9
2013-02-08,85.15
2013-02-11,85.5
2013-02-12,83.55
2013-02-13,83.55
2013-02-14,81.45
2013-02-15,80.7
2013-02-18,79.3
2013-02-19,80.9
2013-02-20,83.6
2013-02-21,81.2
2013-02-22,82.7
2013-02-25,81.95
2013-02-26,79.1
2013-02-27,77.25
2013-02-28,76.0
2013-03-01,72.2
2013-03-04,69.25
2013-03-05,71.55
2013-03-06,73.85
2013-03-07,75.1
2013-03-08,75.0
2013-03-11,74.95
2013-03-12,89.9
2013-03-13,86.3
2013-03-14,87.85
2013-03-15,84.1
2013-03-18,80.9
2013-03-19,79.6
2013-03-20,73.4
2013-03-21,73.75
2013-03-22,72.3
2013-03-25,73.85
2013-03-26,71.25
2013-03-28,72.65
2013-04-01,81.25
2013-04-02,82.25
2013-04-03,77.15
2013-04-04,75.6
2013-04-05,75.45
2013-04-08,74.95
2013-04-09,72.3
2013-04-10,76.65
2013-04-11,78.05
2013-04-12,76.1
2013-04-15,76.3
2013-04-16,77.4
2013-04-17,77.5
2013-04-18,78.15
2013-04-22,78.65
2013-04-23,79.95
2013-04-25,78.15
2013-04-26,76.5
2013-04-29,75.05
2013-04-30,74.25
2013-05-02,75.6
2013-05-03,74.0
2013-05-06,75.6
2013-05-07,77.55
2013-05-08,79.1
2013-05-09,77.55
2013-05-10,77.05
2013-05-11,77.2
2013-05-13,75.6
2013-05-14,74.7
2013-05-15,76.7
2013-05-16,76.95
2013-05-17,76.65
2013-05-20,77.6
2013-05-21,75.9
2013-05-22,74.4
2013-05-23,70.45
2013-05-24,70.75
2013-05-27,72.15
2013-05-28,73.1
2013-05-29,71.5
2013-05-30,71.55
2013-05-31,64.9
2013-06-03,64.75
2013-06-04,65.4
2013-06-05,65.05
2013-06-06,63.6
2013-06-07,62.55
2013-06-10,62.2
2013-06-11,61.05
2013-06-12,62.0
2013-06-13,60.2
2013-06-14,61.0
2013-06-17,61.6
2013-06-18,61.9
2013-06-19,64.05
2013-06-20,61.6
2013-06-21,62.15
2013-06-24,59.25
2013-06-25,57.6
2013-06-26,57.8
2013-06-27,58.15
2013-06-28,59.8
2013-07-01,62.4
2013-07-02,61.5
2013-07-03,58.4
2013-07-04,58.9
2013-07-05,59.85
2013-07-08,59.35
2013-07-09,60.05
2013-07-10,59.35
2013-07-11,60.35
2013-07-12,60.3
2013-07-15,60.1
2013-07-16,58.5
2013-07-17,58.5
2013-07-18,59.4
2013-07-19,59.55
2013-07-22,57.7
2013-07-23,57.55
2013-07-24,56.75
2013-07-25,55.85
2013-07-26,55.5
2013-07-29,54.0
2013-07-30,52.7
2013-07-31,51.55
2013-08-01,50.2
2013-08-02,48.3
2013-08-05,50.75
2013-08-06,49.15
2013-08-07,53.5
2013-08-08,55.4
2013-08-12,55.9
2013-08-13,56.95
2013-08-14,57.2
2013-08-16,55.75
2013-08-19,56.2
2013-08-20,57.3
2013-08-21,58.7
2013-08-22,63.75
2013-08-23,65.45
2013-08-26,67.0
2013-08-27,63.85
2013-08-28,62.95
2013-08-29,60.85
2013-08-30,60.55
2013-09-02,59.5
2013-09-03,58.2
2013-09-04,59.8
2013-09-05,61.35
2013-09-06,62.8
2013-09-10,64.1
2013-09-11,64.4
2013-09-12,64.9
2013-09-13,65.25
2013-09-16,62.8
2013-09-17,61.65
2013-09-18,60.45
2013-09-19,60.85
2013-09-20,55.4
2013-09-23,57.55
2013-09-24,57.65
2013-09-25,57.4
2013-09-26,56.05
2013-09-27,56.8
2013-09-30,55.6
2013-10-01,57.05
2013-10-03,58.2
2013-10-04,58.1
2013-10-07,57.8
2013-10-08,59.45
2013-10-09,60.85
2013-10-10,62.25
2013-10-11,62.1
2013-10-14,62.7
2013-10-15,62.3
2013-10-17,62.15
2013-10-18,62.95
2013-10-21,63.65
2013-10-22,64.75
2013-10-23,65.05
2013-10-24,67.25
2013-10-25,66.5
2013-10-28,64.8
2013-10-29,64.5
2013-10-30,66.7
2013-10-31,67.05
2013-11-01,72.25
2013-11-03,75.35
2013-11-05,80.35
2013-11-06,78.0
2013-11-07,74.45
2013-11-08,73.3
2013-11-11,69.0
2013-11-12,68.2
2013-11-13,72.65
2013-11-14,73.65
2013-11-18,73.85
2013-11-19,73.85
2013-11-20,74.25
2013-11-21,72.65
2013-11-22,74.7
2013-11-25,75.95
2013-11-26,76.5
2013-11-27,75.65
2013-11-28,77.1
2013-11-29,79.2
2013-12-02,85.5
2013-12-03,84.45
2013-12-04,81.2
2013-12-05,82.05
2013-12-06,80.65
2013-12-09,81.0
2013-12-10,78.95
2013-12-11,77.85
2013-12-12,77.7
2013-12-13,75.75
2013-12-16,75.2
2013-12-17,74.5
2013-12-18,78.4
2013-12-19,76.6
2013-12-20,77.75
2013-12-23,79.05
2013-12-24,80.3
2013-12-26,80.95
2013-12-27,80.4
2013-12-30,81.55
2013-12-31,81.9
