Date,KEI
2013-01-01,17.15
2013-01-02,17.35
2013-01-03,17.2
2013-01-04,17.1
2013-01-07,17.35
2013-01-08,17.2
2013-01-09,17.15
2013-01-10,16.9
2013-01-11,16.65
2013-01-14,16.6
2013-01-15,16.85
2013-01-16,16.35
2013-01-17,16.0
2013-01-18,16.1
2013-01-21,16.15
2013-01-22,15.65
2013-01-23,15.15
2013-01-24,14.8
2013-01-25,15.0
2013-01-28,15.0
2013-01-29,14.75
2013-01-30,14.85
2013-01-31,14.6
2013-02-01,14.45
2013-02-04,14.15
2013-02-05,14.05
2013-02-06,14.05
2013-02-07,14.0
2013-02-08,14.0
2013-02-11,13.75
2013-02-12,13.85
2013-02-13,13.7
2013-02-14,13.5
2013-02-15,13.35
2013-02-18,13.9
2013-02-19,13.75
2013-02-20,13.85
2013-02-21,13.5
2013-02-22,13.75
2013-02-25,13.25
2013-02-26,12.8
2013-02-27,12.8
2013-02-28,12.9
2013-03-01,12.95
2013-03-04,12.45
2013-03-05,12.3
2013-03-06,12.3
2013-03-07,12.3
2013-03-08,12.5
2013-03-11,12.25
2013-03-12,12.05
2013-03-13,11.9
2013-03-14,11.9
2013-03-15,11.5
2013-03-18,11.3
2013-03-19,11.05
2013-03-20,9.95
2013-03-21,11.2
2013-03-22,11.0
2013-03-25,11.4
2013-03-26,11.2
2013-03-28,10.85
2013-04-01,11.55
2013-04-02,12.05
2013-04-03,11.75
2013-04-04,11.2
2013-04-05,11.35
2013-04-08,10.75
2013-04-09,10.85
2013-04-10,10.95
2013-04-11,10.75
2013-04-12,10.85
2013-04-15,10.85
2013-04-16,11.05
2013-04-17,11.35
2013-04-18,11.15
2013-04-22,11.4
2013-04-23,11.2
2013-04-25,11.3
2013-04-26,10.9
2013-04-29,10.95
2013-04-30,11.05
2013-05-02,11.35
2013-05-03,11.35
2013-05-06,11.4
2013-05-07,11.55
2013-05-08,12.0
2013-05-09,12.1
2013-05-10,11.6
2013-05-11,11.8
2013-05-13,11.55
2013-05-14,11.6
2013-05-15,11.85
2013-05-16,12.1
2013-05-17,12.0
2013-05-20,11.55
2013-05-21,11.55
2013-05-22,11.05
2013-05-23,10.35
2013-05-24,11.1
2013-05-27,10.85
2013-05-28,10.75
2013-05-29,10.65
2013-05-30,10.7
2013-05-31,10.9
2013-06-03,10.9
2013-06-04,10.7
2013-06-05,10.6
2013-06-06,10.65
2013-06-07,10.55
2013-06-10,10.75
2013-06-11,10.3
2013-06-12,10.0
2013-06-13,10.85
2013-06-14,10.35
2013-06-17,10.5
2013-06-18,10.9
2013-06-19,10.7
2013-06-20,10.65
2013-06-21,10.55
2013-06-24,10.05
2013-06-25,9.95
2013-06-26,9.8
2013-06-27,9.75
2013-06-28,9.95
2013-07-01,10.0
2013-07-02,10.0
2013-07-03,10.4
2013-07-04,10.0
2013-07-05,10.95
2013-07-08,10.4
2013-07-09,10.3
2013-07-10,10.5
2013-07-11,10.55
2013-07-12,10.5
2013-07-15,10.55
2013-07-16,10.15
2013-07-17,9.95
2013-07-18,9.6
2013-07-19,9.6
2013-07-22,8.95
2013-07-23,8.75
2013-07-24,8.45
2013-07-25,7.9
2013-07-26,8.15
2013-07-29,8.25
2013-07-30,7.95
2013-07-31,7.75
2013-08-01,7.25
2013-08-02,7.15
2013-08-05,7.15
2013-08-06,7.0
2013-08-07,7.45
2013-08-08,7.6
2013-08-12,7.8
2013-08-13,7.65
2013-08-14,7.8
2013-08-16,7.0
2013-08-19,7.15
2013-08-20,7.1
2013-08-21,7.05
2013-08-22,7.1
2013-08-23,7.45
2013-08-26,7.55
2013-08-27,7.3
2013-08-28,7.2
2013-08-29,7.1
2013-08-30,7.05
2013-09-02,7.1
2013-09-03,7.1
2013-09-04,7.15
2013-09-05,7.15
2013-09-06,7.45
2013-09-10,8.1
2013-09-11,8.65
2013-09-12,8.0
2013-09-13,8.2
2013-09-16,7.85
2013-09-17,7.6
2013-09-18,7.65
2013-09-19,7.7
2013-09-20,7.55
2013-09-23,7.5
2013-09-24,7.15
2013-09-25,7.2
2013-09-26,7.3
2013-09-27,7.25
2013-09-30,7.4
2013-10-01,7.3
2013-10-03,7.15
2013-10-04,7.25
2013-10-07,7.15
2013-10-08,6.9
2013-10-09,7.1
2013-10-10,8.4
2013-10-11,7.85
2013-10-14,8.0
2013-10-15,7.85
2013-10-17,8.15
2013-10-18,8.05
2013-10-21,8.1
2013-10-22,8.4
2013-10-23,9.0
2013-10-24,9.05
2013-10-25,8.9
2013-10-28,8.8
2013-10-29,8.65
2013-10-30,8.9
2013-10-31,8.6
2013-11-01,8.6
2013-11-03,9.0
2013-11-05,9.5
2013-11-06,9.35
2013-11-07,9.2
2013-11-08,9.15
2013-11-11,8.45
2013-11-12,8.15
2013-11-13,8.1
2013-11-14,8.2
2013-11-18,8.4
2013-11-19,8.4
2013-11-20,8.6
2013-11-21,8.5
2013-11-22,8.25
2013-11-25,8.35
2013-11-26,8.35
2013-11-27,8.25
2013-11-28,8.4
2013-11-29,9.35
2013-12-02,9.4
2013-12-03,9.95
2013-12-04,10.0
2013-12-05,9.7
2013-12-06,9.7
2013-12-09,9.65
2013-12-10,9.5
2013-12-11,9.35
2013-12-12,9.4
2013-12-13,9.1
2013-12-16,8.9
2013-12-17,8.8
2013-12-18,8.9
2013-12-19,9.0
2013-12-20,9.1
2013-12-23,9.4
2013-12-24,9.7
2013-12-26,11.6
2013-12-27,11.45
2013-12-30,11.55
2013-12-31,11.65
