Date,LEEL
2013-01-01,59.6
2013-01-02,60.2
2013-01-03,61.4
2013-01-04,61.75
2013-01-07,61.05
2013-01-08,59.55
2013-01-09,58.7
2013-01-10,58.1
2013-01-11,57.5
2013-01-14,57.45
2013-01-15,58.15
2013-01-16,57.5
2013-01-17,55.9
2013-01-18,54.5
2013-01-21,53.8
2013-01-22,52.65
2013-01-23,51.1
2013-01-24,49.65
2013-01-25,49.75
2013-01-28,50.55
2013-01-29,53.6
2013-01-30,50.15
2013-01-31,48.7
2013-02-01,49.95
2013-02-04,49.6
2013-02-05,50.8
2013-02-06,51.15
2013-02-07,50.75
2013-02-08,50.1
2013-02-11,49.35
2013-02-12,48.95
2013-02-13,50.55
2013-02-14,49.2
2013-02-15,48.25
2013-02-18,47.7
2013-02-19,48.0
2013-02-20,49.05
2013-02-21,47.35
2013-02-22,46.8
2013-02-25,45.7
2013-02-26,44.45
2013-02-27,43.9
2013-02-28,43.05
2013-03-01,41.25
2013-03-04,40.5
2013-03-05,40.05
2013-03-06,41.8
2013-03-07,41.6
2013-03-08,42.7
2013-03-11,42.9
2013-03-12,42.05
2013-03-13,40.85
2013-03-14,40.65
2013-03-15,40.3
2013-03-18,40.3
2013-03-19,39.85
2013-03-20,39.4
2013-03-21,38.2
2013-03-22,37.15
2013-03-25,38.35
2013-03-26,38.2
2013-03-28,39.45
2013-04-01,41.05
2013-04-02,43.65
2013-04-03,42.05
2013-04-04,40.45
2013-04-05,40.6
2013-04-08,41.5
2013-04-09,40.25
2013-04-10,39.65
2013-04-11,39.85
2013-04-12,39.35
2013-04-15,39.25
2013-04-16,39.65
2013-04-17,39.75
2013-04-18,39.85
2013-04-22,41.25
2013-04-23,40.55
2013-04-25,39.95
2013-04-26,39.65
2013-04-29,39.8
2013-04-30,39.85
2013-05-02,39.7
2013-05-03,39.55
2013-05-06,39.55
2013-05-07,39.95
2013-05-08,40.85
2013-05-09,39.85
2013-05-10,39.8
2013-05-11,39.6
2013-05-13,39.6
2013-05-14,39.45
2013-05-15,39.25
2013-05-16,39.25
2013-05-17,37.8
2013-05-20,37.05
2013-05-21,37.1
2013-05-22,36.4
2013-05-23,35.2
2013-05-24,34.95
2013-05-27,35.6
2013-05-28,35.4
2013-05-29,34.75
2013-05-30,34.9
2013-05-31,37.1
2013-06-03,36.75
2013-06-04,35.65
2013-06-05,35.35
2013-06-06,34.85
2013-06-07,34.45
2013-06-10,33.7
2013-06-11,33.7
2013-06-12,33.5
2013-06-13,33.9
2013-06-14,33.95
2013-06-17,33.55
2013-06-18,34.15
2013-06-19,34.95
2013-06-20,34.15
2013-06-21,33.3
2013-06-24,31.7
2013-06-25,30.95
2013-06-26,32.8
2013-06-27,31.7
2013-06-28,32.15
2013-07-01,32.85
2013-07-02,34.45
2013-07-03,33.95
2013-07-04,34.05
2013-07-05,33.3
2013-07-08,32.3
2013-07-09,32.25
2013-07-10,31.75
2013-07-11,32.25
2013-07-12,31.7
2013-07-15,32.3
2013-07-16,32.55
2013-07-17,32.45
2013-07-18,32.75
2013-07-19,32.85
2013-07-22,33.3
2013-07-23,34.0
2013-07-24,33.25
2013-07-25,33.15
2013-07-26,32.65
2013-07-29,30.75
2013-07-30,29.0
2013-07-31,27.8
2013-08-01,27.0
2013-08-02,25.15
2013-08-05,26.65
2013-08-06,25.9
2013-08-07,26.25
2013-08-08,27.05
2013-08-12,27.0
2013-08-13,27.8
2013-08-14,28.2
2013-08-16,28.8
2013-08-19,29.25
2013-08-20,28.65
2013-08-21,27.35
2013-08-22,28.1
2013-08-23,28.35
2013-08-26,29.9
2013-08-27,28.7
2013-08-28,28.35
2013-08-29,28.7
2013-08-30,29.2
2013-09-02,30.35
2013-09-03,29.7
2013-09-04,30.15
2013-09-05,30.85
2013-09-06,30.95
2013-09-10,31.9
2013-09-11,32.25
2013-09-12,33.4
2013-09-13,33.85
2013-09-16,33.6
2013-09-17,32.75
2013-09-18,32.9
2013-09-19,32.85
2013-09-20,37.55
2013-09-23,38.25
2013-09-24,35.05
2013-09-25,33.95
2013-09-26,33.35
2013-09-27,33.15
2013-09-30,32.45
2013-10-01,32.75
2013-10-03,34.0
2013-10-04,33.6
2013-10-07,34.45
2013-10-08,33.8
2013-10-09,34.15
2013-10-10,34.3
2013-10-11,33.85
2013-10-14,33.1
2013-10-15,32.45
2013-10-17,31.9
2013-10-18,32.45
2013-10-21,32.25
2013-10-22,33.75
2013-10-23,33.75
2013-10-24,33.3
2013-10-25,33.65
2013-10-28,33.15
2013-10-29,33.35
2013-10-30,34.65
2013-10-31,35.95
2013-11-01,36.0
2013-11-03,36.9
2013-11-05,37.85
2013-11-06,37.55
2013-11-07,37.7
2013-11-08,37.2
2013-11-11,37.0
2013-11-12,33.35
2013-11-13,33.25
2013-11-14,33.55
2013-11-18,33.6
2013-11-19,33.8
2013-11-20,34.05
2013-11-21,33.6
2013-11-22,32.5
2013-11-25,32.6
2013-11-26,32.35
2013-11-27,30.6
2013-11-28,31.65
2013-11-29,31.95
2013-12-02,32.6
2013-12-03,33.7
2013-12-04,32.65
2013-12-05,33.6
2013-12-06,33.7
2013-12-09,33.7
2013-12-10,32.85
2013-12-11,32.15
2013-12-12,32.7
2013-12-13,31.35
2013-12-16,30.15
2013-12-17,30.6
2013-12-18,31.0
2013-12-19,31.1
2013-12-20,31.25
2013-12-23,30.55
2013-12-24,32.35
2013-12-26,33.8
2013-12-27,33.9
2013-12-30,34.45
2013-12-31,34.95
