Date,CUMMINSIND
2013-01-01,519.35
2013-01-02,519.0
2013-01-03,537.25
2013-01-04,538.0
2013-01-07,535.45
2013-01-08,528.75
2013-01-09,529.6
2013-01-10,521.9
2013-01-11,515.95
2013-01-14,526.9
2013-01-15,520.2
2013-01-16,518.75
2013-01-17,507.3
2013-01-18,490.1
2013-01-21,488.6
2013-01-22,492.1
2013-01-23,493.65
2013-01-24,497.5
2013-01-25,492.85
2013-01-28,489.9
2013-01-29,489.9
2013-01-30,480.9
2013-01-31,489.8
2013-02-01,500.75
2013-02-04,504.3
2013-02-05,497.95
2013-02-06,506.35
2013-02-07,510.95
2013-02-08,508.85
2013-02-11,504.25
2013-02-12,502.95
2013-02-13,492.2
2013-02-14,483.85
2013-02-15,482.5
2013-02-18,496.9
2013-02-19,504.5
2013-02-20,503.45
2013-02-21,494.0
2013-02-22,494.2
2013-02-25,480.75
2013-02-26,482.95
2013-02-27,482.85
2013-02-28,476.95
2013-03-01,495.7
2013-03-04,485.8
2013-03-05,484.85
2013-03-06,486.55
2013-03-07,498.05
2013-03-08,503.75
2013-03-11,502.75
2013-03-12,505.95
2013-03-13,499.55
2013-03-14,500.55
2013-03-15,498.65
2013-03-18,494.15
2013-03-19,497.9
2013-03-20,495.5
2013-03-21,490.15
2013-03-22,480.0
2013-03-25,482.3
2013-03-26,486.35
2013-03-28,499.0
2013-04-01,501.1
2013-04-02,495.7
2013-04-03,500.0
2013-04-04,495.05
2013-04-05,499.7
2013-04-08,498.0
2013-04-09,498.95
2013-04-10,489.7
2013-04-11,491.85
2013-04-12,495.3
2013-04-15,478.85
2013-04-16,500.2
2013-04-17,500.05
2013-04-18,499.45
2013-04-22,504.4
2013-04-23,515.65
2013-04-25,507.75
2013-04-26,510.1
2013-04-29,516.8
2013-04-30,511.15
2013-05-02,522.05
2013-05-03,515.7
2013-05-06,520.05
2013-05-07,518.15
2013-05-08,517.9
2013-05-09,519.65
2013-05-10,523.2
2013-05-11,527.4
2013-05-13,511.85
2013-05-14,510.25
2013-05-15,503.45
2013-05-16,498.75
2013-05-17,495.1
2013-05-20,485.2
2013-05-21,478.6
2013-05-22,474.4
2013-05-23,464.8
2013-05-24,464.85
2013-05-27,474.9
2013-05-28,469.05
2013-05-29,461.9
2013-05-30,454.35
2013-05-31,453.4
2013-06-03,450.35
2013-06-04,451.5
2013-06-05,458.55
2013-06-06,463.8
2013-06-07,465.75
2013-06-10,458.7
2013-06-11,450.6
2013-06-12,451.7
2013-06-13,455.55
2013-06-14,456.15
2013-06-17,464.6
2013-06-18,462.75
2013-06-19,460.7
2013-06-20,458.2
2013-06-21,457.2
2013-06-24,453.4
2013-06-25,449.65
2013-06-26,448.65
2013-06-27,449.1
2013-06-28,455.8
2013-07-01,448.55
2013-07-02,449.85
2013-07-03,443.15
2013-07-04,443.0
2013-07-05,443.1
2013-07-08,434.65
2013-07-09,454.05
2013-07-10,450.9
2013-07-11,457.05
2013-07-12,455.3
2013-07-15,459.55
2013-07-16,461.45
2013-07-17,458.9
2013-07-18,459.25
2013-07-19,451.1
2013-07-22,451.0
2013-07-23,444.35
2013-07-24,442.65
2013-07-25,422.7
2013-07-26,416.2
2013-07-29,411.15
2013-07-30,415.2
2013-07-31,428.0
2013-08-01,407.25
2013-08-02,399.0
2013-08-05,389.95
2013-08-06,393.05
2013-08-07,387.05
2013-08-08,387.4
2013-08-12,386.85
2013-08-13,389.85
2013-08-14,396.05
2013-08-16,387.15
2013-08-19,380.6
2013-08-20,384.0
2013-08-21,373.1
2013-08-22,380.15
2013-08-23,377.85
2013-08-26,388.65
2013-08-27,386.0
2013-08-28,375.2
2013-08-29,382.8
2013-08-30,393.4
2013-09-02,389.85
2013-09-03,382.15
2013-09-04,383.25
2013-09-05,386.9
2013-09-06,386.15
2013-09-10,389.2
2013-09-11,389.8
2013-09-12,402.25
2013-09-13,408.95
2013-09-16,411.15
2013-09-17,407.55
2013-09-18,405.45
2013-09-19,408.3
2013-09-20,409.25
2013-09-23,403.95
2013-09-24,403.1
2013-09-25,402.6
2013-09-26,411.2
2013-09-27,408.8
2013-09-30,408.25
2013-10-01,411.7
2013-10-03,409.85
2013-10-04,404.2
2013-10-07,401.7
2013-10-08,400.95
2013-10-09,401.65
2013-10-10,402.95
2013-10-11,402.35
2013-10-14,401.65
2013-10-15,401.65
2013-10-17,406.5
2013-10-18,411.7
2013-10-21,414.6
2013-10-22,407.65
2013-10-23,409.2
2013-10-24,404.95
2013-10-25,402.85
2013-10-28,400.9
2013-10-29,400.8
2013-10-30,393.95
2013-10-31,395.0
2013-11-01,398.75
2013-11-03,411.3
2013-11-05,408.25
2013-11-06,402.9
2013-11-07,403.35
2013-11-08,404.7
2013-11-11,401.9
2013-11-12,400.5
2013-11-13,397.75
2013-11-14,400.2
2013-11-18,401.6
2013-11-19,413.8
2013-11-20,424.35
2013-11-21,419.35
2013-11-22,427.45
2013-11-25,427.2
2013-11-26,419.45
2013-11-27,418.65
2013-11-28,426.95
2013-11-29,431.2
2013-12-02,449.1
2013-12-03,449.75
2013-12-04,444.1
2013-12-05,447.55
2013-12-06,450.35
2013-12-09,449.25
2013-12-10,440.95
2013-12-11,444.65
2013-12-12,446.2
2013-12-13,429.35
2013-12-16,421.05
2013-12-17,441.45
2013-12-18,460.0
2013-12-19,463.7
2013-12-20,477.35
2013-12-23,470.05
2013-12-24,466.25
2013-12-26,469.75
2013-12-27,469.95
2013-12-30,477.45
2013-12-31,479.15
