Date,M50
2013-01-01,81.58
2013-01-02,82.31
2013-01-03,82.54
2013-01-04,82.7
2013-01-07,82.86
2013-01-08,82.32
2013-01-09,82.22
2013-01-10,82.16
2013-01-11,81.11
2013-01-14,81.81
2013-01-15,82.45
2013-01-16,81.69
2013-01-17,81.84
2013-01-18,82.03
2013-01-21,82.26
2013-01-22,82.38
2013-01-23,81.29
2013-01-24,80.54
2013-01-25,80.96
2013-01-28,81.13
2013-01-29,81.1
2013-01-30,81.41
2013-01-31,82.66
2013-02-01,81.47
2013-02-04,80.99
2013-02-05,79.55
2013-02-06,79.99
2013-02-07,80.75
2013-02-08,79.33
2013-02-11,78.54
2013-02-12,78.25
2013-02-13,78.71
2013-02-14,78.05
2013-02-15,77.76
2013-02-18,77.69
2013-02-19,78.5
2013-02-20,78.85
2013-02-21,78.16
2013-02-22,77.57
2013-02-25,77.85
2013-02-26,76.91
2013-02-27,76.9
2013-02-28,76.63
2013-03-01,75.41
2013-03-04,74.81
2013-03-05,75.8
2013-03-06,76.7
2013-03-07,77.08
2013-03-08,77.58
2013-03-11,78.02
2013-03-12,77.65
2013-03-13,76.87
2013-03-14,78.0
2013-03-15,79.04
2013-03-18,76.71
2013-03-19,76.22
2013-03-20,74.13
2013-03-21,74.0
2013-03-22,74.61
2013-03-25,74.01
2013-03-26,72.56
2013-03-28,75.07
2013-04-01,74.75
2013-04-02,75.44
2013-04-03,74.66
2013-04-04,72.58
2013-04-05,72.25
2013-04-08,72.93
2013-04-09,71.78
2013-04-10,72.0
2013-04-11,72.0
2013-04-12,72.13
2013-04-15,73.16
2013-04-16,74.27
2013-04-17,74.6
2013-04-18,75.36
2013-04-22,76.04
2013-04-23,75.83
2013-04-25,78.77
2013-04-26,76.62
2013-04-29,78.06
2013-04-30,78.37
2013-05-02,78.24
2013-05-03,77.2
2013-05-06,78.36
2013-05-07,78.88
2013-05-08,78.3
2013-05-09,78.57
2013-05-10,79.12
2013-05-11,79.19
2013-05-13,78.49
2013-05-14,77.69
2013-05-15,79.58
2013-05-16,79.8
2013-05-17,80.32
2013-05-20,80.69
2013-05-21,79.81
2013-05-22,79.29
2013-05-23,77.41
2013-05-24,78.84
2013-05-27,78.29
2013-05-28,78.2
2013-05-29,78.3
2013-05-30,78.59
2013-05-31,77.97
2013-06-03,77.36
2013-06-04,76.76
2013-06-05,76.51
2013-06-06,76.4
2013-06-07,76.91
2013-06-10,76.76
2013-06-11,75.61
2013-06-12,75.41
2013-06-13,74.01
2013-06-14,76.2
2013-06-17,76.0
2013-06-18,75.74
2013-06-19,75.65
2013-06-20,73.92
2013-06-21,73.1
2013-06-24,72.39
2013-06-25,73.06
2013-06-26,72.01
2013-06-27,74.48
2013-06-28,75.91
2013-07-01,76.59
2013-07-02,75.35
2013-07-03,74.76
2013-07-04,74.54
2013-07-05,75.81
2013-07-08,76.34
2013-07-09,75.51
2013-07-10,75.38
2013-07-11,75.7
2013-07-12,76.28
2013-07-15,76.86
2013-07-16,76.51
2013-07-17,76.6
2013-07-18,77.25
2013-07-19,77.46
2013-07-22,77.89
2013-07-23,78.29
2013-07-24,78.08
2013-07-25,77.97
2013-07-26,76.53
2013-07-29,75.22
2013-07-30,74.23
2013-07-31,72.96
2013-08-01,74.27
2013-08-02,72.22
2013-08-05,72.56
2013-08-06,71.35
2013-08-07,71.56
2013-08-08,71.91
2013-08-12,72.35
2013-08-13,73.3
2013-08-14,73.9
2013-08-16,73.44
2013-08-19,71.29
2013-08-20,70.19
2013-08-21,71.15
2013-08-22,70.99
2013-08-23,74.16
2013-08-26,72.19
2013-08-27,70.37
2013-08-28,69.62
2013-08-29,72.03
2013-08-30,72.22
2013-09-02,72.5
2013-09-03,71.81
2013-09-04,72.04
2013-09-05,72.78
2013-09-06,73.24
2013-09-10,75.75
2013-09-11,76.53
2013-09-12,75.44
2013-09-13,76.39
2013-09-16,77.1
2013-09-17,76.09
2013-09-18,76.46
2013-09-19,79.27
2013-09-20,78.48
2013-09-23,78.16
2013-09-24,77.22
2013-09-25,77.04
2013-09-26,78.17
2013-09-27,76.95
2013-09-30,75.17
2013-10-01,75.6
2013-10-03,77.37
2013-10-04,78.3
2013-10-07,78.47
2013-10-08,78.14
2013-10-09,79.14
2013-10-10,79.3
2013-10-11,79.74
2013-10-14,79.72
2013-10-15,79.53
2013-10-17,79.88
2013-10-18,81.37
2013-10-21,82.85
2013-10-22,82.86
2013-10-23,82.57
2013-10-24,82.74
2013-10-25,81.38
2013-10-28,81.25
2013-10-29,82.49
2013-10-30,82.94
2013-10-31,84.66
2013-11-01,84.42
2013-11-03,83.99
2013-11-05,84.76
2013-11-06,84.26
2013-11-07,84.89
2013-11-08,83.1
2013-11-11,81.93
2013-11-12,80.65
2013-11-13,79.36
2013-11-14,80.73
2013-11-18,83.9
2013-11-19,83.25
2013-11-20,82.08
2013-11-21,80.55
2013-11-22,80.09
2013-11-25,82.14
2013-11-26,81.77
2013-11-27,81.05
2013-11-28,82.95
2013-11-29,83.9
2013-12-02,84.71
2013-12-03,84.67
2013-12-04,84.31
2013-12-05,85.81
2013-12-06,85.63
2013-12-09,88.13
2013-12-10,87.28
2013-12-11,86.3
2013-12-12,85.49
2013-12-13,84.29
2013-12-16,84.76
2013-12-17,83.8
2013-12-18,85.55
2013-12-19,84.62
2013-12-20,85.85
2013-12-23,86.4
2013-12-24,86.2
2013-12-26,88.01
2013-12-27,86.59
2013-12-30,85.82
2013-12-31,86.12
