Date,ADANIPOWER
2013-01-01,64.15
2013-01-02,63.65
2013-01-03,63.4
2013-01-04,62.65
2013-01-07,65.1
2013-01-08,64.2
2013-01-09,63.95
2013-01-10,62.85
2013-01-11,61.8
2013-01-14,64.1
2013-01-15,65.7
2013-01-16,65.4
2013-01-17,65.35
2013-01-18,64.5
2013-01-21,67.8
2013-01-22,65.55
2013-01-23,64.85
2013-01-24,62.0
2013-01-25,63.9
2013-01-28,60.9
2013-01-29,60.05
2013-01-30,59.25
2013-01-31,61.0
2013-02-01,60.4
2013-02-04,56.4
2013-02-05,56.8
2013-02-06,57.0
2013-02-07,57.55
2013-02-08,56.95
2013-02-11,56.8
2013-02-12,55.15
2013-02-13,54.4
2013-02-14,52.6
2013-02-15,51.95
2013-02-18,51.15
2013-02-19,51.55
2013-02-20,51.15
2013-02-21,50.05
2013-02-22,49.9
2013-02-25,47.55
2013-02-26,46.45
2013-02-27,47.15
2013-02-28,44.45
2013-03-01,45.15
2013-03-04,44.0
2013-03-05,46.25
2013-03-06,47.7
2013-03-07,48.4
2013-03-08,50.85
2013-03-11,50.25
2013-03-12,50.4
2013-03-13,48.85
2013-03-14,49.75
2013-03-15,47.55
2013-03-18,46.25
2013-03-19,45.65
2013-03-20,44.0
2013-03-21,41.2
2013-03-22,39.45
2013-03-25,39.7
2013-03-26,39.25
2013-03-28,40.65
2013-04-01,42.2
2013-04-02,43.7
2013-04-03,47.6
2013-04-04,46.8
2013-04-05,45.0
2013-04-08,46.55
2013-04-09,46.85
2013-04-10,46.75
2013-04-11,45.95
2013-04-12,46.95
2013-04-15,46.7
2013-04-16,47.65
2013-04-17,47.3
2013-04-18,47.65
2013-04-22,48.4
2013-04-23,48.45
2013-04-25,49.6
2013-04-26,48.95
2013-04-29,49.7
2013-04-30,48.85
2013-05-02,49.35
2013-05-03,48.8
2013-05-06,48.4
2013-05-07,48.4
2013-05-08,48.45
2013-05-09,48.6
2013-05-10,48.65
2013-05-11,48.45
2013-05-13,46.9
2013-05-14,47.2
2013-05-15,48.5
2013-05-16,48.85
2013-05-17,50.5
2013-05-20,54.1
2013-05-21,60.7
2013-05-22,56.35
2013-05-23,54.85
2013-05-24,57.0
2013-05-27,57.85
2013-05-28,57.3
2013-05-29,54.5
2013-05-30,58.55
2013-05-31,56.75
2013-06-03,57.95
2013-06-04,56.15
2013-06-05,58.65
2013-06-06,57.75
2013-06-07,53.75
2013-06-10,53.0
2013-06-11,51.8
2013-06-12,50.75
2013-06-13,47.8
2013-06-14,47.85
2013-06-17,44.15
2013-06-18,44.5
2013-06-19,44.45
2013-06-20,41.5
2013-06-21,41.15
2013-06-24,39.5
2013-06-25,39.95
2013-06-26,39.55
2013-06-27,40.15
2013-06-28,41.45
2013-07-01,42.6
2013-07-02,43.85
2013-07-03,41.4
2013-07-04,40.6
2013-07-05,40.25
2013-07-08,39.85
2013-07-09,40.5
2013-07-10,39.8
2013-07-11,39.95
2013-07-12,39.25
2013-07-15,39.6
2013-07-16,39.8
2013-07-17,39.1
2013-07-18,40.35
2013-07-19,39.55
2013-07-22,39.75
2013-07-23,39.75
2013-07-24,39.0
2013-07-25,41.0
2013-07-26,40.15
2013-07-29,39.85
2013-07-30,36.8
2013-07-31,35.05
2013-08-01,34.1
2013-08-02,31.85
2013-08-05,32.1
2013-08-06,31.0
2013-08-07,34.35
2013-08-08,34.7
2013-08-12,36.15
2013-08-13,35.95
2013-08-14,35.7
2013-08-16,33.7
2013-08-19,36.05
2013-08-20,36.1
2013-08-21,34.55
2013-08-22,36.6
2013-08-23,36.35
2013-08-26,37.0
2013-08-27,34.95
2013-08-28,36.15
2013-08-29,34.15
2013-08-30,33.65
2013-09-02,34.1
2013-09-03,32.65
2013-09-04,32.15
2013-09-05,33.35
2013-09-06,33.75
2013-09-10,33.95
2013-09-11,34.8
2013-09-12,34.9
2013-09-13,36.05
2013-09-16,34.7
2013-09-17,34.8
2013-09-18,33.95
2013-09-19,35.15
2013-09-20,34.2
2013-09-23,34.0
2013-09-24,34.1
2013-09-25,34.05
2013-09-26,33.25
2013-09-27,33.05
2013-09-30,32.25
2013-10-01,31.9
2013-10-03,33.2
2013-10-04,32.95
2013-10-07,33.25
2013-10-08,33.7
2013-10-09,35.0
2013-10-10,35.2
2013-10-11,35.1
2013-10-14,35.8
2013-10-15,34.7
2013-10-17,34.7
2013-10-18,34.95
2013-10-21,36.35
2013-10-22,36.45
2013-10-23,35.5
2013-10-24,35.3
2013-10-25,33.45
2013-10-28,32.4
2013-10-29,32.35
2013-10-30,32.3
2013-10-31,32.7
2013-11-01,34.35
2013-11-03,34.5
2013-11-05,35.25
2013-11-06,35.45
2013-11-07,34.35
2013-11-08,35.3
2013-11-11,35.1
2013-11-12,33.85
2013-11-13,33.35
2013-11-14,34.7
2013-11-18,35.0
2013-11-19,34.9
2013-11-20,36.0
2013-11-21,34.8
2013-11-22,35.35
2013-11-25,35.8
2013-11-26,34.8
2013-11-27,34.1
2013-11-28,34.3
2013-11-29,35.6
2013-12-02,36.25
2013-12-03,36.0
2013-12-04,38.15
2013-12-05,39.2
2013-12-06,40.3
2013-12-09,40.7
2013-12-10,38.7
2013-12-11,38.45
2013-12-12,38.45
2013-12-13,38.1
2013-12-16,37.1
2013-12-17,36.6
2013-12-18,37.7
2013-12-19,36.95
2013-12-20,38.1
2013-12-23,38.8
2013-12-24,38.3
2013-12-26,39.5
2013-12-27,39.5
2013-12-30,39.1
2013-12-31,38.95
