Date,RANEHOLDIN
2013-01-01,199.8
2013-01-02,199.95
2013-01-03,197.2
2013-01-04,197.1
2013-01-07,203.9
2013-01-08,199.35
2013-01-09,205.0
2013-01-10,207.5
2013-01-11,199.45
2013-01-14,198.4
2013-01-15,198.2
2013-01-16,198.5
2013-01-17,203.65
2013-01-18,202.0
2013-01-21,199.55
2013-01-22,197.85
2013-01-23,196.25
2013-01-24,194.8
2013-01-25,190.45
2013-01-28,191.7
2013-01-29,195.35
2013-01-30,192.45
2013-01-31,191.15
2013-02-01,190.0
2013-02-04,188.6
2013-02-05,187.0
2013-02-06,186.9
2013-02-07,185.1
2013-02-08,192.4
2013-02-11,188.2
2013-02-12,179.15
2013-02-13,180.75
2013-02-14,177.0
2013-02-15,177.05
2013-02-18,176.75
2013-02-19,174.15
2013-02-20,172.75
2013-02-21,170.05
2013-02-22,170.85
2013-02-25,170.25
2013-02-26,170.0
2013-02-27,175.85
2013-02-28,168.15
2013-03-01,167.85
2013-03-04,169.0
2013-03-05,164.4
2013-03-06,164.0
2013-03-07,169.85
2013-03-08,170.0
2013-03-11,168.1
2013-03-12,170.0
2013-03-13,170.0
2013-03-14,170.25
2013-03-15,174.75
2013-03-18,174.35
2013-03-19,167.3
2013-03-20,155.6
2013-03-21,155.75
2013-03-22,162.3
2013-03-25,156.15
2013-03-26,153.95
2013-03-28,169.0
2013-04-01,162.35
2013-04-02,167.95
2013-04-03,162.55
2013-04-04,162.5
2013-04-05,165.9
2013-04-08,160.0
2013-04-09,158.3
2013-04-10,159.9
2013-04-11,158.2
2013-04-12,154.6
2013-04-15,153.55
2013-04-16,162.4
2013-04-17,158.8
2013-04-18,162.0
2013-04-22,165.3
2013-04-23,168.0
2013-04-25,171.65
2013-04-26,169.8
2013-04-29,167.15
2013-04-30,168.5
2013-05-02,175.95
2013-05-03,169.95
2013-05-06,168.8
2013-05-07,173.5
2013-05-08,174.0
2013-05-09,173.0
2013-05-10,172.55
2013-05-11,170.0
2013-05-13,177.85
2013-05-14,173.2
2013-05-15,172.7
2013-05-16,176.15
2013-05-17,174.0
2013-05-20,175.45
2013-05-21,175.0
2013-05-22,176.05
2013-05-23,173.0
2013-05-24,175.05
2013-05-27,175.0
2013-05-28,176.75
2013-05-29,176.05
2013-05-30,176.4
2013-05-31,177.0
2013-06-03,177.5
2013-06-04,178.0
2013-06-05,177.05
2013-06-06,176.4
2013-06-07,176.4
2013-06-10,176.1
2013-06-11,178.4
2013-06-12,176.4
2013-06-13,178.15
2013-06-14,176.0
2013-06-17,176.0
2013-06-18,178.8
2013-06-19,176.9
2013-06-20,176.7
2013-06-21,175.0
2013-06-24,175.0
2013-06-25,175.1
2013-06-26,175.0
2013-06-27,175.0
2013-06-28,175.0
2013-07-01,179.3
2013-07-02,176.4
2013-07-03,179.95
2013-07-04,177.0
2013-07-05,177.5
2013-07-08,176.7
2013-07-09,178.7
2013-07-10,178.8
2013-07-11,179.0
2013-07-12,179.3
2013-07-15,178.0
2013-07-16,177.0
2013-07-17,178.35
2013-07-18,172.65
2013-07-19,171.35
2013-07-22,171.45
2013-07-23,172.0
2013-07-24,164.75
2013-07-25,161.7
2013-07-26,155.0
2013-07-29,155.5
2013-07-30,158.0
2013-07-31,155.0
2013-08-01,151.5
2013-08-02,154.2
2013-08-05,148.95
2013-08-06,146.0
2013-08-07,143.4
2013-08-08,139.25
2013-08-12,138.5
2013-08-13,142.9
2013-08-14,144.0
2013-08-16,145.95
2013-08-19,141.0
2013-08-20,145.2
2013-08-21,146.0
2013-08-22,142.25
2013-08-23,147.0
2013-08-26,145.5
2013-08-27,145.1
2013-08-28,145.0
2013-08-29,145.5
2013-08-30,145.0
2013-09-02,145.0
2013-09-03,146.0
2013-09-04,145.0
2013-09-05,146.85
2013-09-06,146.9
2013-09-10,145.55
2013-09-11,150.0
2013-09-12,151.5
2013-09-13,147.95
2013-09-16,148.05
2013-09-17,155.0
2013-09-18,149.3
2013-09-19,154.05
2013-09-20,151.95
2013-09-23,154.5
2013-09-24,147.35
2013-09-25,146.1
2013-09-26,146.45
2013-09-27,145.05
2013-09-30,145.0
2013-10-01,145.15
2013-10-03,147.2
2013-10-04,149.75
2013-10-07,146.0
2013-10-08,147.0
2013-10-09,147.0
2013-10-10,149.0
2013-10-11,150.55
2013-10-14,145.35
2013-10-15,144.8
2013-10-17,150.0
2013-10-18,149.95
2013-10-21,149.95
2013-10-22,154.65
2013-10-23,155.6
2013-10-24,157.2
2013-10-25,154.8
2013-10-28,151.5
2013-10-29,153.45
2013-10-30,152.95
2013-10-31,156.0
2013-11-01,157.5
2013-11-03,159.4
2013-11-05,158.95
2013-11-06,160.0
2013-11-07,161.25
2013-11-08,154.25
2013-11-11,157.0
2013-11-12,167.45
2013-11-13,166.35
2013-11-14,160.15
2013-11-18,163.05
2013-11-19,158.95
2013-11-20,158.0
2013-11-21,154.85
2013-11-22,153.6
2013-11-25,150.05
2013-11-26,154.4
2013-11-27,148.45
2013-11-28,148.4
2013-11-29,149.05
2013-12-02,151.3
2013-12-03,154.0
2013-12-04,153.0
2013-12-05,155.9
2013-12-06,157.0
2013-12-09,155.8
2013-12-10,150.85
2013-12-11,148.35
2013-12-12,148.0
2013-12-13,149.6
2013-12-16,150.45
2013-12-17,149.85
2013-12-18,148.1
2013-12-19,148.0
2013-12-20,147.65
2013-12-23,147.5
2013-12-24,150.1
2013-12-26,149.05
2013-12-27,152.95
2013-12-30,155.9
2013-12-31,159.85
