Date,ELGIEQUIP
2013-01-01,93.5
2013-01-02,93.0
2013-01-03,91.65
2013-01-04,91.8
2013-01-07,98.1
2013-01-08,95.15
2013-01-09,94.35
2013-01-10,97.0
2013-01-11,93.85
2013-01-14,92.8
2013-01-15,92.25
2013-01-16,92.3
2013-01-17,90.8
2013-01-18,91.65
2013-01-21,92.3
2013-01-22,92.25
2013-01-23,92.0
2013-01-24,89.25
2013-01-25,89.7
2013-01-28,88.55
2013-01-29,86.95
2013-01-30,94.4
2013-01-31,97.6
2013-02-01,91.9
2013-02-04,90.05
2013-02-05,89.45
2013-02-06,88.85
2013-02-07,89.2
2013-02-08,89.4
2013-02-11,89.45
2013-02-12,87.5
2013-02-13,86.15
2013-02-14,84.6
2013-02-15,85.6
2013-02-18,84.85
2013-02-19,83.6
2013-02-20,85.85
2013-02-21,83.45
2013-02-22,81.6
2013-02-25,87.95
2013-02-26,81.65
2013-02-27,83.65
2013-02-28,81.4
2013-03-01,82.2
2013-03-04,80.2
2013-03-05,79.95
2013-03-06,80.55
2013-03-07,81.35
2013-03-08,79.4
2013-03-11,80.4
2013-03-12,79.0
2013-03-13,80.0
2013-03-14,79.85
2013-03-15,78.85
2013-03-18,79.75
2013-03-19,78.4
2013-03-20,77.9
2013-03-21,76.5
2013-03-22,76.0
2013-03-25,75.3
2013-03-26,75.55
2013-03-28,75.0
2013-04-01,75.6
2013-04-02,75.6
2013-04-03,77.15
2013-04-04,75.8
2013-04-05,74.8
2013-04-08,74.25
2013-04-09,74.75
2013-04-10,75.05
2013-04-11,77.55
2013-04-12,75.2
2013-04-15,75.3
2013-04-16,75.75
2013-04-17,75.95
2013-04-18,76.0
2013-04-22,78.6
2013-04-23,77.65
2013-04-25,76.75
2013-04-26,76.25
2013-04-29,76.55
2013-04-30,76.8
2013-05-02,79.65
2013-05-03,76.85
2013-05-06,76.65
2013-05-07,75.65
2013-05-08,77.9
2013-05-09,77.2
2013-05-10,79.4
2013-05-11,79.85
2013-05-13,79.7
2013-05-14,80.0
2013-05-15,80.05
2013-05-16,81.1
2013-05-17,84.25
2013-05-20,85.0
2013-05-21,85.05
2013-05-22,85.0
2013-05-23,81.65
2013-05-24,80.8
2013-05-27,80.15
2013-05-28,78.95
2013-05-29,81.3
2013-05-30,79.1
2013-05-31,78.8
2013-06-03,80.65
2013-06-04,79.6
2013-06-05,78.6
2013-06-06,78.75
2013-06-07,80.0
2013-06-10,79.05
2013-06-11,77.1
2013-06-12,75.9
2013-06-13,76.8
2013-06-14,78.75
2013-06-17,78.5
2013-06-18,77.7
2013-06-19,78.35
2013-06-20,78.1
2013-06-21,78.1
2013-06-24,75.0
2013-06-25,75.1
2013-06-26,77.3
2013-06-27,78.45
2013-06-28,78.4
2013-07-01,77.35
2013-07-02,77.1
2013-07-03,77.35
2013-07-04,77.5
2013-07-05,78.0
2013-07-08,78.0
2013-07-09,78.0
2013-07-10,80.95
2013-07-11,81.1
2013-07-12,82.0
2013-07-15,86.5
2013-07-16,89.95
2013-07-17,87.45
2013-07-18,83.05
2013-07-19,79.65
2013-07-22,78.25
2013-07-23,79.3
2013-07-24,79.05
2013-07-25,78.8
2013-07-26,78.95
2013-07-29,79.05
2013-07-30,79.05
2013-07-31,77.3
2013-08-01,77.85
2013-08-02,78.0
2013-08-05,78.1
2013-08-06,78.1
2013-08-07,78.0
2013-08-08,78.2
2013-08-12,78.0
2013-08-13,78.05
2013-08-14,81.4
2013-08-16,79.2
2013-08-19,79.5
2013-08-20,79.0
2013-08-21,78.85
2013-08-22,78.2
2013-08-23,78.35
2013-08-26,79.55
2013-08-27,78.25
2013-08-28,78.15
2013-08-29,80.05
2013-08-30,77.7
2013-09-02,78.3
2013-09-03,78.25
2013-09-04,78.8
2013-09-05,78.95
2013-09-06,78.7
2013-09-10,78.7
2013-09-11,78.0
2013-09-12,77.9
2013-09-13,78.0
2013-09-16,78.0
2013-09-17,78.05
2013-09-18,78.05
2013-09-19,78.0
2013-09-20,80.05
2013-09-23,78.7
2013-09-24,78.9
2013-09-25,77.75
2013-09-26,77.35
2013-09-27,78.6
2013-09-30,77.2
2013-10-01,79.6
2013-10-03,79.05
2013-10-04,80.0
2013-10-07,80.5
2013-10-08,81.0
2013-10-09,81.15
2013-10-10,80.4
2013-10-11,81.85
2013-10-14,81.05
2013-10-15,81.0
2013-10-17,80.9
2013-10-18,81.0
2013-10-21,81.0
2013-10-22,80.9
2013-10-23,81.05
2013-10-24,81.5
2013-10-25,81.75
2013-10-28,81.65
2013-10-29,81.2
2013-10-30,81.1
2013-10-31,80.5
2013-11-01,81.05
2013-11-03,81.45
2013-11-05,82.4
2013-11-06,83.85
2013-11-07,84.45
2013-11-08,87.05
2013-11-11,83.3
2013-11-12,82.95
2013-11-13,82.0
2013-11-14,82.0
2013-11-18,82.15
2013-11-19,82.0
2013-11-20,82.15
2013-11-21,82.0
2013-11-22,83.0
2013-11-25,82.0
2013-11-26,82.05
2013-11-27,82.0
2013-11-28,81.95
2013-11-29,82.15
2013-12-02,82.15
2013-12-03,81.9
2013-12-04,82.0
2013-12-05,82.0
2013-12-06,82.0
2013-12-09,82.75
2013-12-10,82.8
2013-12-11,82.8
2013-12-12,82.25
2013-12-13,82.2
2013-12-16,82.5
2013-12-17,82.1
2013-12-18,82.5
2013-12-19,87.15
2013-12-20,83.4
2013-12-23,83.25
2013-12-24,83.65
2013-12-26,85.35
2013-12-27,85.05
2013-12-30,84.65
2013-12-31,85.05
