Date,ELECTCAST
2013-01-01,25.95
2013-01-02,25.85
2013-01-03,25.9
2013-01-04,25.85
2013-01-07,27.0
2013-01-08,27.6
2013-01-09,27.75
2013-01-10,27.4
2013-01-11,27.1
2013-01-14,27.35
2013-01-15,26.45
2013-01-16,25.95
2013-01-17,26.1
2013-01-18,25.75
2013-01-21,25.65
2013-01-22,25.3
2013-01-23,24.75
2013-01-24,23.75
2013-01-25,24.6
2013-01-28,25.7
2013-01-29,25.4
2013-01-30,25.7
2013-01-31,25.5
2013-02-01,25.3
2013-02-04,25.35
2013-02-05,24.8
2013-02-06,24.95
2013-02-07,23.6
2013-02-08,23.95
2013-02-11,23.8
2013-02-12,23.75
2013-02-13,23.7
2013-02-14,23.5
2013-02-15,22.4
2013-02-18,22.45
2013-02-19,22.45
2013-02-20,22.45
2013-02-21,20.3
2013-02-22,20.2
2013-02-25,20.5
2013-02-26,20.2
2013-02-27,19.6
2013-02-28,19.85
2013-03-01,19.6
2013-03-04,18.6
2013-03-05,18.55
2013-03-06,18.75
2013-03-07,18.75
2013-03-08,19.15
2013-03-11,19.55
2013-03-12,19.75
2013-03-13,19.4
2013-03-14,19.4
2013-03-15,19.4
2013-03-18,18.85
2013-03-19,18.45
2013-03-20,18.25
2013-03-21,17.65
2013-03-22,15.95
2013-03-25,15.8
2013-03-26,15.85
2013-03-28,15.5
2013-04-01,16.0
2013-04-02,16.45
2013-04-03,16.85
2013-04-04,16.5
2013-04-05,16.45
2013-04-08,16.5
2013-04-09,16.4
2013-04-10,16.55
2013-04-11,16.7
2013-04-12,16.65
2013-04-15,16.75
2013-04-16,17.0
2013-04-17,16.9
2013-04-18,16.9
2013-04-22,17.0
2013-04-23,16.8
2013-04-25,17.1
2013-04-26,16.7
2013-04-29,16.85
2013-04-30,16.85
2013-05-02,16.95
2013-05-03,17.1
2013-05-06,16.85
2013-05-07,17.0
2013-05-08,17.9
2013-05-09,17.9
2013-05-10,17.95
2013-05-11,17.7
2013-05-13,17.25
2013-05-14,16.9
2013-05-15,17.0
2013-05-16,17.1
2013-05-17,17.15
2013-05-20,18.2
2013-05-21,17.7
2013-05-22,17.3
2013-05-23,16.85
2013-05-24,16.9
2013-05-27,16.95
2013-05-28,17.0
2013-05-29,16.15
2013-05-30,16.0
2013-05-31,15.9
2013-06-03,15.7
2013-06-04,15.6
2013-06-05,15.7
2013-06-06,15.7
2013-06-07,15.2
2013-06-10,15.1
2013-06-11,14.25
2013-06-12,13.85
2013-06-13,13.5
2013-06-14,14.3
2013-06-17,14.25
2013-06-18,14.0
2013-06-19,13.95
2013-06-20,13.85
2013-06-21,13.85
2013-06-24,13.45
2013-06-25,13.2
2013-06-26,13.1
2013-06-27,12.4
2013-06-28,12.85
2013-07-01,13.3
2013-07-02,13.2
2013-07-03,12.8
2013-07-04,12.85
2013-07-05,12.85
2013-07-08,13.25
2013-07-09,13.3
2013-07-10,13.25
2013-07-11,13.25
2013-07-12,12.9
2013-07-15,13.05
2013-07-16,12.7
2013-07-17,12.55
2013-07-18,12.35
2013-07-19,12.35
2013-07-22,12.2
2013-07-23,12.1
2013-07-24,12.2
2013-07-25,12.05
2013-07-26,11.8
2013-07-29,10.6
2013-07-30,10.35
2013-07-31,10.0
2013-08-01,10.05
2013-08-02,9.8
2013-08-05,10.55
2013-08-06,10.05
2013-08-07,10.35
2013-08-08,10.85
2013-08-12,11.8
2013-08-13,11.65
2013-08-14,12.0
2013-08-16,10.95
2013-08-19,10.3
2013-08-20,10.35
2013-08-21,10.0
2013-08-22,10.45
2013-08-23,10.85
2013-08-26,11.25
2013-08-27,10.65
2013-08-28,10.75
2013-08-29,10.95
2013-08-30,10.8
2013-09-02,11.0
2013-09-03,10.6
2013-09-04,10.85
2013-09-05,11.15
2013-09-06,11.65
2013-09-10,11.85
2013-09-11,11.7
2013-09-12,11.95
2013-09-13,11.8
2013-09-16,11.7
2013-09-17,11.65
2013-09-18,11.45
2013-09-19,11.65
2013-09-20,11.6
2013-09-23,11.45
2013-09-24,11.65
2013-09-25,11.75
2013-09-26,12.35
2013-09-27,12.3
2013-09-30,13.1
2013-10-01,13.35
2013-10-03,13.25
2013-10-04,13.15
2013-10-07,13.7
2013-10-08,13.65
2013-10-09,14.15
2013-10-10,14.0
2013-10-11,14.05
2013-10-14,13.85
2013-10-15,13.45
2013-10-17,13.45
2013-10-18,13.4
2013-10-21,14.25
2013-10-22,14.5
2013-10-23,14.45
2013-10-24,13.95
2013-10-25,13.55
2013-10-28,13.45
2013-10-29,13.4
2013-10-30,13.45
2013-10-31,13.6
2013-11-01,13.85
2013-11-03,13.9
2013-11-05,14.1
2013-11-06,14.0
2013-11-07,13.85
2013-11-08,13.95
2013-11-11,14.35
2013-11-12,14.0
2013-11-13,13.6
2013-11-14,13.7
2013-11-18,13.85
2013-11-19,13.95
2013-11-20,13.85
2013-11-21,13.8
2013-11-22,13.85
2013-11-25,13.95
2013-11-26,13.9
2013-11-27,13.95
2013-11-28,13.9
2013-11-29,15.25
2013-12-02,15.9
2013-12-03,15.95
2013-12-04,15.9
2013-12-05,15.9
2013-12-06,15.65
2013-12-09,15.35
2013-12-10,15.2
2013-12-11,14.85
2013-12-12,14.7
2013-12-13,14.5
2013-12-16,14.95
2013-12-17,14.45
2013-12-18,14.7
2013-12-19,14.5
2013-12-20,14.5
2013-12-23,14.85
2013-12-24,15.6
2013-12-26,15.85
2013-12-27,15.45
2013-12-30,15.15
2013-12-31,14.9
