Date,DABUR
2013-01-01,129.4
2013-01-02,129.7
2013-01-03,128.75
2013-01-04,128.0
2013-01-07,127.9
2013-01-08,128.95
2013-01-09,127.75
2013-01-10,128.05
2013-01-11,126.05
2013-01-14,128.75
2013-01-15,128.7
2013-01-16,129.0
2013-01-17,129.15
2013-01-18,128.95
2013-01-21,128.05
2013-01-22,129.75
2013-01-23,128.8
2013-01-24,127.5
2013-01-25,129.15
2013-01-28,131.4
2013-01-29,130.55
2013-01-30,129.9
2013-01-31,132.7
2013-02-01,133.65
2013-02-04,133.8
2013-02-05,133.85
2013-02-06,133.0
2013-02-07,131.75
2013-02-08,131.1
2013-02-11,130.8
2013-02-12,133.75
2013-02-13,133.45
2013-02-14,133.65
2013-02-15,133.15
2013-02-18,131.8
2013-02-19,131.95
2013-02-20,131.95
2013-02-21,130.85
2013-02-22,131.55
2013-02-25,128.65
2013-02-26,128.8
2013-02-27,129.05
2013-02-28,126.4
2013-03-01,129.5
2013-03-04,128.65
2013-03-05,134.05
2013-03-06,132.9
2013-03-07,133.0
2013-03-08,135.15
2013-03-11,134.0
2013-03-12,133.3
2013-03-13,134.4
2013-03-14,133.5
2013-03-15,137.25
2013-03-18,137.85
2013-03-19,135.95
2013-03-20,135.9
2013-03-21,133.7
2013-03-22,133.75
2013-03-25,130.85
2013-03-26,134.2
2013-03-28,136.95
2013-04-01,141.85
2013-04-02,141.3
2013-04-03,144.2
2013-04-04,140.5
2013-04-05,143.25
2013-04-08,141.75
2013-04-09,138.95
2013-04-10,137.5
2013-04-11,137.9
2013-04-12,138.95
2013-04-15,138.3
2013-04-16,139.4
2013-04-17,139.35
2013-04-18,141.55
2013-04-22,144.4
2013-04-23,142.6
2013-04-25,145.85
2013-04-26,146.5
2013-04-29,146.6
2013-04-30,147.8
2013-05-02,151.0
2013-05-03,161.05
2013-05-06,157.85
2013-05-07,161.95
2013-05-08,161.8
2013-05-09,158.25
2013-05-10,161.0
2013-05-11,162.55
2013-05-13,163.95
2013-05-14,161.8
2013-05-15,161.2
2013-05-16,158.45
2013-05-17,157.1
2013-05-20,155.95
2013-05-21,155.05
2013-05-22,157.45
2013-05-23,155.4
2013-05-24,158.15
2013-05-27,158.4
2013-05-28,156.2
2013-05-29,157.05
2013-05-30,156.9
2013-05-31,156.35
2013-06-03,158.05
2013-06-04,158.9
2013-06-05,158.1
2013-06-06,157.65
2013-06-07,157.15
2013-06-10,151.55
2013-06-11,152.1
2013-06-12,153.45
2013-06-13,150.35
2013-06-14,152.65
2013-06-17,155.25
2013-06-18,155.2
2013-06-19,156.0
2013-06-20,151.45
2013-06-21,154.05
2013-06-24,154.4
2013-06-25,152.4
2013-06-26,152.2
2013-06-27,153.85
2013-06-28,155.4
2013-07-01,155.3
2013-07-02,155.2
2013-07-03,156.6
2013-07-04,158.9
2013-07-05,157.0
2013-07-08,157.45
2013-07-09,156.45
2013-07-10,154.4
2013-07-11,155.05
2013-07-12,158.55
2013-07-15,156.95
2013-07-16,159.0
2013-07-17,165.65
2013-07-18,171.05
2013-07-19,167.65
2013-07-22,170.95
2013-07-23,170.5
2013-07-24,174.85
2013-07-25,170.5
2013-07-26,171.75
2013-07-29,169.3
2013-07-30,164.85
2013-07-31,161.4
2013-08-01,159.8
2013-08-02,160.0
2013-08-05,164.25
2013-08-06,160.3
2013-08-07,157.35
2013-08-08,161.35
2013-08-12,166.8
2013-08-13,172.25
2013-08-14,171.1
2013-08-16,170.1
2013-08-19,162.5
2013-08-20,156.75
2013-08-21,149.5
2013-08-22,145.95
2013-08-23,149.5
2013-08-26,156.65
2013-08-27,157.05
2013-08-28,156.35
2013-08-29,159.95
2013-08-30,163.1
2013-09-02,168.6
2013-09-03,163.85
2013-09-04,169.85
2013-09-05,163.5
2013-09-06,163.15
2013-09-10,170.65
2013-09-11,169.95
2013-09-12,169.75
2013-09-13,169.05
2013-09-16,169.2
2013-09-17,167.85
2013-09-18,168.85
2013-09-19,169.8
2013-09-20,168.85
2013-09-23,167.1
2013-09-24,168.35
2013-09-25,167.3
2013-09-26,167.4
2013-09-27,170.0
2013-09-30,169.5
2013-10-01,168.05
2013-10-03,169.7
2013-10-04,171.0
2013-10-07,170.5
2013-10-08,171.7
2013-10-09,170.4
2013-10-10,170.1
2013-10-11,169.55
2013-10-14,169.25
2013-10-15,168.45
2013-10-17,166.45
2013-10-18,169.15
2013-10-21,170.5
2013-10-22,178.7
2013-10-23,176.4
2013-10-24,176.65
2013-10-25,182.6
2013-10-28,175.75
2013-10-29,177.9
2013-10-30,179.3
2013-10-31,178.65
2013-11-01,176.8
2013-11-03,177.65
2013-11-05,172.5
2013-11-06,170.0
2013-11-07,167.6
2013-11-08,163.35
2013-11-11,160.65
2013-11-12,163.25
2013-11-13,161.75
2013-11-14,164.25
2013-11-18,162.05
2013-11-19,159.9
2013-11-20,157.35
2013-11-21,160.95
2013-11-22,161.05
2013-11-25,167.4
2013-11-26,165.15
2013-11-27,165.25
2013-11-28,163.05
2013-11-29,165.65
2013-12-02,166.65
2013-12-03,164.85
2013-12-04,163.0
2013-12-05,163.2
2013-12-06,164.4
2013-12-09,164.75
2013-12-10,164.9
2013-12-11,169.15
2013-12-12,167.85
2013-12-13,165.75
2013-12-16,166.15
2013-12-17,165.7
2013-12-18,164.3
2013-12-19,167.25
2013-12-20,167.0
2013-12-23,167.45
2013-12-24,171.4
2013-12-26,172.95
2013-12-27,172.4
2013-12-30,171.15
2013-12-31,170.35
