Date,TTKPRESTIG
2013-01-01,3447.0
2013-01-02,3428.9
2013-01-03,3456.3
2013-01-04,3451.0
2013-01-07,3501.75
2013-01-08,3568.05
2013-01-09,3566.2
2013-01-10,3616.4
2013-01-11,3532.0
2013-01-14,3519.25
2013-01-15,3515.1
2013-01-16,3745.65
2013-01-17,3492.15
2013-01-18,3469.7
2013-01-21,3332.5
2013-01-22,3219.8
2013-01-23,3237.25
2013-01-24,3236.7
2013-01-25,3297.55
2013-01-28,3324.85
2013-01-29,3342.0
2013-01-30,3349.55
2013-01-31,3349.3
2013-02-01,3313.35
2013-02-04,3357.3
2013-02-05,3420.7
2013-02-06,3441.15
2013-02-07,3479.3
2013-02-08,3479.35
2013-02-11,3457.4
2013-02-12,3462.55
2013-02-13,3463.15
2013-02-14,3400.45
2013-02-15,3427.35
2013-02-18,3441.25
2013-02-19,3447.05
2013-02-20,3422.1
2013-02-21,3424.4
2013-02-22,3432.6
2013-02-25,3395.8
2013-02-26,3416.65
2013-02-27,3384.45
2013-02-28,3305.85
2013-03-01,3394.05
2013-03-04,3376.7
2013-03-05,3397.55
2013-03-06,3373.75
2013-03-07,3421.6
2013-03-08,3416.9
2013-03-11,3386.75
2013-03-12,3410.1
2013-03-13,3363.55
2013-03-14,3472.4
2013-03-15,3471.4
2013-03-18,3462.3
2013-03-19,3372.2
2013-03-20,3330.65
2013-03-21,3258.5
2013-03-22,3148.55
2013-03-25,3190.75
2013-03-26,3201.25
2013-03-28,3243.7
2013-04-01,3316.0
2013-04-02,3338.9
2013-04-03,3315.0
2013-04-04,3246.9
2013-04-05,3259.05
2013-04-08,3162.7
2013-04-09,3100.3
2013-04-10,3073.25
2013-04-11,3112.25
2013-04-12,3078.85
2013-04-15,3089.15
2013-04-16,2987.6
2013-04-17,2954.15
2013-04-18,2908.3
2013-04-22,2918.0
2013-04-23,2914.8
2013-04-25,3063.85
2013-04-26,3190.0
2013-04-29,3358.5
2013-04-30,3486.55
2013-05-02,3531.85
2013-05-03,3413.6
2013-05-06,3459.95
2013-05-07,3453.75
2013-05-08,3457.75
2013-05-09,3425.2
2013-05-10,3316.15
2013-05-11,3336.1
2013-05-13,3359.4
2013-05-14,3294.1
2013-05-15,3365.1
2013-05-16,3450.05
2013-05-17,3672.95
2013-05-20,3604.95
2013-05-21,3549.85
2013-05-22,3515.95
2013-05-23,3424.75
2013-05-24,3498.25
2013-05-27,3436.1
2013-05-28,3438.0
2013-05-29,3475.4
2013-05-30,3423.3
2013-05-31,3531.75
2013-06-03,3488.05
2013-06-04,3455.25
2013-06-05,3523.35
2013-06-06,3457.25
2013-06-07,3371.3
2013-06-10,3308.1
2013-06-11,3215.15
2013-06-12,3185.65
2013-06-13,3083.35
2013-06-14,3107.85
2013-06-17,3100.05
2013-06-18,3098.05
2013-06-19,3080.35
2013-06-20,3028.85
2013-06-21,3077.7
2013-06-24,3040.75
2013-06-25,3023.95
2013-06-26,3021.85
2013-06-27,3002.8
2013-06-28,3160.35
2013-07-01,3318.15
2013-07-02,3394.35
2013-07-03,3298.95
2013-07-04,3549.2
2013-07-05,3601.35
2013-07-08,3586.0
2013-07-09,3822.0
2013-07-10,3803.5
2013-07-11,3863.95
2013-07-12,3834.3
2013-07-15,3608.9
