Date,TIMKEN
2013-01-01,193.05
2013-01-02,204.85
2013-01-03,206.6
2013-01-04,203.15
2013-01-07,204.1
2013-01-08,202.7
2013-01-09,203.7
2013-01-10,201.2
2013-01-11,197.35
2013-01-14,193.05
2013-01-15,193.35
2013-01-16,191.65
2013-01-17,192.7
2013-01-18,192.0
2013-01-21,194.65
2013-01-22,192.7
2013-01-23,188.65
2013-01-24,186.1
2013-01-25,187.2
2013-01-28,187.1
2013-01-29,183.75
2013-01-30,183.25
2013-01-31,180.95
2013-02-01,180.7
2013-02-04,180.2
2013-02-05,176.65
2013-02-06,176.35
2013-02-07,171.2
2013-02-08,167.1
2013-02-11,171.7
2013-02-12,173.4
2013-02-13,169.15
2013-02-14,164.35
2013-02-15,160.7
2013-02-18,162.15
2013-02-19,167.05
2013-02-20,169.4
2013-02-21,166.2
2013-02-22,162.05
2013-02-25,161.25
2013-02-26,155.75
2013-02-27,156.35
2013-02-28,152.95
2013-03-01,153.0
2013-03-04,147.45
2013-03-05,147.3
2013-03-06,148.45
2013-03-07,147.65
2013-03-08,140.5
2013-03-11,139.65
2013-03-12,139.25
2013-03-13,132.9
2013-03-14,131.95
2013-03-15,152.6
2013-03-18,149.2
2013-03-19,144.0
2013-03-20,141.5
2013-03-21,136.0
2013-03-22,131.05
2013-03-25,137.95
2013-03-26,135.75
2013-03-28,133.7
2013-04-01,141.3
2013-04-02,142.5
2013-04-03,144.8
2013-04-04,151.95
2013-04-05,150.55
2013-04-08,150.0
2013-04-09,149.65
2013-04-10,154.4
2013-04-11,150.65
2013-04-12,149.85
2013-04-15,151.15
2013-04-16,151.8
2013-04-17,150.15
2013-04-18,149.55
2013-04-22,159.35
2013-04-23,160.9
2013-04-25,159.95
2013-04-26,159.6
2013-04-29,159.6
2013-04-30,160.0
2013-05-02,160.05
2013-05-03,161.2
2013-05-06,166.05
2013-05-07,164.65
2013-05-08,166.15
2013-05-09,162.8
2013-05-10,161.95
2013-05-11,161.2
2013-05-13,163.15
2013-05-14,161.2
2013-05-15,162.45
2013-05-16,161.3
2013-05-17,161.45
2013-05-20,160.15
2013-05-21,159.95
2013-05-22,159.25
2013-05-23,156.7
2013-05-24,159.2
2013-05-27,163.0
2013-05-28,159.95
2013-05-29,159.75
2013-05-30,159.45
2013-05-31,158.75
2013-06-03,159.2
2013-06-04,159.8
2013-06-05,159.9
2013-06-06,160.0
2013-06-07,159.85
2013-06-10,156.3
2013-06-11,160.25
2013-06-12,159.95
2013-06-13,159.8
2013-06-14,159.9
2013-06-17,160.0
2013-06-18,160.6
2013-06-19,159.35
2013-06-20,159.45
2013-06-21,159.9
2013-06-24,158.0
2013-06-25,159.5
2013-06-26,158.75
2013-06-27,159.25
2013-06-28,160.05
2013-07-01,159.75
2013-07-02,160.0
2013-07-03,159.4
2013-07-04,159.1
2013-07-05,157.6
2013-07-08,159.75
2013-07-09,159.45
2013-07-10,159.15
2013-07-11,159.75
2013-07-12,159.15
2013-07-15,165.6
2013-07-16,161.55
2013-07-17,160.2
2013-07-18,159.8
2013-07-19,161.1
2013-07-22,157.3
2013-07-23,155.9
2013-07-24,155.2
2013-07-25,159.95
2013-07-26,159.6
2013-07-29,159.9
2013-07-30,159.9
2013-07-31,159.85
2013-08-01,160.0
2013-08-02,159.6
2013-08-05,159.55
2013-08-06,156.65
2013-08-07,154.85
2013-08-08,155.05
2013-08-12,153.9
2013-08-13,157.65
2013-08-14,160.2
2013-08-16,154.0
2013-08-19,151.3
2013-08-20,150.05
2013-08-21,149.95
2013-08-22,151.5
2013-08-23,155.7
2013-08-26,159.7
2013-08-27,159.55
2013-08-28,156.35
2013-08-29,156.35
2013-08-30,154.95
2013-09-02,154.15
2013-09-03,154.05
2013-09-04,153.45
2013-09-05,156.4
2013-09-06,156.3
2013-09-10,158.8
2013-09-11,157.1
2013-09-12,157.3
2013-09-13,156.9
2013-09-16,156.45
2013-09-17,166.55
2013-09-18,162.4
2013-09-19,160.6
2013-09-20,158.95
2013-09-23,157.4
2013-09-24,155.1
2013-09-25,154.9
2013-09-26,154.9
2013-09-27,152.2
2013-09-30,153.05
2013-10-01,154.0
2013-10-03,155.95
2013-10-04,158.2
2013-10-07,157.15
2013-10-08,157.75
2013-10-09,158.2
2013-10-10,159.3
2013-10-11,157.2
2013-10-14,155.5
2013-10-15,156.45
2013-10-17,154.45
2013-10-18,154.35
2013-10-21,154.35
2013-10-22,156.7
2013-10-23,155.55
2013-10-24,156.15
2013-10-25,154.65
2013-10-28,153.45
2013-10-29,153.9
2013-10-30,158.65
2013-10-31,156.4
2013-11-01,155.3
2013-11-03,155.9
2013-11-05,157.8
2013-11-06,162.0
2013-11-07,161.05
2013-11-08,161.6
2013-11-11,164.3
2013-11-12,168.3
2013-11-13,169.9
2013-11-14,172.4
2013-11-18,175.45
2013-11-19,174.85
2013-11-20,164.5
2013-11-21,160.65
2013-11-22,156.4
2013-11-25,156.8
2013-11-26,159.2
2013-11-27,154.2
2013-11-28,155.4
2013-11-29,155.95
2013-12-02,160.25
2013-12-03,158.0
2013-12-04,167.05
2013-12-05,163.8
2013-12-06,166.3
2013-12-09,165.55
2013-12-10,163.75
2013-12-11,165.45
2013-12-12,164.75
2013-12-13,161.3
2013-12-16,162.8
2013-12-17,161.45
2013-12-18,161.65
2013-12-19,164.85
2013-12-20,163.6
2013-12-23,163.4
2013-12-24,164.75
2013-12-26,165.15
2013-12-27,168.55
2013-12-30,176.75
2013-12-31,171.9
