Date,SOTL
2013-01-01,505.7
2013-01-02,511.05
2013-01-03,513.6
2013-01-04,512.15
2013-01-07,522.9
2013-01-08,518.7
2013-01-09,520.35
2013-01-10,523.05
2013-01-11,520.0
2013-01-14,523.45
2013-01-15,520.75
2013-01-16,515.5
2013-01-17,512.5
2013-01-18,511.15
2013-01-21,512.6
2013-01-22,506.55
2013-01-23,514.35
2013-01-24,509.9
2013-01-25,510.75
2013-01-28,510.75
2013-01-29,510.15
2013-01-30,510.9
2013-01-31,510.15
2013-02-01,510.2
2013-02-04,510.05
2013-02-05,510.55
2013-02-06,511.65
2013-02-07,510.0
2013-02-08,509.3
2013-02-11,510.0
2013-02-12,495.75
2013-02-13,497.5
2013-02-14,500.05
2013-02-15,502.75
2013-02-18,501.35
2013-02-19,498.95
2013-02-20,500.1
2013-02-21,502.7
2013-02-22,501.25
2013-02-25,500.0
2013-02-26,500.9
2013-02-27,502.75
2013-02-28,499.2
2013-03-01,495.0
2013-03-04,494.75
2013-03-05,495.05
2013-03-06,495.5
2013-03-07,495.0
2013-03-08,495.0
2013-03-11,497.4
2013-03-12,486.7
2013-03-13,487.9
2013-03-14,485.3
2013-03-15,488.2
2013-03-18,491.2
2013-03-19,485.35
2013-03-20,485.0
2013-03-21,485.2
2013-03-22,485.05
2013-03-25,465.2
2013-03-26,479.9
2013-03-28,481.7
2013-04-01,480.0
2013-04-02,481.3
2013-04-03,481.35
2013-04-04,480.65
2013-04-05,480.5
2013-04-08,480.1
2013-04-09,480.05
2013-04-10,480.0
2013-04-11,479.15
2013-04-12,481.4
2013-04-15,480.05
2013-04-16,480.05
2013-04-17,478.0
2013-04-18,477.9
2013-04-22,478.15
2013-04-23,469.5
2013-04-25,472.1
2013-04-26,470.05
2013-04-29,472.85
2013-04-30,473.0
2013-05-02,487.75
2013-05-03,470.3
2013-05-06,470.15
2013-05-07,479.0
2013-05-08,469.75
2013-05-09,470.0
2013-05-10,469.1
2013-05-11,465.0
2013-05-13,474.0
2013-05-14,470.05
2013-05-15,472.05
2013-05-16,470.15
2013-05-17,472.55
2013-05-20,508.6
2013-05-21,505.3
2013-05-22,494.2
2013-05-23,492.85
2013-05-24,485.65
2013-05-27,487.65
2013-05-28,485.2
2013-05-29,495.15
2013-05-30,485.25
2013-05-31,484.75
2013-06-03,485.4
2013-06-04,477.2
2013-06-05,475.55
2013-06-06,484.85
2013-06-07,476.2
2013-06-10,472.05
2013-06-11,469.4
2013-06-12,469.25
2013-06-13,462.5
2013-06-14,464.95
2013-06-17,471.1
2013-06-18,465.0
2013-06-19,473.15
2013-06-20,462.9
2013-06-21,461.7
2013-06-24,461.7
2013-06-25,463.55
2013-06-26,454.95
2013-06-27,447.9
2013-06-28,459.1
2013-07-01,460.0
2013-07-02,456.0
2013-07-03,460.05
2013-07-04,464.65
2013-07-05,450.0
2013-07-08,450.95
2013-07-09,435.8
2013-07-10,429.5
2013-07-11,440.3
2013-07-12,433.75
2013-07-15,424.3
2013-07-16,422.95
2013-07-17,426.65
2013-07-18,424.9
2013-07-19,425.2
2013-07-22,430.2
2013-07-23,416.45
2013-07-24,398.0
2013-07-25,399.65
2013-07-26,378.35
2013-07-29,345.9
2013-07-30,376.35
2013-07-31,367.85
2013-08-01,375.9
2013-08-02,356.2
2013-08-05,362.55
2013-08-06,365.8
2013-08-07,374.65
2013-08-08,379.35
2013-08-12,376.4
2013-08-13,381.65
2013-08-14,369.1
2013-08-16,368.35
2013-08-19,351.7
2013-08-20,354.65
2013-08-21,350.65
2013-08-22,349.85
2013-08-23,359.35
2013-08-26,350.45
2013-08-27,350.7
2013-08-28,337.05
2013-08-29,336.2
2013-08-30,341.15
2013-09-02,343.95
2013-09-03,340.2
2013-09-04,337.95
2013-09-05,341.0
2013-09-06,335.2
2013-09-10,346.6
2013-09-11,349.65
2013-09-12,357.3
2013-09-13,369.3
2013-09-16,365.25
2013-09-17,367.1
2013-09-18,356.0
2013-09-19,367.35
2013-09-20,356.65
2013-09-23,349.1
2013-09-24,362.95
2013-09-25,356.0
2013-09-26,354.85
2013-09-27,356.0
2013-09-30,353.55
2013-10-01,353.75
2013-10-03,354.8
2013-10-04,354.05
2013-10-07,354.5
2013-10-08,358.2
2013-10-09,368.55
2013-10-10,366.5
2013-10-11,358.5
2013-10-14,356.6
2013-10-15,364.6
2013-10-17,366.4
2013-10-18,374.3
2013-10-21,375.0
2013-10-22,381.0
2013-10-23,380.2
2013-10-24,383.05
2013-10-25,381.25
2013-10-28,380.8
2013-10-29,373.3
2013-10-30,372.9
2013-10-31,376.85
2013-11-01,373.0
2013-11-03,386.15
2013-11-05,390.15
2013-11-06,384.15
2013-11-07,383.0
2013-11-08,384.2
2013-11-11,391.15
2013-11-12,387.9
2013-11-13,389.7
2013-11-14,387.35
2013-11-18,394.0
2013-11-19,385.4
2013-11-20,389.55
2013-11-21,387.85
2013-11-22,392.35
2013-11-25,391.7
2013-11-26,392.05
2013-11-27,393.45
2013-11-28,392.2
2013-11-29,396.85
2013-12-02,404.3
2013-12-03,411.8
2013-12-04,417.6
2013-12-05,414.65
2013-12-06,408.3
2013-12-09,406.4
2013-12-10,414.5
2013-12-11,410.7
2013-12-12,408.8
2013-12-13,408.5
2013-12-16,407.75
2013-12-17,413.75
2013-12-18,404.15
2013-12-19,401.3
2013-12-20,403.35
2013-12-23,408.75
2013-12-24,417.5
2013-12-26,415.25
2013-12-27,422.8
2013-12-30,421.05
2013-12-31,428.25
