Date,DICIND
2013-01-01,239.1
2013-01-02,241.3
2013-01-03,240.2
2013-01-04,241.75
2013-01-07,242.4
2013-01-08,243.05
2013-01-09,243.05
2013-01-10,240.4
2013-01-11,239.55
2013-01-14,239.2
2013-01-15,241.8
2013-01-16,238.65
2013-01-17,238.7
2013-01-18,238.3
2013-01-21,238.2
2013-01-22,238.25
2013-01-23,236.45
2013-01-24,237.4
2013-01-25,237.5
2013-01-28,237.0
2013-01-29,231.5
2013-01-30,231.1
2013-01-31,235.1
2013-02-01,240.75
2013-02-04,234.7
2013-02-05,227.1
2013-02-06,220.15
2013-02-07,210.25
2013-02-08,210.9
2013-02-11,204.9
2013-02-12,205.6
2013-02-13,201.6
2013-02-14,200.05
2013-02-15,198.05
2013-02-18,202.45
2013-02-19,204.65
2013-02-20,204.95
2013-02-21,203.8
2013-02-22,206.95
2013-02-25,200.95
2013-02-26,199.95
2013-02-27,196.9
2013-02-28,199.05
2013-03-01,202.4
2013-03-04,198.6
2013-03-05,202.4
2013-03-06,200.6
2013-03-07,202.2
2013-03-08,203.85
2013-03-11,199.0
2013-03-12,201.0
2013-03-13,199.75
2013-03-14,200.0
2013-03-15,198.0
2013-03-18,197.85
2013-03-19,192.15
2013-03-20,192.05
2013-03-21,192.1
2013-03-22,188.1
2013-03-25,192.1
2013-03-26,191.8
2013-03-28,187.6
2013-04-01,194.55
2013-04-02,192.9
2013-04-03,190.9
2013-04-04,189.35
2013-04-05,189.55
2013-04-08,186.95
2013-04-09,187.1
2013-04-10,187.3
2013-04-11,188.45
2013-04-12,187.65
2013-04-15,186.95
2013-04-16,187.95
2013-04-17,189.15
2013-04-18,188.15
2013-04-22,194.1
2013-04-23,189.3
2013-04-25,191.9
2013-04-26,195.05
2013-04-29,188.1
2013-04-30,188.7
2013-05-02,183.75
2013-05-03,182.05
2013-05-06,181.15
2013-05-07,183.65
2013-05-08,182.95
2013-05-09,181.85
2013-05-10,182.35
2013-05-11,186.8
2013-05-13,182.7
2013-05-14,184.3
2013-05-15,181.45
2013-05-16,181.5
2013-05-17,184.85
2013-05-20,184.3
2013-05-21,186.95
2013-05-22,183.5
2013-05-23,181.0
2013-05-24,180.65
2013-05-27,181.2
2013-05-28,181.85
2013-05-29,183.45
2013-05-30,184.0
2013-05-31,182.35
2013-06-03,180.05
2013-06-04,178.3
2013-06-05,177.45
2013-06-06,178.5
2013-06-07,178.65
2013-06-10,177.3
2013-06-11,175.7
2013-06-12,175.5
2013-06-13,172.4
2013-06-14,172.05
2013-06-17,171.45
2013-06-18,169.2
2013-06-19,168.9
2013-06-20,162.95
2013-06-21,164.95
2013-06-24,166.65
2013-06-25,165.15
2013-06-26,164.45
2013-06-27,163.0
2013-06-28,166.95
2013-07-01,165.95
2013-07-02,163.8
2013-07-03,163.3
2013-07-04,161.1
2013-07-05,160.75
2013-07-08,162.1
2013-07-09,164.55
2013-07-10,165.1
2013-07-11,167.25
2013-07-12,165.5
2013-07-15,169.8
2013-07-16,165.55
2013-07-17,168.4
2013-07-18,165.15
2013-07-19,168.45
2013-07-22,170.75
2013-07-23,167.55
2013-07-24,168.0
2013-07-25,175.2
2013-07-26,172.5
2013-07-29,169.1
2013-07-30,166.25
2013-07-31,161.1
2013-08-01,168.1
2013-08-02,170.4
2013-08-05,170.7
2013-08-06,170.15
2013-08-07,171.7
2013-08-08,175.45
2013-08-12,176.4
2013-08-13,182.2
2013-08-14,186.0
2013-08-16,179.25
2013-08-19,191.25
2013-08-20,191.6
2013-08-21,199.25
2013-08-22,196.7
2013-08-23,204.3
2013-08-26,203.1
2013-08-27,204.4
2013-08-28,197.9
2013-08-29,198.2
2013-08-30,199.3
2013-09-02,203.15
2013-09-03,199.0
2013-09-04,205.1
2013-09-05,203.7
2013-09-06,205.0
2013-09-10,205.55
2013-09-11,207.5
2013-09-12,208.8
2013-09-13,210.0
2013-09-16,209.75
2013-09-17,216.05
2013-09-18,216.95
2013-09-19,218.6
2013-09-20,218.0
2013-09-23,225.05
2013-09-24,243.4
2013-09-25,239.85
2013-09-26,236.0
2013-09-27,231.65
2013-09-30,231.15
2013-10-01,231.0
2013-10-03,228.1
2013-10-04,227.9
2013-10-07,226.8
2013-10-08,233.65
2013-10-09,231.0
2013-10-10,232.0
2013-10-11,235.15
2013-10-14,225.75
2013-10-15,220.1
2013-10-17,223.85
2013-10-18,220.0
2013-10-21,220.1
2013-10-22,218.2
2013-10-23,216.15
2013-10-24,205.0
2013-10-25,200.8
2013-10-28,197.45
2013-10-29,200.5
2013-10-30,200.15
2013-10-31,200.05
2013-11-01,202.25
2013-11-03,202.35
2013-11-05,204.3
2013-11-06,206.05
2013-11-07,204.35
2013-11-08,204.0
2013-11-11,206.5
2013-11-12,210.8
2013-11-13,223.95
2013-11-14,225.3
2013-11-18,214.95
2013-11-19,218.55
2013-11-20,220.05
2013-11-21,225.05
2013-11-22,235.5
2013-11-25,282.6
2013-11-26,338.9
2013-11-27,348.95
2013-11-28,340.9
2013-11-29,352.75
2013-12-02,356.0
2013-12-03,357.0
2013-12-04,357.85
2013-12-05,358.0
2013-12-06,357.25
2013-12-09,351.1
2013-12-10,340.9
2013-12-11,341.35
2013-12-12,340.95
2013-12-13,342.25
2013-12-16,342.85
2013-12-17,347.7
2013-12-18,351.0
2013-12-19,356.2
2013-12-20,350.8
2013-12-23,352.35
2013-12-24,359.55
2013-12-26,353.55
2013-12-27,356.5
2013-12-30,360.95
2013-12-31,361.9
