Date,AVTNPL
2013-01-01,36.15
2013-01-02,37.15
2013-01-03,36.55
2013-01-04,36.1
2013-01-07,36.05
2013-01-08,35.7
2013-01-09,35.4
2013-01-10,35.15
2013-01-11,35.2
2013-01-14,36.3
2013-01-15,36.05
2013-01-16,35.75
2013-01-17,36.2
2013-01-18,35.5
2013-01-21,35.55
2013-01-22,35.15
2013-01-23,35.2
2013-01-24,35.1
2013-01-25,34.9
2013-01-28,35.95
2013-01-29,36.0
2013-01-30,35.2
2013-01-31,34.9
2013-02-01,34.55
2013-02-04,33.9
2013-02-05,33.65
2013-02-06,33.9
2013-02-07,33.6
2013-02-08,33.05
2013-02-11,32.65
2013-02-12,32.0
2013-02-13,31.8
2013-02-14,31.0
2013-02-15,30.9
2013-02-18,31.4
2013-02-19,31.9
2013-02-20,32.25
2013-02-21,31.75
2013-02-22,31.1
2013-02-25,31.55
2013-02-26,31.0
2013-02-27,31.35
2013-02-28,31.0
2013-03-01,30.8
2013-03-04,29.25
2013-03-05,30.45
2013-03-06,30.35
2013-03-07,30.55
2013-03-08,31.15
2013-03-11,30.75
2013-03-12,30.45
2013-03-13,29.95
2013-03-14,28.75
2013-03-15,29.05
2013-03-18,28.85
2013-03-19,28.95
2013-03-20,28.25
2013-03-21,27.65
2013-03-22,27.15
2013-03-25,25.95
2013-03-26,25.95
2013-03-28,25.7
2013-04-01,26.7
2013-04-02,27.5
2013-04-03,27.7
2013-04-04,26.85
2013-04-05,26.5
2013-04-08,26.85
2013-04-09,26.8
2013-04-10,26.75
2013-04-11,26.65
2013-04-12,26.45
2013-04-15,26.0
2013-04-16,25.95
2013-04-17,26.35
2013-04-18,26.3
2013-04-22,26.8
2013-04-23,26.8
2013-04-25,26.8
2013-04-26,26.0
2013-04-29,26.35
2013-04-30,25.9
2013-05-02,26.0
2013-05-03,26.05
2013-05-06,26.15
2013-05-07,28.5
2013-05-08,28.45
2013-05-09,27.6
2013-05-10,26.65
2013-05-11,26.6
2013-05-13,27.0
2013-05-14,26.35
2013-05-15,26.65
2013-05-16,26.5
2013-05-17,26.3
2013-05-20,26.3
2013-05-21,26.85
2013-05-22,26.8
2013-05-23,27.55
2013-05-24,28.0
2013-05-27,28.0
2013-05-28,27.7
2013-05-29,27.35
2013-05-30,28.05
2013-05-31,28.05
2013-06-03,27.5
2013-06-04,27.35
2013-06-05,27.1
2013-06-06,27.9
2013-06-07,27.8
2013-06-10,29.5
2013-06-11,28.65
2013-06-12,28.75
2013-06-13,28.5
2013-06-14,28.65
2013-06-17,28.7
2013-06-18,29.0
2013-06-19,30.5
2013-06-20,30.0
2013-06-21,29.6
2013-06-24,28.6
2013-06-25,28.35
2013-06-26,27.7
2013-06-27,27.25
2013-06-28,27.35
2013-07-01,27.6
2013-07-02,27.45
2013-07-03,28.05
2013-07-04,27.4
2013-07-05,27.8
2013-07-08,27.15
2013-07-09,27.6
2013-07-10,27.75
2013-07-11,27.95
2013-07-12,28.05
2013-07-15,27.9
2013-07-16,28.0
2013-07-17,27.7
2013-07-18,27.95
2013-07-19,27.95
2013-07-22,28.05
2013-07-23,28.0
2013-07-24,27.7
2013-07-25,27.6
2013-07-26,28.1
2013-07-29,27.5
2013-07-30,26.05
2013-07-31,31.25
2013-08-01,32.75
2013-08-02,30.9
2013-08-05,30.25
2013-08-06,30.45
2013-08-07,30.85
2013-08-08,31.8
2013-08-12,31.5
2013-08-13,31.5
2013-08-14,30.85
2013-08-16,29.75
2013-08-19,30.0
2013-08-20,30.05
2013-08-21,30.7
2013-08-22,31.5
2013-08-23,31.45
2013-08-26,32.35
2013-08-27,32.45
2013-08-28,31.45
2013-08-29,32.3
2013-08-30,32.6
2013-09-02,32.7
2013-09-03,32.55
2013-09-04,32.5
2013-09-05,32.7
2013-09-06,32.85
2013-09-10,35.85
2013-09-11,37.35
2013-09-12,36.0
2013-09-13,37.15
2013-09-16,36.8
2013-09-17,37.35
2013-09-18,37.55
2013-09-19,37.6
2013-09-20,38.8
2013-09-23,39.75
2013-09-24,39.45
2013-09-25,38.55
2013-09-26,19.8
2013-09-27,19.0
2013-09-30,18.4
2013-10-01,18.5
2013-10-03,17.95
2013-10-04,18.5
2013-10-07,18.1
2013-10-08,18.0
2013-10-09,18.05
2013-10-10,18.05
2013-10-11,19.05
2013-10-14,18.8
2013-10-15,18.8
2013-10-17,19.0
2013-10-18,19.6
2013-10-21,20.2
2013-10-22,20.0
2013-10-23,20.0
2013-10-24,19.5
2013-10-25,20.2
2013-10-28,20.15
2013-10-29,19.85
2013-10-30,19.3
2013-10-31,19.5
2013-11-01,19.15
2013-11-03,19.7
2013-11-05,19.6
2013-11-06,19.45
2013-11-07,18.85
2013-11-08,18.35
2013-11-11,18.7
2013-11-12,18.6
2013-11-13,18.5
2013-11-14,18.5
2013-11-18,20.5
2013-11-19,20.85
2013-11-20,20.45
2013-11-21,19.5
2013-11-22,19.2
2013-11-25,19.75
2013-11-26,19.65
2013-11-27,19.8
2013-11-28,19.8
2013-11-29,19.55
2013-12-02,19.15
2013-12-03,19.0
2013-12-04,18.8
2013-12-05,18.9
2013-12-06,18.9
2013-12-09,19.1
2013-12-10,19.1
2013-12-11,19.0
2013-12-12,18.0
2013-12-13,18.0
2013-12-16,17.7
2013-12-17,18.0
2013-12-18,18.4
2013-12-19,18.85
2013-12-20,18.6
2013-12-23,18.65
2013-12-24,18.75
2013-12-26,18.9
2013-12-27,18.9
2013-12-30,18.95
2013-12-31,18.7
